experiment_id,lr,dropout_ratio,batch_size,num_experts,alpha,beta,min_temp,decay,num_layer,emb_dim,gate_dim,split_type,val_metric,val_metric_std,test_metric,test_metric_std,num_epochs_trained,early_stopped,timestamp
3,0.0001,0.0,32,3,1.0,1.0,1.0,0.0,5,300,50,scaffold,83.0469,,65.0639,,56,True,2025-11-08 02:46:23
1,0.0001,0.0,32,3,1.0,1.0,0.1,0.0,5,300,50,scaffold,82.3031,,50.7347,,56,True,2025-11-08 02:46:24
4,0.0001,0.0,32,3,1.0,1.0,1.0,0.0001,5,300,50,scaffold,81.6871,,63.9355,,62,True,2025-11-08 02:47:03
2,0.0001,0.0,32,3,1.0,1.0,0.1,0.0001,5,300,50,scaffold,81.0458,,51.9341,,75,True,2025-11-08 02:48:29
5,0.0001,0.0,32,3,1.0,0.1,0.1,0.0,5,300,50,scaffold,82.3732,,58.3909,,56,True,2025-11-08 02:52:42
6,0.0001,0.0,32,3,1.0,0.1,0.1,0.0001,5,300,50,scaffold,82.4752,,47.2005,,56,True,2025-11-08 02:52:45
7,0.0001,0.0,32,3,1.0,0.1,1.0,0.0,5,300,50,scaffold,81.9351,,54.0898,,66,True,2025-11-08 02:54:20
8,0.0001,0.0,32,3,1.0,0.1,1.0,0.0001,5,300,50,scaffold,81.9820,,63.3535,,56,True,2025-11-08 02:54:56
9,0.0001,0.0,32,3,1.0,0.01,0.1,0.0,5,300,50,scaffold,81.8065,,66.3263,,56,True,2025-11-08 02:58:57
10,0.0001,0.0,32,3,1.0,0.01,0.1,0.0001,5,300,50,scaffold,81.5740,,50.8573,,56,True,2025-11-08 02:59:02
11,0.0001,0.0,32,3,1.0,0.01,1.0,0.0,5,300,50,scaffold,80.8741,,58.5839,,56,True,2025-11-08 03:00:43
12,0.0001,0.0,32,3,1.0,0.01,1.0,0.0001,5,300,50,scaffold,82.6273,,62.9519,,78,True,2025-11-08 03:03:50
13,0.0001,0.0,32,3,0.1,1.0,0.1,0.0,5,300,50,scaffold,83.3503,,65.4302,,62,True,2025-11-08 03:05:53
14,0.0001,0.0,32,3,0.1,1.0,0.1,0.0001,5,300,50,scaffold,82.5603,,55.6456,,62,True,2025-11-08 03:06:00
15,0.0001,0.0,32,3,0.1,1.0,1.0,0.0,5,300,50,scaffold,82.6650,,52.8887,,62,True,2025-11-08 03:07:40
17,0.0001,0.0,32,3,0.1,0.1,0.1,0.0,5,300,50,scaffold,82.0567,,70.1507,,62,True,2025-11-08 03:12:52
18,0.0001,0.0,32,3,0.1,0.1,0.1,0.0001,5,300,50,scaffold,81.7403,,71.0846,,62,True,2025-11-08 03:13:02
19,0.0001,0.0,32,3,0.1,0.1,1.0,0.0,5,300,50,scaffold,82.6889,,64.7301,,62,True,2025-11-08 03:14:45
16,0.0001,0.0,32,3,0.1,1.0,1.0,0.0001,5,300,50,scaffold,82.4483,,55.4162,,111,True,2025-11-08 03:16:27
20,0.0001,0.0,32,3,0.1,0.1,1.0,0.0001,5,300,50,scaffold,83.6352,,61.7296,,62,True,2025-11-08 03:19:49
21,0.0001,0.0,32,3,0.1,0.01,0.1,0.0,5,300,50,scaffold,82.6049,,68.3424,,62,True,2025-11-08 03:20:03
22,0.0001,0.0,32,3,0.1,0.01,0.1,0.0001,5,300,50,scaffold,82.1399,,75.0715,,56,True,2025-11-08 03:21:09
23,0.0001,0.0,32,3,0.1,0.01,1.0,0.0,5,300,50,scaffold,82.5949,,59.5673,,62,True,2025-11-08 03:23:43
24,0.0001,0.0,32,3,0.1,0.01,1.0,0.0001,5,300,50,scaffold,82.5880,,63.3743,,56,True,2025-11-08 03:26:10
25,0.0001,0.0,32,3,0.01,1.0,0.1,0.0,5,300,50,scaffold,82.6581,,72.9632,,62,True,2025-11-08 03:27:06
26,0.0001,0.0,32,3,0.01,1.0,0.1,0.0001,5,300,50,scaffold,83.3418,,69.8778,,62,True,2025-11-08 03:28:08
29,0.0001,0.0,32,3,0.01,0.1,0.1,0.0,5,300,50,scaffold,82.6411,,66.8148,,62,True,2025-11-08 03:33:56
27,0.0001,0.0,32,3,0.01,1.0,1.0,0.0,5,300,50,scaffold,83.1532,,65.5201,,102,True,2025-11-08 03:35:07
30,0.0001,0.0,32,3,0.01,0.1,0.1,0.0001,5,300,50,scaffold,82.9445,,70.1784,,62,True,2025-11-08 03:35:19
28,0.0001,0.0,32,3,0.01,1.0,1.0,0.0001,5,300,50,scaffold,82.7686,,61.9796,,102,True,2025-11-08 03:37:45
31,0.0001,0.0,32,3,0.01,0.1,1.0,0.0,5,300,50,scaffold,82.9399,,73.5279,,62,True,2025-11-08 03:40:53
32,0.0001,0.0,32,3,0.01,0.1,1.0,0.0001,5,300,50,scaffold,82.2708,,68.0561,,62,True,2025-11-08 03:42:09
33,0.0001,0.0,32,3,0.01,0.01,0.1,0.0,5,300,50,scaffold,82.7920,,71.3348,,62,True,2025-11-08 03:42:18
34,0.0001,0.0,32,3,0.01,0.01,0.1,0.0001,5,300,50,scaffold,82.1861,,72.1003,,62,True,2025-11-08 03:44:39
35,0.0001,0.0,32,3,0.01,0.01,1.0,0.0,5,300,50,scaffold,82.0637,,68.6715,,62,True,2025-11-08 03:47:56
36,0.0001,0.0,32,3,0.01,0.01,1.0,0.0001,5,300,50,scaffold,83.9370,,70.2433,,62,True,2025-11-08 03:49:03
37,0.0001,0.0,32,5,1.0,1.0,0.1,0.0,5,300,50,scaffold,82.6662,,58.6749,,74,True,2025-11-08 03:50:36
38,0.0001,0.0,32,5,1.0,1.0,0.1,0.0001,5,300,50,scaffold,82.6296,,59.7331,,62,True,2025-11-08 03:51:38
39,0.0001,0.0,32,5,1.0,1.0,1.0,0.0,5,300,50,scaffold,82.8009,,65.7930,,62,True,2025-11-08 03:54:57
40,0.0001,0.0,32,5,1.0,1.0,1.0,0.0001,5,300,50,scaffold,80.9341,,62.5705,,64,True,2025-11-08 03:56:16
41,0.0001,0.0,32,5,1.0,0.1,0.1,0.0,5,300,50,scaffold,83.1031,,63.6365,,62,True,2025-11-08 03:57:36
42,0.0001,0.0,32,5,1.0,0.1,0.1,0.0001,5,300,50,scaffold,81.3668,,54.2265,,64,True,2025-11-08 03:58:40
43,0.0001,0.0,32,5,1.0,0.1,1.0,0.0,5,300,50,scaffold,82.2011,,57.5317,,62,True,2025-11-08 04:01:55
44,0.0001,0.0,32,5,1.0,0.1,1.0,0.0001,5,300,50,scaffold,81.9728,,61.8041,,62,True,2025-11-08 04:03:19
45,0.0001,0.0,32,5,1.0,0.01,0.1,0.0,5,300,50,scaffold,82.5811,,56.7327,,64,True,2025-11-08 04:04:45
46,0.0001,0.0,32,5,1.0,0.01,0.1,0.0001,5,300,50,scaffold,82.4918,,64.8061,,62,True,2025-11-08 04:05:30
47,0.0001,0.0,32,5,1.0,0.01,1.0,0.0,5,300,50,scaffold,83.1293,,57.7524,,62,True,2025-11-08 04:08:55
48,0.0001,0.0,32,5,1.0,0.01,1.0,0.0001,5,300,50,scaffold,83.4438,,61.0553,,62,True,2025-11-08 04:10:21
