experiment_id,lr,dropout_ratio,batch_size,num_experts,alpha,beta,min_temp,decay,num_layer,emb_dim,gate_dim,split_type,val_metric,val_metric_std,test_metric,test_metric_std,num_epochs_trained,early_stopped,timestamp
1948,0.0001,0.0,32,3,1.0,1.0,1.0,0.0001,5,300,50,scaffold,79.3164,,81.4239,,54,True,2025-11-09 21:29:46
1945,0.0001,0.0,32,3,1.0,1.0,0.1,0.0,5,300,50,scaffold,79.1084,,80.6109,,69,True,2025-11-09 21:29:56
1946,0.0001,0.0,32,3,1.0,1.0,0.1,0.0001,5,300,50,scaffold,78.8673,,80.7243,,69,True,2025-11-09 21:30:03
1947,0.0001,0.0,32,3,1.0,1.0,1.0,0.0,5,300,50,scaffold,80.3892,,77.4312,,112,True,2025-11-09 21:32:06
1951,0.0001,0.0,32,3,1.0,0.1,1.0,0.0,5,300,50,scaffold,80.4641,,80.6657,,54,True,2025-11-09 21:32:25
1949,0.0001,0.0,32,3,1.0,0.1,0.1,0.0,5,300,50,scaffold,83.1836,,78.5100,,69,True,2025-11-09 21:32:43
1950,0.0001,0.0,32,3,1.0,0.1,0.1,0.0001,5,300,50,scaffold,80.6554,,81.0077,,93,True,2025-11-09 21:33:54
1952,0.0001,0.0,32,3,1.0,0.1,1.0,0.0001,5,300,50,scaffold,79.1500,,79.8820,,69,True,2025-11-09 21:35:06
1953,0.0001,0.0,32,3,1.0,0.01,0.1,0.0,5,300,50,scaffold,79.4162,,80.5328,,67,True,2025-11-09 21:35:17
1954,0.0001,0.0,32,3,1.0,0.01,0.1,0.0001,5,300,50,scaffold,80.0067,,80.4174,,69,True,2025-11-09 21:35:44
1955,0.0001,0.0,32,3,1.0,0.01,1.0,0.0,5,300,50,scaffold,82.7512,,81.1836,,91,True,2025-11-09 21:37:50
1958,0.0001,0.0,32,3,0.1,1.0,0.1,0.0001,5,300,50,scaffold,77.1623,,81.3555,,54,True,2025-11-09 21:38:04
1956,0.0001,0.0,32,3,1.0,0.01,1.0,0.0001,5,300,50,scaffold,80.5223,,75.3518,,69,True,2025-11-09 21:38:12
1960,0.0001,0.0,32,3,0.1,1.0,1.0,0.0001,5,300,50,scaffold,78.6011,,82.5321,,54,True,2025-11-09 21:40:28
1961,0.0001,0.0,32,3,0.1,0.1,0.1,0.0,5,300,50,scaffold,79.1168,,81.4611,,54,True,2025-11-09 21:40:31
1959,0.0001,0.0,32,3,0.1,1.0,1.0,0.0,5,300,50,scaffold,79.8985,,82.5594,,69,True,2025-11-09 21:40:55
1957,0.0001,0.0,32,3,0.1,1.0,0.1,0.0,5,300,50,scaffold,80.9548,,83.1770,,150,True,2025-11-09 21:41:36
1963,0.0001,0.0,32,3,0.1,0.1,1.0,0.0,5,300,50,scaffold,80.1231,,80.9549,,54,True,2025-11-09 21:42:50
1964,0.0001,0.0,32,3,0.1,0.1,1.0,0.0001,5,300,50,scaffold,76.9627,,78.8481,,54,True,2025-11-09 21:43:20
1962,0.0001,0.0,32,3,0.1,0.1,0.1,0.0001,5,300,50,scaffold,79.1667,,83.4193,,72,True,2025-11-09 21:43:38
1965,0.0001,0.0,32,3,0.1,0.01,0.1,0.0,5,300,50,scaffold,77.2455,,79.2566,,54,True,2025-11-09 21:43:56
1967,0.0001,0.0,32,3,0.1,0.01,1.0,0.0,5,300,50,scaffold,81.1627,,82.0063,,69,True,2025-11-09 21:46:21
1968,0.0001,0.0,32,3,0.1,0.01,1.0,0.0001,5,300,50,scaffold,77.5782,,81.0663,,69,True,2025-11-09 21:46:38
1969,0.0001,0.0,32,3,0.01,1.0,0.1,0.0,5,300,50,scaffold,80.9132,,76.9661,,131,True,2025-11-09 21:49:25
1971,0.0001,0.0,32,3,0.01,1.0,1.0,0.0,5,300,50,scaffold,79.7156,,78.9693,,69,True,2025-11-09 21:49:37
1966,0.0001,0.0,32,3,0.1,0.01,0.1,0.0001,5,300,50,scaffold,81.8613,,82.9991,,160,True,2025-11-09 21:49:45
1970,0.0001,0.0,32,3,0.01,1.0,0.1,0.0001,5,300,50,scaffold,79.8819,,77.7869,,96,True,2025-11-09 21:50:29
1974,0.0001,0.0,32,3,0.01,0.1,0.1,0.0001,5,300,50,scaffold,79.5908,,81.1640,,54,True,2025-11-09 21:52:09
1972,0.0001,0.0,32,3,0.01,1.0,1.0,0.0001,5,300,50,scaffold,79.7488,,80.5777,,69,True,2025-11-09 21:52:25
1975,0.0001,0.0,32,3,0.01,0.1,1.0,0.0,5,300,50,scaffold,81.1627,,75.5238,,69,True,2025-11-09 21:53:27
1973,0.0001,0.0,32,3,0.01,0.1,0.1,0.0,5,300,50,scaffold,80.3310,,85.6571,,104,True,2025-11-09 21:54:07
1976,0.0001,0.0,32,3,0.01,0.1,1.0,0.0001,5,300,50,scaffold,78.5762,,83.6148,,54,True,2025-11-09 21:54:26
1978,0.0001,0.0,32,3,0.01,0.01,0.1,0.0001,5,300,50,scaffold,81.9195,,82.9386,,69,True,2025-11-09 21:56:27
1977,0.0001,0.0,32,3,0.01,0.01,0.1,0.0,5,300,50,scaffold,78.7841,,79.4442,,105,True,2025-11-09 21:56:49
1979,0.0001,0.0,32,3,0.01,0.01,1.0,0.0,5,300,50,scaffold,80.6304,,81.5314,,97,True,2025-11-09 21:58:13
1981,0.0001,0.0,32,5,1.0,1.0,0.1,0.0,5,300,50,scaffold,81.7448,,82.1979,,67,True,2025-11-09 21:59:22
1980,0.0001,0.0,32,3,0.01,0.01,1.0,0.0001,5,300,50,scaffold,79.3746,,83.6363,,176,True,2025-11-09 22:01:45
1984,0.0001,0.0,32,5,1.0,1.0,1.0,0.0001,5,300,50,scaffold,78.9088,,79.9425,,67,True,2025-11-09 22:02:18
1982,0.0001,0.0,32,5,1.0,1.0,0.1,0.0001,5,300,50,scaffold,80.9049,,79.1686,,137,True,2025-11-09 22:02:41
1983,0.0001,0.0,32,5,1.0,1.0,1.0,0.0,5,300,50,scaffold,81.3955,,79.9230,,135,True,2025-11-09 22:03:59
1985,0.0001,0.0,32,5,1.0,0.1,0.1,0.0,5,300,50,scaffold,79.5492,,81.3204,,55,True,2025-11-09 22:04:05
1986,0.0001,0.0,32,5,1.0,0.1,0.1,0.0001,5,300,50,scaffold,81.9029,,77.9061,,70,True,2025-11-09 22:05:18
1988,0.0001,0.0,32,5,1.0,0.1,1.0,0.0001,5,300,50,scaffold,80.1148,,83.4584,,87,True,2025-11-09 22:07:45
1989,0.0001,0.0,32,5,1.0,0.01,0.1,0.0,5,300,50,scaffold,78.6593,,83.9646,,87,True,2025-11-09 22:07:47
1987,0.0001,0.0,32,5,1.0,0.1,1.0,0.0,5,300,50,scaffold,79.7987,,76.1824,,133,True,2025-11-09 22:08:27
1990,0.0001,0.0,32,5,1.0,0.01,0.1,0.0001,5,300,50,scaffold,77.3536,,77.3042,,87,True,2025-11-09 22:09:05
1991,0.0001,0.0,32,5,1.0,0.01,1.0,0.0,5,300,50,scaffold,79.3580,,79.7412,,55,True,2025-11-09 22:10:10
1993,0.0001,0.0,32,5,0.1,1.0,0.1,0.0,5,300,50,scaffold,83.3250,,79.3191,,70,True,2025-11-09 22:11:40
1992,0.0001,0.0,32,5,1.0,0.01,1.0,0.0001,5,300,50,scaffold,78.6510,,83.2473,,91,True,2025-11-09 22:11:44
1994,0.0001,0.0,32,5,0.1,1.0,0.1,0.0001,5,300,50,scaffold,82.4185,,78.6937,,99,True,2025-11-09 22:13:16
1997,0.0001,0.0,32,5,0.1,0.1,0.1,0.0,5,300,50,scaffold,80.7967,,78.1680,,64,True,2025-11-09 22:14:27
1995,0.0001,0.0,32,5,0.1,1.0,1.0,0.0,5,300,50,scaffold,82.9175,,79.1139,,107,True,2025-11-09 22:14:45
1996,0.0001,0.0,32,5,0.1,1.0,1.0,0.0001,5,300,50,scaffold,81.7448,,72.8659,,80,True,2025-11-09 22:15:08
1998,0.0001,0.0,32,5,0.1,0.1,0.1,0.0001,5,300,50,scaffold,80.8217,,73.1180,,55,True,2025-11-09 22:15:43
2002,0.0001,0.0,32,5,0.1,0.01,0.1,0.0001,5,300,50,scaffold,82.2355,,82.6708,,55,True,2025-11-09 22:18:18
2000,0.0001,0.0,32,5,0.1,0.1,1.0,0.0001,5,300,50,scaffold,80.9880,,80.8787,,99,True,2025-11-09 22:19:02
2001,0.0001,0.0,32,5,0.1,0.01,0.1,0.0,5,300,50,scaffold,83.7076,,80.9823,,103,True,2025-11-09 22:19:33
1999,0.0001,0.0,32,5,0.1,0.1,1.0,0.0,5,300,50,scaffold,83.5246,,79.9777,,118,True,2025-11-09 22:19:50
2006,0.0001,0.0,32,5,0.01,1.0,0.1,0.0001,5,300,50,scaffold,81.7781,,79.4676,,55,True,2025-11-09 22:22:17
2004,0.0001,0.0,32,5,0.1,0.01,1.0,0.0001,5,300,50,scaffold,83.2003,,76.1452,,93,True,2025-11-09 22:23:15
2005,0.0001,0.0,32,5,0.01,1.0,0.1,0.0,5,300,50,scaffold,79.3164,,79.1784,,93,True,2025-11-09 22:23:34
2003,0.0001,0.0,32,5,0.1,0.01,1.0,0.0,5,300,50,scaffold,81.2375,,78.5804,,122,True,2025-11-09 22:23:51
2007,0.0001,0.0,32,5,0.01,1.0,1.0,0.0,5,300,50,scaffold,83.8822,,72.2366,,90,True,2025-11-09 22:26:10
2008,0.0001,0.0,32,5,0.01,1.0,1.0,0.0001,5,300,50,scaffold,81.5785,,71.3591,,105,True,2025-11-09 22:27:36
2009,0.0001,0.0,32,5,0.01,0.1,0.1,0.0,5,300,50,scaffold,81.3373,,78.4162,,99,True,2025-11-09 22:27:50
2010,0.0001,0.0,32,5,0.01,0.1,0.1,0.0001,5,300,50,scaffold,79.9484,,81.6252,,101,True,2025-11-09 22:28:12
2011,0.0001,0.0,32,5,0.01,0.1,1.0,0.0,5,300,50,scaffold,82.0110,,81.5744,,62,True,2025-11-09 22:28:51
2015,0.0001,0.0,32,5,0.01,0.01,1.0,0.0,5,300,50,scaffold,81.9694,,79.9797,,55,True,2025-11-09 22:31:20
2012,0.0001,0.0,32,5,0.01,0.1,1.0,0.0001,5,300,50,scaffold,83.4331,,72.3870,,93,True,2025-11-09 22:31:32
2013,0.0001,0.0,32,5,0.01,0.01,0.1,0.0,5,300,50,scaffold,81.5203,,83.0910,,103,True,2025-11-09 22:32:16
2014,0.0001,0.0,32,5,0.01,0.01,0.1,0.0001,5,300,50,scaffold,81.7698,,78.2325,,121,True,2025-11-09 22:33:23
2017,0.0001,0.0,32,7,1.0,1.0,0.1,0.0,5,300,50,scaffold,78.7758,,81.5021,,52,True,2025-11-09 22:33:49
2018,0.0001,0.0,32,7,1.0,1.0,0.1,0.0001,5,300,50,scaffold,77.6946,,81.6741,,74,True,2025-11-09 22:35:38
2019,0.0001,0.0,32,7,1.0,1.0,1.0,0.0,5,300,50,scaffold,78.6510,,83.7692,,52,True,2025-11-09 22:35:42
