SAMPLE_DATA_TYPE,pAC50,smiles
flor 40 hr,6.378660554,C/[N+](C)=C1\C=C/C(C=C1)=C(/c2ccccc2)c3ccc(cc3)N(C)C.[O-]C(=O)C(=O)O.[O-]C(=O)C(=O)O.O=C(O)C(=O)O.CN(C)c1ccc(cc1)C(\c2ccccc2)=C3/C=C/C(C=C3)=[N+](/C)C
glo 40 hr,6.378660554,C/[N+](C)=C1\C=C/C(C=C1)=C(/c2ccccc2)c3ccc(cc3)N(C)C.[O-]C(=O)C(=O)O.[O-]C(=O)C(=O)O.O=C(O)C(=O)O.CN(C)c1ccc(cc1)C(\c2ccccc2)=C3/C=C/C(C=C3)=[N+](/C)C
flor 40 hr,6.928660554,Cl.Cl.Nc1cc(C)nc2ccc(cc12)NC(=O)Nc3ccc4nc(C)cc(N)c4c3
flor 40 hr,7.378660554,Cl.CN(C)CC\C=C2/c3ccccc3C=Cc1ccccc12
flor 40 hr,7.428660554,Oc2ccc(Cl)cc2Sc1cc(Cl)ccc1O
flor 40 hr,7.328660554,CN(C)CC\C=C1/c3ccccc3Sc2ccc(Cl)cc12
glo 40 hr,7.378660554,CN(C)CC\C=C1/c3ccccc3Sc2ccc(Cl)cc12
flor 40 hr,7.378660554,Clc4cc5NC(=O)N(C3CCN(CCCN1c2ccccc2NC1=O)CC3)c5cc4
glo 40 hr,6.728660554,Cl.CN(C)Cc1c2cc3CN4C(=O)C=5COC(=O)[C@](O)(CC)C=5C=C4c3nc2ccc1O
flor 40 hr,6.878660554,Cl.CN(C)Cc1c2cc3CN4C(=O)C=5COC(=O)[C@](O)(CC)C=5C=C4c3nc2ccc1O
flor 40 hr,7.428660554,Clc1ccc2Oc4ccccc4N=C(c2c1)N3CCNCC3
flor 40 hr,7.328660554,Cl.Fc1ccc(cc1)C(CCCN2CCN(CC2)C(=O)NCC)c3ccc(F)cc3
glo 40 hr,7.378660554,C[N+]2(C)[C@H]1C[C@@H](C[C@@H]2CC1)OC(=O)C(CO)c3ccccc3.[O-][N+]([O-])=O
flor 40 hr,7.428660554,Cl.CN(C)CC\C=C1\c3ccccc3CCc2ccccc12
flor 40 hr,7.428660554,CCN(CC)CCOc1c(I)cc(cc1I)C(=O)c2c3ccccc3oc2CCCC
flor 40 hr,7.278660554,CC(C)COCC(CN(Cc1ccccc1)c2ccccc2)N3CCCC3
glo 40 hr,7.378660554,CC(C)COCC(CN(Cc1ccccc1)c2ccccc2)N3CCCC3
glo 40 hr,7.378660554,O=C(O)C(O)C(O)C(=O)O.COc4ccccc4OCCNCC(O)COc2cccc3nc1ccccc1c23
flor 40 hr,7.328660554,CN1CCN(CC1)CCC(=O)N2c4ccccc4Sc3ccc(cc23)C(F)(F)F
flor 40 hr,6.067424559,[I-].CCN3c4ccccc4SC3=CC=Cc2sc1ccccc1[n+]2CC
flor 40 hr,7.378660554,[O-][N+](=O)c1cccc(c1)C2C(C(=O)OC(C)C)=C(C)NC(N)=C2C(=O)OC3CN(C3)C(c4ccccc4)c5ccccc5
glo 40 hr,7.378660554,[O-][N+](=O)c1cccc(c1)C2C(C(=O)OC(C)C)=C(C)NC(N)=C2C(=O)OC3CN(C3)C(c4ccccc4)c5ccccc5
flor 40 hr,7.428660554,Clc4cccc(N3CCN(CCCCOc1ccc2CCC(=O)Nc2c1)CC3)c4Cl
flor 40 hr,7.028660554,Cl.Cl.CC(C)[C@H]3c4ccc(F)cc4CC[C@]3(OC(=O)COC)CCN(C)CCCc1nc2ccccc2n1
glo 40 hr,7.028660554,Cl.Cl.CC(C)[C@H]3c4ccc(F)cc4CC[C@]3(OC(=O)COC)CCN(C)CCCc1nc2ccccc2n1
flor 40 hr,7.428660554,Cl.Cl.CN4CCC(Nc2nc3c(Nc1ccc(F)c(Cl)c1)ncnc3cn2)CC4
flor 40 hr,7.178660554,Oc1ccc(cc1)C(C)(C)CC(C)(C)C
flor 40 hr,7.278660554,Cl.CNCC[C@H](Oc1cccc2ccccc12)c3cccs3
glo 40 hr,7.378660554,Cl.CNCC[C@H](Oc1cccc2ccccc12)c3cccs3
glo 40 hr,6.617424559,[I-].CCN3c4ccccc4SC3=CC=Cc2sc1ccccc1[n+]2CC
flor 40 hr,7.378660554,CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO
flor 40 hr,7.428660554,CC(C)(C)c1ccc(O)cc1
