smiles,pIC50
CC1=CC(=O)c2c(O)cccc2C1=O,4.627456199
CC1=C(CCCC(=O)OCO/[N+]([O-])=N/N2CCCC2)C(=O)c2c(O)cccc2C1=O,4.741362717
CC1=C(CCCC(=O)OCO/[N+]([O-])=N/N2CCCCC2)C(=O)c2c(O)cccc2C1=O,4.75276345
CC1=C(CCCC(=O)OCO/[N+]([O-])=N/N2CCOCC2)C(=O)c2c(O)cccc2C1=O,4.629301907
CC1=C(CCC(=O)OCO/[N+]([O-])=N/N2CCCC2)C(=O)c2c(O)cccc2C1=O,4.591929714
CC1=C(CCC(=O)OCO/[N+]([O-])=N/N2CCCCC2)C(=O)c2c(O)cccc2C1=O,4.557833914
CC1=C(CCC(=O)OCO/[N+]([O-])=N/N2CCOCC2)C(=O)c2c(O)cccc2C1=O,4.609594844
CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,5.585026652
C/C=C(\C)[C@H](O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H](C)/C=C(C)/C=C/C/C(C)=C/Cc1nc(OC)c(OC)c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c1C,5.958607315
C/C=C(\C)[C@H](O)[C@H](C)/C=C(C)/C=C(\C)C/C(C)=C/Cc1nc(OC)c(OC)c(O)c1C,4.346787486
COc1nc(C/C=C(\C)C/C(C)=C/C(C)=C/[C@@H](C)[C@@H](O)/C(C)=C/[C@@](C)(O)[C@H](C)O)c(C)c(O)c1OC,4.200659451
COc1nc(C/C=C(\C)C/C(C)=C/C(C)=C/[C@@H](C)[C@@H](O)/C(C)=C/[C@](C)(O)[C@@H](C)O)c(C)c(O)c1OC,4.356547324
CNC(=O)c1ccc(Nc2nc(Nc3ccccc3P(C)(C)=O)c3cc[nH]c3n2)cc1,5.038104526
