experiment_id,lr,dropout_ratio,batch_size,num_experts,alpha,beta,min_temp,decay,num_layer,emb_dim,gate_dim,split_type,val_metric,val_metric_std,test_metric,test_metric_std,num_epochs_trained,early_stopped,timestamp,test_auprc,test_accuracy,test_f1,test_sensitivity,test_specificity,val_auprc,val_accuracy,val_f1,val_sensitivity,val_specificity
exp_0406,0.001,0.1,512,3,0.01,0.1,0.1,0.0,5,300,50,scaffold,87.1925,,87.1729,,69,True,2025-11-19 03:12:39,0.8421,0.4905,0.6556,1.0000,0.0107,0.8272,0.4810,0.6477,1.0000,0.0076
exp_0413,0.001,0.1,512,3,0.01,1.0,1.0,1e-05,5,300,50,scaffold,86.9988,,80.1034,,55,True,2025-11-19 03:16:27,0.7497,0.4850,0.6532,1.0000,0.0000,0.7529,0.4771,0.6460,1.0000,0.0000
exp_0407,0.0001,0.1,512,7,0.01,0.1,0.1,0.0,5,300,50,scaffold,89.1390,,88.3620,,253,True,2025-11-19 03:21:49,0.8549,0.5095,0.6638,0.9984,0.0490,0.8575,0.4961,0.6540,0.9983,0.0378
exp_0416,0.0001,0.3,512,3,0.1,0.1,1.0,0.0,5,300,50,scaffold,85.8688,,85.8006,,111,True,2025-11-19 03:23:48,0.8288,0.4941,0.6572,1.0000,0.0176,0.8092,0.4803,0.6470,0.9983,0.0076
exp_0418,0.001,0.3,512,7,0.1,0.1,1.0,0.0001,5,300,50,scaffold,88.0412,,71.9117,,55,True,2025-11-19 03:25:02,0.6276,0.4850,0.6532,1.0000,0.0000,0.6355,0.4771,0.6460,1.0000,0.0000
exp_0424,0.001,0.3,512,5,0.1,0.01,1.0,0.0001,5,300,50,scaffold,87.9824,,66.3367,,54,True,2025-11-19 03:28:47,0.6270,0.4850,0.6532,1.0000,0.0000,0.6110,0.4771,0.6460,1.0000,0.0000
exp_0419,0.0001,0.1,512,7,0.1,0.01,1.0,1e-05,5,300,50,scaffold,89.4746,,87.7311,,161,True,2025-11-19 03:32:33,0.8473,0.5091,0.6636,0.9984,0.0483,0.8668,0.4937,0.6530,0.9983,0.0332
exp_0412,1e-05,0.0,512,3,1.0,1.0,0.1,0.0001,5,300,50,scaffold,83.1361,,81.5742,,500,False,2025-11-19 03:39:21,0.7786,0.4878,0.6544,1.0000,0.0054,0.7797,0.4787,0.6463,0.9983,0.0045
exp_0415,1e-05,0.1,512,3,0.01,1.0,0.1,0.0001,5,300,50,scaffold,83.7398,,82.3166,,500,False,2025-11-19 03:42:38,0.7890,0.4886,0.6548,1.0000,0.0069,0.7877,0.4779,0.6460,0.9983,0.0030
exp_0428,0.0001,0.0,512,5,0.01,0.01,0.1,0.0,5,300,50,scaffold,89.6226,,88.4350,,183,True,2025-11-19 03:42:57,0.8538,0.5174,0.6672,0.9976,0.0651,0.8682,0.5000,0.6558,0.9983,0.0453
exp_0432,0.0001,0.1,512,7,0.1,1.0,0.1,1e-05,5,300,50,scaffold,89.4008,,87.9056,,181,True,2025-11-19 03:52:33,0.8483,0.5071,0.6627,0.9984,0.0444,0.8689,0.4921,0.6522,0.9983,0.0302
exp_0425,1e-05,0.0,512,7,0.01,1.0,1.0,0.0001,5,300,50,scaffold,88.8746,,86.0242,,500,False,2025-11-19 03:54:43,0.8271,0.5095,0.6636,0.9976,0.0498,0.8650,0.4992,0.6554,0.9983,0.0438
exp_0438,0.0001,0.0,512,3,0.01,0.1,0.1,0.0001,5,300,50,scaffold,82.3030,,78.9054,,92,True,2025-11-19 04:00:08,0.7345,0.4866,0.6539,1.0000,0.0031,0.7342,0.4779,0.6463,1.0000,0.0015
exp_0436,0.0001,0.0,512,3,0.1,1.0,1.0,1e-05,5,300,50,scaffold,86.5121,,84.8421,,139,True,2025-11-19 04:00:34,0.8105,0.4937,0.6570,1.0000,0.0169,0.8143,0.4803,0.6470,0.9983,0.0076
exp_0440,0.001,0.3,512,3,1.0,0.01,1.0,0.0,5,300,50,scaffold,87.6622,,83.5688,,68,True,2025-11-19 04:04:21,0.8004,0.4850,0.6532,1.0000,0.0000,0.8232,0.4771,0.6460,1.0000,0.0000
exp_0431,1e-05,0.0,512,7,0.01,1.0,0.1,0.0,5,300,50,scaffold,89.5875,,87.7582,,500,False,2025-11-19 04:06:27,0.8503,0.5406,0.6772,0.9935,0.1142,0.8709,0.5403,0.6734,0.9934,0.1269
exp_0442,0.001,0.1,512,7,0.1,1.0,0.1,0.0001,5,300,50,scaffold,88.3523,,72.8308,,56,True,2025-11-19 04:07:30,0.6656,0.4850,0.6532,1.0000,0.0000,0.6612,0.4771,0.6460,1.0000,0.0000
exp_0433,1e-05,0.0,512,3,1.0,0.01,0.1,0.0,5,300,50,scaffold,87.0938,,86.0017,,500,False,2025-11-19 04:10:20,0.8322,0.5043,0.6615,0.9984,0.0391,0.8316,0.4905,0.6512,0.9967,0.0287
exp_0447,0.001,0.0,512,7,0.01,0.01,1.0,0.0001,5,300,50,scaffold,89.0481,,77.8818,,58,True,2025-11-19 04:10:55,0.7313,0.4850,0.6532,1.0000,0.0000,0.7117,0.4771,0.6460,1.0000,0.0000
exp_0446,0.0001,0.1,512,3,1.0,0.1,0.1,1e-05,5,300,50,scaffold,86.8953,,85.7087,,112,True,2025-11-19 04:13:06,0.8277,0.4933,0.6567,0.9992,0.0169,0.8246,0.4818,0.6473,0.9967,0.0121
exp_0439,1e-05,0.3,512,3,1.0,1.0,0.1,1e-05,5,300,50,scaffold,86.4930,,85.1241,,500,False,2025-11-19 04:26:22,0.8222,0.4992,0.6595,1.0000,0.0276,0.8251,0.4866,0.6490,0.9950,0.0227
exp_0448,1e-05,0.0,512,7,1.0,0.01,1.0,0.0,5,300,50,scaffold,89.4195,,87.5481,,500,False,2025-11-19 04:37:46,0.8467,0.5395,0.6766,0.9935,0.1119,0.8703,0.5348,0.6711,0.9950,0.1148
exp_0449,1e-05,0.3,512,7,1.0,1.0,1.0,0.0,5,300,50,scaffold,88.7350,,87.0415,,500,False,2025-11-19 04:37:49,0.8404,0.5253,0.6700,0.9935,0.0843,0.8600,0.5261,0.6670,0.9950,0.0982
exp_0450,1e-05,0.1,512,3,0.01,1.0,1.0,1e-05,5,300,50,scaffold,86.7642,,85.6143,,500,False,2025-11-19 04:39:59,0.8310,0.4996,0.6597,1.0000,0.0284,0.8300,0.4882,0.6501,0.9967,0.0242
exp_0452,0.0001,0.1,512,5,0.01,1.0,0.1,1e-05,5,300,50,scaffold,89.4779,,87.6677,,183,True,2025-11-19 04:48:09,0.8478,0.4968,0.6583,0.9992,0.0238,0.8672,0.4818,0.6481,1.0000,0.0091
exp_0457,0.001,0.1,512,7,1.0,0.1,0.1,0.0001,5,300,50,scaffold,89.0365,,78.0970,,57,True,2025-11-19 04:51:35,0.7313,0.4850,0.6532,1.0000,0.0000,0.7829,0.4771,0.6460,1.0000,0.0000
exp_0451,1e-05,0.1,512,5,0.1,0.01,1.0,1e-05,5,300,50,scaffold,89.3515,,87.4720,,500,False,2025-11-19 04:53:26,0.8519,0.5178,0.6674,0.9976,0.0659,0.8669,0.5174,0.6634,0.9967,0.0801
exp_0461,0.001,0.3,512,7,0.01,0.1,1.0,0.0001,5,300,50,scaffold,88.4070,,72.7468,,58,True,2025-11-19 04:56:48,0.6557,0.4850,0.6532,1.0000,0.0000,0.6591,0.4771,0.6460,1.0000,0.0000
exp_0456,0.0001,0.1,512,5,0.01,1.0,0.1,0.0,5,300,50,scaffold,89.8967,,88.7036,,333,True,2025-11-19 04:58:23,0.8587,0.5071,0.6629,0.9992,0.0437,0.8709,0.4889,0.6508,0.9983,0.0242
exp_0465,0.0001,0.3,512,7,1.0,0.01,0.1,0.0001,5,300,50,scaffold,88.1765,,85.1497,,106,True,2025-11-19 05:04:38,0.8153,0.4901,0.6555,1.0000,0.0100,0.8572,0.4818,0.6481,1.0000,0.0091
exp_0454,1e-05,0.1,512,5,0.1,1.0,0.1,1e-05,5,300,50,scaffold,89.4341,,87.5220,,500,False,2025-11-19 05:04:41,0.8504,0.5185,0.6678,0.9976,0.0674,0.8701,0.5166,0.6626,0.9950,0.0801
exp_0463,0.0001,0.0,512,7,0.01,0.01,0.1,0.0,5,300,50,scaffold,89.6807,,88.1827,,183,True,2025-11-19 05:07:01,0.8538,0.5288,0.6725,0.9976,0.0874,0.8603,0.5126,0.6608,0.9950,0.0725
exp_0468,0.0001,0.3,512,5,1.0,1.0,0.1,0.0001,5,300,50,scaffold,87.6436,,83.8454,,93,True,2025-11-19 05:12:04,0.8109,0.4858,0.6535,1.0000,0.0015,0.8363,0.4771,0.6460,1.0000,0.0000
exp_0460,1e-05,0.1,512,3,0.01,0.01,1.0,0.0001,5,300,50,scaffold,83.3746,,82.0061,,500,False,2025-11-19 05:19:23,0.7777,0.4882,0.6546,1.0000,0.0061,0.7791,0.4779,0.6460,0.9983,0.0030
