experiment_id,lr,dropout_ratio,batch_size,num_experts,alpha,beta,min_temp,decay,num_layer,emb_dim,gate_dim,split_type,val_metric,val_metric_std,test_metric,test_metric_std,num_epochs_trained,early_stopped,timestamp,test_auprc,test_accuracy,test_f1,test_sensitivity,test_specificity,val_auprc,val_accuracy,val_f1,val_sensitivity,val_specificity
exp_0703,0.001,0.1,512,3,1.0,0.01,1.0,0.0001,5,300,50,scaffold,75.9239,,82.8868,,119,True,2025-11-19 17:09:21,0.7064,0.3185,0.4831,1.0000,0.0000,0.5843,0.2879,0.4471,1.0000,0.0000
exp_0701,1e-05,0.0,32,7,0.01,0.01,1.0,0.0,5,300,50,scaffold,86.2262,,79.3352,,296,True,2025-11-19 17:10:05,0.6665,0.3259,0.4800,0.9767,0.0217,0.6763,0.2879,0.4471,1.0000,0.0000
exp_0704,0.0001,0.1,512,7,0.1,0.1,1.0,0.0,5,300,50,scaffold,86.2262,,81.9135,,382,True,2025-11-19 17:16:25,0.6944,0.4444,0.5283,0.9767,0.1957,0.6931,0.4394,0.5067,1.0000,0.2128
exp_0705,1e-05,0.0,512,5,0.01,1.0,1.0,0.0,5,300,50,scaffold,54.1993,,50.3413,,500,False,2025-11-19 17:19:16,0.3767,0.3556,0.4727,0.9070,0.0978,0.3019,0.4394,0.4932,0.9474,0.2340
exp_0706,0.0001,0.3,512,7,0.01,0.01,0.1,0.0001,5,300,50,scaffold,85.2184,,79.5121,,386,True,2025-11-19 17:20:29,0.6651,0.3407,0.4855,0.9767,0.0435,0.6714,0.3182,0.4578,1.0000,0.0426
exp_0702,1e-05,0.3,32,3,0.1,0.01,0.1,0.0001,5,300,50,scaffold,74.4681,,80.9277,,500,False,2025-11-19 17:20:46,0.6884,0.3185,0.4831,1.0000,0.0000,0.5988,0.2879,0.4471,1.0000,0.0000
exp_0707,1e-05,0.1,512,5,1.0,0.1,0.1,0.0,5,300,50,scaffold,61.3662,,50.1643,,500,False,2025-11-19 17:25:48,0.3474,0.3407,0.4606,0.8837,0.0870,0.3750,0.3939,0.4444,0.8421,0.2128
exp_0709,0.0001,0.0,32,5,1.0,0.01,1.0,0.0,5,300,50,scaffold,83.8746,,82.0779,,195,True,2025-11-19 17:26:08,0.6799,0.3185,0.4831,1.0000,0.0000,0.6824,0.2879,0.4471,1.0000,0.0000
exp_0710,0.0001,0.0,512,5,1.0,0.01,1.0,0.0001,5,300,50,scaffold,83.6506,,79.7902,,458,True,2025-11-19 17:28:45,0.6680,0.3333,0.4828,0.9767,0.0326,0.7035,0.3333,0.4634,1.0000,0.0638
exp_0708,1e-05,0.1,32,3,1.0,0.1,0.1,0.0001,5,300,50,scaffold,76.2598,,81.4965,,500,False,2025-11-19 17:33:35,0.7009,0.3185,0.4831,1.0000,0.0000,0.6627,0.2879,0.4471,1.0000,0.0000
exp_0713,0.0001,0.3,512,5,0.1,0.1,0.1,1e-05,5,300,50,scaffold,83.2027,,79.2467,,312,True,2025-11-19 17:34:35,0.6642,0.3704,0.4970,0.9767,0.0870,0.6603,0.3939,0.4872,1.0000,0.1489
exp_0712,1e-05,0.3,512,5,0.01,0.01,0.1,1e-05,5,300,50,scaffold,59.5745,,48.8372,,500,False,2025-11-19 17:35:27,0.3480,0.3185,0.4458,0.8605,0.0652,0.3620,0.4091,0.4658,0.8947,0.2128
exp_0711,0.0001,0.3,32,3,1.0,0.1,0.1,1e-05,5,300,50,scaffold,80.7391,,83.8220,,344,True,2025-11-19 17:35:56,0.7532,0.3185,0.4831,1.0000,0.0000,0.6587,0.2879,0.4471,1.0000,0.0000
exp_0715,0.0001,0.3,32,5,0.1,1.0,0.1,1e-05,5,300,50,scaffold,83.7626,,81.4333,,133,True,2025-11-19 17:38:17,0.6780,0.3185,0.4831,1.0000,0.0000,0.6608,0.2879,0.4471,1.0000,0.0000
exp_0714,0.0001,0.3,32,3,1.0,0.1,0.1,0.0,5,300,50,scaffold,79.8432,,83.9105,,237,True,2025-11-19 17:40:19,0.7518,0.3185,0.4831,1.0000,0.0000,0.6519,0.2879,0.4471,1.0000,0.0000
exp_0716,0.0001,0.1,32,3,0.01,0.01,1.0,1e-05,5,300,50,scaffold,79.7312,,84.1127,,186,True,2025-11-19 17:40:46,0.7451,0.3185,0.4831,1.0000,0.0000,0.6355,0.2879,0.4471,1.0000,0.0000
exp_0718,0.0001,0.0,32,5,0.01,0.1,0.1,0.0001,5,300,50,scaffold,83.4267,,78.7791,,152,True,2025-11-19 17:42:36,0.6468,0.3185,0.4831,1.0000,0.0000,0.6301,0.2879,0.4471,1.0000,0.0000
exp_0717,0.0001,0.1,512,5,1.0,1.0,1.0,0.0001,5,300,50,scaffold,83.5386,,79.4995,,500,False,2025-11-19 17:44:54,0.6659,0.3185,0.4773,0.9767,0.0109,0.6439,0.3182,0.4578,1.0000,0.0426
exp_0722,0.001,0.1,32,5,1.0,1.0,0.1,0.0001,5,300,50,scaffold,83.6506,,69.2872,,66,True,2025-11-19 17:46:55,0.5355,0.3185,0.4831,1.0000,0.0000,0.6366,0.2879,0.4471,1.0000,0.0000
exp_0720,0.0001,0.3,512,7,1.0,0.01,0.1,0.0,5,300,50,scaffold,86.6741,,81.5344,,363,True,2025-11-19 17:47:17,0.6908,0.3926,0.5060,0.9767,0.1196,0.7257,0.3788,0.4810,1.0000,0.1277
exp_0724,0.0001,0.3,32,7,0.1,0.1,1.0,1e-05,5,300,50,scaffold,88.6898,,81.3195,,114,True,2025-11-19 17:50:35,0.6772,0.3185,0.4831,1.0000,0.0000,0.7153,0.2879,0.4471,1.0000,0.0000
exp_0725,1e-05,0.3,512,7,0.01,0.01,0.1,0.0,5,300,50,scaffold,58.5666,,59.9343,,51,True,2025-11-19 17:51:38,0.4233,0.6222,0.4742,0.5349,0.6630,0.4176,0.5152,0.4286,0.6316,0.4681
exp_0726,0.001,0.1,512,5,0.01,1.0,1.0,0.0001,5,300,50,scaffold,84.3225,,78.4757,,124,True,2025-11-19 17:54:03,0.6333,0.3333,0.4828,0.9767,0.0326,0.6561,0.2879,0.4471,1.0000,0.0000
exp_0721,1e-05,0.0,32,5,0.1,0.1,0.1,0.0001,5,300,50,scaffold,81.8589,,78.3241,,420,True,2025-11-19 17:54:27,0.6426,0.3185,0.4831,1.0000,0.0000,0.6268,0.2879,0.4471,1.0000,0.0000
exp_0719,1e-05,0.3,32,3,0.01,0.1,1.0,1e-05,5,300,50,scaffold,76.9317,,82.5329,,500,False,2025-11-19 17:54:27,0.7199,0.3185,0.4831,1.0000,0.0000,0.6479,0.2879,0.4471,1.0000,0.0000
exp_0728,0.001,0.1,512,5,0.1,0.01,1.0,1e-05,5,300,50,scaffold,83.3147,,81.8883,,96,True,2025-11-19 17:56:17,0.7057,0.4593,0.5350,0.9767,0.2174,0.6733,0.4848,0.5143,0.9474,0.2979
exp_0723,1e-05,0.1,32,3,1.0,1.0,1.0,0.0,5,300,50,scaffold,77.8275,,83.4555,,500,False,2025-11-19 18:00:59,0.7433,0.3185,0.4831,1.0000,0.0000,0.6710,0.2879,0.4471,1.0000,0.0000
exp_0727,1e-05,0.1,32,7,0.01,0.1,1.0,1e-05,5,300,50,scaffold,89.1377,,79.5501,,335,True,2025-11-19 18:03:29,0.6611,0.3111,0.4746,0.9767,0.0000,0.7468,0.2879,0.4471,1.0000,0.0000
exp_0731,0.0001,0.0,32,3,1.0,0.01,1.0,0.0001,5,300,50,scaffold,71.3326,,78.5263,,126,True,2025-11-19 18:04:39,0.6336,0.3185,0.4831,1.0000,0.0000,0.4933,0.2879,0.4471,1.0000,0.0000
exp_0730,1e-05,0.0,32,7,0.1,0.01,0.1,0.0001,5,300,50,scaffold,86.3382,,78.7538,,396,True,2025-11-19 18:07:23,0.6560,0.3185,0.4831,1.0000,0.0000,0.6953,0.2879,0.4471,1.0000,0.0000
exp_0729,1e-05,0.1,32,3,0.01,0.01,0.1,1e-05,5,300,50,scaffold,76.0358,,82.4949,,470,True,2025-11-19 18:07:40,0.7191,0.3185,0.4831,1.0000,0.0000,0.6367,0.2879,0.4471,1.0000,0.0000
exp_0734,0.001,0.0,512,7,0.01,0.1,0.1,0.0,5,300,50,scaffold,87.3460,,81.9641,,100,True,2025-11-19 18:09:22,0.6901,0.4889,0.5490,0.9767,0.2609,0.6697,0.4545,0.5135,1.0000,0.2340
exp_0732,1e-05,0.3,512,3,0.01,0.1,0.1,0.0,5,300,50,scaffold,61.3662,,70.2730,,500,False,2025-11-19 18:12:51,0.5206,0.5778,0.5512,0.8140,0.4674,0.3945,0.4242,0.4242,0.7368,0.2979
exp_0736,0.0001,0.0,32,3,0.01,0.01,1.0,1e-05,5,300,50,scaffold,78.4994,,83.4934,,186,True,2025-11-19 18:14:45,0.7213,0.3185,0.4831,1.0000,0.0000,0.6151,0.2879,0.4471,1.0000,0.0000
exp_0733,1e-05,0.0,32,5,0.1,0.1,1.0,1e-05,5,300,50,scaffold,82.6428,,79.7523,,357,True,2025-11-19 18:15:29,0.6522,0.3185,0.4831,1.0000,0.0000,0.6509,0.2879,0.4471,1.0000,0.0000
exp_0739,0.001,0.1,512,7,1.0,0.1,0.1,0.0,5,300,50,scaffold,86.8981,,81.6481,,73,True,2025-11-19 18:16:57,0.6827,0.4593,0.5350,0.9767,0.2174,0.6710,0.3939,0.4872,1.0000,0.1489
exp_0735,1e-05,0.0,512,7,0.1,1.0,0.1,0.0,5,300,50,scaffold,83.3147,,69.5273,,500,False,2025-11-19 18:17:04,0.5327,0.4667,0.5068,0.8605,0.2826,0.6740,0.5000,0.5075,0.8947,0.3404
exp_0737,1e-05,0.0,512,3,0.1,1.0,0.1,0.0001,5,300,50,scaffold,59.0146,,65.8493,,453,True,2025-11-19 18:21:15,0.4536,0.5481,0.5344,0.8140,0.4239,0.3629,0.4394,0.4638,0.8421,0.2766
exp_0741,0.001,0.3,32,3,1.0,0.1,0.1,0.0,5,300,50,scaffold,84.4345,,80.2199,,219,True,2025-11-19 18:23:23,0.6997,0.3185,0.4831,1.0000,0.0000,0.6637,0.2879,0.4471,1.0000,0.0000
exp_0738,0.0001,0.3,512,7,1.0,1.0,0.1,0.0001,5,300,50,scaffold,88.0179,,80.5738,,500,False,2025-11-19 18:23:28,0.6757,0.3556,0.4912,0.9767,0.0652,0.7087,0.3182,0.4578,1.0000,0.0426
exp_0744,0.001,0.3,512,7,0.01,0.01,1.0,0.0,5,300,50,scaffold,89.1377,,82.6972,,160,True,2025-11-19 18:26:23,0.7097,0.4667,0.5385,0.9767,0.2283,0.6834,0.4394,0.5067,1.0000,0.2128
exp_0743,0.0001,0.3,512,7,0.01,1.0,0.1,1e-05,5,300,50,scaffold,84.9944,,81.0920,,300,True,2025-11-19 18:29:03,0.6740,0.3778,0.5000,0.9767,0.0978,0.7027,0.3485,0.4691,1.0000,0.0851
exp_0742,1e-05,0.3,512,5,0.1,0.1,1.0,0.0001,5,300,50,scaffold,55.7671,,45.5511,,500,False,2025-11-19 18:30:20,0.3274,0.3037,0.4405,0.8605,0.0435,0.3374,0.3939,0.4737,0.9474,0.1702
exp_0745,0.0001,0.0,32,5,0.1,0.01,1.0,1e-05,5,300,50,scaffold,82.8667,,81.5470,,146,True,2025-11-19 18:30:37,0.7005,0.3185,0.4773,0.9767,0.0109,0.6672,0.2879,0.4471,1.0000,0.0000
exp_0740,1e-05,0.3,32,7,1.0,0.01,0.1,0.0,5,300,50,scaffold,88.4658,,80.4727,,500,True,2025-11-19 18:31:31,0.6746,0.3185,0.4831,1.0000,0.0000,0.7122,0.2879,0.4471,1.0000,0.0000
