experiment_id,lr,dropout_ratio,batch_size,num_experts,alpha,beta,min_temp,decay,num_layer,emb_dim,gate_dim,split_type,val_metric,val_metric_std,test_metric,test_metric_std,num_epochs_trained,early_stopped,timestamp,test_auprc,test_accuracy,test_f1,test_sensitivity,test_specificity,val_auprc,val_accuracy,val_f1,val_sensitivity,val_specificity
exp_1001,0.0001,0.3,512,3,0.01,1.0,1.0,0.0001,5,300,50,scaffold,80.3415,,80.8539,,117,True,2025-11-20 02:58:30,0.7492,0.4386,0.6097,1.0000,0.0000,0.7214,0.4464,0.6173,1.0000,0.0000
exp_1004,0.001,0.3,512,5,0.01,1.0,0.1,0.0,5,300,50,scaffold,85.3364,,86.9489,,216,True,2025-11-20 03:06:03,0.8241,0.4499,0.6144,0.9991,0.0209,0.8068,0.4627,0.6243,1.0000,0.0293
exp_1003,0.0001,0.3,512,7,0.1,0.1,1.0,1e-05,5,300,50,scaffold,81.4436,,83.6130,,296,True,2025-11-20 03:06:36,0.7925,0.4495,0.6142,0.9991,0.0202,0.7697,0.4635,0.6242,0.9982,0.0323
exp_1006,0.001,0.3,512,7,0.01,0.01,1.0,0.0001,5,300,50,scaffold,77.5929,,62.3085,,58,True,2025-11-20 03:08:55,0.5565,0.4386,0.6097,1.0000,0.0000,0.5350,0.4464,0.6173,1.0000,0.0000
exp_1007,0.0001,0.1,512,3,0.1,0.1,1.0,0.0001,5,300,50,scaffold,79.4396,,81.6569,,107,True,2025-11-20 03:11:22,0.7561,0.4390,0.6099,1.0000,0.0007,0.7192,0.4472,0.6176,1.0000,0.0015
exp_1005,0.0001,0.1,32,7,0.01,0.01,1.0,0.0,5,300,50,scaffold,82.5600,,79.4170,,79,True,2025-11-20 03:14:35,0.6796,0.4386,0.6097,1.0000,0.0000,0.6462,0.4464,0.6173,1.0000,0.0000
exp_1002,1e-05,0.0,512,3,0.1,0.01,1.0,1e-05,5,300,50,scaffold,82.9259,,85.8062,,500,False,2025-11-20 03:15:06,0.8180,0.4645,0.6205,0.9982,0.0477,0.7846,0.4813,0.6325,1.0000,0.0630
exp_1009,0.001,0.0,32,5,1.0,1.0,1.0,0.0,5,300,50,scaffold,81.6834,,59.1676,,51,True,2025-11-20 03:20:46,0.4845,0.4386,0.6097,1.0000,0.0000,0.5161,0.4464,0.6173,1.0000,0.0000
exp_1008,0.0001,0.0,32,7,0.1,1.0,1.0,1e-05,5,300,50,scaffold,81.6017,,76.5744,,63,True,2025-11-20 03:20:53,0.7002,0.4386,0.6097,1.0000,0.0000,0.6587,0.4481,0.6180,1.0000,0.0029
exp_1011,0.001,0.0,32,5,0.1,0.1,0.1,0.0,5,300,50,scaffold,84.1392,,69.5247,,52,True,2025-11-20 03:24:57,0.5787,0.4386,0.6097,1.0000,0.0000,0.5866,0.4464,0.6173,1.0000,0.0000
