iter	Logloss
0	0.6849066822
1	0.6766264522
2	0.6697260089
3	0.6630478967
4	0.656704141
5	0.6518046358
6	0.6462016483
7	0.6408253958
8	0.6354895747
9	0.6304849645
10	0.6245204426
11	0.6201081282
12	0.6154945792
13	0.6110617135
14	0.606771784
15	0.6029328918
16	0.5998244503
17	0.5963229343
18	0.5926044138
19	0.589205109
20	0.5862645167
21	0.583627538
22	0.5810325425
23	0.5782101829
24	0.5751800458
25	0.5732536375
26	0.5705107148
27	0.5680384398
28	0.565068908
29	0.5626112285
30	0.5607179538
31	0.5583565297
32	0.5563312656
33	0.5539781878
34	0.5521991614
35	0.550602454
36	0.5484268301
37	0.5466759463
38	0.5444195853
39	0.5424974969
40	0.5407075238
41	0.5394408949
42	0.5376228211
43	0.5357703553
44	0.5344385915
45	0.5329912373
46	0.5312256321
47	0.5293420458
48	0.5281570348
49	0.5264888594
50	0.5253493547
51	0.5239063624
52	0.5225513631
53	0.5214516607
54	0.5202541092
55	0.5186624348
56	0.517555225
57	0.516222161
58	0.5151124766
59	0.5133010715
60	0.5126170919
61	0.5115502716
62	0.5105146976
63	0.5090798839
64	0.5082855985
65	0.5069998443
66	0.5059089497
67	0.505048397
68	0.5045830576
69	0.5033157577
70	0.5024078112
71	0.5019076606
72	0.5013056344
73	0.5007148484
74	0.499994296
75	0.4987373555
76	0.4978905176
77	0.4970508098
78	0.495707554
79	0.494624796
80	0.4938337401
81	0.4930370641
82	0.492207548
83	0.4916494344
84	0.4908599722
85	0.4900914389
86	0.4896122169
87	0.4887180273
88	0.4880748147
89	0.4875040767
90	0.4867373887
91	0.4857027375
92	0.4848702855
93	0.4842703563
94	0.4835329854
95	0.4831298031
96	0.4821863324
97	0.4818534858
98	0.481166738
99	0.4804232017
100	0.47976359
101	0.4792657881
102	0.4786876265
103	0.477780435
104	0.4774378161
105	0.4768994568
106	0.4763184013
107	0.4757247214
108	0.4751286509
109	0.4747435454
110	0.4737895893
111	0.4733641362
112	0.4727663041
113	0.4723504975
114	0.4714316463
115	0.4708781882
116	0.4704038315
117	0.4693690963
118	0.4689704438
119	0.4686224144
120	0.4682739656
121	0.4677264632
122	0.4671399133
123	0.4667962039
124	0.4661168798
125	0.465651205
126	0.4650222105
127	0.4645825392
128	0.463945534
129	0.4633441788
130	0.4630395168
131	0.4626748787
132	0.4620158122
133	0.4616563748
134	0.4611076561
135	0.4608672482
136	0.4604255638
137	0.4600185649
138	0.4593303912
139	0.4590317687
140	0.4587390181
141	0.4581470159
142	0.4576386447
143	0.4571823647
144	0.4567148864
145	0.4563283129
146	0.4558125601
147	0.4554238056
148	0.4551366751
149	0.4547902395
150	0.4541470269
151	0.4536899081
152	0.453294527
153	0.4531091042
154	0.4527149394
155	0.4520884194
156	0.4516887603
157	0.451439377
158	0.4510423182
159	0.4507563201
160	0.4499430353
161	0.4493990978
162	0.4488537344
163	0.4485545248
164	0.4479768245
165	0.4475816531
166	0.4472837856
167	0.446830064
168	0.4462826874
169	0.4458525788
170	0.4455675873
171	0.4453273472
172	0.4449439194
173	0.4445205214
174	0.4441917012
175	0.4438024854
176	0.4435284406
177	0.4432684042
178	0.4427276963
179	0.4420398161
180	0.4417235783
181	0.4414189163
182	0.4412390718
183	0.4409194786
184	0.4406790708
185	0.4401582011
186	0.4397745635
187	0.4394425977
188	0.4391565996
189	0.4386585041
190	0.4379683172
191	0.4375728102
192	0.4373531633
193	0.436939999
194	0.4366037971
195	0.4363424186
196	0.4355869709
197	0.4353713924
198	0.4351176472
199	0.434971188
200	0.4347799773
201	0.434559911
202	0.4344178137
203	0.434116507
204	0.4335695079
205	0.4333038933
206	0.4331130182
207	0.4328532334
208	0.4322471389
209	0.4321062999
210	0.431723585
211	0.4313403249
212	0.4311511275
213	0.4309393656
