iter	Passed	Remaining
0	6	6281
1	8	4470
2	12	4047
3	17	4294
4	21	4272
5	26	4384
6	29	4232
7	32	4000
8	35	3957
9	39	3866
10	42	3843
11	45	3763
12	49	3728
13	52	3727
14	56	3709
15	59	3672
16	64	3702
17	67	3675
18	70	3639
19	73	3577
20	75	3525
21	78	3478
22	80	3439
23	83	3401
24	86	3384
25	90	3393
26	94	3393
27	97	3394
28	101	3401
29	105	3405
30	109	3416
31	113	3428
32	117	3441
33	121	3450
34	127	3502
35	130	3496
36	133	3484
37	137	3473
38	141	3476
39	146	3510
40	149	3500
41	155	3551
42	160	3568
43	164	3573
44	168	3584
45	174	3609
46	177	3598
47	181	3606
48	185	3601
49	190	3612
50	195	3629
51	201	3666
52	205	3676
53	209	3664
54	212	3651
55	215	3638
56	219	3629
57	223	3622
58	226	3609
59	229	3601
60	233	3588
61	236	3576
62	241	3589
63	245	3593
64	248	3581
65	252	3569
66	255	3556
67	259	3550
68	262	3540
69	265	3530
70	269	3519
71	272	3510
72	275	3500
73	278	3490
74	282	3480
75	285	3472
76	289	3465
77	292	3457
78	295	3446
79	299	3439
80	302	3432
81	306	3425
82	309	3421
83	312	3412
84	316	3410
85	320	3404
86	323	3398
87	327	3391
88	330	3385
89	334	3379
90	337	3371
91	340	3362
92	343	3354
93	347	3345
94	350	3335
95	353	3325
96	356	3315
97	358	3303
98	361	3292
99	365	3293
100	368	3283
101	371	3273
102	374	3264
103	377	3255
104	380	3245
105	383	3234
106	387	3234
107	393	3251
108	401	3278
109	408	3301
110	413	3312
111	419	3322
112	422	3315
113	428	3330
114	434	3340
115	437	3335
116	441	3328
117	444	3320
118	447	3313
119	453	3323
120	457	3321
121	460	3313
122	463	3303
123	466	3298
124	470	3290
125	473	3282
126	476	3273
127	479	3266
128	482	3260
129	486	3257
130	490	3251
131	494	3249
132	497	3241
133	501	3238
134	504	3230
135	508	3229
136	513	3233
137	517	3235
138	521	3231
139	524	3221
140	529	3228
141	534	3227
142	538	3227
143	543	3232
144	546	3224
145	549	3216
146	553	3212
147	556	3206
148	560	3201
149	563	3195
150	567	3188
151	570	3181
152	573	3175
153	576	3168
154	579	3161
155	583	3154
156	586	3149
157	589	3142
158	593	3136
159	596	3130
160	599	3124
161	602	3118
162	606	3112
163	609	3107
164	612	3100
165	616	3095
166	619	3089
167	622	3084
168	625	3077
169	629	3072
170	632	3066
171	639	3076
172	642	3070
173	648	3078
174	651	3070
175	656	3073
176	660	3068
177	665	3072
178	669	3070
179	673	3069
180	676	3063
181	679	3055
182	683	3049
183	687	3046
184	692	3048
185	695	3043
186	698	3037
187	701	3031
188	705	3025
189	708	3019
190	711	3012
191	714	3006
192	718	3003
193	721	2998
194	725	2993
195	728	2987
196	731	2982
197	735	2977
198	739	2978
199	742	2971
200	745	2964
201	748	2956
202	752	2953
203	755	2948
204	759	2943
205	762	2939
206	765	2933
207	769	2931
208	772	2925
209	775	2918
210	778	2912
211	782	2906
212	785	2900
213	788	2894
214	791	2888
215	794	2882
216	797	2876
217	800	2870
218	803	2864
219	806	2859
220	809	2853
221	812	2848
222	817	2847
223	820	2842
224	823	2837
225	826	2830
226	829	2823
227	832	2820
228	836	2815
229	839	2809
230	843	2806
231	847	2804
232	850	2800
233	854	2796
234	857	2790
235	859	2784
236	864	2781
237	867	2776
238	870	2771
239	873	2767
240	878	2768
241	884	2770
242	889	2769
243	894	2771
244	898	2768
245	903	2767
246	908	2771
247	912	2767
248	916	2765
249	919	2758
250	922	2752
251	927	2752
252	930	2748
253	934	2745
254	938	2742
255	943	2741
256	946	2736
257	949	2731
258	952	2725
259	956	2721
260	959	2715
261	962	2709
262	965	2705
263	968	2700
264	972	2698
265	976	2693
266	978	2687
267	982	2682
268	985	2677
269	989	2675
270	992	2669
271	998	2673
272	1002	2670
273	1006	2666
274	1009	2660
275	1012	2655
276	1015	2650
277	1018	2644
278	1022	2641
279	1025	2635
280	1027	2630
281	1030	2624
282	1033	2619
283	1038	2617
284	1041	2611
285	1044	2606
286	1047	2601
287	1050	2596
288	1054	2593
289	1057	2588
290	1060	2583
291	1063	2578
292	1066	2574
293	1069	2569
294	1073	2564
295	1076	2560
296	1079	2555
297	1082	2551
298	1086	2546
299	1089	2541
300	1092	2536
301	1095	2531
302	1099	2529
303	1102	2524
304	1105	2519
305	1109	2515
306	1112	2511
307	1115	2506
308	1119	2504
309	1123	2500
310	1128	2499
311	1134	2501
312	1137	2497
313	1141	2494
314	1147	2495
315	1152	2493
316	1156	2490
317	1160	2488
318	1163	2483
319	1166	2478
320	1169	2473
321	1174	2472
322	1177	2468
323	1181	2464
324	1184	2460
325	1187	2455
326	1192	2454
327	1195	2449
328	1198	2444
329	1201	2439
330	1204	2434
331	1207	2429
332	1211	2425
333	1214	2421
334	1217	2416
335	1220	2411
336	1223	2406
337	1226	2402
338	1229	2397
339	1232	2393
340	1236	2388
341	1239	2384
342	1242	2380
343	1246	2376
344	1248	2371
345	1251	2366
346	1254	2361
347	1257	2356
348	1260	2351
349	1263	2346
350	1266	2341
351	1269	2336
352	1272	2332
353	1275	2327
354	1278	2322
355	1281	2317
356	1284	2313
357	1287	2308
358	1290	2303
