ID	X	Y
"CHEMBL4446917"	"CCOc1cc(C)cc(C(=O)NNS(=O)(=O)c2ccccc2F)c1"	1
"CHEMBL574881"	"COc1ccc2nc(NC(=O)C(CC3CCCC3)c3ccc(S(=O)(=O)NCc4ccncc4)cc3)sc2n1"	1
"CHEMBL518825"	"Nc1nccc(-c2ccc3[nH]c(C4COc5ccc(F)cc5C4)nc3c2)n1"	0
"CHEMBL1091105"	"COc1cc(OC2CCC(C)(C)CC2)c(F)cc1CNC(=O)[C@@H]1CCCN1"	0
"CHEMBL1684056"	"CNC(C)C1(c2ccc3ccccc3c2)CCCCC1"	0
"CHEMBL4533170"	"O=C(Oc1cccc(N2CCCCC2)c1)N1CCC(c2ccc(F)cc2)CC1"	1
"CHEMBL3401693"	"COc1ccc(-c2ccc(CNCCNc3ccnc4cc(Cl)ccc34)s2)cc1"	1
"CHEMBL379720"	"CC(=O)O[C@H]1C[C@H]2[C@@H]([C@H](OC(C)=O)C[C@@H]3CC4(CC[C@@]32C)OOC2(CCC(C(=O)NCCN(C)C)CC2)OO4)[C@@H]2CC[C@H]([C@H](C)CCC(=O)NCCN(C)C)[C@@]12C"	0
"CHEMBL4164349"	"C=C(C)[C@@H]1CC[C@]2(NC(=O)OCCN3CCS(=O)(=O)CC3)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC=C(c6ccc(C(=O)O)cc6)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12"	0
"CHEMBL4203795"	"CC#C[C@@H](Cc1nn[nH]n1)c1ccc(OCc2cc(F)c3scc(-c4ccc(OC)cc4C)c3c2)cc1"	1
"CHEMBL3265032"	"c1cn2cc(-c3ccc4c[nH]nc4c3)nc(Nc3ccc(N4CCOCC4)cc3)c2n1"	0
"CHEMBL245748"	"COc1cccc(CN(C)C(=O)N2CC(N)C(c3ccc(Cl)cc3Cl)C2)c1"	0
"CHEMBL1642916"	"CN[C@@H]1CCc2ccccc2[C@H]1c1ccc(Cl)c(Cl)c1"	0
"CHEMBL2018915"	"COc1ccc2[nH]c(SCC3CCCCC3)nc2c1"	1
"CHEMBL4476164"	"O=c1c(-c2ccccc2)c2n(c(=O)n1CCCCN1CCCC(c3c[nH]c4ccccc34)C1)CCCC2"	1
"CHEMBL475612"	"O=C(Nc1ccc(-c2cn[nH]c2)cc1)C1COc2ccc(F)cc2C1"	0
"CHEMBL4278635"	"COc1cc2c(N3CCN(C(=O)c4ccccc4)CC3)nc(N(C)C)nc2cc1OCCCN1CCCC1"	0
"CHEMBL4474978"	"Cn1ncc2cc(-c3ccc(S(=O)(=O)CC(C)(C)C(=O)N[C@H](C#N)CC(N)=O)cc3)ccc21"	0
"CHEMBL4284595"	"Nc1cc(-c2ccco2)c2oc(-c3ccco3)nc2c1"	0
"CHEMBL3354541"	"CC(C)(C)c1cc(NC(=O)[C@@H]2CCCCN2C(=O)C2CCOCC2)no1"	0
"CHEMBL1923469"	"CC(=O)N1CC2CC(C1)CN(C(=O)CN1CCC[C@H](NS(=O)(=O)c3ccc4cc(Cl)ccc4c3)C1=O)C2"	1
"CHEMBL569436"	"CCCC[C@]1(C)CN(C2CCC2)C(=O)C(C2=NS(=O)(=O)c3cc(NS(C)(=O)=O)ccc3N2)=C1O"	0
"CHEMBL1630789"	"Cc1cc(NC(=O)N2CC[C@@H](C)[C@@H](N(C)c3ncnc4[nH]ccc34)C2)sn1"	0
