ID	X	Y
"CHEMBL2402900"	"CC(C)c1nc2c(C(=O)NCC3CCN(CC(O)CN(C)S(C)(=O)=O)CC3)cccc2[nH]1"	0
"CHEMBL245552"	"Cc1ccc(S(=O)(=O)N2CC(N)C(c3ccc(Cl)cc3Cl)C2)cc1"	0
"CHEMBL2402897"	"CC(C)c1nc2c(C(=O)NCC3CCN(CCN4CCN(S(C)(=O)=O)CC4)CC3)cccc2[nH]1"	0
"CHEMBL4635154"	"C[C@H]1C[C@H](C(=O)O)CC[C@H]1C(=O)N1CC[C@@]2(S(=O)(=O)c3cccc(F)c3)c3ccc(C(F)(C(F)(F)F)C(F)(F)F)cc3CC[C@@H]12"	0
"CHEMBL1088240"	"COc1cc(Nc2c(C#N)cnc3cc(C=CCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl"	1
"CHEMBL593472"	"Cc1cnc2c(C(F)(F)F)cccc2c1-c1cccc(Oc2cccc(S(=O)(=O)CCCO)c2)c1"	0
"CHEMBL4173272"	"N#Cc1ccc(F)cc1Cn1c(N2CCC[C@@H](N)C2)nc2c(-c3ccc(S(N)(=O)=O)cc3)cnc-2c1O"	0
"CHEMBL45"	"COc1ccc2[nH]cc(CCNC(C)=O)c2c1"	0
"CHEMBL569962"	"CNc1nc(NCc2ccc(NC(=O)c3ccc(Cl)cc3)cc2)c2cccc(C)c2n1"	1
"CHEMBL1098483"	"COc1cc(N2CCN(C3CCN(c4cccc5cc(F)cnc45)CC3)CC2)c2ncccc2c1"	1
"CHEMBL4208941"	"C[C@H](O)[C@@H](CCc1cccc(-c2cnccn2)c1)n1cnc2c(N)ncnc21"	0
"CHEMBL564510"	"CC(C)[C@H](NS(=O)(=O)c1ccc2c(c1)sc1cc(NC(=O)Nc3ccccc3)ccc12)C(=O)O"	0
"CHEMBL1650408"	"N#Cc1ccccc1Cn1c(N2CCC[C@@H](N)C2)ncc(I)c1=O"	0
"CHEMBL3769827"	"CCN1CCN([C@H](c2ccccc2)c2ccc(Cl)cc2)CC1"	0
"CHEMBL611929"	"O=C(N[C@@H]1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5)c1ccc(C(F)(F)F)cc1.O=C(O)C(=O)O"	0
"CHEMBL2205592"	"O=C(Nc1sc2c(c1C(=O)N1CC(F)(F)C1)CCOC2)c1ccccc1OC(F)(F)F"	1
"CHEMBL4447509"	"O=C(Nc1ccc(O)c2ncccc12)c1ccc(OC(F)F)c(OCC2CC2)c1"	0
