experiment_id,lr,dropout_ratio,batch_size,num_experts,alpha,beta,min_temp,decay,num_layer,emb_dim,gate_dim,split_type,val_metric,val_metric_std,test_metric,test_metric_std,num_epochs_trained,early_stopped,timestamp,test_auprc,test_accuracy,test_f1,test_sensitivity,test_specificity,val_auprc,val_accuracy,val_f1,val_sensitivity,val_specificity
exp_0201,0.0001,0.1,512,7,0.01,0.01,1.0,1e-05,5,300,50,scaffold,66.6667,,57.6987,,76,True,2025-11-18 21:04:25,0.8215,0.7422,0.8479,0.9485,0.0968,0.8705,0.7344,0.8381,0.8627,0.2308
exp_0202,1e-05,0.3,512,5,0.01,0.01,1.0,0.0,5,300,50,scaffold,67.5716,,52.0785,,51,True,2025-11-18 21:05:16,0.7848,0.5859,0.6901,0.6082,0.5161,0.8711,0.7031,0.8081,0.7843,0.3846
exp_0203,0.001,0.1,32,5,1.0,1.0,0.1,0.0,5,300,50,scaffold,67.7225,,66.9771,,51,True,2025-11-18 21:05:46,0.8715,0.7578,0.8622,1.0000,0.0000,0.8479,0.7969,0.8870,1.0000,0.0000
exp_0204,0.001,0.3,512,5,0.01,1.0,1.0,1e-05,5,300,50,scaffold,68.6275,,63.6847,,51,True,2025-11-18 21:06:10,0.8462,0.7500,0.8571,0.9897,0.0000,0.8620,0.7656,0.8624,0.9216,0.1538
exp_0205,1e-05,0.3,512,3,0.01,1.0,0.1,0.0001,5,300,50,scaffold,58.8235,,65.7133,,52,True,2025-11-18 21:06:41,0.8549,0.3984,0.3636,0.2268,0.9355,0.8275,0.3750,0.3939,0.2549,0.8462
exp_0206,0.0001,0.1,32,7,0.1,1.0,1.0,0.0001,5,300,50,scaffold,67.7225,,62.8201,,83,True,2025-11-18 21:08:15,0.8471,0.7578,0.8622,1.0000,0.0000,0.8631,0.7969,0.8870,1.0000,0.0000
exp_0209,0.001,0.1,512,5,0.01,1.0,1.0,0.0,5,300,50,scaffold,71.9457,,65.7133,,51,True,2025-11-18 21:09:11,0.8476,0.7266,0.8416,0.9588,0.0000,0.8590,0.7812,0.8704,0.9216,0.2308
exp_0208,0.001,0.1,512,7,1.0,1.0,1.0,0.0,5,300,50,scaffold,69.3816,,65.9129,,65,True,2025-11-18 21:09:17,0.8623,0.7344,0.8440,0.9485,0.0645,0.8789,0.7812,0.8654,0.8824,0.3846
exp_0210,0.0001,0.0,512,5,0.01,1.0,1.0,1e-05,5,300,50,scaffold,72.8507,,58.1643,,51,True,2025-11-18 21:09:52,0.8027,0.7422,0.8390,0.8866,0.2903,0.8917,0.7812,0.8654,0.8824,0.3846
exp_0207,0.0001,0.1,512,3,0.01,1.0,0.1,1e-05,5,300,50,scaffold,61.5385,,68.5068,,225,True,2025-11-18 21:10:21,0.8734,0.7500,0.8476,0.9175,0.2258,0.8083,0.7656,0.8544,0.8627,0.3846
