experiment_id,lr,dropout_ratio,batch_size,num_experts,alpha,beta,min_temp,decay,num_layer,emb_dim,gate_dim,split_type,val_metric,val_metric_std,test_metric,test_metric_std,num_epochs_trained,early_stopped,timestamp,test_rmse,test_r2,test_pearson,test_spearman,val_rmse,val_r2,val_pearson,val_spearman
exp_1101,0.0001,0.1,512,3,1.0,1.0,1.0,0.0,5,300,50,scaffold,0.4243,,0.5026,,500,False,2025-11-20 08:15:53,0.6374,0.1376,0.6835,0.6985,0.6127,0.3639,0.6730,0.7364
exp_1103,1e-05,0.3,512,7,0.01,0.01,0.1,1e-05,5,300,50,scaffold,4.9246,,5.0037,,500,False,2025-11-20 08:17:24,5.0620,-53.3901,-0.2511,-0.3088,4.9865,-41.1355,0.0712,0.0764
exp_1102,1e-05,0.3,32,5,0.01,0.01,1.0,0.0,5,300,50,scaffold,0.6665,,0.6412,,500,False,2025-11-20 08:23:29,0.7787,-0.2872,0.3011,0.2362,0.8339,-0.1784,0.3212,0.2884
exp_1107,0.001,0.1,512,5,0.01,0.1,0.1,0.0001,5,300,50,scaffold,0.3934,,0.6331,,114,True,2025-11-20 08:26:01,0.8261,-0.4484,0.7000,0.7322,0.5601,0.4683,0.7487,0.7766
exp_1105,0.0001,0.3,512,7,0.01,0.01,0.1,0.0,5,300,50,scaffold,0.4482,,0.3931,,500,False,2025-11-20 08:28:10,0.5171,0.4324,0.6864,0.7133,0.6074,0.3748,0.6807,0.7449
exp_1109,0.001,0.0,32,5,1.0,0.1,0.1,0.0001,5,300,50,scaffold,0.3595,,0.7166,,63,True,2025-11-20 08:30:35,0.9388,-0.8710,0.6951,0.7361,0.5838,0.4225,0.7533,0.7841
exp_1104,1e-05,0.3,32,7,0.1,1.0,0.1,1e-05,5,300,50,scaffold,0.7337,,0.7979,,500,False,2025-11-20 08:33:06,0.9647,-0.9754,-0.0006,-0.0726,0.9576,-0.5540,0.2371,0.2182
exp_1111,0.001,0.0,32,7,0.1,1.0,0.1,1e-05,5,300,50,scaffold,0.3495,,0.6750,,60,True,2025-11-20 08:35:18,0.9082,-0.7507,0.6770,0.7213,0.5379,0.5097,0.7650,0.7942
exp_1110,0.0001,0.1,32,5,0.01,0.1,0.1,0.0001,5,300,50,scaffold,0.3803,,0.5812,,138,True,2025-11-20 08:35:31,0.7972,-0.3489,0.7119,0.7550,0.5398,0.5062,0.7597,0.7952
exp_1108,1e-05,0.0,512,7,1.0,0.01,0.1,0.0,5,300,50,scaffold,4.9019,,4.9824,,500,False,2025-11-20 08:36:36,5.0433,-52.9884,-0.2543,-0.2996,4.9659,-40.7885,0.0559,0.0690
exp_1112,0.001,0.3,512,7,0.1,0.1,1.0,0.0,5,300,50,scaffold,0.3619,,0.3867,,116,True,2025-11-20 08:37:54,0.4850,0.5007,0.7657,0.7689,0.5190,0.5436,0.7583,0.7909
exp_1106,1e-05,0.3,32,7,1.0,1.0,0.1,0.0001,5,300,50,scaffold,0.7233,,0.8013,,500,False,2025-11-20 08:39:16,0.9713,-1.0025,-0.0229,-0.1205,0.9392,-0.4948,0.2438,0.2075
exp_1113,0.0001,0.0,32,7,1.0,0.01,1.0,0.0,5,300,50,scaffold,0.3816,,0.5106,,122,True,2025-11-20 08:39:55,0.6760,0.0301,0.6931,0.7272,0.5466,0.4937,0.7531,0.7786
exp_1115,0.001,0.0,32,3,0.1,1.0,0.1,1e-05,5,300,50,scaffold,0.4126,,0.7884,,65,True,2025-11-20 08:40:19,1.0294,-1.2494,0.6223,0.6501,0.5916,0.4070,0.7062,0.7156
exp_1117,0.0001,0.0,32,3,0.1,0.1,0.1,1e-05,5,300,50,scaffold,0.4015,,0.6330,,173,True,2025-11-20 08:46:17,0.7886,-0.3202,0.6653,0.6805,0.5807,0.4286,0.7094,0.7140
exp_1114,0.0001,0.1,512,5,0.1,0.1,1.0,0.0,5,300,50,scaffold,0.5285,,0.8236,,500,False,2025-11-20 08:47:11,1.0965,-1.5521,0.5385,0.6229,0.7112,0.1428,0.5958,0.6537
exp_1120,1e-05,0.0,512,5,1.0,1.0,1.0,0.0001,5,300,50,scaffold,5.2489,,5.2515,,51,True,2025-11-20 08:48:25,5.2943,-58.4979,0.2036,0.2198,5.3162,-46.8910,0.1652,0.1838
exp_1119,0.001,0.1,32,7,1.0,0.1,0.1,0.0001,5,300,50,scaffold,0.3666,,0.5906,,60,True,2025-11-20 08:48:37,0.7880,-0.3182,0.7247,0.7580,0.5475,0.4921,0.7733,0.8200
exp_1116,0.0001,0.3,512,7,1.0,0.1,0.1,1e-05,5,300,50,scaffold,0.4590,,0.4162,,500,False,2025-11-20 08:50:06,0.5379,0.3858,0.6647,0.7198,0.6222,0.3441,0.6714,0.7319
exp_1118,0.0001,0.3,512,5,0.1,1.0,1.0,0.0001,5,300,50,scaffold,0.4089,,0.5368,,500,False,2025-11-20 08:51:11,0.6649,0.0617,0.6217,0.6485,0.5400,0.5058,0.7210,0.7713
exp_1124,0.001,0.0,32,7,0.1,0.1,1.0,1e-05,5,300,50,scaffold,0.3515,,0.6206,,60,True,2025-11-20 08:53:27,0.8306,-0.4643,0.7031,0.7426,0.5268,0.5296,0.7728,0.7930
exp_1123,0.001,0.0,512,3,0.1,0.1,0.1,0.0001,5,300,50,scaffold,0.3984,,0.7555,,170,True,2025-11-20 08:53:56,0.9791,-1.0349,0.5799,0.5932,0.5574,0.4735,0.7321,0.7394
