experiment_id,lr,dropout_ratio,batch_size,num_experts,alpha,beta,min_temp,decay,num_layer,emb_dim,gate_dim,split_type,val_metric,val_metric_std,test_metric,test_metric_std,num_epochs_trained,early_stopped,timestamp,test_auprc,test_accuracy,test_f1,test_sensitivity,test_specificity,val_auprc,val_accuracy,val_f1,val_sensitivity,val_specificity
exp_0101,1e-05,0.0,32,7,0.1,0.01,1.0,1e-05,5,300,50,scaffold,75.3743,,80.4878,,90,True,2025-11-18 18:59:44,0.9369,0.8621,0.9207,0.9909,0.3205,0.9074,0.8719,0.9270,0.9880,0.3333
exp_0102,0.0001,0.1,32,7,1.0,1.0,0.1,1e-05,5,300,50,scaffold,74.4927,,84.3496,,59,True,2025-11-18 19:02:35,0.9543,0.8103,0.8950,1.0000,0.0128,0.8788,0.8374,0.9101,1.0000,0.0833
exp_0104,0.0001,0.0,32,7,0.01,1.0,1.0,0.0001,5,300,50,scaffold,74.3014,,78.6664,,55,True,2025-11-18 19:05:08,0.9335,0.8103,0.8950,1.0000,0.0128,0.8840,0.8276,0.9051,1.0000,0.0278
exp_0103,0.0001,0.1,512,3,0.1,0.01,1.0,1e-05,5,300,50,scaffold,75.0915,,80.8806,,383,True,2025-11-18 19:06:59,0.9355,0.8251,0.9021,0.9970,0.1026,0.9002,0.8473,0.9146,0.9940,0.1667
exp_0107,0.001,0.3,32,5,0.01,0.01,0.1,0.0001,5,300,50,scaffold,73.9188,,54.7217,,51,True,2025-11-18 19:09:26,0.8431,0.8079,0.8937,1.0000,0.0000,0.8706,0.8227,0.9027,1.0000,0.0000
exp_0108,0.0001,0.1,32,7,1.0,0.1,1.0,0.0001,5,300,50,scaffold,74.1101,,81.6585,,59,True,2025-11-18 19:10:00,0.9428,0.8079,0.8937,1.0000,0.0000,0.8824,0.8227,0.9027,1.0000,0.0000
exp_0110,0.001,0.1,512,5,1.0,0.01,0.1,1e-05,5,300,50,scaffold,76.4138,,81.4024,,63,True,2025-11-18 19:11:20,0.9425,0.8202,0.8996,0.9970,0.0769,0.8763,0.8424,0.9126,1.0000,0.1111
exp_0105,1e-05,0.1,32,7,0.01,0.01,0.1,0.0001,5,300,50,scaffold,74.1018,,80.4174,,142,True,2025-11-18 19:11:45,0.9364,0.8547,0.9173,0.9970,0.2564,0.8890,0.8571,0.9192,0.9880,0.2500
exp_0106,1e-05,0.3,512,5,0.01,0.01,0.1,0.0,5,300,50,scaffold,71.5569,,80.0989,,500,False,2025-11-18 19:14:58,0.9287,0.8768,0.9277,0.9787,0.4487,0.8965,0.8768,0.9292,0.9820,0.3889
exp_0111,0.001,0.0,32,5,1.0,0.1,1.0,0.0001,5,300,50,scaffold,73.9854,,68.7070,,106,True,2025-11-18 19:16:09,0.8731,0.8079,0.8937,1.0000,0.0000,0.8261,0.8227,0.9027,1.0000,0.0000
exp_0113,0.001,0.1,512,3,1.0,0.01,1.0,1e-05,5,300,50,scaffold,72.8377,,80.7262,,59,True,2025-11-18 19:16:12,0.9398,0.8153,0.8974,1.0000,0.0385,0.8641,0.8374,0.9096,0.9940,0.1111
exp_0109,1e-05,0.3,512,5,0.01,0.1,0.1,0.0,5,300,50,scaffold,71.4155,,80.1263,,500,False,2025-11-18 19:19:15,0.9289,0.8719,0.9246,0.9726,0.4487,0.8956,0.8768,0.9292,0.9820,0.3889
exp_0112,0.0001,0.1,512,3,0.01,0.01,0.1,0.0,5,300,50,scaffold,72.8543,,82.0083,,384,True,2025-11-18 19:19:24,0.9367,0.8251,0.9015,0.9909,0.1282,0.8820,0.8522,0.9167,0.9880,0.2222
exp_0114,0.0001,0.3,512,5,1.0,0.1,0.1,0.0001,5,300,50,scaffold,74.3097,,81.5432,,217,True,2025-11-18 19:20:32,0.9388,0.8448,0.9121,0.9970,0.2051,0.8930,0.8522,0.9167,0.9880,0.2222
exp_0116,0.0001,0.0,32,7,0.01,0.01,1.0,0.0001,5,300,50,scaffold,74.3513,,79.5536,,55,True,2025-11-18 19:21:52,0.9384,0.8079,0.8937,1.0000,0.0000,0.8880,0.8227,0.9027,1.0000,0.0000
exp_0118,0.0001,0.0,32,3,1.0,0.01,0.1,1e-05,5,300,50,scaffold,75.2329,,81.3125,,64,True,2025-11-18 19:23:28,0.9380,0.8079,0.8937,1.0000,0.0000,0.8851,0.8227,0.9027,1.0000,0.0000
exp_0115,1e-05,0.0,512,5,1.0,0.1,1.0,0.0,5,300,50,scaffold,75.5905,,80.9178,,500,False,2025-11-18 19:25:41,0.9354,0.8719,0.9246,0.9726,0.4487,0.9120,0.8768,0.9288,0.9760,0.4167
exp_0119,0.001,0.3,32,3,0.1,1.0,0.1,0.0001,5,300,50,scaffold,78.6344,,51.2508,,95,True,2025-11-18 19:26:14,0.8176,0.8079,0.8937,1.0000,0.0000,0.9025,0.8227,0.9027,1.0000,0.0000
exp_0117,1e-05,0.0,512,5,0.1,1.0,0.1,0.0001,5,300,50,scaffold,69.0452,,78.4084,,500,False,2025-11-18 19:28:50,0.9258,0.8498,0.9122,0.9665,0.3590,0.8781,0.8670,0.9244,0.9880,0.3056
exp_0121,0.0001,0.0,32,5,1.0,1.0,0.1,1e-05,5,300,50,scaffold,75.0582,,82.8741,,67,True,2025-11-18 19:28:53,0.9462,0.8079,0.8937,1.0000,0.0000,0.9055,0.8227,0.9027,1.0000,0.0000
exp_0123,0.0001,0.1,512,7,0.1,0.1,0.1,1e-05,5,300,50,scaffold,73.0955,,81.8168,,105,True,2025-11-18 19:30:54,0.9415,0.8719,0.9255,0.9848,0.3974,0.8817,0.8916,0.9375,0.9880,0.4444
exp_0124,0.001,0.3,32,7,0.01,1.0,0.1,1e-05,5,300,50,scaffold,74.7089,,80.1302,,51,True,2025-11-18 19:31:13,0.9252,0.8079,0.8937,1.0000,0.0000,0.8656,0.8227,0.9027,1.0000,0.0000
exp_0122,0.001,0.3,32,7,0.1,0.01,0.1,0.0,5,300,50,scaffold,80.1397,,78.3869,,132,True,2025-11-18 19:32:24,0.9157,0.8079,0.8937,1.0000,0.0000,0.9146,0.8227,0.9027,1.0000,0.0000
exp_0120,0.001,0.1,32,5,1.0,0.1,1.0,1e-05,5,300,50,scaffold,84.1317,,71.5643,,207,True,2025-11-18 19:33:07,0.8995,0.8079,0.8937,1.0000,0.0000,0.9236,0.8227,0.9027,1.0000,0.0000
exp_0125,0.0001,0.1,512,3,0.01,1.0,1.0,0.0,5,300,50,scaffold,72.9541,,82.1822,,316,True,2025-11-18 19:37:14,0.9364,0.8399,0.9088,0.9878,0.2179,0.8881,0.8522,0.9167,0.9880,0.2222
