experiment_id,lr,dropout_ratio,batch_size,num_experts,alpha,beta,min_temp,decay,num_layer,emb_dim,gate_dim,split_type,val_metric,val_metric_std,test_metric,test_metric_std,num_epochs_trained,early_stopped,timestamp,test_auprc,test_accuracy,test_f1,test_sensitivity,test_specificity,val_auprc,val_accuracy,val_f1,val_sensitivity,val_specificity
exp_0301,0.001,0.1,512,7,0.01,0.1,1.0,1e-05,5,300,50,scaffold,86.1679,,87.9328,,59,True,2025-11-18 21:51:51,0.8618,0.5606,0.6957,0.9992,0.1174,0.8277,0.5298,0.6786,0.9968,0.0666
exp_0302,0.001,0.0,32,3,1.0,1.0,0.1,0.0001,5,300,50,scaffold,82.3255,,75.0447,,51,True,2025-11-18 21:58:52,0.6954,0.5026,0.6690,1.0000,0.0000,0.6781,0.4980,0.6649,1.0000,0.0000
exp_0305,0.0001,0.1,32,5,0.1,0.1,1.0,0.0,5,300,50,scaffold,87.9944,,88.9228,,65,True,2025-11-18 22:02:53,0.8630,0.5026,0.6690,1.0000,0.0000,0.8361,0.4980,0.6649,1.0000,0.0000
exp_0303,1e-05,0.0,512,7,1.0,0.01,1.0,0.0001,5,300,50,scaffold,84.4852,,88.4439,,500,False,2025-11-18 22:10:26,0.8764,0.5749,0.7028,1.0000,0.1454,0.8409,0.5442,0.6857,0.9984,0.0935
exp_0304,1e-05,0.1,512,7,0.1,0.01,1.0,0.0,5,300,50,scaffold,86.3273,,89.4930,,500,False,2025-11-18 22:10:34,0.8832,0.5956,0.7126,0.9976,0.1893,0.8621,0.5513,0.6884,0.9952,0.1109
exp_0306,1e-05,0.3,512,5,0.1,0.1,1.0,0.0,5,300,50,scaffold,87.6693,,90.2468,,500,False,2025-11-18 22:19:34,0.8923,0.5896,0.7097,0.9984,0.1765,0.8641,0.5505,0.6884,0.9968,0.1078
exp_0308,0.001,0.3,32,5,1.0,1.0,0.1,1e-05,5,300,50,scaffold,86.9356,,46.3547,,51,True,2025-11-18 22:19:41,0.4399,0.5026,0.6690,1.0000,0.0000,0.4632,0.4980,0.6649,1.0000,0.0000
exp_0307,1e-05,0.1,32,5,0.1,0.01,1.0,1e-05,5,300,50,scaffold,87.5854,,90.0033,,97,True,2025-11-18 22:19:50,0.8933,0.5030,0.6691,1.0000,0.0008,0.8691,0.4988,0.6652,1.0000,0.0016
exp_0309,0.001,0.1,32,7,0.01,0.1,0.1,0.0,5,300,50,scaffold,87.0340,,57.3447,,65,True,2025-11-18 22:22:21,0.5433,0.5026,0.6690,1.0000,0.0000,0.5254,0.4980,0.6649,1.0000,0.0000
exp_0311,0.0001,0.1,32,7,1.0,0.1,0.1,0.0,5,300,50,scaffold,86.0203,,84.8260,,61,True,2025-11-18 22:31:26,0.8304,0.5030,0.6691,1.0000,0.0008,0.7993,0.4988,0.6652,1.0000,0.0016
exp_0314,0.001,0.3,32,7,0.01,1.0,1.0,0.0001,5,300,50,scaffold,83.9682,,82.8821,,51,True,2025-11-18 22:41:12,0.8002,0.5026,0.6690,1.0000,0.0000,0.7679,0.4980,0.6649,1.0000,0.0000
exp_0310,1e-05,0.1,32,5,0.1,1.0,1.0,0.0,5,300,50,scaffold,88.0837,,90.6759,,110,True,2025-11-18 22:41:54,0.9003,0.5030,0.6691,1.0000,0.0008,0.8704,0.4988,0.6652,1.0000,0.0016
exp_0312,1e-05,0.1,32,5,0.1,0.01,0.1,0.0,5,300,50,scaffold,87.7513,,89.8670,,119,True,2025-11-18 22:42:45,0.8915,0.5030,0.6691,1.0000,0.0008,0.8658,0.4988,0.6652,1.0000,0.0016
exp_0313,1e-05,0.1,32,3,1.0,0.1,0.1,0.0001,5,300,50,scaffold,85.2181,,87.6413,,111,True,2025-11-18 22:43:44,0.8563,0.5026,0.6690,1.0000,0.0000,0.8296,0.4980,0.6649,1.0000,0.0000
exp_0315,0.001,0.0,32,3,0.01,0.1,0.1,1e-05,5,300,50,scaffold,86.7268,,82.7963,,51,True,2025-11-18 22:50:44,0.8042,0.5026,0.6690,1.0000,0.0000,0.7843,0.4980,0.6649,1.0000,0.0000
exp_0316,0.001,0.0,32,7,0.01,0.1,0.1,0.0001,5,300,50,scaffold,84.3638,,83.4043,,51,True,2025-11-18 22:51:38,0.8126,0.5026,0.6690,1.0000,0.0000,0.7825,0.4980,0.6649,1.0000,0.0000
exp_0317,0.001,0.1,32,5,0.01,1.0,1.0,0.0,5,300,50,scaffold,88.3095,,53.9485,,55,True,2025-11-18 22:52:44,0.5235,0.5026,0.6690,1.0000,0.0000,0.5040,0.4980,0.6649,1.0000,0.0000
exp_0320,0.001,0.0,32,7,0.1,0.1,1.0,0.0001,5,300,50,scaffold,84.0363,,66.6852,,51,True,2025-11-18 23:01:12,0.7121,0.5026,0.6690,1.0000,0.0000,0.7034,0.4980,0.6649,1.0000,0.0000
exp_0318,1e-05,0.0,512,7,1.0,1.0,0.1,1e-05,5,300,50,scaffold,85.6607,,89.3496,,500,False,2025-11-18 23:02:08,0.8856,0.5952,0.7124,0.9976,0.1885,0.8532,0.5521,0.6888,0.9952,0.1125
exp_0319,1e-05,0.1,32,5,0.01,1.0,1.0,0.0001,5,300,50,scaffold,87.3061,,89.6776,,94,True,2025-11-18 23:07:33,0.8872,0.5026,0.6690,1.0000,0.0000,0.8578,0.4980,0.6649,1.0000,0.0000
exp_0321,1e-05,0.3,32,3,0.01,0.01,1.0,0.0001,5,300,50,scaffold,84.4401,,86.8899,,93,True,2025-11-18 23:09:32,0.8504,0.5026,0.6690,1.0000,0.0000,0.8127,0.4980,0.6649,1.0000,0.0000
