experiment_id,lr,dropout_ratio,batch_size,num_experts,alpha,beta,min_temp,decay,num_layer,emb_dim,gate_dim,split_type,val_metric,val_metric_std,test_metric,test_metric_std,num_epochs_trained,early_stopped,timestamp,test_auprc,test_accuracy,test_f1,test_sensitivity,test_specificity,val_auprc,val_accuracy,val_f1,val_sensitivity,val_specificity
exp_0501,0.001,0.0,512,3,1.0,1.0,1.0,1e-05,5,300,50,scaffold,61.9739,,66.6848,,90,True,2025-11-19 05:59:11,0.4406,0.4148,0.4768,0.9474,0.2062,0.2639,0.3333,0.3529,0.9231,0.1887
exp_0504,0.0001,0.0,512,7,0.01,0.1,1.0,1e-05,5,300,50,scaffold,67.9245,,65.3283,,116,True,2025-11-19 06:02:56,0.4339,0.3259,0.4551,1.0000,0.0619,0.4058,0.2576,0.3288,0.9231,0.0943
exp_0502,0.001,0.0,32,7,1.0,0.1,0.1,0.0,5,300,50,scaffold,68.6502,,65.5453,,208,True,2025-11-19 06:04:30,0.4103,0.2889,0.4419,1.0000,0.0103,0.3909,0.2273,0.3200,0.9231,0.0566
exp_0503,1e-05,0.3,32,7,1.0,0.01,1.0,1e-05,5,300,50,scaffold,66.6183,,58.0304,,153,True,2025-11-19 06:04:37,0.3563,0.2889,0.4419,1.0000,0.0103,0.3640,0.1970,0.3291,1.0000,0.0000
exp_0507,0.0001,0.0,32,5,0.01,1.0,1.0,1e-05,5,300,50,scaffold,67.1988,,69.2078,,103,True,2025-11-19 06:07:17,0.4236,0.2963,0.4444,1.0000,0.0206,0.4770,0.2273,0.3377,1.0000,0.0377
exp_0505,0.001,0.3,32,5,1.0,0.01,1.0,0.0,5,300,50,scaffold,67.6343,,70.8627,,192,True,2025-11-19 06:07:57,0.4582,0.2815,0.4393,1.0000,0.0000,0.4962,0.1970,0.3291,1.0000,0.0000
exp_0509,0.001,0.3,512,7,1.0,0.01,1.0,1e-05,5,300,50,scaffold,65.8926,,65.8166,,66,True,2025-11-19 06:09:10,0.4420,0.4074,0.4737,0.9474,0.1959,0.3851,0.3030,0.3429,0.9231,0.1509
exp_0506,1e-05,0.1,512,7,0.1,0.01,1.0,0.0001,5,300,50,scaffold,63.8607,,49.0233,,382,True,2025-11-19 06:10:49,0.3182,0.3259,0.4052,0.8158,0.1340,0.3741,0.3636,0.3636,0.9231,0.2264
exp_0512,0.001,0.1,32,3,0.1,0.01,1.0,1e-05,5,300,50,scaffold,59.6517,,66.1693,,75,True,2025-11-19 06:14:58,0.4727,0.2815,0.4393,1.0000,0.0000,0.2319,0.2121,0.3333,1.0000,0.0189
exp_0513,0.001,0.1,32,5,1.0,0.1,1.0,0.0,5,300,50,scaffold,69.0856,,66.9289,,51,True,2025-11-19 06:16:23,0.3893,0.2815,0.4393,1.0000,0.0000,0.4429,0.2121,0.3158,0.9231,0.0377
