experiment_id,lr,dropout_ratio,batch_size,num_experts,alpha,beta,min_temp,decay,num_layer,emb_dim,gate_dim,split_type,val_metric,val_metric_std,test_metric,test_metric_std,num_epochs_trained,early_stopped,timestamp,test_auprc,test_accuracy,test_f1,test_sensitivity,test_specificity,val_auprc,val_accuracy,val_f1,val_sensitivity,val_specificity
exp_0601,0.0001,0.1,512,7,0.01,1.0,0.1,0.0001,5,300,50,scaffold,86.4099,,85.7702,,127,True,2025-11-19 11:50:32,0.6927,0.3439,0.4922,0.9987,0.0382,0.7527,0.3540,0.5085,0.9975,0.0299
exp_0604,0.001,0.3,512,5,1.0,0.1,0.1,0.0,5,300,50,scaffold,86.1355,,84.4824,,61,True,2025-11-19 11:55:49,0.6851,0.3245,0.4852,1.0000,0.0091,0.7084,0.3366,0.5025,1.0000,0.0025
exp_0605,0.001,0.1,32,3,0.01,1.0,1.0,0.0,5,300,50,scaffold,87.7288,,50.8584,,64,True,2025-11-19 12:07:00,0.3225,0.3183,0.4829,1.0000,0.0000,0.3417,0.3350,0.5019,1.0000,0.0000
exp_0602,1e-05,0.3,512,5,0.1,1.0,0.1,1e-05,5,300,50,scaffold,85.3575,,84.9523,,500,False,2025-11-19 12:13:35,0.6850,0.4572,0.5359,0.9844,0.2110,0.7366,0.4028,0.5256,0.9877,0.1082
exp_0603,1e-05,0.1,512,5,0.1,0.01,0.1,0.0,5,300,50,scaffold,85.9665,,85.4329,,500,False,2025-11-19 12:13:42,0.6971,0.4775,0.5453,0.9844,0.2408,0.7442,0.4169,0.5316,0.9877,0.1294
exp_0606,0.0001,0.3,512,7,0.01,1.0,0.1,0.0,5,300,50,scaffold,88.8778,,87.9877,,500,False,2025-11-19 12:19:05,0.7472,0.3555,0.4966,0.9987,0.0552,0.7958,0.3606,0.5111,0.9975,0.0398
exp_0609,0.0001,0.0,32,3,1.0,1.0,0.1,0.0,5,300,50,scaffold,85.9892,,84.1515,,64,True,2025-11-19 12:25:03,0.6787,0.3183,0.4829,1.0000,0.0000,0.7057,0.3350,0.5019,1.0000,0.0000
exp_0608,0.001,0.3,32,3,0.01,1.0,1.0,0.0,5,300,50,scaffold,86.7192,,51.6069,,70,True,2025-11-19 12:28:02,0.3255,0.3183,0.4829,1.0000,0.0000,0.3520,0.3350,0.5019,1.0000,0.0000
exp_0607,1e-05,0.1,32,3,1.0,0.1,0.1,0.0001,5,300,50,scaffold,83.5614,,82.3683,,125,True,2025-11-19 12:29:46,0.6621,0.3183,0.4829,1.0000,0.0000,0.6964,0.3350,0.5019,1.0000,0.0000
exp_0613,0.0001,0.3,512,7,0.01,1.0,0.1,0.0001,5,300,50,scaffold,86.1185,,85.7615,,117,True,2025-11-19 12:36:18,0.6950,0.3406,0.4909,0.9987,0.0334,0.7526,0.3457,0.5053,0.9975,0.0174
