experiment_id,lr,dropout_ratio,batch_size,num_experts,alpha,beta,min_temp,decay,num_layer,emb_dim,gate_dim,split_type,val_metric,val_metric_std,test_metric,test_metric_std,num_epochs_trained,early_stopped,timestamp,test_auprc,test_accuracy,test_f1,test_sensitivity,test_specificity,val_auprc,val_accuracy,val_f1,val_sensitivity,val_specificity
exp_0801,0.001,0.0,32,3,1.0,0.01,0.1,0.0,5,300,50,scaffold,83.4346,,60.2595,,52,True,2025-11-19 19:55:47,0.2079,0.1687,0.2887,1.0000,0.0000,0.1986,0.1843,0.3113,1.0000,0.0000
exp_0803,0.0001,0.3,512,3,0.01,0.01,0.1,1e-05,5,300,50,scaffold,85.4743,,85.1328,,235,True,2025-11-19 19:56:35,0.5878,0.1687,0.2887,1.0000,0.0000,0.6176,0.1843,0.3113,1.0000,0.0000
exp_0804,0.001,0.3,32,7,1.0,1.0,0.1,1e-05,5,300,50,scaffold,83.1859,,57.3009,,51,True,2025-11-19 19:56:54,0.2053,0.1687,0.2887,1.0000,0.0000,0.1759,0.1843,0.3113,1.0000,0.0000
exp_0802,0.0001,0.3,512,7,0.01,1.0,0.1,1e-05,5,300,50,scaffold,86.1163,,85.4360,,292,True,2025-11-19 19:57:48,0.5560,0.1691,0.2888,1.0000,0.0005,0.5894,0.1874,0.3121,1.0000,0.0037
exp_0805,0.0001,0.0,32,7,0.1,0.01,0.1,0.0001,5,300,50,scaffold,83.7707,,80.2933,,59,True,2025-11-19 20:09:04,0.4518,0.1687,0.2887,1.0000,0.0000,0.4597,0.1843,0.3113,1.0000,0.0000
exp_0806,0.0001,0.3,32,3,0.1,0.1,0.1,0.0,5,300,50,scaffold,83.6347,,81.4973,,71,True,2025-11-19 20:11:31,0.4427,0.1687,0.2887,1.0000,0.0000,0.4467,0.1843,0.3113,1.0000,0.0000
exp_0807,0.0001,0.0,32,3,0.1,1.0,1.0,0.0,5,300,50,scaffold,85.0485,,81.6528,,84,True,2025-11-19 20:14:06,0.4116,0.1687,0.2887,1.0000,0.0000,0.4504,0.1843,0.3113,1.0000,0.0000
exp_0810,0.0001,0.3,512,5,0.01,0.1,1.0,0.0001,5,300,50,scaffold,82.6510,,83.2906,,143,True,2025-11-19 20:17:44,0.5202,0.1687,0.2887,1.0000,0.0000,0.5327,0.1843,0.3113,1.0000,0.0000
exp_0809,0.0001,0.1,32,3,0.01,0.1,0.1,1e-05,5,300,50,scaffold,84.1357,,72.4863,,70,True,2025-11-19 20:24:57,0.3688,0.1687,0.2887,1.0000,0.0000,0.3533,0.1843,0.3113,1.0000,0.0000
exp_0808,1e-05,0.3,32,3,0.1,1.0,0.1,0.0,5,300,50,scaffold,84.1901,,84.0608,,137,True,2025-11-19 20:25:12,0.5578,0.1687,0.2887,1.0000,0.0000,0.5615,0.1843,0.3113,1.0000,0.0000
exp_0812,0.0001,0.3,512,7,0.01,1.0,0.1,0.0001,5,300,50,scaffold,84.6683,,84.2908,,209,True,2025-11-19 20:26:40,0.5476,0.1687,0.2887,1.0000,0.0000,0.5482,0.1843,0.3113,1.0000,0.0000
exp_0814,0.001,0.0,512,5,0.01,1.0,1.0,0.0,5,300,50,scaffold,86.0415,,85.8347,,79,True,2025-11-19 20:28:45,0.5687,0.1995,0.2960,0.9977,0.0376,0.5732,0.2559,0.3313,1.0000,0.0878
exp_0815,0.001,0.1,512,7,1.0,0.01,0.1,0.0,5,300,50,scaffold,84.9662,,84.3839,,61,True,2025-11-19 20:29:29,0.4878,0.1759,0.2900,0.9977,0.0092,0.5442,0.2087,0.3178,1.0000,0.0299
