experiment_id,lr,dropout_ratio,batch_size,num_experts,alpha,beta,min_temp,decay,num_layer,emb_dim,gate_dim,split_type,val_metric,val_metric_std,test_metric,test_metric_std,num_epochs_trained,early_stopped,timestamp,test_auprc,test_accuracy,test_f1,test_sensitivity,test_specificity,val_auprc,val_accuracy,val_f1,val_sensitivity,val_specificity
exp_0001,0.001,0.1,512,3,0.1,0.1,1.0,0.0,5,300,50,scaffold,77.7045,,76.2582,,100,True,2025-11-18 14:09:43,0.8147,0.5971,0.7477,1.0000,0.0000,0.7972,0.5653,0.7223,1.0000,0.0000
exp_0004,0.0001,0.0,32,7,1.0,0.1,1.0,0.0001,5,300,50,scaffold,62.4530,,63.8916,,64,True,2025-11-18 14:14:49,0.6890,0.5971,0.7477,1.0000,0.0000,0.6037,0.5653,0.7223,1.0000,0.0000
exp_0005,0.0001,0.0,32,3,0.1,1.0,0.1,0.0001,5,300,50,scaffold,60.2190,,60.8054,,58,True,2025-11-18 14:16:54,0.6886,0.5971,0.7477,1.0000,0.0000,0.5737,0.5653,0.7223,1.0000,0.0000
exp_0006,1e-05,0.3,512,5,1.0,1.0,0.1,1e-05,5,300,50,scaffold,71.2056,,71.3858,,500,False,2025-11-18 14:28:41,0.7814,0.6095,0.7527,0.9954,0.0375,0.7383,0.5777,0.7252,0.9854,0.0475
exp_0002,1e-05,0.3,32,7,0.1,0.1,0.1,0.0,5,300,50,scaffold,70.3140,,71.6274,,194,True,2025-11-18 14:29:56,0.7694,0.5971,0.7477,1.0000,0.0000,0.7213,0.5653,0.7223,1.0000,0.0000
exp_0007,1e-05,0.0,512,5,0.1,1.0,0.1,0.0001,5,300,50,scaffold,68.9227,,67.9684,,500,False,2025-11-18 14:30:31,0.7422,0.5992,0.7481,0.9966,0.0102,0.7097,0.5681,0.7226,0.9951,0.0127
exp_0009,0.001,0.3,512,3,0.01,1.0,1.0,1e-05,5,300,50,scaffold,72.1126,,67.6048,,62,True,2025-11-18 14:31:37,0.7353,0.5971,0.7477,1.0000,0.0000,0.7140,0.5653,0.7223,1.0000,0.0000
exp_0003,1e-05,0.0,32,5,1.0,1.0,0.1,0.0,5,300,50,scaffold,73.4870,,70.6180,,257,True,2025-11-18 14:36:53,0.7687,0.5971,0.7477,1.0000,0.0000,0.7524,0.5653,0.7223,1.0000,0.0000
exp_0010,0.001,0.1,32,7,0.1,0.01,0.1,0.0001,5,300,50,scaffold,70.3883,,61.4345,,89,True,2025-11-18 14:41:17,0.6915,0.5971,0.7477,1.0000,0.0000,0.7074,0.5653,0.7223,1.0000,0.0000
exp_0012,0.001,0.3,32,7,1.0,0.1,0.1,0.0,5,300,50,scaffold,69.9640,,45.2993,,55,True,2025-11-18 14:43:31,0.5784,0.5971,0.7477,1.0000,0.0000,0.5515,0.5653,0.7223,1.0000,0.0000
exp_0008,1e-05,0.3,32,5,1.0,0.01,1.0,1e-05,5,300,50,scaffold,69.8709,,68.1183,,201,True,2025-11-18 14:53:29,0.7531,0.5971,0.7477,1.0000,0.0000,0.7308,0.5653,0.7223,1.0000,0.0000
exp_0013,0.0001,0.1,512,7,0.01,0.01,0.1,0.0,5,300,50,scaffold,76.7990,,74.6244,,500,False,2025-11-18 14:54:50,0.7900,0.6040,0.7508,0.9989,0.0187,0.7857,0.5722,0.7245,0.9951,0.0222
exp_0011,1e-05,0.3,32,3,0.1,1.0,0.1,1e-05,5,300,50,scaffold,69.4366,,66.2651,,254,True,2025-11-18 15:01:32,0.7281,0.5971,0.7477,1.0000,0.0000,0.7205,0.5653,0.7223,1.0000,0.0000
