Drug_ID,Drug,Y
methanesulfonyl chloride,CS(=O)(=O)Cl,-4.87
3-methylbut-1-ene,C=CC(C)C,1.83
heptan-1-ol,CCCCCCCO,-4.21
"2,3-dimethylbutane",CC(C)C(C)C,2.34
2-methylpentan-2-ol,CCCC(C)(C)O,-3.92
butan-2-ol,CC[C@H](C)O,-4.62
dibromomethane,BrCBr,-1.96
2-methylpentan-3-ol,CC[C@@H](O)C(C)C,-3.88
ethyl pentanoate,CCCCC(=O)OCC,-2.49
"(2Z)-3,7-dimethylocta-2,6-dien-1-ol",CC(C)=CCC/C(C)=C\CO,-4.78
"2,2-dimethylpentane",CCCC(C)(C)C,2.88
2-acetoxyethyl acetate,CC(=O)OCCOC(C)=O,-6.34
ethion,CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,-6.1
pentanenitrile,CCCCC#N,-3.52
2-methylpropan-2-ol,CC(C)(C)O,-4.47
"2,4-dimethylpentan-3-one",CC(C)C(=O)C(C)C,-2.74
propanal,CCC=O,-3.43
"N,N-dimethylformamide",CN(C)C=O,-7.81
"penta-1,4-diene",C=CCC=C,0.93
N-ethylethanamine,CCNCC,-4.07
isopentyl formate,CC(C)CCOC=O,-2.13
decan-1-ol,CCCCCCCCCCO,-3.64
ethyl propanoate,CCOC(=O)CC,-2.68
nonane,CCCCCCCCC,3.13
N-methylacetamide,CNC(C)=O,-10.0
non-1-ene,C=CCCCCCCC,2.06
"(2R,3R,4R,5R)-Hexan-1,2,3,4,5,6-hexol",OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,-23.62
methyl butanoate,CCCC(=O)OC,-2.83
N-propylpropan-1-amine,CCCNCCC,-3.65
tetrafluoromethane,FC(F)(F)F,3.12
2-methylbutan-1-ol,CC[C@@H](C)CO,-4.42
but-1-yne,C#CCC,-0.16
hydrazine,NN,-9.3
octan-1-amine,CCCCCCCCN,-3.65
ammonia,N,-4.29
"1,1-difluoroethane",CC(F)F,-0.11
butadiene,C=CC=C,0.56
"N,N-dimethylmethanamine",CN(C)C,-3.2
hexanamide,CCCCCC(N)=O,-9.31
isobutyl nitrate,CC(C)CO[N+](=O)[O-],-1.88
2-(nitrooxy)ethan-1-ol,O=[N+]([O-])OCCO,-8.18
octan-2-one,CCCCCCC(C)=O,-2.88
ethanamine,CCN,-4.5
"1,1-dichloroethane",CC(Cl)Cl,-0.84
1-bromooctane,CCCCCCCCBr,0.52
n-butane,CCCC,2.1
chloromethane,CCl,-0.55
1-bromo-2-methyl-propane,CC(C)CBr,-0.03
2-isopropylsulfanylpropane,CC(C)SC(C)C,-1.21
heptane,CCCCCCC,2.67
diiodomethane,ICI,-2.49
