experiment_id,lr,dropout_ratio,batch_size,num_experts,alpha,beta,min_temp,decay,num_layer,emb_dim,gate_dim,split_type,train_metric,val_metric,val_metric_std,test_metric,test_metric_std,num_epochs_trained,early_stopped,timestamp,train_auprc,train_accuracy,train_f1,train_sensitivity,train_specificity,val_auprc,val_accuracy,val_f1,val_sensitivity,val_specificity,test_auprc,test_accuracy,test_f1,test_sensitivity,test_specificity
ames_v3_0001,0.001,0.3,128,3,0.1,0.01,1,1e-05,5,300,50,scaffold,99.3917,87.9377,,83.3578,,66,True,2025-11-22 12:02:21,0.9945,0.9600,0.9619,0.9566,0.9638,0.8913,0.7827,0.8049,0.7932,0.7690,0.8736,0.7509,0.7925,0.7966,0.6831
ames_v3_0005,0.0005,0.3,128,3,0.1,0.01,1,1e-05,5,300,50,scaffold,98.7245,87.9670,,83.5105,,79,True,2025-11-22 12:02:52,0.9885,0.9425,0.9459,0.9514,0.9325,0.8986,0.7950,0.8216,0.8345,0.7437,0.8726,0.7570,0.7951,0.7897,0.7087
ames_v3_0019,0.0005,0.3,128,5,0.1,0.01,1,0.0001,5,300,50,scaffold,99.1988,86.7581,,83.7710,,103,True,2025-11-22 12:04:23,0.9930,0.9541,0.9564,0.9536,0.9546,0.8791,0.7895,0.8136,0.8127,0.7595,0.8699,0.7639,0.8009,0.7954,0.7172
ames_v3_0007,0.0005,0.3,128,3,0.1,0.01,1,0.0001,5,300,50,scaffold,99.3166,88.3489,,82.3180,,121,True,2025-11-22 12:05:04,0.9938,0.9625,0.9645,0.9640,0.9608,0.8931,0.7607,0.7958,0.8248,0.6772,0.8650,0.7598,0.7982,0.7954,0.7070
ames_v3_0002,0.001,0.3,32,3,0.1,0.01,1,0.0001,5,300,50,scaffold,98.5739,86.8013,,83.8517,,61,True,2025-11-22 12:07:16,0.9866,0.9391,0.9418,0.9317,0.9475,0.8838,0.8061,0.8283,0.8273,0.7785,0.8733,0.7660,0.7947,0.7586,0.7768
ames_v3_0017,0.0005,0.3,128,5,0.1,0.01,1,1e-05,5,300,50,scaffold,98.6497,87.2863,,84.4219,,77,True,2025-11-22 12:08:58,0.9883,0.9393,0.9427,0.9432,0.9350,0.8916,0.7895,0.8159,0.8248,0.7437,0.8805,0.7612,0.7988,0.7943,0.7121
ames_v3_0004,0.0005,0.3,32,3,0.1,0.01,1,1e-05,5,300,50,scaffold,99.0287,87.2632,,83.1548,,72,True,2025-11-22 12:09:31,0.9911,0.9509,0.9534,0.9502,0.9517,0.8800,0.7937,0.8206,0.8345,0.7405,0.8712,0.7563,0.7935,0.7839,0.7155
ames_v3_0003,0.001,0.3,128,3,0.1,0.01,1,0.0001,5,300,50,scaffold,99.4835,88.5575,,83.1616,,79,True,2025-11-22 12:09:41,0.9953,0.9645,0.9664,0.9677,0.9608,0.8521,0.7730,0.7995,0.8005,0.7373,0.8674,0.7584,0.7965,0.7920,0.7087
ames_v3_0006,0.0005,0.3,32,3,0.1,0.01,1,0.0001,5,300,50,scaffold,98.8898,87.3656,,83.5196,,79,True,2025-11-22 12:09:57,0.9901,0.9462,0.9487,0.9413,0.9517,0.8702,0.7923,0.8152,0.8102,0.7690,0.8636,0.7639,0.7967,0.7747,0.7479
ames_v3_0009,0.0001,0.3,128,3,0.1,0.01,1,1e-05,5,300,50,scaffold,97.2915,87.9547,,82.9959,,245,True,2025-11-22 12:11:45,0.9758,0.9154,0.9201,0.9213,0.9088,0.9046,0.7868,0.8130,0.8200,0.7437,0.8696,0.7563,0.7932,0.7828,0.7172
ames_v3_0013,0.001,0.3,128,5,0.1,0.01,1,1e-05,5,300,50,scaffold,99.5011,87.5912,,84.7171,,69,True,2025-11-22 12:13:33,0.9957,0.9617,0.9635,0.9554,0.9688,0.8830,0.7730,0.8000,0.8029,0.7342,0.8853,0.7653,0.8028,0.8000,0.7138
ames_v3_0021,0.0001,0.3,128,5,0.1,0.01,1,1e-05,5,300,50,scaffold,96.4964,87.0808,,84.5274,,202,True,2025-11-22 12:14:42,0.9696,0.8993,0.9029,0.8856,0.9146,0.9023,0.7923,0.8129,0.7981,0.7848,0.8826,0.7639,0.8034,0.8080,0.6985
ames_v3_0010,0.0001,0.3,32,3,0.1,0.01,1,0.0001,5,300,50,scaffold,95.9106,87.7283,,83.0764,,121,True,2025-11-22 12:15:57,0.9623,0.8914,0.8957,0.8815,0.9025,0.8974,0.7840,0.8083,0.8054,0.7563,0.8666,0.7481,0.7840,0.7655,0.7223
ames_v3_0011,0.0001,0.3,128,3,0.1,0.01,1,0.0001,5,300,50,scaffold,97.8181,88.3720,,82.3860,,331,True,2025-11-22 12:16:45,0.9803,0.9221,0.9272,0.9395,0.9025,0.9070,0.7827,0.8146,0.8443,0.7025,0.8634,0.7495,0.7913,0.7954,0.6814
