experiment_id,lr,dropout_ratio,batch_size,num_experts,alpha,beta,min_temp,decay,num_layer,emb_dim,gate_dim,split_type,train_metric,val_metric,val_metric_std,test_metric,test_metric_std,num_epochs_trained,early_stopped,timestamp,train_auprc,train_accuracy,train_f1,train_sensitivity,train_specificity,val_auprc,val_accuracy,val_f1,val_sensitivity,val_specificity,test_auprc,test_accuracy,test_f1,test_sensitivity,test_specificity
exp_0145,0.0001,0.3,128,3,0.01,1.0,1,0.0,3,300,50,scaffold,92.8337,86.2708,,82.6103,,238,True,2025-11-21 08:31:18,0.9290,0.8512,0.8555,0.8329,0.8717,0.8851,0.8006,0.8162,0.7835,0.8228,0.8543,0.7694,0.8089,0.8172,0.6985
exp_0160,0.0001,0.3,128,3,0.01,0.01,1,0.0,5,300,50,scaffold,97.2368,88.2234,,83.1667,,233,True,2025-11-21 08:32:33,0.9755,0.9150,0.9186,0.9075,0.9234,0.9098,0.7937,0.8166,0.8127,0.7690,0.8704,0.7632,0.7995,0.7908,0.7223
exp_0154,0.0001,0.3,128,3,0.01,0.1,1,0.0,5,300,50,scaffold,97.2322,88.2049,,83.2444,,233,True,2025-11-21 08:33:15,0.9755,0.9152,0.9187,0.9061,0.9254,0.9107,0.7909,0.8142,0.8102,0.7658,0.8709,0.7639,0.8005,0.7931,0.7206
exp_0158,0.0001,0.3,512,3,0.01,0.01,1,0.0,3,300,50,scaffold,92.3063,86.6627,,81.4787,,500,False,2025-11-21 08:36:21,0.9271,0.8428,0.8459,0.8162,0.8726,0.8908,0.7978,0.8127,0.7762,0.8259,0.8425,0.7481,0.7882,0.7851,0.6934
exp_0152,0.0001,0.3,512,3,0.01,0.1,1,0.0,3,300,50,scaffold,92.2767,86.6765,,81.4426,,500,False,2025-11-21 08:36:28,0.9268,0.8410,0.8441,0.8140,0.8713,0.8906,0.7978,0.8118,0.7713,0.8323,0.8422,0.7488,0.7882,0.7828,0.6985
exp_0134,0.0001,0.3,512,3,0.1,0.1,1,0.0,3,300,50,scaffold,92.2296,86.3200,,81.5645,,500,False,2025-11-21 08:36:37,0.9265,0.8416,0.8447,0.8147,0.8717,0.8889,0.7868,0.8020,0.7640,0.8165,0.8448,0.7557,0.7952,0.7943,0.6985
exp_0161,0.0001,0.3,512,3,0.01,0.01,1,0.0,5,300,50,scaffold,97.8092,87.9346,,82.4951,,500,False,2025-11-21 08:37:56,0.9808,0.9260,0.9297,0.9261,0.9259,0.9062,0.7937,0.8184,0.8224,0.7563,0.8624,0.7666,0.8073,0.8184,0.6899
exp_0157,0.0001,0.3,128,3,0.01,0.01,1,0.0,3,300,50,scaffold,95.3669,86.4190,,83.4603,,411,True,2025-11-21 08:41:02,0.9549,0.8871,0.8923,0.8845,0.8900,0.8882,0.8047,0.8273,0.8273,0.7753,0.8675,0.7694,0.8035,0.7897,0.7394
exp_0148,0.0001,0.3,128,3,0.01,1.0,1,0.0,5,300,50,scaffold,97.2206,88.1148,,83.5319,,233,True,2025-11-21 08:44:52,0.9753,0.9138,0.9175,0.9061,0.9225,0.9096,0.7992,0.8215,0.8175,0.7753,0.8722,0.7680,0.8037,0.7954,0.7274
exp_0153,0.0001,0.3,32,3,0.01,0.1,1,0.0,5,300,50,scaffold,97.6915,88.5891,,83.6880,,189,True,2025-11-21 08:47:18,0.9794,0.9176,0.9203,0.9005,0.9367,0.9064,0.7978,0.8196,0.8127,0.7785,0.8738,0.7653,0.8014,0.7931,0.7240
exp_0159,0.0001,0.3,32,3,0.01,0.01,1,0.0,5,300,50,scaffold,97.6743,88.5021,,83.5816,,189,True,2025-11-21 08:47:38,0.9792,0.9181,0.9209,0.9012,0.9371,0.9077,0.7923,0.8161,0.8151,0.7627,0.8728,0.7687,0.8033,0.7908,0.7359
exp_0155,0.0001,0.3,512,3,0.01,0.1,1,0.0,5,300,50,scaffold,97.8226,87.9277,,82.5947,,500,False,2025-11-21 08:50:31,0.9810,0.9252,0.9290,0.9254,0.9250,0.9068,0.7964,0.8204,0.8224,0.7627,0.8639,0.7694,0.8100,0.8230,0.6899
exp_0151,0.0001,0.3,128,3,0.01,0.1,1,0.0,3,300,50,scaffold,93.3837,86.3585,,82.8732,,281,True,2025-11-21 08:50:45,0.9338,0.8620,0.8678,0.8570,0.8676,0.8861,0.8006,0.8212,0.8102,0.7880,0.8587,0.7625,0.8007,0.7989,0.7087
exp_0140,0.0001,0.3,512,3,0.1,0.01,1,0.0,3,300,50,scaffold,92.2469,86.3616,,81.5519,,500,False,2025-11-21 08:57:21,0.9267,0.8422,0.8449,0.8132,0.8746,0.8890,0.7882,0.8031,0.7640,0.8196,0.8454,0.7529,0.7924,0.7897,0.6985
exp_0156,0.0001,0.3,32,3,0.01,0.01,1,0.0,3,300,50,scaffold,95.4916,87.8738,,83.4440,,292,True,2025-11-21 08:57:43,0.9535,0.8883,0.8925,0.8771,0.9009,0.8921,0.8019,0.8168,0.7810,0.8291,0.8650,0.7769,0.8157,0.8264,0.7036
exp_0144,0.0001,0.3,32,3,0.01,1.0,1,0.0,3,300,50,scaffold,95.4979,87.8669,,83.5474,,292,True,2025-11-21 08:57:54,0.9536,0.8875,0.8917,0.8756,0.9009,0.8915,0.8033,0.8183,0.7835,0.8291,0.8661,0.7763,0.8146,0.8230,0.7070
exp_0147,0.0001,0.3,32,3,0.01,1.0,1,0.0,5,300,50,scaffold,97.7131,88.5144,,83.5644,,189,True,2025-11-21 09:00:55,0.9795,0.9181,0.9209,0.9009,0.9375,0.9052,0.7923,0.8152,0.8102,0.7690,0.8728,0.7721,0.8074,0.8000,0.7308
exp_0142,0.0001,0.3,128,3,0.1,0.01,1,0.0,5,300,50,scaffold,97.2636,88.0825,,83.3361,,233,True,2025-11-21 09:01:01,0.9758,0.9148,0.9183,0.9061,0.9246,0.9102,0.7923,0.8161,0.8151,0.7627,0.8713,0.7612,0.7977,0.7885,0.7206
exp_0123,0.0001,0.3,32,3,1.0,0.01,1,0.0,5,300,50,scaffold,97.0142,88.2034,,84.1603,,165,True,2025-11-21 09:02:17,0.9676,0.9138,0.9188,0.9224,0.9042,0.9082,0.7813,0.8109,0.8297,0.7184,0.8774,0.7790,0.8195,0.8402,0.6882
exp_0116,0.0001,0.3,512,3,1.0,0.1,1,0.0,3,300,50,scaffold,92.2105,86.2985,,81.2982,,500,False,2025-11-21 09:04:17,0.9265,0.8412,0.8443,0.8143,0.8713,0.8891,0.7937,0.8092,0.7737,0.8196,0.8393,0.7495,0.7887,0.7828,0.7002
exp_0146,0.0001,0.3,512,3,0.01,1.0,1,0.0,3,300,50,scaffold,92.2056,86.3054,,81.4185,,500,False,2025-11-21 09:07:31,0.9255,0.8418,0.8448,0.8143,0.8726,0.8870,0.7882,0.8021,0.7591,0.8259,0.8424,0.7488,0.7875,0.7793,0.7036
exp_0136,0.0001,0.3,128,3,0.1,0.1,1,0.0,5,300,50,scaffold,97.2695,88.0209,,83.4132,,233,True,2025-11-21 09:11:18,0.9758,0.9158,0.9193,0.9068,0.9259,0.9091,0.7909,0.8146,0.8127,0.7627,0.8725,0.7673,0.8033,0.7954,0.7257
exp_0114,0.0001,0.3,32,3,1.0,0.1,1,0.0,3,300,50,scaffold,95.4340,88.0405,,83.5391,,292,True,2025-11-21 09:13:41,0.9529,0.8889,0.8934,0.8808,0.8980,0.8919,0.8019,0.8168,0.7810,0.8291,0.8646,0.7763,0.8158,0.8299,0.6968
exp_0150,0.0001,0.3,32,3,0.01,0.1,1,0.0,3,300,50,scaffold,95.4913,87.8638,,83.5031,,292,True,2025-11-21 09:14:56,0.9533,0.8873,0.8915,0.8752,0.9009,0.8916,0.8019,0.8159,0.7762,0.8354,0.8656,0.7790,0.8173,0.8276,0.7070
exp_0149,0.0001,0.3,512,3,0.01,1.0,1,0.0,5,300,50,scaffold,97.7986,87.9431,,82.9221,,500,True,2025-11-21 09:15:43,0.9808,0.9246,0.9287,0.9280,0.9209,0.9070,0.7964,0.8208,0.8248,0.7595,0.8646,0.7721,0.8090,0.8080,0.7189
exp_0124,0.0001,0.3,128,3,1.0,0.01,1,0.0,5,300,50,scaffold,98.2061,87.9593,,83.1184,,323,True,2025-11-21 09:16:08,0.9843,0.9321,0.9352,0.9272,0.9375,0.9049,0.7950,0.8194,0.8224,0.7595,0.8697,0.7728,0.8105,0.8138,0.7121
exp_0141,0.0001,0.3,32,3,0.1,0.01,1,0.0,5,300,50,scaffold,97.0795,88.4605,,83.8407,,165,True,2025-11-21 09:16:49,0.9670,0.9136,0.9187,0.9235,0.9025,0.9081,0.7854,0.8147,0.8345,0.7215,0.8741,0.7783,0.8193,0.8414,0.6848
exp_0211,0.0001,0.3,128,3,0.01,0.01,1,1e-05,3,300,50,scaffold,93.7070,86.4671,,83.1444,,281,True,2025-11-21 09:18:22,0.9369,0.8673,0.8729,0.8622,0.8730,0.8855,0.8047,0.8243,0.8102,0.7975,0.8610,0.7728,0.8086,0.8034,0.7274
exp_0133,0.0001,0.3,128,3,0.1,0.1,1,0.0,3,300,50,scaffold,94.5943,86.4933,,83.0237,,359,True,2025-11-21 09:19:01,0.9445,0.8787,0.8843,0.8767,0.8809,0.8838,0.8088,0.8286,0.8175,0.7975,0.8599,0.7728,0.8141,0.8333,0.6831
exp_0118,0.0001,0.3,128,3,1.0,0.1,1,0.0,5,300,50,scaffold,97.9876,87.8900,,83.0977,,300,True,2025-11-21 09:20:08,0.9823,0.9276,0.9310,0.9239,0.9317,0.9034,0.7882,0.8113,0.8054,0.7658,0.8681,0.7714,0.8107,0.8195,0.7002
exp_0132,0.0001,0.3,32,3,0.1,0.1,1,0.0,3,300,50,scaffold,95.4810,87.9200,,83.5060,,292,True,2025-11-21 09:23:09,0.9531,0.8907,0.8950,0.8819,0.9005,0.8921,0.8033,0.8178,0.7810,0.8323,0.8655,0.7776,0.8163,0.8276,0.7036
exp_0139,0.0001,0.3,128,3,0.1,0.01,1,0.0,3,300,50,scaffold,94.4028,86.4948,,83.2938,,343,True,2025-11-21 09:25:03,0.9442,0.8750,0.8803,0.8697,0.8809,0.8857,0.8088,0.8290,0.8200,0.7943,0.8649,0.7666,0.8023,0.7931,0.7274
exp_0212,0.0001,0.3,512,3,0.01,0.01,1,1e-05,3,300,50,scaffold,92.3866,86.7258,,81.5696,,500,False,2025-11-21 09:31:25,0.9278,0.8443,0.8478,0.8199,0.8717,0.8914,0.8006,0.8158,0.7810,0.8259,0.8447,0.7502,0.7908,0.7908,0.6899
exp_0121,0.0001,0.3,128,3,1.0,0.01,1,0.0,3,300,50,scaffold,93.9043,86.7350,,82.9362,,303,True,2025-11-21 09:32:54,0.9396,0.8640,0.8677,0.8440,0.8863,0.8896,0.8088,0.8265,0.8054,0.8133,0.8598,0.7714,0.8120,0.8264,0.6899
exp_0143,0.0001,0.3,512,3,0.1,0.01,1,0.0,5,300,50,scaffold,97.8234,87.8692,,82.6045,,500,False,2025-11-21 09:34:46,0.9809,0.9266,0.9304,0.9280,0.9250,0.9067,0.7895,0.8154,0.8224,0.7468,0.8645,0.7673,0.8081,0.8207,0.6882
exp_0119,0.0001,0.3,512,3,1.0,0.1,1,0.0,5,300,50,scaffold,97.6597,88.0471,,82.5164,,500,False,2025-11-21 09:35:33,0.9795,0.9232,0.9273,0.9257,0.9204,0.9102,0.7992,0.8228,0.8248,0.7658,0.8629,0.7701,0.8082,0.8115,0.7087
exp_0206,0.0001,0.3,512,3,0.01,0.1,1,1e-05,3,300,50,scaffold,92.3526,86.7427,,81.5085,,500,False,2025-11-21 09:35:58,0.9275,0.8418,0.8451,0.8162,0.8705,0.8919,0.7964,0.8107,0.7713,0.8291,0.8443,0.7502,0.7908,0.7908,0.6899
exp_0122,0.0001,0.3,512,3,1.0,0.01,1,0.0,3,300,50,scaffold,92.2222,86.1060,,81.3372,,500,False,2025-11-21 09:37:02,0.9265,0.8424,0.8455,0.8158,0.8721,0.8879,0.7909,0.8061,0.7689,0.8196,0.8421,0.7529,0.7924,0.7897,0.6985
exp_0117,0.0001,0.3,32,3,1.0,0.1,1,0.0,5,300,50,scaffold,96.9574,88.3797,,84.2631,,165,True,2025-11-21 09:37:37,0.9670,0.9117,0.9168,0.9202,0.9021,0.9093,0.7868,0.8148,0.8297,0.7310,0.8781,0.7790,0.8195,0.8402,0.6882
exp_0126,0.0001,0.3,32,3,0.1,1.0,1,0.0,3,300,50,scaffold,95.4884,87.8230,,83.6590,,292,True,2025-11-21 09:38:38,0.9534,0.8875,0.8919,0.8775,0.8988,0.8914,0.8019,0.8163,0.7786,0.8323,0.8667,0.7804,0.8190,0.8322,0.7036
exp_0109,0.0001,0.3,128,3,1.0,1.0,1,0.0,3,300,50,scaffold,93.8862,86.7266,,82.9020,,303,True,2025-11-21 09:38:44,0.9393,0.8640,0.8676,0.8433,0.8871,0.8894,0.8047,0.8225,0.8005,0.8101,0.8591,0.7721,0.8129,0.8287,0.6882
exp_0199,0.0001,0.3,128,3,0.01,1.0,1,1e-05,3,300,50,scaffold,94.7073,86.6353,,83.6498,,343,True,2025-11-21 09:38:56,0.9459,0.8765,0.8813,0.8674,0.8867,0.8863,0.8102,0.8296,0.8175,0.8006,0.8676,0.7708,0.8033,0.7839,0.7513
exp_0115,0.0001,0.3,128,3,1.0,0.1,1,0.0,3,300,50,scaffold,93.8903,86.7166,,82.9048,,303,True,2025-11-21 09:49:04,0.9395,0.8638,0.8673,0.8418,0.8884,0.8896,0.8033,0.8215,0.8005,0.8070,0.8597,0.7714,0.8122,0.8276,0.6882
exp_0197,0.0001,0.3,512,3,0.1,0.01,1,1e-05,5,300,50,scaffold,97.7207,87.7599,,82.4553,,500,False,2025-11-21 09:50:35,0.9799,0.9229,0.9268,0.9242,0.9213,0.9059,0.7923,0.8170,0.8200,0.7563,0.8616,0.7680,0.8080,0.8172,0.6951
