experiment_id,lr,dropout_ratio,batch_size,num_experts,alpha,beta,num_layer,decay,test_metric,val_metric,train_metric,num_epochs_trained
ames_v2_0094,0.001,0.4,32,7,0.1,0.01,5,1e-05,85.0532,87.6251,98.4884,74
ames_v2_0144,0.001,0.5,16,7,0.1,0.01,5,0.0,85.0297,88.3073,96.766,75
ames_v2_0159,0.0001,0.5,16,7,0.1,0.01,5,1e-05,84.8581,88.1441,94.9694,201
ames_v2_0156,0.0001,0.5,16,7,0.1,0.01,5,0.0,84.8278,88.0709,94.5991,201
ames_v2_0018,0.001,0.3,16,5,0.1,0.01,5,0.0,84.8115,87.6698,99.1751,64
ames_v2_0081,0.0005,0.4,16,5,0.1,0.01,5,1e-05,84.7616,87.9231,97.6501,87
ames_v2_0006,0.0005,0.3,16,3,0.1,0.01,5,0.0,84.7381,88.75,98.5701,72
ames_v2_0009,0.0005,0.3,16,3,0.1,0.01,5,1e-05,84.6946,88.7223,98.5683,73
ames_v2_0129,0.001,0.5,16,5,0.1,0.01,5,1e-05,84.6555,87.1285,96.4828,74
ames_v2_0093,0.001,0.4,16,7,0.1,0.01,5,1e-05,84.5765,87.8176,98.3587,74
ames_v2_0133,0.0005,0.5,32,5,0.1,0.01,5,0.0,84.4969,87.6859,97.1472,125
ames_v2_0099,0.0005,0.4,16,7,0.1,0.01,5,1e-05,84.4967,87.8877,96.8925,67
ames_v2_0078,0.0005,0.4,16,5,0.1,0.01,5,0.0,84.4667,88.1672,97.1598,83
ames_v2_0131,0.001,0.5,64,5,0.1,0.01,5,1e-05,84.4366,87.9208,98.3687,113
ames_v2_0076,0.001,0.4,32,5,0.1,0.01,5,1e-05,84.3778,87.6967,98.8724,82
ames_v2_0040,0.001,0.3,32,7,0.1,0.01,5,1e-05,84.3735,88.1179,99.1672,58
ames_v2_0136,0.0005,0.5,32,5,0.1,0.01,5,1e-05,84.3272,87.8854,97.799,149
ames_v2_0063,0.0005,0.4,16,3,0.1,0.01,5,1e-05,84.3218,88.4228,97.5967,85
ames_v2_0158,0.0001,0.5,64,7,0.1,0.01,5,0.0,84.2995,86.7574,92.9994,154
ames_v2_0042,0.0005,0.3,16,7,0.1,0.01,5,0.0,84.2817,87.5974,98.2678,69
ames_v2_0140,0.0001,0.5,64,5,0.1,0.01,5,0.0,84.2717,88.0309,95.7197,342
ames_v2_0139,0.0001,0.5,32,5,0.1,0.01,5,0.0,84.264,88.0586,95.7658,328
ames_v2_0058,0.001,0.4,32,3,0.1,0.01,5,1e-05,84.2607,88.4428,98.6025,71
ames_v2_0138,0.0001,0.5,16,5,0.1,0.01,5,0.0,84.2562,88.5383,94.5354,217
ames_v2_0075,0.001,0.4,16,5,0.1,0.01,5,1e-05,84.2507,87.465,98.2318,69
ames_v2_0112,0.001,0.5,32,3,0.1,0.01,5,1e-05,84.1961,87.9169,97.133,75
ames_v2_0096,0.0005,0.4,16,7,0.1,0.01,5,0.0,84.1858,88.1941,97.3636,73
ames_v2_0090,0.001,0.4,16,7,0.1,0.01,5,0.0,84.181,88.6268,97.8695,68
ames_v2_0120,0.0001,0.5,16,3,0.1,0.01,5,0.0,84.1669,88.2846,94.5246,205
ames_v2_0091,0.001,0.4,32,7,0.1,0.01,5,0.0,84.152,88.0809,98.4448,76
ames_v2_0089,0.0001,0.4,64,5,0.1,0.01,5,1e-05,84.1498,88.0979,97.6299,308
ames_v2_0141,0.0001,0.5,16,5,0.1,0.01,5,1e-05,84.1295,88.5052,94.8306,213
ames_v2_0086,0.0001,0.4,64,5,0.1,0.01,5,0.0,84.1295,88.0009,96.6909,257
ames_v2_0001,0.001,0.3,32,3,0.1,0.01,5,0.0,84.1256,88.593,99.5175,83
ames_v2_0060,0.0005,0.4,16,3,0.1,0.01,5,0.0,84.1158,88.6045,97.6803,80
ames_v2_0031,0.0001,0.3,32,5,0.1,0.01,5,0.0,84.0935,87.6806,97.9655,200
ames_v2_0149,0.001,0.5,64,7,0.1,0.01,5,1e-05,84.0903,88.8101,98.3352,115
ames_v2_0117,0.0005,0.5,16,3,0.1,0.01,5,1e-05,84.0778,88.7292,96.5461,95
ames_v2_0157,0.0001,0.5,32,7,0.1,0.01,5,0.0,84.0526,87.7506,94.4442,201
ames_v2_0143,0.0001,0.5,64,5,0.1,0.01,5,1e-05,84.0493,88.0417,96.0831,342
ames_v2_0135,0.0005,0.5,16,5,0.1,0.01,5,1e-05,84.0426,87.7891,96.6927,110
ames_v2_0150,0.0005,0.5,16,7,0.1,0.01,5,0.0,84.0369,88.3712,95.9856,98
ames_v2_0066,0.0001,0.4,16,3,0.1,0.01,5,0.0,84.0291,88.5968,96.3275,195
ames_v2_0057,0.001,0.4,16,3,0.1,0.01,5,1e-05,84.0265,87.6397,98.5711,85
ames_v2_0045,0.0005,0.3,16,7,0.1,0.01,5,1e-05,84.0253,87.6705,98.6029,67
ames_v2_0107,0.0001,0.4,64,7,0.1,0.01,5,1e-05,84.0226,88.0448,96.8595,256
ames_v2_0123,0.0001,0.5,16,3,0.1,0.01,5,1e-05,83.9999,88.7185,95.0114,205
ames_v2_0116,0.0005,0.5,64,3,0.1,0.01,5,0.0,83.9866,88.5421,97.3819,139
ames_v2_0062,0.0005,0.4,64,3,0.1,0.01,5,0.0,83.9413,88.67,98.1674,97
ames_v2_0087,0.0001,0.4,16,5,0.1,0.01,5,1e-05,83.9337,88.5498,97.0818,243
ames_v2_0030,0.0001,0.3,16,5,0.1,0.01,5,0.0,83.9299,87.7814,97.4831,161
ames_v2_0160,0.0001,0.5,32,7,0.1,0.01,5,1e-05,83.9043,87.5527,94.0753,165
ames_v2_0106,0.0001,0.4,32,7,0.1,0.01,5,1e-05,83.902,88.0478,95.8821,165
ames_v2_0084,0.0001,0.4,16,5,0.1,0.01,5,0.0,83.8993,88.4082,96.2383,197
ames_v2_0070,0.0001,0.4,32,3,0.1,0.01,5,1e-05,83.8616,88.7731,97.299,239
ames_v2_0101,0.0005,0.4,64,7,0.1,0.01,5,1e-05,83.8606,87.9085,98.9955,133
ames_v2_0108,0.001,0.5,16,3,0.1,0.01,5,0.0,83.8571,89.0426,96.5982,81
ames_v2_0085,0.0001,0.4,32,5,0.1,0.01,5,0.0,83.8409,88.0417,96.2952,202
ames_v2_0126,0.001,0.5,16,5,0.1,0.01,5,0.0,83.8387,88.4336,98.7823,163
ames_v2_0127,0.001,0.5,32,5,0.1,0.01,5,0.0,83.8306,88.5052,98.9243,176
ames_v2_0067,0.0001,0.4,32,3,0.1,0.01,5,0.0,83.8152,88.6014,96.1256,189
ames_v2_0104,0.0001,0.4,64,7,0.1,0.01,5,0.0,83.7755,87.8677,96.4953,245
ames_v2_0088,0.0001,0.4,32,5,0.1,0.01,5,1e-05,83.7628,88.4012,97.4628,265
ames_v2_0068,0.0001,0.4,64,3,0.1,0.01,5,0.0,83.7553,88.4913,96.1864,233
ames_v2_0054,0.001,0.4,16,3,0.1,0.01,5,0.0,83.7506,87.9131,98.5015,85
ames_v2_0148,0.001,0.5,32,7,0.1,0.01,5,1e-05,83.7428,88.0494,97.6064,94
ames_v2_0142,0.0001,0.5,32,5,0.1,0.01,5,1e-05,83.7391,87.9316,95.9066,303
ames_v2_0072,0.001,0.4,16,5,0.1,0.01,5,0.0,83.7387,87.8954,98.8558,100
ames_v2_0154,0.0005,0.5,32,7,0.1,0.01,5,1e-05,83.7385,88.506,96.9445,113
ames_v2_0137,0.0005,0.5,64,5,0.1,0.01,5,1e-05,83.7382,88.1502,97.6618,143
ames_v2_0102,0.0001,0.4,16,7,0.1,0.01,5,0.0,83.7359,88.2226,95.9479,175
ames_v2_0065,0.0005,0.4,64,3,0.1,0.01,5,1e-05,83.7304,89.0719,98.6016,112
ames_v2_0007,0.0005,0.3,32,3,0.1,0.01,5,0.0,83.7261,88.1102,98.8338,73
ames_v2_0004,0.001,0.3,32,3,0.1,0.01,5,1e-05,83.7124,87.9993,98.8722,59
ames_v2_0152,0.0005,0.5,64,7,0.1,0.01,5,0.0,83.7101,88.7531,97.5485,147
ames_v2_0053,0.0001,0.3,64,7,0.1,0.01,5,1e-05,83.7077,87.9146,97.6658,206
ames_v2_0047,0.0005,0.3,64,7,0.1,0.01,5,1e-05,83.706,87.7668,98.9656,74
ames_v2_0147,0.001,0.5,16,7,0.1,0.01,5,1e-05,83.704,88.0678,96.8119,78
ames_v2_0064,0.0005,0.4,32,3,0.1,0.01,5,1e-05,83.6994,88.8124,98.248,112
ames_v2_0132,0.0005,0.5,16,5,0.1,0.01,5,0.0,83.6855,88.2688,97.28,163
ames_v2_0071,0.0001,0.4,64,3,0.1,0.01,5,1e-05,83.6727,88.9225,97.1786,287
ames_v2_0050,0.0001,0.3,64,7,0.1,0.01,5,0.0,83.6599,87.8792,97.5267,206
ames_v2_0105,0.0001,0.4,16,7,0.1,0.01,5,1e-05,83.6365,88.335,96.2386,169
ames_v2_0069,0.0001,0.4,16,3,0.1,0.01,5,1e-05,83.6343,88.6923,95.6393,140
ames_v2_0153,0.0005,0.5,16,7,0.1,0.01,5,1e-05,83.6104,87.8938,96.3853,90
ames_v2_0008,0.0005,0.3,64,3,0.1,0.01,5,0.0,83.5842,88.2218,99.1698,83
ames_v2_0098,0.0005,0.4,64,7,0.1,0.01,5,0.0,83.5812,87.6066,98.0174,91
ames_v2_0146,0.001,0.5,64,7,0.1,0.01,5,0.0,83.579,89.53,99.0348,176
ames_v2_0036,0.001,0.3,16,7,0.1,0.01,5,0.0,83.5763,87.378,98.9605,57
ames_v2_0118,0.0005,0.5,32,3,0.1,0.01,5,1e-05,83.5763,88.7346,97.0961,121
ames_v2_0003,0.001,0.3,16,3,0.1,0.01,5,1e-05,83.562,88.8702,99.01,72
ames_v2_0128,0.001,0.5,64,5,0.1,0.01,5,0.0,83.5587,88.2103,97.7356,102
ames_v2_0061,0.0005,0.4,32,3,0.1,0.01,5,0.0,83.5528,88.9179,98.368,95
ames_v2_0114,0.0005,0.5,16,3,0.1,0.01,5,0.0,83.5499,89.3244,96.2971,95
ames_v2_0074,0.001,0.4,64,5,0.1,0.01,5,0.0,83.5221,87.8322,98.9607,86
ames_v2_0037,0.001,0.3,32,7,0.1,0.01,5,0.0,83.5133,87.535,99.3782,68
ames_v2_0100,0.0005,0.4,32,7,0.1,0.01,5,1e-05,83.5117,88.0871,98.1553,94
ames_v2_0161,0.0001,0.5,64,7,0.1,0.01,5,1e-05,83.5041,88.6338,97.0199,488
ames_v2_0056,0.001,0.4,64,3,0.1,0.01,5,0.0,83.5018,88.2303,99.1447,96
ames_v2_0044,0.0005,0.3,64,7,0.1,0.01,5,0.0,83.4968,87.7668,99.248,93
ames_v2_0113,0.001,0.5,64,3,0.1,0.01,5,1e-05,83.4845,89.2544,97.4509,85
ames_v2_0103,0.0001,0.4,32,7,0.1,0.01,5,0.0,83.4833,88.0571,95.7774,175
ames_v2_0014,0.0001,0.3,64,3,0.1,0.01,5,0.0,83.4677,88.4998,98.0163,239
ames_v2_0027,0.0005,0.3,16,5,0.1,0.01,5,1e-05,83.4538,87.9862,98.6272,88
ames_v2_0134,0.0005,0.5,64,5,0.1,0.01,5,0.0,83.445,88.7932,97.9579,182
ames_v2_0115,0.0005,0.5,32,3,0.1,0.01,5,0.0,83.4436,88.6345,96.4788,96
ames_v2_0035,0.0001,0.3,64,5,0.1,0.01,5,1e-05,83.4107,87.6582,98.8377,285
ames_v2_0024,0.0005,0.3,16,5,0.1,0.01,5,0.0,83.4103,87.2263,98.0509,63
ames_v2_0012,0.0001,0.3,16,3,0.1,0.01,5,0.0,83.3981,88.7285,96.9311,140
ames_v2_0048,0.0001,0.3,16,7,0.1,0.01,5,0.0,83.3913,88.0155,97.4896,167
ames_v2_0016,0.0001,0.3,32,3,0.1,0.01,5,1e-05,83.3909,88.7223,98.4695,220
ames_v2_0073,0.001,0.4,32,5,0.1,0.01,5,0.0,83.3859,87.6082,98.5724,76
ames_v2_0023,0.001,0.3,64,5,0.1,0.01,5,1e-05,83.383,88.0894,99.5181,77
ames_v2_0145,0.001,0.5,32,7,0.1,0.01,5,0.0,83.3819,88.0748,98.6008,169
ames_v2_0119,0.0005,0.5,64,3,0.1,0.01,5,1e-05,83.3614,88.6061,96.8459,111
ames_v2_0110,0.001,0.5,64,3,0.1,0.01,5,0.0,83.3609,89.1989,98.5349,139
ames_v2_0051,0.0001,0.3,16,7,0.1,0.01,5,1e-05,83.339,87.8592,97.6342,169
ames_v2_0097,0.0005,0.4,32,7,0.1,0.01,5,0.0,83.3226,88.2203,97.5583,76
ames_v2_0121,0.0001,0.5,32,3,0.1,0.01,5,0.0,83.3169,88.0663,93.6828,163
ames_v2_0151,0.0005,0.5,32,7,0.1,0.01,5,0.0,83.2645,88.68,97.7002,183
ames_v2_0124,0.0001,0.5,32,3,0.1,0.01,5,1e-05,83.2484,88.7362,95.6006,259
ames_v2_0010,0.0005,0.3,32,3,0.1,0.01,5,1e-05,83.2427,88.7962,99.2074,83
ames_v2_0082,0.0005,0.4,32,5,0.1,0.01,5,1e-05,83.2369,87.9339,98.4237,100
ames_v2_0011,0.0005,0.3,64,3,0.1,0.01,5,1e-05,83.2331,88.5152,99.1245,83
ames_v2_0025,0.0005,0.3,32,5,0.1,0.01,5,0.0,83.2262,87.7167,99.3729,120
ames_v2_0032,0.0001,0.3,64,5,0.1,0.01,5,0.0,83.2212,87.4965,98.8758,331
ames_v2_0079,0.0005,0.4,32,5,0.1,0.01,5,0.0,83.1994,87.9077,98.0331,102
ames_v2_0092,0.001,0.4,64,7,0.1,0.01,5,0.0,83.1941,88.1079,99.0355,87
ames_v2_0015,0.0001,0.3,16,3,0.1,0.01,5,1e-05,83.1923,88.5414,97.3222,149
ames_v2_0055,0.001,0.4,32,3,0.1,0.01,5,0.0,83.1902,88.3527,97.8735,60
ames_v2_0125,0.0001,0.5,64,3,0.1,0.01,5,1e-05,83.168,88.8632,96.0053,354
ames_v2_0013,0.0001,0.3,32,3,0.1,0.01,5,0.0,83.1655,88.3743,97.57,178
ames_v2_0122,0.0001,0.5,64,3,0.1,0.01,5,0.0,83.1569,89.1381,96.3443,452
ames_v2_0033,0.0001,0.3,16,5,0.1,0.01,5,1e-05,83.1537,88.2834,98.5324,203
ames_v2_0109,0.001,0.5,32,3,0.1,0.01,5,0.0,83.1082,88.5013,97.4802,96
ames_v2_0059,0.001,0.4,64,3,0.1,0.01,5,1e-05,83.0756,87.8145,99.0024,83
ames_v2_0080,0.0005,0.4,64,5,0.1,0.01,5,0.0,83.0596,88.2311,98.7015,125
ames_v2_0155,0.0005,0.5,64,7,0.1,0.01,5,1e-05,83.0516,88.6754,97.6939,147
ames_v2_0038,0.001,0.3,64,7,0.1,0.01,5,0.0,83.0439,87.8238,99.8747,109
ames_v2_0046,0.0005,0.3,32,7,0.1,0.01,5,1e-05,83.0263,88.064,98.9786,95
ames_v2_0034,0.0001,0.3,32,5,0.1,0.01,5,1e-05,83.019,88.2965,97.9726,202
ames_v2_0017,0.0001,0.3,64,3,0.1,0.01,5,1e-05,83.0179,88.5953,98.2166,239
ames_v2_0039,0.001,0.3,16,7,0.1,0.01,5,1e-05,83.003,87.4804,98.7495,66
ames_v2_0028,0.0005,0.3,32,5,0.1,0.01,5,1e-05,82.9983,88.2072,99.1855,79
ames_v2_0026,0.0005,0.3,64,5,0.1,0.01,5,0.0,82.9828,87.8769,99.1489,89
ames_v2_0130,0.001,0.5,32,5,0.1,0.01,5,1e-05,82.9748,87.7907,98.1122,107
ames_v2_0077,0.001,0.4,64,5,0.1,0.01,5,1e-05,82.9533,88.1472,99.5649,125
ames_v2_0052,0.0001,0.3,32,7,0.1,0.01,5,1e-05,82.9413,87.8361,97.5358,175
ames_v2_0019,0.001,0.3,32,5,0.1,0.01,5,0.0,82.9284,87.9685,99.7844,125
