experiment_id,lr,dropout_ratio,batch_size,num_experts,alpha,beta,min_temp,decay,num_layer,emb_dim,gate_dim,split_type,val_metric,val_metric_std,test_metric,test_metric_std,num_epochs_trained,early_stopped,timestamp
enhanced_feat_exp000,0.0001,0.0,512,3,0.01,0.01,0.1,0.0,5,300,50,scaffold,70.5672,,82.3366,,100,False,2025-11-15 06:46:30
enhanced_feat_exp007,0.001,0.3,512,5,0.1,0.01,1.0,0.0,5,300,50,scaffold,77.6031,,59.0447,,28,True,2025-11-15 06:47:35
enhanced_feat_exp006,0.0001,0.0,512,3,0.01,0.01,1.0,0.0001,5,300,50,scaffold,69.5276,,80.5191,,100,False,2025-11-15 06:48:38
enhanced_feat_exp013,0.0001,0.3,512,3,0.1,0.1,0.1,0.0001,5,300,50,scaffold,71.3323,,81.3594,,100,False,2025-11-15 06:51:31
enhanced_feat_exp015,0.0001,0.3,512,7,1.0,0.01,1.0,0.0001,5,300,50,scaffold,75.7236,,66.2875,,100,False,2025-11-15 06:51:38
enhanced_feat_exp018,0.001,0.3,512,7,1.0,1.0,0.1,0.0001,5,300,50,scaffold,75.5905,,77.6618,,32,True,2025-11-15 06:52:20
enhanced_feat_exp022,0.001,0.3,512,7,0.01,1.0,1.0,0.0,5,300,50,scaffold,74.4095,,80.5562,,24,True,2025-11-15 06:52:58
enhanced_feat_exp023,0.001,0.3,512,3,0.01,1.0,1.0,0.0001,5,300,50,scaffold,71.1743,,81.3751,,31,True,2025-11-15 06:53:46
enhanced_feat_exp025,0.001,0.3,512,3,0.01,0.01,1.0,0.0,5,300,50,scaffold,72.0975,,82.1783,,28,True,2025-11-15 06:54:28
enhanced_feat_exp021,0.0001,0.0,512,3,0.01,0.1,0.1,0.0,5,300,50,scaffold,70.4341,,82.1783,,100,False,2025-11-15 06:54:28
enhanced_feat_exp028,0.0001,0.3,512,3,0.1,0.01,1.0,0.0001,5,300,50,scaffold,71.4072,,81.5119,,100,False,2025-11-15 06:56:41
enhanced_feat_exp031,0.0001,0.0,512,7,1.0,0.01,0.1,0.0,5,300,50,scaffold,73.4531,,74.4958,,100,False,2025-11-15 06:57:16
enhanced_feat_exp034,0.0001,0.3,512,5,0.1,0.01,1.0,0.0001,5,300,50,scaffold,72.9042,,76.2684,,100,False,2025-11-15 06:58:53
enhanced_feat_exp036,0.0001,0.3,512,5,0.01,0.01,1.0,0.0001,5,300,50,scaffold,73.7442,,80.5718,,100,False,2025-11-15 06:59:58
enhanced_feat_exp038,0.0001,0.0,512,3,0.01,1.0,0.1,0.0001,5,300,50,scaffold,68.2718,,78.6605,,100,False,2025-11-15 07:00:06
enhanced_feat_exp039,0.001,0.0,512,3,1.0,1.0,1.0,0.0001,5,300,50,scaffold,72.5965,,78.6605,,57,True,2025-11-15 07:00:08
enhanced_feat_exp045,0.001,0.0,512,5,0.01,0.1,0.1,0.0,5,300,50,scaffold,78.6011,,81.9418,,28,True,2025-11-15 07:01:32
enhanced_feat_exp046,0.001,0.3,512,3,0.01,0.01,0.1,0.0001,5,300,50,scaffold,70.5506,,80.6891,,33,True,2025-11-15 07:02:21
enhanced_feat_exp048,0.0001,0.0,512,3,1.0,0.1,0.1,0.0,5,300,50,scaffold,72.1723,,81.9399,,100,False,2025-11-15 07:04:30
enhanced_final,0.001,0.3,512,5,0.1,0.01,1.0,0.0,5,300,50,scaffold,,,84.1503,,64,True,2025-11-16 08:14:33
