experiment_id,lr,dropout_ratio,batch_size,num_experts,alpha,beta,min_temp,decay,num_layer,emb_dim,gate_dim,split_type,val_metric,val_metric_std,test_metric,test_metric_std,num_epochs_trained,early_stopped,timestamp,test_auprc,test_accuracy,test_f1,test_sensitivity,test_specificity,val_auprc,val_accuracy,val_f1,val_sensitivity,val_specificity
retune_exp001,0.0001,0.3,512,3,0.01,0.1,0.1,0.0001,5,300,50,random,59.1252,,65.8796,,52,True,2025-11-17 14:08:29,0.8607,0.4297,0.4160,0.2680,0.9355,0.8357,0.5625,0.6744,0.5686,0.5385
retune_exp002,0.001,0.3,512,5,0.01,1.0,0.1,0.0001,5,300,50,random,68.4766,,53.4752,,51,True,2025-11-17 14:09:52,0.7921,0.5781,0.6860,0.6082,0.4839,0.8643,0.7812,0.8750,0.9608,0.0769
retune_exp000,0.0001,0.0,512,7,0.01,1.0,1.0,0.0,5,300,50,random,69.9849,,61.5564,,100,False,2025-11-17 14:09:55,0.8450,0.7500,0.8532,0.9588,0.0968,0.8859,0.7500,0.8491,0.8824,0.2308
retune_exp003,0.001,0.3,512,5,0.01,1.0,0.1,0.0001,5,300,50,random,68.4766,,53.4752,,51,True,2025-11-17 14:10:06,0.7921,0.5781,0.6860,0.6082,0.4839,0.8643,0.7812,0.8750,0.9608,0.0769
retune_exp004,0.001,0.3,512,3,0.01,0.1,1.0,0.0,5,300,50,random,63.3484,,67.5424,,54,True,2025-11-17 14:10:18,0.8796,0.6016,0.6832,0.5670,0.7097,0.8116,0.7969,0.8829,0.9608,0.1538
retune_exp005,0.001,0.3,512,7,0.01,1.0,1.0,0.0,5,300,50,random,69.0799,,61.5564,,68,True,2025-11-17 14:11:57,0.8449,0.7344,0.8426,0.9381,0.0968,0.8690,0.7812,0.8679,0.9020,0.3077
retune_exp008,0.001,0.0,512,7,1.0,0.01,1.0,0.0,5,300,50,random,72.3982,,63.4519,,67,True,2025-11-17 14:12:24,0.8524,0.7422,0.8479,0.9485,0.0968,0.8826,0.7656,0.8571,0.8824,0.3077
retune_exp006,0.0001,0.3,512,7,0.1,0.01,1.0,0.0,5,300,50,random,67.8733,,60.9910,,100,False,2025-11-17 14:12:50,0.8428,0.7422,0.8421,0.9072,0.2258,0.8699,0.7344,0.8381,0.8627,0.2308
retune_exp007,0.0001,0.0,512,3,0.1,0.01,1.0,0.0,5,300,50,random,63.9517,,68.9724,,100,False,2025-11-17 14:13:02,0.8803,0.7031,0.7912,0.7423,0.5806,0.8131,0.7656,0.8485,0.8235,0.5385
retune_exp010,0.001,0.3,512,7,0.01,0.01,0.1,0.0,5,300,50,random,69.5324,,62.0552,,66,True,2025-11-17 14:14:14,0.8477,0.7344,0.8426,0.9381,0.0968,0.8783,0.7812,0.8679,0.9020,0.3077
retune_exp011,0.0001,0.3,512,3,0.01,0.01,0.1,0.0001,5,300,50,random,59.1252,,65.8796,,52,True,2025-11-17 14:14:17,0.8607,0.4297,0.4160,0.2680,0.9355,0.8374,0.5625,0.6744,0.5686,0.5385
retune_exp009,0.001,0.3,512,3,1.0,0.01,0.1,0.0,5,300,50,random,65.4600,,68.5401,,100,False,2025-11-17 14:14:37,0.8794,0.7578,0.8622,1.0000,0.0000,0.8426,0.7969,0.8850,0.9804,0.0769
retune_exp012,0.001,0.0,512,3,0.1,0.1,0.1,0.0,5,300,50,random,64.4042,,66.1789,,55,True,2025-11-17 14:14:37,0.8727,0.6406,0.7229,0.6186,0.7097,0.8291,0.7656,0.8598,0.9020,0.2308
retune_exp013,0.001,0.0,512,5,1.0,1.0,1.0,0.0,5,300,50,random,74.3590,,55.7699,,52,True,2025-11-17 14:15:50,0.8004,0.5547,0.6743,0.6082,0.3871,0.8558,0.7656,0.8598,0.9020,0.2308
retune_exp016,0.0001,0.0,512,5,1.0,0.1,1.0,0.0001,5,300,50,random,72.6998,,54.9385,,51,True,2025-11-17 14:16:10,0.7909,0.5000,0.5733,0.4433,0.6774,0.8798,0.7812,0.8654,0.8824,0.3846
retune_exp015,0.001,0.3,512,7,1.0,1.0,1.0,0.0,5,300,50,random,69.9849,,65.5471,,64,True,2025-11-17 14:16:32,0.8558,0.7500,0.8519,0.9485,0.1290,0.8763,0.7812,0.8679,0.9020,0.3077
retune_exp014,0.001,0.3,512,7,0.01,0.01,1.0,0.0001,5,300,50,random,67.1192,,58.2973,,76,True,2025-11-17 14:16:35,0.8318,0.7578,0.8584,0.9691,0.0968,0.8590,0.7812,0.8772,0.9804,0.0000
retune_exp017,0.001,0.0,512,5,1.0,0.01,1.0,0.0,5,300,50,random,74.5098,,55.8364,,52,True,2025-11-17 14:17:28,0.8010,0.5547,0.6743,0.6082,0.3871,0.8565,0.7656,0.8598,0.9020,0.2308
retune_exp020,0.0001,0.0,512,5,1.0,1.0,0.1,0.0,5,300,50,random,72.6998,,54.8720,,51,True,2025-11-17 14:18:03,0.7908,0.5000,0.5733,0.4433,0.6774,0.8653,0.7812,0.8654,0.8824,0.3846
retune_exp019,0.001,0.0,512,3,0.1,0.1,1.0,0.0001,5,300,50,random,62.2926,,63.2857,,53,True,2025-11-17 14:18:05,0.8585,0.5156,0.5811,0.4433,0.7419,0.8067,0.7969,0.8870,1.0000,0.0000
retune_exp018,0.0001,0.0,512,7,0.01,1.0,1.0,0.0001,5,300,50,random,65.1584,,57.5324,,100,False,2025-11-17 14:18:54,0.8343,0.7656,0.8636,0.9794,0.0968,0.8618,0.7656,0.8598,0.9020,0.2308
retune_exp023,0.001,0.3,512,5,0.1,0.01,0.1,0.0,5,300,50,random,68.6275,,53.9075,,51,True,2025-11-17 14:19:31,0.7974,0.5859,0.6864,0.5979,0.5484,0.8622,0.7656,0.8624,0.9216,0.1538
retune_exp022,0.0001,0.0,512,5,0.1,0.1,0.1,0.0001,5,300,50,random,72.6998,,55.0050,,51,True,2025-11-17 14:19:33,0.7912,0.5000,0.5733,0.4433,0.6774,0.8965,0.7812,0.8654,0.8824,0.3846
retune_exp021,0.001,0.0,512,3,0.01,0.1,1.0,0.0,5,300,50,random,65.4600,,67.8750,,100,False,2025-11-17 14:20:13,0.8685,0.7344,0.8455,0.9588,0.0323,0.8477,0.7812,0.8679,0.9020,0.3077
retune_exp024,0.001,0.0,512,3,0.1,1.0,1.0,0.0001,5,300,50,random,62.7451,,64.3831,,55,True,2025-11-17 14:20:31,0.8646,0.6016,0.6946,0.5979,0.6129,0.8131,0.7969,0.8870,1.0000,0.0000
retune_exp025,0.001,0.0,512,5,0.1,0.01,0.1,0.0,5,300,50,random,73.6048,,56.7675,,52,True,2025-11-17 14:21:04,0.8054,0.5703,0.6893,0.6289,0.3871,0.8741,0.7656,0.8598,0.9020,0.2308
retune_exp026,0.001,0.3,512,5,0.01,1.0,1.0,0.0,5,300,50,random,68.7783,,55.1380,,52,True,2025-11-17 14:21:08,0.8118,0.6250,0.7391,0.7010,0.3871,0.8705,0.7656,0.8624,0.9216,0.1538
retune_exp027,0.001,0.3,512,5,1.0,1.0,1.0,0.0,5,300,50,random,69.3816,,54.0406,,51,True,2025-11-17 14:21:48,0.7982,0.5859,0.6864,0.5979,0.5484,0.8565,0.7656,0.8624,0.9216,0.1538
retune_exp029,0.0001,0.0,512,5,0.01,0.1,1.0,0.0001,5,300,50,random,72.8507,,54.9385,,51,True,2025-11-17 14:22:38,0.7909,0.5000,0.5733,0.4433,0.6774,0.8967,0.7812,0.8654,0.8824,0.3846
retune_exp031,0.001,0.0,512,5,0.1,1.0,0.1,0.0001,5,300,50,random,73.1523,,55.1380,,51,True,2025-11-17 14:23:17,0.7939,0.5156,0.6173,0.5155,0.5161,0.8532,0.7656,0.8673,0.9608,0.0000
retune_exp028,0.0001,0.0,512,3,0.1,1.0,1.0,0.0,5,300,50,random,64.2534,,68.3738,,100,False,2025-11-17 14:23:22,0.8789,0.6875,0.7778,0.7216,0.5806,0.8274,0.7656,0.8485,0.8235,0.5385
