experiment_id,lr,dropout_ratio,batch_size,num_experts,alpha,beta,min_temp,decay,num_layer,emb_dim,gate_dim,split_type,val_metric,val_metric_std,test_metric,test_metric_std,num_epochs_trained,early_stopped,timestamp
enhanced_feat_exp003,0.001,0.3,512,3,0.1,0.01,0.1,0.0001,5,300,50,scaffold,85.5943,,89.8267,,23,True,2025-11-15 07:13:16
enhanced_feat_exp007,0.001,0.3,512,5,0.1,0.01,1.0,0.0,5,300,50,scaffold,87.6839,,88.9292,,40,True,2025-11-15 07:17:44
enhanced_feat_exp008,0.0001,0.0,512,5,0.1,0.1,0.1,0.0001,5,300,50,scaffold,87.1356,,90.4038,,80,True,2025-11-15 07:20:17
enhanced_feat_exp015,0.0001,0.3,512,7,1.0,0.01,1.0,0.0001,5,300,50,scaffold,83.7111,,89.9539,,81,True,2025-11-15 07:25:45
enhanced_feat_exp014,0.0001,0.3,512,7,0.01,1.0,1.0,0.0,5,300,50,scaffold,86.5668,,90.1279,,100,False,2025-11-15 07:26:23
enhanced_feat_exp018,0.001,0.3,512,7,1.0,1.0,0.1,0.0001,5,300,50,scaffold,84.3615,,80.5943,,25,True,2025-11-15 07:27:13
enhanced_feat_exp021,0.0001,0.0,512,3,0.01,0.1,0.1,0.0,5,300,50,scaffold,87.0321,,63.3142,,100,False,2025-11-15 07:32:27
enhanced_feat_exp025,0.001,0.3,512,3,0.01,0.01,1.0,0.0,5,300,50,scaffold,87.5139,,87.9415,,71,True,2025-11-15 07:34:22
enhanced_feat_exp027,0.0001,0.0,512,3,0.01,0.1,1.0,0.0001,5,300,50,scaffold,85.2074,,75.8310,,53,True,2025-11-15 07:34:53
enhanced_feat_exp033,0.0001,0.0,512,7,1.0,1.0,1.0,0.0001,5,300,50,scaffold,83.7772,,89.7810,,68,True,2025-11-15 07:39:22
enhanced_feat_exp034,0.0001,0.3,512,5,0.1,0.01,1.0,0.0001,5,300,50,scaffold,87.0073,,86.6561,,58,True,2025-11-15 07:40:33
enhanced_feat_exp039,0.001,0.0,512,3,1.0,1.0,1.0,0.0001,5,300,50,scaffold,85.3714,,88.1533,,24,True,2025-11-15 07:42:54
enhanced_feat_exp040,0.001,0.0,512,7,0.1,0.1,0.1,0.0,5,300,50,scaffold,86.3096,,87.3181,,25,True,2025-11-15 07:43:44
enhanced_feat_exp037,0.0001,0.3,512,7,1.0,1.0,0.1,0.0001,5,300,50,scaffold,83.5789,,84.9763,,91,True,2025-11-15 07:44:33
enhanced_feat_exp046,0.001,0.3,512,3,0.01,0.01,0.1,0.0001,5,300,50,scaffold,85.5843,,89.7041,,23,True,2025-11-15 07:48:16
enhanced_feat_exp044,0.0001,0.3,512,3,1.0,0.1,1.0,0.0,5,300,50,scaffold,86.8043,,89.4692,,100,False,2025-11-15 07:49:31
enhanced_feat_exp048,0.0001,0.0,512,3,1.0,0.1,0.1,0.0,5,300,50,scaffold,86.4683,,89.9690,,100,False,2025-11-15 07:53:10
enhanced_final,0.0001,0.0,512,3,0.01,0.1,0.1,0.0,5,300,50,scaffold,,,90.3789,,120,True,2025-11-16 08:18:16
