experiment_id,lr,dropout_ratio,batch_size,num_experts,alpha,beta,min_temp,decay,num_layer,emb_dim,gate_dim,split_type,val_metric,val_metric_std,test_metric,test_metric_std,num_epochs_trained,early_stopped,timestamp,test_auprc,test_accuracy,test_f1,test_sensitivity,test_specificity,val_auprc,val_accuracy,val_f1,val_sensitivity,val_specificity
retune_exp000,0.001,0.3,512,7,0.1,1.0,0.1,0.0,5,300,50,random,66.0377,,65.4097,,68,True,2025-11-17 17:16:11,0.4351,0.3037,0.4471,1.0000,0.0309,0.4052,0.3182,0.3478,0.9231,0.1698
retune_exp001,0.0001,0.3,512,3,0.1,0.01,0.1,0.0001,5,300,50,random,43.6865,,62.5339,,100,False,2025-11-17 17:17:25,0.4534,0.3333,0.4444,0.9474,0.0928,0.1803,0.2727,0.3143,0.8462,0.1321
retune_exp003,0.001,0.0,512,7,1.0,1.0,1.0,0.0001,5,300,50,random,66.0377,,67.3359,,64,True,2025-11-17 17:17:34,0.4624,0.2889,0.4419,1.0000,0.0103,0.3290,0.2576,0.3288,0.9231,0.0943
retune_exp004,0.001,0.0,512,7,1.0,1.0,0.1,0.0001,5,300,50,random,66.0377,,67.3359,,64,True,2025-11-17 17:17:40,0.4624,0.2889,0.4419,1.0000,0.0103,0.3295,0.2576,0.3288,0.9231,0.0943
retune_exp002,0.0001,0.3,512,3,0.1,0.1,0.1,0.0001,5,300,50,random,43.8316,,62.5882,,100,False,2025-11-17 17:18:13,0.4540,0.3333,0.4444,0.9474,0.0928,0.1806,0.2727,0.3143,0.8462,0.1321
retune_exp005,0.001,0.3,512,7,0.1,0.1,1.0,0.0,5,300,50,random,66.3280,,65.8437,,68,True,2025-11-17 17:18:50,0.4413,0.3037,0.4471,1.0000,0.0309,0.4017,0.3182,0.3478,0.9231,0.1698
retune_exp006,0.001,0.3,512,7,1.0,1.0,1.0,0.0,5,300,50,random,65.6023,,65.6810,,68,True,2025-11-17 17:18:59,0.4388,0.3111,0.4497,1.0000,0.0412,0.3969,0.3182,0.3478,0.9231,0.1698
retune_exp007,0.001,0.0,512,3,0.01,0.01,1.0,0.0,5,300,50,random,62.6996,,68.0955,,100,True,2025-11-17 17:19:41,0.4385,0.4296,0.4832,0.9474,0.2268,0.2898,0.3636,0.3636,0.9231,0.2264
retune_exp008,0.001,0.3,512,5,0.01,1.0,1.0,0.0,5,300,50,random,64.1509,,66.6305,,100,False,2025-11-17 17:20:15,0.4026,0.4667,0.5000,0.9474,0.2784,0.4606,0.3182,0.3478,0.9231,0.1698
retune_exp009,0.0001,0.0,512,5,1.0,1.0,0.1,0.0001,5,300,50,random,69.6662,,63.1850,,100,False,2025-11-17 17:20:56,0.4321,0.3556,0.4459,0.9211,0.1340,0.4573,0.2576,0.3467,1.0000,0.0755
retune_exp010,0.0001,0.3,512,5,0.1,0.1,0.1,0.0001,5,300,50,random,62.1190,,60.7705,,100,False,2025-11-17 17:21:02,0.3712,0.3778,0.4615,0.9474,0.1546,0.3748,0.2727,0.3143,0.8462,0.1321
retune_exp011,0.001,0.3,512,5,0.01,1.0,1.0,0.0001,5,300,50,random,62.2642,,65.2469,,66,True,2025-11-17 17:21:05,0.4270,0.3185,0.4458,0.9737,0.0619,0.3775,0.2727,0.3333,0.9231,0.1132
retune_exp012,0.0001,0.0,512,5,1.0,0.1,0.1,0.0001,5,300,50,random,70.2467,,63.4563,,100,False,2025-11-17 17:22:20,0.4379,0.3556,0.4459,0.9211,0.1340,0.4619,0.2576,0.3467,1.0000,0.0755
retune_exp015,0.001,0.3,512,7,0.1,1.0,0.1,0.0,5,300,50,random,66.0377,,65.3554,,68,True,2025-11-17 17:22:32,0.4350,0.3037,0.4471,1.0000,0.0309,0.4052,0.3182,0.3478,0.9231,0.1698
