experiment_id,lr,dropout_ratio,batch_size,num_experts,alpha,beta,min_temp,decay,num_layer,emb_dim,gate_dim,split_type,val_metric,val_metric_std,test_metric,test_metric_std,num_epochs_trained,early_stopped,timestamp
enhanced_feat_exp003,0.001,0.3,512,3,0.1,0.01,0.1,0.0001,5,300,50,scaffold,83.3441,,84.8035,,26,True,2025-11-15 09:49:26
enhanced_feat_exp000,0.0001,0.0,512,3,0.01,0.01,0.1,0.0,5,300,50,scaffold,85.8547,,85.5734,,100,False,2025-11-15 09:52:35
enhanced_feat_exp004,0.0001,0.3,512,7,0.1,0.01,1.0,0.0,5,300,50,scaffold,85.3805,,85.6283,,100,False,2025-11-15 09:54:40
enhanced_feat_exp005,0.001,0.0,512,7,1.0,0.1,0.1,0.0,5,300,50,scaffold,86.8315,,85.6283,,100,False,2025-11-15 09:54:54
enhanced_feat_exp007,0.001,0.3,512,5,0.1,0.01,1.0,0.0,5,300,50,scaffold,84.7036,,66.3712,,49,True,2025-11-15 09:55:18
enhanced_feat_exp008,0.0001,0.0,512,5,0.1,0.1,0.1,0.0001,5,300,50,scaffold,83.4610,,85.6155,,100,False,2025-11-15 10:00:05
enhanced_feat_exp009,0.0001,0.0,512,5,0.1,0.1,0.1,0.0,5,300,50,scaffold,85.2717,,85.7588,,100,False,2025-11-15 10:00:14
enhanced_feat_exp014,0.0001,0.3,512,7,0.01,1.0,1.0,0.0,5,300,50,scaffold,85.7050,,85.7872,,100,False,2025-11-15 10:05:41
enhanced_feat_exp015,0.0001,0.3,512,7,1.0,0.01,1.0,0.0001,5,300,50,scaffold,83.2218,,84.7597,,100,False,2025-11-15 10:06:12
enhanced_feat_exp018,0.001,0.3,512,7,1.0,1.0,0.1,0.0001,5,300,50,scaffold,83.5996,,84.5728,,28,True,2025-11-15 10:07:21
enhanced_feat_exp019,0.001,0.3,512,7,0.1,0.01,0.1,0.0,5,300,50,scaffold,85.5982,,84.0018,,41,True,2025-11-15 10:08:35
enhanced_feat_exp017,0.0001,0.3,512,7,0.01,0.01,1.0,0.0,5,300,50,scaffold,85.4816,,85.7888,,100,False,2025-11-15 10:11:06
enhanced_feat_exp023,0.001,0.3,512,3,0.01,1.0,1.0,0.0001,5,300,50,scaffold,83.3387,,85.5362,,28,True,2025-11-15 10:12:45
enhanced_feat_exp022,0.001,0.3,512,7,0.01,1.0,1.0,0.0,5,300,50,scaffold,86.4908,,84.1438,,82,True,2025-11-15 10:13:02
enhanced_feat_exp021,0.0001,0.0,512,3,0.01,0.1,0.1,0.0,5,300,50,scaffold,85.8609,,85.5770,,100,False,2025-11-15 10:13:08
enhanced_feat_exp025,0.001,0.3,512,3,0.01,0.01,1.0,0.0,5,300,50,scaffold,86.2483,,82.7081,,100,False,2025-11-15 10:18:05
enhanced_feat_exp027,0.0001,0.0,512,3,0.01,0.1,1.0,0.0001,5,300,50,scaffold,84.2258,,57.2320,,100,False,2025-11-15 10:18:20
enhanced_feat_exp031,0.0001,0.0,512,7,1.0,0.01,0.1,0.0,5,300,50,scaffold,86.0339,,85.9806,,100,False,2025-11-15 10:23:46
enhanced_feat_exp032,0.0001,0.0,512,7,0.01,0.1,0.1,0.0,5,300,50,scaffold,86.2359,,85.9956,,100,False,2025-11-15 10:24:10
enhanced_feat_exp037,0.0001,0.3,512,7,1.0,1.0,0.1,0.0001,5,300,50,scaffold,83.3901,,85.8532,,99,True,2025-11-15 10:30:22
enhanced_feat_exp039,0.001,0.0,512,3,1.0,1.0,1.0,0.0001,5,300,50,scaffold,84.1497,,84.6409,,30,True,2025-11-15 10:30:47
enhanced_feat_exp038,0.0001,0.0,512,3,0.01,1.0,0.1,0.0001,5,300,50,scaffold,84.4615,,85.3328,,85,True,2025-11-15 10:31:00
enhanced_feat_exp044,0.0001,0.3,512,3,1.0,0.1,1.0,0.0,5,300,50,scaffold,83.7350,,84.0547,,100,False,2025-11-15 10:37:25
enhanced_feat_exp047,0.001,0.3,512,5,0.1,1.0,1.0,0.0001,5,300,50,scaffold,83.1296,,72.7893,,28,True,2025-11-15 10:38:09
enhanced_feat_exp045,0.001,0.0,512,5,0.01,0.1,0.1,0.0,5,300,50,scaffold,85.9873,,83.4007,,49,True,2025-11-15 10:38:21
enhanced_feat_exp048,0.0001,0.0,512,3,1.0,0.1,0.1,0.0,5,300,50,scaffold,85.4539,,85.2056,,100,False,2025-11-15 10:42:06
enhanced_final,0.0001,0.0,512,3,0.01,0.1,1.0,0.0001,5,300,50,scaffold,,,84.1038,,91,True,2025-11-16 08:22:37
