experiment_id,lr,dropout_ratio,batch_size,num_experts,alpha,beta,min_temp,decay,num_layer,emb_dim,gate_dim,split_type,val_metric,val_metric_std,test_metric,test_metric_std,num_epochs_trained,early_stopped,timestamp,test_auprc,test_accuracy,test_f1,test_sensitivity,test_specificity,val_auprc,val_accuracy,val_f1,val_sensitivity,val_specificity
retune_exp000,0.001,0.0,512,5,0.01,1.0,1.0,0.0,5,300,50,random,59.7985,,57.0750,,69,True,2025-11-17 14:58:27,0.6407,0.6000,0.7429,0.9873,0.0536,0.6705,0.5821,0.7308,0.9744,0.0357
retune_exp001,0.0001,0.3,512,7,1.0,0.01,1.0,0.0,5,300,50,random,47.7106,,54.0235,,100,False,2025-11-17 15:00:06,0.5757,0.6222,0.7463,0.9494,0.1607,0.5818,0.6119,0.7500,1.0000,0.0714
retune_exp002,0.001,0.3,512,7,1.0,1.0,1.0,0.0,5,300,50,random,55.4029,,57.0750,,98,True,2025-11-17 15:00:49,0.6252,0.6222,0.7560,1.0000,0.0893,0.6675,0.5821,0.7358,1.0000,0.0000
retune_exp003,0.001,0.3,512,7,1.0,1.0,1.0,0.0001,5,300,50,random,55.6777,,55.0859,,100,False,2025-11-17 15:01:20,0.6058,0.5852,0.7383,1.0000,0.0000,0.6811,0.5821,0.7358,1.0000,0.0000
retune_exp004,0.0001,0.3,512,7,1.0,0.01,1.0,0.0001,5,300,50,random,46.7949,,53.9783,,100,False,2025-11-17 15:01:20,0.5750,0.6222,0.7512,0.9747,0.1250,0.5694,0.6119,0.7500,1.0000,0.0714
retune_exp005,0.001,0.0,512,7,1.0,0.1,0.1,0.0,5,300,50,random,54.8535,,55.0181,,94,True,2025-11-17 15:02:34,0.6151,0.6296,0.7573,0.9873,0.1250,0.6412,0.5672,0.7238,0.9744,0.0000
retune_exp006,0.0001,0.3,512,7,0.1,1.0,1.0,0.0001,5,300,50,random,46.1538,,53.3002,,60,True,2025-11-17 15:02:38,0.5782,0.5407,0.6026,0.5949,0.4643,0.5483,0.5970,0.7379,0.9744,0.0714
retune_exp008,0.0001,0.3,512,3,1.0,0.1,1.0,0.0001,5,300,50,random,63.8278,,54.1365,,100,False,2025-11-17 15:04:12,0.6167,0.5852,0.6782,0.7468,0.3571,0.7252,0.5373,0.6737,0.8205,0.1429
retune_exp007,0.0001,0.0,512,3,1.0,0.01,0.1,0.0,5,300,50,random,63.1868,,60.2848,,100,False,2025-11-17 15:04:12,0.6755,0.5926,0.6927,0.7848,0.3214,0.6913,0.5522,0.6809,0.8205,0.1786
retune_exp010,0.001,0.0,512,7,1.0,0.01,0.1,0.0001,5,300,50,random,52.9304,,55.0859,,91,True,2025-11-17 15:05:11,0.6112,0.5852,0.7383,1.0000,0.0000,0.6159,0.5821,0.7358,1.0000,0.0000
retune_exp009,0.001,0.3,512,7,1.0,0.1,1.0,0.0,5,300,50,random,54.6703,,56.6682,,100,False,2025-11-17 15:05:21,0.6258,0.6148,0.7524,1.0000,0.0714,0.6695,0.5821,0.7358,1.0000,0.0000
retune_exp011,0.0001,0.0,512,7,0.1,0.1,0.1,0.0001,5,300,50,random,51.0073,,55.9222,,73,True,2025-11-17 15:06:16,0.5937,0.6148,0.6941,0.7468,0.4286,0.5884,0.5970,0.7429,1.0000,0.0357
retune_exp014,0.0001,0.3,512,5,0.1,0.01,1.0,0.0001,5,300,50,random,52.1978,,46.4512,,52,True,2025-11-17 15:06:52,0.5646,0.4889,0.4964,0.4304,0.5714,0.5950,0.5970,0.7033,0.8205,0.2857
retune_exp012,0.0001,0.0,512,5,1.0,0.01,0.1,0.0,5,300,50,random,56.2271,,53.2098,,100,False,2025-11-17 15:07:00,0.6237,0.5704,0.7041,0.8734,0.1429,0.6547,0.6119,0.7451,0.9744,0.1071
retune_exp013,0.001,0.0,512,3,1.0,1.0,1.0,0.0001,5,300,50,random,65.9341,,60.6013,,98,True,2025-11-17 15:07:54,0.6656,0.5778,0.7324,0.9873,0.0000,0.6870,0.5821,0.7358,1.0000,0.0000
retune_exp015,0.001,0.3,512,3,0.01,0.1,0.1,0.0,5,300,50,random,62.6374,,56.7586,,59,True,2025-11-17 15:08:02,0.6390,0.6148,0.7234,0.8608,0.2679,0.7152,0.5821,0.7358,1.0000,0.0000
retune_exp017,0.001,0.3,512,3,1.0,0.01,1.0,0.0,5,300,50,random,64.0110,,59.9005,,90,True,2025-11-17 15:09:32,0.6533,0.6000,0.7429,0.9873,0.0536,0.7404,0.5821,0.7358,1.0000,0.0000
