experiment_id,lr,dropout_ratio,batch_size,num_experts,alpha,beta,min_temp,decay,num_layer,emb_dim,gate_dim,split_type,val_metric,val_metric_std,test_metric,test_metric_std,num_epochs_trained,early_stopped,timestamp,test_auprc,test_accuracy,test_f1,test_sensitivity,test_specificity,val_auprc,val_accuracy,val_f1,val_sensitivity,val_specificity
retune_exp001,0.001,0.3,512,5,0.1,0.01,1.0,0.0,5,300,50,random,85.2174,,69.0909,,58,True,2025-11-17 18:52:33,0.3978,0.4464,0.3922,0.9091,0.3333,0.7098,0.5357,0.3810,0.8000,0.4783
retune_exp002,0.001,0.0,512,5,0.1,0.01,1.0,0.0001,5,300,50,random,86.0870,,75.6566,,77,True,2025-11-17 18:52:51,0.4418,0.3036,0.3607,1.0000,0.1333,0.7196,0.4643,0.4000,1.0000,0.3478
retune_exp000,0.0001,0.0,512,5,0.01,0.01,1.0,0.0001,5,300,50,random,83.4783,,72.7273,,100,False,2025-11-17 18:53:05,0.3408,0.3571,0.3793,1.0000,0.2000,0.6667,0.4643,0.3478,0.8000,0.3913
retune_exp003,0.001,0.3,512,3,0.1,0.01,0.1,0.0001,5,300,50,random,77.3913,,70.0000,,77,True,2025-11-17 18:53:50,0.4945,0.3214,0.3448,0.9091,0.1778,0.5655,0.3929,0.3704,1.0000,0.2609
retune_exp005,0.001,0.0,512,7,0.01,1.0,1.0,0.0,5,300,50,random,93.0435,,74.5455,,54,True,2025-11-17 18:53:54,0.5037,0.5536,0.4186,0.8182,0.4889,0.6971,0.4286,0.3846,1.0000,0.3043
retune_exp004,0.001,0.0,512,3,1.0,0.01,1.0,0.0001,5,300,50,random,74.7826,,66.0606,,70,True,2025-11-17 18:54:00,0.4764,0.3214,0.3448,0.9091,0.1778,0.5389,0.3571,0.3571,1.0000,0.2174
retune_exp006,0.001,0.0,512,5,0.1,0.1,1.0,0.0,5,300,50,random,85.2174,,78.3838,,68,True,2025-11-17 18:54:13,0.5282,0.3929,0.3929,1.0000,0.2444,0.7160,0.5714,0.4545,1.0000,0.4783
retune_exp007,0.001,0.0,512,7,0.1,0.01,1.0,0.0001,5,300,50,random,93.0435,,72.7273,,54,True,2025-11-17 18:54:47,0.4916,0.5179,0.4000,0.8182,0.4444,0.7158,0.4286,0.3846,1.0000,0.3043
retune_exp008,0.0001,0.0,512,7,0.01,1.0,1.0,0.0,5,300,50,random,93.0435,,70.2020,,58,True,2025-11-17 18:54:52,0.4129,0.5893,0.4390,0.8182,0.5333,0.7889,0.5714,0.4545,1.0000,0.4783
retune_exp010,0.0001,0.0,512,5,0.1,0.01,1.0,0.0001,5,300,50,random,81.7391,,68.1818,,81,True,2025-11-17 18:55:33,0.2931,0.3929,0.3704,0.9091,0.2667,0.5621,0.4643,0.3478,0.8000,0.3913
retune_exp009,0.0001,0.3,512,3,1.0,1.0,0.1,0.0001,5,300,50,random,65.2174,,64.9495,,100,False,2025-11-17 18:55:37,0.3371,0.3214,0.3448,0.9091,0.1778,0.3344,0.3571,0.3571,1.0000,0.2174
retune_exp011,0.001,0.3,512,7,0.01,0.1,1.0,0.0001,5,300,50,random,80.8696,,69.1919,,56,True,2025-11-17 18:55:45,0.4626,0.3750,0.3636,0.9091,0.2444,0.7026,0.4286,0.3846,1.0000,0.3043
