experiment_id,lr,dropout_ratio,batch_size,num_experts,alpha,beta,min_temp,decay,num_layer,emb_dim,gate_dim,split_type,val_metric,val_metric_std,test_metric,test_metric_std,num_epochs_trained,early_stopped,timestamp,test_rmse,test_r2,test_pearson,test_spearman,val_rmse,val_r2,val_pearson,val_spearman
retune_exp000,0.001,0.3,512,5,0.1,0.01,1.0,0.0001,5,300,50,random,30.5322,,31.9094,,100,False,2025-11-17 19:24:17,50.1071,-0.0895,0.3671,0.4199,50.5477,-0.0226,0.4667,0.3955
retune_exp001,0.001,0.0,512,5,0.01,0.1,1.0,0.0,5,300,50,random,30.1794,,30.9613,,100,False,2025-11-17 19:24:19,49.2682,-0.0533,0.3493,0.4077,49.2765,0.0282,0.3930,0.2718
retune_exp002,0.001,0.0,512,7,0.01,0.1,0.1,0.0001,5,300,50,random,29.3164,,30.3083,,100,False,2025-11-17 19:24:33,47.6325,0.0155,0.3872,0.4746,48.4806,0.0593,0.4465,0.4184
retune_exp003,0.0001,0.0,512,5,1.0,0.1,1.0,0.0,5,300,50,random,37.9823,,40.0904,,100,False,2025-11-17 19:25:04,62.4981,-0.6949,0.1166,0.1012,62.6640,-0.5716,0.2847,0.2816
retune_exp004,0.001,0.0,512,3,0.01,0.1,0.1,0.0,5,300,50,random,29.6316,,30.9167,,100,False,2025-11-17 19:26:13,47.9294,0.0032,0.3773,0.4043,47.6151,0.0926,0.4426,0.3665
retune_exp005,0.001,0.3,512,5,0.01,1.0,0.1,0.0,5,300,50,random,30.0162,,31.4925,,100,False,2025-11-17 19:26:14,49.2065,-0.0506,0.3825,0.4416,49.8800,0.0042,0.4954,0.4203
retune_exp006,0.0001,0.3,512,7,0.01,0.01,1.0,0.0001,5,300,50,random,38.3220,,40.4286,,100,False,2025-11-17 19:26:30,62.7580,-0.7090,0.0282,0.0239,62.9539,-0.5862,0.1520,0.1280
retune_exp007,0.001,0.0,512,7,0.1,0.1,0.1,0.0001,5,300,50,random,29.1758,,30.4782,,100,False,2025-11-17 19:26:58,47.7653,0.0100,0.3863,0.4637,48.6264,0.0536,0.4463,0.4184
retune_exp008,0.001,0.3,512,7,1.0,0.1,0.1,0.0,5,300,50,random,29.8229,,31.6432,,100,False,2025-11-17 19:28:09,49.2383,-0.0520,0.3905,0.4301,50.1188,-0.0054,0.4984,0.4697
retune_exp009,0.001,0.0,512,3,1.0,1.0,1.0,0.0001,5,300,50,random,30.5061,,30.9832,,100,False,2025-11-17 19:28:11,47.5537,0.0187,0.3856,0.3873,48.9349,0.0416,0.4222,0.3273
