experiment_id,lr,dropout_ratio,batch_size,num_experts,alpha,beta,min_temp,decay,num_layer,emb_dim,gate_dim,split_type,val_metric,val_metric_std,test_metric,test_metric_std,num_epochs_trained,early_stopped,timestamp,test_rmse,test_r2,test_pearson,test_spearman,val_rmse,val_r2,val_pearson,val_spearman
retune_exp000,0.0001,0.0,512,7,0.01,0.01,0.1,0.0,5,300,50,random,27.6593,,28.3116,,100,False,2025-11-17 20:12:44,51.4882,-0.4284,0.1373,0.2138,49.7343,-0.4461,0.0574,-0.0482
retune_exp001,0.0001,0.3,512,5,0.01,0.1,1.0,0.0,5,300,50,random,27.5224,,28.1327,,100,False,2025-11-17 20:13:05,51.4021,-0.4236,0.1312,0.1902,49.6392,-0.4406,0.1217,-0.0675
retune_exp003,0.001,0.3,512,7,0.01,1.0,0.1,0.0,5,300,50,random,22.7086,,22.9474,,100,False,2025-11-17 20:13:27,43.7814,-0.0328,0.4914,0.5852,41.8240,-0.0227,0.3078,0.3841
retune_exp002,0.0001,0.3,512,3,0.01,0.1,0.1,0.0,5,300,50,random,27.2024,,27.8278,,100,False,2025-11-17 20:13:28,51.1754,-0.4111,0.1716,0.2433,49.4831,-0.4315,0.0444,-0.1094
retune_exp004,0.001,0.3,512,7,0.01,0.1,1.0,0.0,5,300,50,random,22.8001,,23.6127,,100,False,2025-11-17 20:14:39,45.1616,-0.0989,0.4623,0.5743,41.8335,-0.0231,0.3071,0.3837
retune_exp005,0.001,0.0,512,5,1.0,1.0,1.0,0.0001,5,300,50,random,22.0418,,22.5231,,100,False,2025-11-17 20:14:59,42.7187,0.0167,0.4657,0.5682,40.9419,0.0200,0.2389,0.3728
retune_exp006,0.0001,0.0,512,3,0.01,1.0,0.1,0.0,5,300,50,random,27.1077,,27.7207,,100,False,2025-11-17 20:15:25,51.0788,-0.4058,0.1793,0.2558,49.4129,-0.4275,0.0611,-0.1113
retune_exp007,0.001,0.3,512,3,0.1,1.0,0.1,0.0001,5,300,50,random,22.1467,,23.1973,,100,False,2025-11-17 20:15:26,43.3971,-0.0148,0.4898,0.6195,41.9227,-0.0275,0.2797,0.4082
retune_exp008,0.0001,0.3,512,5,1.0,0.01,0.1,0.0,5,300,50,random,27.5078,,28.1212,,100,False,2025-11-17 20:16:34,51.4057,-0.4238,0.1142,0.1823,49.6381,-0.4405,0.1104,-0.0670
retune_exp009,0.0001,0.0,512,3,0.1,0.01,1.0,0.0001,5,300,50,random,27.1937,,27.7327,,100,False,2025-11-17 20:16:53,51.1438,-0.4094,0.1753,0.2704,49.4367,-0.4288,0.1529,0.0257
retune_exp011,0.001,0.0,512,7,1.0,0.1,1.0,0.0,5,300,50,random,22.6593,,22.8469,,100,False,2025-11-17 20:17:19,43.9007,-0.0384,0.5010,0.5702,41.4288,-0.0034,0.2362,0.3318
retune_exp010,0.0001,0.0,512,7,1.0,0.01,0.1,0.0001,5,300,50,random,27.7075,,28.2929,,100,False,2025-11-17 20:17:22,51.5186,-0.4301,0.0830,0.1939,49.7587,-0.4475,0.1090,0.1459
retune_exp012,0.0001,0.0,512,5,1.0,0.01,0.1,0.0001,5,300,50,random,27.4619,,28.0223,,100,False,2025-11-17 20:18:33,51.4206,-0.4247,-0.1040,-0.0927,49.6244,-0.4397,0.0838,-0.0696
retune_exp013,0.001,0.0,512,5,1.0,0.01,0.1,0.0001,5,300,50,random,22.1096,,22.6968,,100,False,2025-11-17 20:18:51,42.9811,0.0046,0.4674,0.5687,41.0000,0.0172,0.2421,0.3683
retune_exp014,0.001,0.3,512,3,0.1,1.0,0.1,0.0,5,300,50,random,22.2563,,22.8842,,100,False,2025-11-17 20:19:18,43.6308,-0.0257,0.5029,0.6272,41.4617,-0.0050,0.3040,0.4263
retune_exp015,0.0001,0.3,512,3,0.1,0.01,1.0,0.0001,5,300,50,random,27.2192,,27.7754,,100,False,2025-11-17 20:19:21,51.1943,-0.4122,0.1589,0.2492,49.4893,-0.4319,0.0730,-0.0335
retune_exp016,0.001,0.3,512,5,1.0,0.01,0.1,0.0,5,300,50,random,22.0827,,22.9575,,100,False,2025-11-17 20:20:29,43.9428,-0.0404,0.4743,0.5983,41.2138,0.0069,0.3059,0.4044
retune_exp017,0.001,0.3,512,3,0.01,1.0,0.1,0.0001,5,300,50,random,22.1794,,23.4389,,100,False,2025-11-17 20:20:47,44.0515,-0.0456,0.4821,0.6148,41.9688,-0.0298,0.2796,0.4093
retune_exp018,0.001,0.3,512,5,1.0,0.01,1.0,0.0001,5,300,50,random,22.0438,,22.9735,,100,False,2025-11-17 20:21:11,43.7331,-0.0305,0.4890,0.6034,41.1927,0.0080,0.3140,0.4112
retune_exp019,0.001,0.0,512,5,1.0,1.0,1.0,0.0001,5,300,50,random,22.0452,,22.5646,,100,False,2025-11-17 20:21:17,42.7605,0.0148,0.4675,0.5711,40.9737,0.0185,0.2342,0.3628
retune_exp020,0.001,0.3,512,3,0.1,0.1,1.0,0.0,5,300,50,random,22.2594,,22.9455,,100,False,2025-11-17 20:22:25,43.6220,-0.0253,0.5010,0.6253,41.4343,-0.0037,0.3067,0.4252
retune_exp021,0.001,0.0,512,7,0.1,0.01,1.0,0.0,5,300,50,random,22.6836,,22.7897,,100,False,2025-11-17 20:22:38,43.6181,-0.0251,0.4949,0.5647,41.1322,0.0109,0.2589,0.3289
retune_exp022,0.001,0.3,512,3,1.0,0.1,1.0,0.0001,5,300,50,random,22.1915,,23.5124,,100,False,2025-11-17 20:23:09,44.2715,-0.0561,0.4756,0.6041,41.7877,-0.0209,0.2815,0.4133
retune_exp023,0.001,0.0,512,7,1.0,0.01,0.1,0.0001,5,300,50,random,22.5777,,22.8945,,100,False,2025-11-17 20:23:14,43.5861,-0.0236,0.4666,0.5372,41.0877,0.0130,0.2503,0.3307
retune_exp024,0.0001,0.3,512,7,0.1,0.1,1.0,0.0001,5,300,50,random,27.7013,,28.3100,,100,False,2025-11-17 20:24:21,51.5164,-0.4300,0.1392,0.2464,49.7590,-0.4475,0.0976,0.1307
retune_exp025,0.001,0.0,512,7,1.0,0.01,0.1,0.0001,5,300,50,random,22.5188,,22.9011,,100,False,2025-11-17 20:24:31,43.5911,-0.0238,0.4667,0.5377,41.1433,0.0103,0.2507,0.3311
retune_exp026,0.0001,0.0,512,5,0.01,0.1,0.1,0.0001,5,300,50,random,27.4983,,28.0695,,100,False,2025-11-17 20:25:07,51.4247,-0.4249,-0.0215,0.0375,49.6418,-0.4407,0.1041,-0.0755
retune_exp027,0.001,0.3,512,5,0.1,0.01,0.1,0.0001,5,300,50,random,21.8845,,23.0351,,100,False,2025-11-17 20:25:08,43.8558,-0.0363,0.4747,0.5873,41.0716,0.0138,0.3352,0.4305
retune_exp028,0.0001,0.0,512,3,0.01,0.1,0.1,0.0,5,300,50,random,27.1029,,27.7170,,100,False,2025-11-17 20:26:19,51.0780,-0.4057,0.1777,0.2507,49.4110,-0.4274,0.0602,-0.1158
