experiment_id,lr,dropout_ratio,batch_size,num_experts,alpha,beta,min_temp,decay,num_layer,emb_dim,gate_dim,split_type,val_metric,val_metric_std,test_metric,test_metric_std,num_epochs_trained,early_stopped,timestamp,test_auprc,test_accuracy,test_f1,test_sensitivity,test_specificity,val_auprc,val_accuracy,val_f1,val_sensitivity,val_specificity
retune_exp002,0.001,0.3,512,7,0.1,0.01,0.1,0.0,5,300,50,random,81.0860,,49.3056,,51,True,2025-11-17 12:50:49,0.0828,0.4108,0.1379,0.5833,0.3956,0.2187,0.1361,0.2112,1.0000,0.0231
retune_exp003,0.001,0.0,512,7,0.1,0.01,0.1,0.0,5,300,50,random,80.8371,,52.3810,,59,True,2025-11-17 12:51:05,0.1548,0.1077,0.1534,1.0000,0.0293,0.3340,0.1429,0.2125,1.0000,0.0308
retune_exp001,0.001,0.3,512,5,1.0,0.1,0.1,0.0001,5,300,50,random,69.6833,,66.7964,,71,True,2025-11-17 12:51:27,0.1793,0.0875,0.1505,1.0000,0.0073,0.1725,0.1156,0.2073,1.0000,0.0000
retune_exp000,0.0001,0.0,512,3,1.0,1.0,0.1,0.0,5,300,50,random,70.3846,,67.7579,,100,False,2025-11-17 12:52:22,0.1707,0.1145,0.1543,1.0000,0.0366,0.2317,0.1565,0.2152,1.0000,0.0462
retune_exp005,0.001,0.0,512,3,0.1,0.1,1.0,0.0,5,300,50,random,73.7330,,68.4982,,59,True,2025-11-17 12:53:06,0.1774,0.1549,0.1605,1.0000,0.0806,0.2853,0.1497,0.2138,1.0000,0.0385
retune_exp004,0.0001,0.0,512,7,0.01,1.0,1.0,0.0,5,300,50,random,79.9321,,52.3504,,100,False,2025-11-17 12:54:06,0.1305,0.1077,0.1534,1.0000,0.0293,0.3083,0.1497,0.2138,1.0000,0.0385
retune_exp006,0.001,0.0,512,5,0.1,0.1,0.1,0.0,5,300,50,random,73.3258,,63.6981,,100,False,2025-11-17 12:54:40,0.2325,0.1145,0.1543,1.0000,0.0366,0.2381,0.1429,0.2125,1.0000,0.0308
retune_exp008,0.001,0.3,512,5,1.0,0.1,1.0,0.0001,5,300,50,random,69.6606,,66.8346,,71,True,2025-11-17 12:55:23,0.1773,0.0875,0.1505,1.0000,0.0073,0.1672,0.1156,0.2073,1.0000,0.0000
retune_exp007,0.0001,0.0,512,5,0.01,1.0,0.1,0.0,5,300,50,random,69.3213,,65.8349,,100,False,2025-11-17 12:55:36,0.1722,0.1212,0.1553,1.0000,0.0440,0.2155,0.1361,0.2112,1.0000,0.0231
retune_exp009,0.001,0.0,512,7,1.0,1.0,0.1,0.0001,5,300,50,random,80.0905,,51.3202,,59,True,2025-11-17 12:55:56,0.1398,0.1010,0.1470,0.9583,0.0256,0.2406,0.1156,0.2073,1.0000,0.0000
retune_exp010,0.001,0.0,512,3,0.1,0.01,1.0,0.0,5,300,50,random,73.5747,,68.5821,,59,True,2025-11-17 12:56:22,0.1774,0.1481,0.1595,1.0000,0.0733,0.2710,0.1361,0.2112,1.0000,0.0231
retune_exp012,0.001,0.0,512,7,0.01,0.1,1.0,0.0001,5,300,50,random,79.0045,,52.1520,,59,True,2025-11-17 12:57:23,0.1634,0.1044,0.1529,1.0000,0.0256,0.2493,0.1361,0.2112,1.0000,0.0231
retune_exp013,0.0001,0.3,512,7,0.1,0.01,0.1,0.0,5,300,50,random,80.8145,,49.4277,,81,True,2025-11-17 12:58:14,0.0898,0.1852,0.1418,0.8333,0.1282,0.2382,0.1429,0.2125,1.0000,0.0308
