experiment_id,lr,dropout_ratio,batch_size,num_experts,alpha,beta,min_temp,decay,num_layer,emb_dim,gate_dim,split_type,val_metric,val_metric_std,test_metric,test_metric_std,num_epochs_trained,early_stopped,timestamp
enhanced_feat_exp001,0.001,0.0,512,3,0.01,0.01,0.1,0.0,5,300,50,scaffold,98.8571,,85.3498,,65,True,2025-11-15 13:35:46
enhanced_feat_exp002,0.001,0.0,512,7,0.1,0.01,0.1,0.0001,5,300,50,scaffold,97.7143,,50.8230,,96,True,2025-11-15 13:36:42
enhanced_feat_exp005,0.001,0.0,512,7,1.0,0.1,0.1,0.0,5,300,50,scaffold,97.4286,,56.0494,,48,True,2025-11-15 13:36:54
enhanced_feat_exp004,0.0001,0.3,512,7,0.1,0.01,1.0,0.0,5,300,50,scaffold,85.4286,,70.1646,,100,False,2025-11-15 13:37:30
enhanced_feat_exp011,0.0001,0.0,512,7,1.0,0.1,1.0,0.0001,5,300,50,scaffold,75.7143,,49.8765,,100,False,2025-11-15 13:39:45
enhanced_feat_exp014,0.0001,0.3,512,7,0.01,1.0,1.0,0.0,5,300,50,scaffold,86.2857,,70.4115,,100,False,2025-11-15 13:40:41
enhanced_feat_exp015,0.0001,0.3,512,7,1.0,0.01,1.0,0.0001,5,300,50,scaffold,68.0000,,56.3786,,100,False,2025-11-15 13:40:46
enhanced_feat_exp019,0.001,0.3,512,7,0.1,0.01,0.1,0.0,5,300,50,scaffold,98.0000,,59.2593,,82,True,2025-11-15 13:42:09
enhanced_feat_exp020,0.0001,0.3,512,7,1.0,0.01,0.1,0.0,5,300,50,scaffold,83.7143,,97.0370,,100,False,2025-11-15 13:42:31
enhanced_feat_exp022,0.001,0.3,512,7,0.01,1.0,1.0,0.0,5,300,50,scaffold,98.0000,,82.1399,,87,True,2025-11-15 13:42:52
enhanced_feat_exp025,0.001,0.3,512,3,0.01,0.01,1.0,0.0,5,300,50,scaffold,97.7143,,79.3004,,86,True,2025-11-15 13:44:00
enhanced_feat_exp034,0.0001,0.3,512,5,0.1,0.01,1.0,0.0001,5,300,50,scaffold,77.4286,,53.5802,,80,True,2025-11-15 13:46:48
enhanced_feat_exp040,0.001,0.0,512,7,0.1,0.1,0.1,0.0,5,300,50,scaffold,98.8571,,55.8436,,100,True,2025-11-15 13:49:39
enhanced_feat_exp049,0.001,0.3,512,5,1.0,1.0,0.1,0.0001,5,300,50,scaffold,97.7143,,97.2428,,100,False,2025-11-15 13:52:55
enhanced_final,0.0001,0.0,512,7,1.0,0.1,1.0,0.0001,5,300,50,scaffold,,,91.4815,,300,False,2025-11-16 08:30:55
