experiment_id,lr,dropout_ratio,batch_size,num_experts,alpha,beta,min_temp,decay,num_layer,emb_dim,gate_dim,split_type,val_metric,val_metric_std,test_metric,test_metric_std,num_epochs_trained,early_stopped,timestamp
enhanced_feat_exp001,0.001,0.0,512,3,0.01,0.01,0.1,0.0,5,300,50,scaffold,0.5153,,0.5424,,60,True,2025-11-15 15:08:58
enhanced_feat_exp002,0.001,0.0,512,7,0.1,0.01,0.1,0.0001,5,300,50,scaffold,0.5278,,2.3772,,66,True,2025-11-15 15:09:18
enhanced_feat_exp000,0.0001,0.0,512,3,0.01,0.01,0.1,0.0,5,300,50,scaffold,0.6234,,0.5099,,100,False,2025-11-15 15:10:21
enhanced_feat_exp003,0.001,0.3,512,3,0.1,0.01,0.1,0.0001,5,300,50,scaffold,0.5238,,2.4387,,100,False,2025-11-15 15:10:39
enhanced_feat_exp007,0.001,0.3,512,5,0.1,0.01,1.0,0.0,5,300,50,scaffold,0.5002,,0.8562,,100,False,2025-11-15 15:13:33
enhanced_feat_exp008,0.0001,0.0,512,5,0.1,0.1,0.1,0.0001,5,300,50,scaffold,0.6603,,0.5144,,100,False,2025-11-15 15:14:16
enhanced_feat_exp011,0.0001,0.0,512,7,1.0,0.1,1.0,0.0001,5,300,50,scaffold,0.7143,,0.7177,,100,False,2025-11-15 15:16:24
enhanced_feat_exp014,0.0001,0.3,512,7,0.01,1.0,1.0,0.0,5,300,50,scaffold,0.7135,,0.8293,,100,False,2025-11-15 15:18:41
enhanced_feat_exp015,0.0001,0.3,512,7,1.0,0.01,1.0,0.0001,5,300,50,scaffold,0.7451,,0.7757,,100,False,2025-11-15 15:18:54
enhanced_feat_exp017,0.0001,0.3,512,7,0.01,0.01,1.0,0.0,5,300,50,scaffold,0.7090,,1.7266,,100,False,2025-11-15 15:20:29
enhanced_feat_exp021,0.0001,0.0,512,3,0.01,0.1,0.1,0.0,5,300,50,scaffold,0.6229,,0.5715,,100,False,2025-11-15 15:23:21
enhanced_feat_exp025,0.001,0.3,512,3,0.01,0.01,1.0,0.0,5,300,50,scaffold,0.5150,,0.8917,,100,False,2025-11-15 15:26:12
enhanced_feat_exp027,0.0001,0.0,512,3,0.01,0.1,1.0,0.0001,5,300,50,scaffold,0.6697,,1.6234,,100,False,2025-11-15 15:27:13
enhanced_feat_exp028,0.0001,0.3,512,3,0.1,0.01,1.0,0.0001,5,300,50,scaffold,0.7031,,1.1516,,100,False,2025-11-15 15:27:44
enhanced_feat_exp031,0.0001,0.0,512,7,1.0,0.01,0.1,0.0,5,300,50,scaffold,0.6667,,0.6622,,100,False,2025-11-15 15:30:04
enhanced_feat_exp033,0.0001,0.0,512,7,1.0,1.0,1.0,0.0001,5,300,50,scaffold,0.7142,,0.7159,,100,False,2025-11-15 15:31:33
enhanced_feat_exp035,0.001,0.0,512,5,1.0,1.0,0.1,0.0,5,300,50,scaffold,0.4850,,1.4935,,65,True,2025-11-15 15:31:55
enhanced_feat_exp038,0.0001,0.0,512,3,0.01,1.0,0.1,0.0001,5,300,50,scaffold,0.6723,,0.6259,,100,False,2025-11-15 15:34:39
enhanced_feat_exp042,0.0001,0.0,512,7,0.01,0.1,0.1,0.0001,5,300,50,scaffold,0.7114,,0.7040,,100,False,2025-11-15 15:37:11
enhanced_feat_exp045,0.001,0.0,512,5,0.01,0.1,0.1,0.0,5,300,50,scaffold,0.4887,,0.5883,,65,True,2025-11-15 15:38:10
enhanced_feat_exp044,0.0001,0.3,512,3,1.0,0.1,1.0,0.0,5,300,50,scaffold,0.6655,,2.3781,,100,False,2025-11-15 15:38:32
enhanced_feat_exp046,0.001,0.3,512,3,0.01,0.01,0.1,0.0001,5,300,50,scaffold,0.5275,,0.8133,,100,False,2025-11-15 15:40:00
enhanced_feat_exp048,0.0001,0.0,512,3,1.0,0.1,0.1,0.0,5,300,50,scaffold,0.6396,,0.5886,,100,False,2025-11-15 15:40:59
enhanced_final,0.0001,0.0,512,3,0.01,0.01,0.1,0.0,5,300,50,scaffold,,,0.4903,,300,False,2025-11-16 08:37:03
