experiment_id,lr,dropout_ratio,batch_size,num_experts,alpha,beta,min_temp,decay,num_layer,emb_dim,gate_dim,split_type,val_metric,val_metric_std,test_metric,test_metric_std,num_epochs_trained,early_stopped,timestamp,test_auprc,test_accuracy,test_f1,test_sensitivity,test_specificity,val_auprc,val_accuracy,val_f1,val_sensitivity,val_specificity
retune_exp000,0.001,0.3,512,7,0.1,0.1,0.1,0.0001,5,300,50,random,63.6170,,69.6266,,88,True,2025-11-17 18:00:15,0.9252,0.8652,0.9277,1.0000,0.0000,0.9469,0.9261,0.9616,1.0000,0.0000
retune_exp001,0.0001,0.0,512,7,0.1,1.0,1.0,0.0001,5,300,50,random,57.3050,,64.8004,,100,False,2025-11-17 18:00:38,0.9177,0.8652,0.9277,1.0000,0.0000,0.9550,0.9261,0.9616,1.0000,0.0000
retune_exp002,0.001,0.3,512,7,1.0,0.01,0.1,0.0001,5,300,50,random,62.3759,,61.6894,,100,False,2025-11-17 18:01:49,0.9103,0.8652,0.9277,1.0000,0.0000,0.9464,0.9261,0.9616,1.0000,0.0000
retune_exp004,0.001,0.0,512,5,0.01,1.0,0.1,0.0001,5,300,50,random,44.6099,,68.0814,,74,True,2025-11-17 18:01:54,0.9040,0.8652,0.9277,1.0000,0.0000,0.8929,0.9261,0.9616,1.0000,0.0000
retune_exp003,0.001,0.3,512,7,1.0,1.0,0.1,0.0001,5,300,50,random,64.4681,,59.8944,,100,False,2025-11-17 18:02:19,0.9103,0.8652,0.9277,1.0000,0.0000,0.9603,0.9261,0.9616,1.0000,0.0000
retune_exp005,0.0001,0.3,512,7,0.1,0.01,0.1,0.0001,5,300,50,random,53.1206,,65.7275,,100,False,2025-11-17 18:02:53,0.9199,0.8652,0.9277,1.0000,0.0000,0.9481,0.9261,0.9616,1.0000,0.0000
retune_exp007,0.001,0.0,512,5,1.0,0.1,0.1,0.0001,5,300,50,random,44.0780,,69.7244,,74,True,2025-11-17 18:03:32,0.9145,0.8652,0.9277,1.0000,0.0000,0.8751,0.9261,0.9616,1.0000,0.0000
retune_exp006,0.001,0.3,512,3,0.01,0.1,1.0,0.0001,5,300,50,random,55.8511,,59.4746,,81,True,2025-11-17 18:03:34,0.8929,0.8652,0.9277,1.0000,0.0000,0.9073,0.9261,0.9616,1.0000,0.0000
retune_exp008,0.0001,0.0,512,7,0.01,0.01,1.0,0.0,5,300,50,random,63.6170,,72.0113,,100,False,2025-11-17 18:04:30,0.9314,0.8652,0.9277,1.0000,0.0000,0.9635,0.9261,0.9616,1.0000,0.0000
retune_exp009,0.001,0.3,512,5,0.01,0.1,0.1,0.0,5,300,50,random,64.9645,,71.6868,,100,False,2025-11-17 18:05:03,0.9218,0.8652,0.9277,1.0000,0.0000,0.9517,0.9261,0.9616,1.0000,0.0000
retune_exp010,0.001,0.3,512,5,1.0,0.1,1.0,0.0,5,300,50,random,63.5816,,66.9096,,100,False,2025-11-17 18:05:43,0.9165,0.8652,0.9277,1.0000,0.0000,0.9467,0.9261,0.9616,1.0000,0.0000
retune_exp011,0.0001,0.0,512,5,0.1,1.0,0.1,0.0001,5,300,50,random,35.8865,,63.8166,,100,False,2025-11-17 18:05:46,0.8951,0.8652,0.9277,1.0000,0.0000,0.8828,0.9261,0.9616,1.0000,0.0000
retune_exp012,0.001,0.0,512,3,0.1,1.0,0.1,0.0001,5,300,50,random,60.8156,,62.4723,,72,True,2025-11-17 18:06:07,0.8980,0.8652,0.9277,1.0000,0.0000,0.9309,0.9261,0.9616,1.0000,0.0000
retune_exp013,0.0001,0.0,512,5,0.01,0.01,1.0,0.0001,5,300,50,random,35.8156,,64.2390,,100,False,2025-11-17 18:07:14,0.8960,0.8652,0.9277,1.0000,0.0000,0.8829,0.9261,0.9616,1.0000,0.0000
retune_exp016,0.001,0.0,512,5,0.1,1.0,0.1,0.0001,5,300,50,random,44.2553,,68.6583,,73,True,2025-11-17 18:07:43,0.9066,0.8652,0.9277,1.0000,0.0000,0.8830,0.9261,0.9616,1.0000,0.0000
retune_exp014,0.0001,0.0,512,7,1.0,1.0,0.1,0.0001,5,300,50,random,57.5887,,67.2727,,100,False,2025-11-17 18:07:55,0.9169,0.8652,0.9277,1.0000,0.0000,0.9519,0.9261,0.9616,1.0000,0.0000
retune_exp015,0.0001,0.0,512,5,0.01,0.01,1.0,0.0,5,300,50,random,46.6312,,71.2542,,100,False,2025-11-17 18:07:57,0.9217,0.8652,0.9277,1.0000,0.0000,0.9154,0.9261,0.9616,1.0000,0.0000
retune_exp017,0.001,0.3,512,7,0.1,1.0,1.0,0.0001,5,300,50,random,61.7376,,70.8679,,85,True,2025-11-17 18:09:09,0.9310,0.8652,0.9277,1.0000,0.0000,0.9404,0.9261,0.9616,1.0000,0.0000
retune_exp019,0.001,0.3,512,3,0.1,1.0,0.1,0.0001,5,300,50,random,56.3121,,60.0721,,80,True,2025-11-17 18:09:47,0.8946,0.8652,0.9277,1.0000,0.0000,0.9119,0.9261,0.9616,1.0000,0.0000
retune_exp018,0.001,0.0,512,7,1.0,0.01,1.0,0.0,5,300,50,random,77.8723,,74.0613,,100,False,2025-11-17 18:10:00,0.9348,0.8652,0.9277,1.0000,0.0000,0.9707,0.9261,0.9616,1.0000,0.0000
retune_exp020,0.001,0.0,512,7,1.0,0.1,1.0,0.0,5,300,50,random,78.0851,,74.0896,,100,False,2025-11-17 18:10:08,0.9339,0.8652,0.9277,1.0000,0.0000,0.9714,0.9261,0.9616,1.0000,0.0000
retune_exp021,0.001,0.3,512,3,1.0,1.0,1.0,0.0001,5,300,50,random,59.8582,,58.4187,,83,True,2025-11-17 18:11:01,0.8969,0.8652,0.9277,1.0000,0.0000,0.9187,0.9261,0.9616,1.0000,0.0000
retune_exp022,0.0001,0.3,512,7,0.01,0.01,1.0,0.0001,5,300,50,random,52.9078,,65.2279,,100,False,2025-11-17 18:12:11,0.9184,0.8652,0.9277,1.0000,0.0000,0.9474,0.9261,0.9616,1.0000,0.0000
retune_exp023,0.0001,0.3,512,3,1.0,1.0,0.1,0.0001,5,300,50,random,52.8014,,54.6279,,100,False,2025-11-17 18:12:26,0.8826,0.8652,0.9277,1.0000,0.0000,0.9199,0.9261,0.9616,1.0000,0.0000
retune_exp024,0.0001,0.3,512,5,0.01,0.01,1.0,0.0001,5,300,50,random,34.5035,,60.4584,,100,False,2025-11-17 18:12:30,0.8830,0.8652,0.9277,1.0000,0.0000,0.8803,0.9261,0.9616,1.0000,0.0000
retune_exp025,0.0001,0.3,512,7,0.1,1.0,0.1,0.0001,5,300,50,random,53.5106,,65.4545,,100,False,2025-11-17 18:13:26,0.9200,0.8652,0.9277,1.0000,0.0000,0.9480,0.9261,0.9616,1.0000,0.0000
retune_exp026,0.0001,0.3,512,3,0.1,0.01,1.0,0.0,5,300,50,random,59.9291,,64.8313,,100,False,2025-11-17 18:14:25,0.9061,0.8652,0.9277,1.0000,0.0000,0.9378,0.9261,0.9616,1.0000,0.0000
