experiment_id,lr,dropout_ratio,batch_size,num_experts,alpha,beta,min_temp,decay,num_layer,emb_dim,gate_dim,split_type,val_metric,val_metric_std,test_metric,test_metric_std,num_epochs_trained,early_stopped,timestamp
enhanced_feat_exp002,0.001,0.0,512,7,0.1,0.01,0.1,0.0001,5,300,50,scaffold,89.5917,,76.3796,,64,True,2025-11-15 16:33:47
enhanced_feat_exp006,0.0001,0.0,512,3,0.01,0.01,1.0,0.0001,5,300,50,scaffold,79.8447,,76.9062,,100,False,2025-11-15 16:35:53
enhanced_feat_exp010,0.001,0.0,512,5,1.0,0.1,0.1,0.0001,5,300,50,scaffold,91.5756,,80.6785,,32,True,2025-11-15 16:35:54
enhanced_feat_exp011,0.0001,0.0,512,7,1.0,0.1,1.0,0.0001,5,300,50,scaffold,84.9339,,76.2597,,100,False,2025-11-15 16:37:53
enhanced_feat_exp017,0.0001,0.3,512,7,0.01,0.01,1.0,0.0,5,300,50,scaffold,85.7389,,87.0901,,65,True,2025-11-15 16:39:29
enhanced_feat_exp023,0.001,0.3,512,3,0.01,1.0,1.0,0.0001,5,300,50,scaffold,82.6624,,81.2117,,50,True,2025-11-15 16:41:17
enhanced_feat_exp021,0.0001,0.0,512,3,0.01,0.1,0.1,0.0,5,300,50,scaffold,86.0840,,85.7238,,100,False,2025-11-15 16:41:53
enhanced_feat_exp025,0.001,0.3,512,3,0.01,0.01,1.0,0.0,5,300,50,scaffold,90.7131,,60.6905,,100,False,2025-11-15 16:43:16
enhanced_feat_exp027,0.0001,0.0,512,3,0.01,0.1,1.0,0.0001,5,300,50,scaffold,79.6722,,76.9861,,100,False,2025-11-15 16:43:53
enhanced_feat_exp028,0.0001,0.3,512,3,0.1,0.01,1.0,0.0001,5,300,50,scaffold,76.8258,,58.2178,,100,False,2025-11-15 16:44:14
enhanced_feat_exp035,0.001,0.0,512,5,1.0,1.0,0.1,0.0,5,300,50,scaffold,92.4382,,76.7329,,29,True,2025-11-15 16:46:24
enhanced_feat_exp037,0.0001,0.3,512,7,1.0,1.0,0.1,0.0001,5,300,50,scaffold,83.0075,,85.4505,,100,False,2025-11-15 16:48:08
enhanced_feat_exp041,0.001,0.0,512,3,1.0,0.1,1.0,0.0,5,300,50,scaffold,91.6906,,77.4927,,100,False,2025-11-15 16:50:05
enhanced_feat_exp045,0.001,0.0,512,5,0.01,0.1,0.1,0.0,5,300,50,scaffold,91.7481,,83.9310,,30,True,2025-11-15 16:50:45
enhanced_feat_exp046,0.001,0.3,512,3,0.01,0.01,0.1,0.0001,5,300,50,scaffold,83.8413,,44.7614,,44,True,2025-11-15 16:51:01
enhanced_feat_exp047,0.001,0.3,512,5,0.1,1.0,1.0,0.0001,5,300,50,scaffold,89.8217,,80.6652,,34,True,2025-11-15 16:51:03
enhanced_feat_exp048,0.0001,0.0,512,3,1.0,0.1,0.1,0.0,5,300,50,scaffold,85.1926,,84.1642,,100,False,2025-11-15 16:52:37
enhanced_final,0.001,0.3,512,3,0.01,0.01,0.1,0.0001,5,300,50,scaffold,,,85.4905,,82,True,2025-11-16 08:33:24
