experiment_id,lr,dropout_ratio,batch_size,num_experts,alpha,beta,min_temp,decay,num_layer,emb_dim,gate_dim,split_type,val_metric,val_metric_std,test_metric,test_metric_std,num_epochs_trained,early_stopped,timestamp,test_auprc,test_accuracy,test_f1,test_sensitivity,test_specificity,val_auprc,val_accuracy,val_f1,val_sensitivity,val_specificity
retune_exp001,0.0001,0.3,512,5,0.01,0.1,0.1,0.0001,5,300,50,random,33.5859,,54.7112,,52,True,2025-11-17 15:50:19,0.6758,0.5244,0.5185,0.4468,0.6286,0.4527,0.5000,0.6296,0.7727,0.1667
retune_exp000,0.001,0.3,512,5,1.0,1.0,1.0,0.0,5,300,50,random,56.3131,,63.5866,,100,False,2025-11-17 15:50:48,0.7409,0.5976,0.7179,0.8936,0.2000,0.6240,0.5000,0.6667,0.9091,0.0000
retune_exp002,0.001,0.3,512,5,0.01,0.1,0.1,0.0,5,300,50,random,56.0606,,65.1064,,100,False,2025-11-17 15:51:32,0.7533,0.6098,0.7193,0.8723,0.2571,0.6187,0.5000,0.6667,0.9091,0.0000
retune_exp004,0.0001,0.3,512,5,0.1,1.0,0.1,0.0001,5,300,50,random,33.5859,,54.7112,,52,True,2025-11-17 15:51:48,0.6758,0.5244,0.5185,0.4468,0.6286,0.4440,0.4750,0.6182,0.7727,0.1111
retune_exp003,0.001,0.3,512,5,1.0,0.1,0.1,0.0,5,300,50,random,55.5556,,63.8298,,100,False,2025-11-17 15:52:10,0.7454,0.6098,0.7288,0.9149,0.2000,0.6241,0.5000,0.6667,0.9091,0.0000
retune_exp005,0.0001,0.3,512,7,0.01,1.0,0.1,0.0,5,300,50,random,63.8889,,67.5380,,100,False,2025-11-17 15:52:37,0.7621,0.5366,0.6935,0.9149,0.0286,0.6799,0.5500,0.7000,0.9545,0.0556
retune_exp007,0.0001,0.0,512,5,0.01,0.1,0.1,0.0001,5,300,50,random,47.7273,,52.4620,,51,True,2025-11-17 15:52:47,0.6765,0.5122,0.5455,0.5106,0.5143,0.5012,0.4500,0.5926,0.7273,0.1111
retune_exp008,0.0001,0.3,512,3,0.01,0.1,0.1,0.0001,5,300,50,random,77.2727,,51.9757,,55,True,2025-11-17 15:53:12,0.6388,0.5366,0.6275,0.6809,0.3429,0.7201,0.7000,0.7857,1.0000,0.3333
retune_exp006,0.0001,0.3,512,7,0.1,0.01,0.1,0.0001,5,300,50,random,60.8586,,67.7204,,100,False,2025-11-17 15:53:20,0.7475,0.5244,0.6880,0.9149,0.0000,0.6421,0.5500,0.7000,0.9545,0.0556
retune_exp010,0.0001,0.3,512,5,0.1,0.1,1.0,0.0001,5,300,50,random,33.5859,,54.7112,,52,True,2025-11-17 15:53:49,0.6758,0.5244,0.5185,0.4468,0.6286,0.4549,0.4750,0.6182,0.7727,0.1111
retune_exp012,0.0001,0.3,512,5,1.0,1.0,1.0,0.0001,5,300,50,random,33.5859,,54.5897,,52,True,2025-11-17 15:54:21,0.6748,0.5122,0.5000,0.4255,0.6286,0.4364,0.4250,0.5660,0.6818,0.1111
retune_exp011,0.001,0.3,512,7,0.1,0.01,0.1,0.0,5,300,50,random,65.4040,,69.1793,,62,True,2025-11-17 15:54:24,0.7870,0.5488,0.7040,0.9362,0.0286,0.6559,0.5250,0.6885,0.9545,0.0000
