experiment_id,lr,dropout_ratio,batch_size,num_experts,alpha,beta,min_temp,decay,num_layer,emb_dim,gate_dim,split_type,val_metric,val_metric_std,test_metric,test_metric_std,num_epochs_trained,early_stopped,timestamp
enhanced_feat_exp002,0.001,0.0,512,7,0.1,0.01,0.1,0.0001,5,300,50,scaffold,3.2167,,2.1934,,71,True,2025-11-15 17:38:56
enhanced_feat_exp011,0.0001,0.0,512,7,1.0,0.1,1.0,0.0001,5,300,50,scaffold,3.6215,,2.0763,,100,False,2025-11-15 17:42:49
enhanced_feat_exp015,0.0001,0.3,512,7,1.0,0.01,1.0,0.0001,5,300,50,scaffold,3.6018,,2.0672,,100,False,2025-11-15 17:44:50
enhanced_feat_exp019,0.001,0.3,512,7,0.1,0.01,0.1,0.0,5,300,50,scaffold,3.2094,,1.9576,,72,True,2025-11-15 17:46:13
enhanced_feat_exp025,0.001,0.3,512,3,0.01,0.01,1.0,0.0,5,300,50,scaffold,3.1862,,2.0767,,58,True,2025-11-15 17:48:23
enhanced_feat_exp027,0.0001,0.0,512,3,0.01,0.1,1.0,0.0001,5,300,50,scaffold,3.3382,,2.0085,,100,False,2025-11-15 17:49:37
enhanced_feat_exp034,0.0001,0.3,512,5,0.1,0.01,1.0,0.0001,5,300,50,scaffold,3.5078,,2.0214,,100,False,2025-11-15 17:53:06
enhanced_feat_exp038,0.0001,0.0,512,3,0.01,1.0,0.1,0.0001,5,300,50,scaffold,3.3412,,2.0431,,100,False,2025-11-15 17:55:03
enhanced_feat_exp040,0.001,0.0,512,7,0.1,0.1,0.1,0.0,5,300,50,scaffold,3.2353,,2.5001,,65,True,2025-11-15 17:55:05
enhanced_feat_exp041,0.001,0.0,512,3,1.0,0.1,1.0,0.0,5,300,50,scaffold,3.1195,,2.0437,,78,True,2025-11-15 17:55:55
enhanced_feat_exp046,0.001,0.3,512,3,0.01,0.01,0.1,0.0001,5,300,50,scaffold,3.2107,,1.9845,,75,True,2025-11-15 17:58:21
enhanced_feat_exp047,0.001,0.3,512,5,0.1,1.0,1.0,0.0001,5,300,50,scaffold,3.2086,,2.0276,,79,True,2025-11-15 17:58:37
enhanced_feat_exp048,0.0001,0.0,512,3,1.0,0.1,0.1,0.0,5,300,50,scaffold,3.3432,,1.9624,,100,False,2025-11-15 17:59:02
enhanced_final,0.001,0.3,512,7,0.1,0.01,0.1,0.0,5,300,50,scaffold,,,1.9333,,68,True,2025-11-16 08:35:30
