experiment_id,lr,dropout_ratio,batch_size,num_experts,alpha,beta,min_temp,decay,num_layer,emb_dim,gate_dim,split_type,val_metric,val_metric_std,test_metric,test_metric_std,num_epochs_trained,early_stopped,timestamp,test_auprc,test_accuracy,test_f1,test_sensitivity,test_specificity,val_auprc,val_accuracy,val_f1,val_sensitivity,val_specificity
retune_exp000,0.001,0.3,512,3,0.01,1.0,1.0,0.0001,5,300,50,random,75.7000,,67.4374,,100,False,2025-11-17 16:24:48,0.8079,0.7348,0.8472,1.0000,0.0000,0.8058,0.6154,0.7619,1.0000,0.0000
retune_exp001,0.0001,0.3,512,3,0.01,0.01,0.1,0.0001,5,300,50,random,52.6000,,55.1694,,100,False,2025-11-17 16:26:17,0.7708,0.7348,0.8430,0.9691,0.0857,0.6614,0.6154,0.7525,0.9500,0.0800
retune_exp002,0.0001,0.0,512,3,0.01,0.01,0.1,0.0,5,300,50,random,70.5000,,65.5965,,100,False,2025-11-17 16:26:26,0.8174,0.7576,0.8545,0.9691,0.1714,0.7838,0.6000,0.7292,0.8750,0.1600
retune_exp003,0.0001,0.3,512,7,0.01,1.0,1.0,0.0001,5,300,50,random,66.3000,,58.4389,,100,False,2025-11-17 16:26:38,0.7755,0.7500,0.8546,1.0000,0.0571,0.7482,0.6615,0.7843,1.0000,0.1200
retune_exp004,0.0001,0.3,512,3,0.1,0.1,0.1,0.0001,5,300,50,random,52.2000,,54.1679,,100,False,2025-11-17 16:26:52,0.7672,0.7197,0.8341,0.9588,0.0571,0.6429,0.6154,0.7475,0.9250,0.1200
retune_exp005,0.001,0.3,512,7,0.01,0.1,1.0,0.0001,5,300,50,random,82.6000,,67.8056,,100,False,2025-11-17 16:28:24,0.8008,0.7348,0.8472,1.0000,0.0000,0.8961,0.6308,0.7647,0.9750,0.0800
retune_exp006,0.001,0.3,512,3,1.0,0.01,1.0,0.0,5,300,50,random,80.0000,,73.4610,,100,False,2025-11-17 16:28:32,0.8358,0.7424,0.8509,1.0000,0.0286,0.8626,0.6462,0.7677,0.9500,0.1600
retune_exp007,0.001,0.0,512,5,1.0,1.0,0.1,0.0,5,300,50,random,81.9000,,67.7320,,100,False,2025-11-17 16:28:42,0.7862,0.7879,0.8727,0.9897,0.2286,0.8710,0.6923,0.7778,0.8750,0.4000
retune_exp008,0.001,0.0,512,3,0.01,0.1,1.0,0.0001,5,300,50,random,77.4000,,67.9676,,100,False,2025-11-17 16:28:56,0.8169,0.7348,0.8472,1.0000,0.0000,0.8130,0.6000,0.7500,0.9750,0.0000
retune_exp009,0.001,0.3,512,5,1.0,0.01,0.1,0.0,5,300,50,random,81.1000,,68.9838,,100,False,2025-11-17 16:30:29,0.8006,0.7500,0.8546,1.0000,0.0571,0.8721,0.6462,0.7677,0.9500,0.1600
retune_exp010,0.0001,0.0,512,7,0.01,0.01,1.0,0.0,5,300,50,random,77.1000,,71.2813,,100,False,2025-11-17 16:30:34,0.8335,0.7652,0.8622,1.0000,0.1143,0.8624,0.6923,0.7872,0.9250,0.3200
retune_exp011,0.0001,0.0,512,5,1.0,0.1,1.0,0.0,5,300,50,random,73.5000,,66.2297,,100,False,2025-11-17 16:30:45,0.7846,0.7879,0.8727,0.9897,0.2286,0.8359,0.6462,0.7473,0.8500,0.3200
retune_exp012,0.0001,0.0,512,3,1.0,0.01,0.1,0.0001,5,300,50,random,58.2000,,56.5832,,100,False,2025-11-17 16:31:01,0.7787,0.7576,0.8545,0.9691,0.1714,0.6651,0.6154,0.7423,0.9000,0.1600
retune_exp014,0.001,0.0,512,7,1.0,0.01,1.0,0.0001,5,300,50,random,83.0000,,74.5508,,81,True,2025-11-17 16:32:19,0.8376,0.7500,0.8546,1.0000,0.0571,0.8854,0.6308,0.7647,0.9750,0.0800
retune_exp013,0.0001,0.0,512,3,0.1,1.0,0.1,0.0,5,300,50,random,67.2000,,66.2887,,100,False,2025-11-17 16:32:34,0.8185,0.7424,0.8468,0.9691,0.1143,0.7617,0.6154,0.7368,0.8750,0.2000
retune_exp015,0.001,0.0,512,5,0.1,0.1,1.0,0.0001,5,300,50,random,79.8000,,65.7585,,100,True,2025-11-17 16:32:50,0.8028,0.7348,0.8472,1.0000,0.0000,0.8521,0.6308,0.7692,1.0000,0.0400
retune_exp016,0.0001,0.0,512,5,1.0,1.0,1.0,0.0001,5,300,50,random,67.1000,,62.8866,,100,False,2025-11-17 16:33:05,0.7621,0.7576,0.8584,1.0000,0.0857,0.7691,0.6462,0.7527,0.8750,0.2800
retune_exp017,0.001,0.0,512,7,0.01,1.0,1.0,0.0,5,300,50,random,83.5000,,75.4050,,77,True,2025-11-17 16:33:59,0.8523,0.7803,0.8688,0.9897,0.2000,0.8877,0.7231,0.7955,0.8750,0.4800
retune_exp018,0.001,0.0,512,3,0.01,0.1,1.0,0.0,5,300,50,random,81.4000,,70.4860,,100,False,2025-11-17 16:34:42,0.8282,0.7803,0.8700,1.0000,0.1714,0.8599,0.6615,0.7609,0.8750,0.3200
retune_exp019,0.001,0.3,512,7,0.01,0.01,0.1,0.0001,5,300,50,random,82.4000,,66.1561,,100,False,2025-11-17 16:34:58,0.7820,0.7348,0.8472,1.0000,0.0000,0.8948,0.6308,0.7647,0.9750,0.0800
retune_exp020,0.0001,0.3,512,3,1.0,0.01,1.0,0.0,5,300,50,random,67.5000,,63.9764,,100,False,2025-11-17 16:35:16,0.8081,0.7500,0.8507,0.9691,0.1429,0.7590,0.6308,0.7551,0.9250,0.1600
retune_exp021,0.0001,0.3,512,7,0.01,0.01,0.1,0.0,5,300,50,random,73.7000,,66.5390,,100,False,2025-11-17 16:36:10,0.8116,0.7576,0.8584,1.0000,0.0857,0.8240,0.6462,0.7677,0.9500,0.1600
retune_exp022,0.0001,0.3,512,3,1.0,0.1,0.1,0.0,5,300,50,random,67.5000,,63.9617,,100,False,2025-11-17 16:36:54,0.8083,0.7500,0.8507,0.9691,0.1429,0.7590,0.6308,0.7551,0.9250,0.1600
retune_exp023,0.001,0.3,512,5,0.01,0.1,0.1,0.0001,5,300,50,random,79.1000,,67.3490,,100,False,2025-11-17 16:37:08,0.8057,0.7348,0.8472,1.0000,0.0000,0.8575,0.6308,0.7692,1.0000,0.0400
retune_exp024,0.001,0.0,512,3,0.01,0.1,0.1,0.0,5,300,50,random,81.5000,,70.4124,,100,False,2025-11-17 16:37:28,0.8262,0.7803,0.8700,1.0000,0.1714,0.8598,0.6615,0.7609,0.8750,0.3200
retune_exp025,0.001,0.0,512,5,0.01,1.0,1.0,0.0001,5,300,50,random,79.7000,,66.8778,,96,True,2025-11-17 16:38:10,0.8025,0.7348,0.8472,1.0000,0.0000,0.8696,0.6308,0.7692,1.0000,0.0400
retune_exp026,0.001,0.3,512,3,0.1,0.1,1.0,0.0,5,300,50,random,80.9000,,72.1208,,98,True,2025-11-17 16:39:07,0.8358,0.7500,0.8546,1.0000,0.0571,0.8625,0.6462,0.7677,0.9500,0.1600
retune_exp027,0.001,0.0,512,3,1.0,1.0,1.0,0.0001,5,300,50,random,76.6000,,70.7658,,100,False,2025-11-17 16:39:23,0.8214,0.7348,0.8472,1.0000,0.0000,0.7988,0.6000,0.7500,0.9750,0.0000
retune_exp028,0.0001,0.3,512,7,1.0,1.0,1.0,0.0001,5,300,50,random,68.3000,,56.0088,,100,False,2025-11-17 16:39:45,0.7673,0.7500,0.8546,1.0000,0.0571,0.7662,0.6615,0.7843,1.0000,0.1200
retune_exp029,0.0001,0.3,512,5,0.01,0.1,0.1,0.0,5,300,50,random,71.7000,,60.4860,,100,False,2025-11-17 16:40:22,0.7699,0.7576,0.8571,0.9897,0.1143,0.7904,0.6462,0.7629,0.9250,0.2000
