experiment_id,lr,dropout_ratio,batch_size,num_experts,alpha,beta,min_temp,decay,num_layer,emb_dim,gate_dim,split_type,train_metric,val_metric,val_metric_std,test_metric,test_metric_std,num_epochs_trained,early_stopped,timestamp,train_auprc,train_accuracy,train_f1,train_sensitivity,train_specificity,val_auprc,val_accuracy,val_f1,val_sensitivity,val_specificity,test_auprc,test_accuracy,test_f1,test_sensitivity,test_specificity,features
optuna_trial_0_seed_0,0.0009824344315505478,0.4,64,8,0.04008849162362041,0.007007680284580093,1,0,5,300,50,scaffold,99.9457,79.2484,,69.6442,,78,True,2025-11-26 01:49:17,0.9998,0.9866,0.9910,0.9822,1.0000,0.9406,0.7778,0.8542,0.8039,0.6667,0.8823,0.7132,0.8042,0.7451,0.5926,basic
optuna_trial_0_seed_1,0.0009824344315505478,0.4,64,8,0.04008849162362041,0.007007680284580093,1,0,5,300,50,scaffold,99.6904,68.0000,,68.2870,,62,True,2025-11-26 01:50:46,0.9992,0.9621,0.9747,0.9507,1.0000,0.7388,0.5938,0.6486,0.6154,0.5600,0.9191,0.7344,0.8333,0.7870,0.4500,basic
optuna_trial_0_seed_0,0.00032852371876208723,0.1,256,3,0.762343573739316,0.0023296931535203977,1,0,3,300,50,scaffold,98.6429,63.7255,,72.1859,,200,False,2025-11-26 01:51:08,0.9961,0.9284,0.9508,0.9142,0.9725,0.8705,0.6349,0.7416,0.6471,0.5833,0.9095,0.6667,0.7543,0.6471,0.7407,basic+phys
optuna_trial_0_seed_1,0.00032852371876208723,0.1,256,3,0.762343573739316,0.0023296931535203977,1,0,3,300,50,scaffold,83.7118,67.7949,,58.7037,,63,True,2025-11-26 01:52:18,0.9423,0.7455,0.8179,0.7420,0.7573,0.6660,0.5938,0.6486,0.6154,0.5600,0.8782,0.5625,0.6818,0.5556,0.6000,basic+phys
optuna_trial_0_seed_2,0.0009824344315505478,0.4,64,8,0.04008849162362041,0.007007680284580093,1,0,5,300,50,scaffold,99.8984,59.5714,,57.3499,,75,True,2025-11-26 01:52:35,0.9997,0.9777,0.9849,0.9703,1.0000,0.7970,0.5781,0.7097,0.6600,0.2857,0.8507,0.6250,0.7447,0.6667,0.4348,basic
optuna_trial_0_seed_2,0.00032852371876208723,0.1,256,3,0.762343573739316,0.0023296931535203977,1,0,3,300,50,scaffold,85.0188,70.1429,,60.7453,,55,True,2025-11-26 01:53:21,0.9476,0.7746,0.8363,0.7656,0.8018,0.8125,0.6250,0.7143,0.6000,0.7143,0.8659,0.7891,0.8778,0.9238,0.1739,basic+phys
optuna_trial_0_seed_3,0.0009824344315505478,0.4,64,8,0.04008849162362041,0.007007680284580093,1,0,5,300,50,scaffold,99.9109,74.0260,,64.0271,,62,True,2025-11-26 01:54:04,0.9998,0.9621,0.9750,0.9511,1.0000,0.7560,0.7031,0.7711,0.7619,0.5909,0.8893,0.6250,0.7273,0.6275,0.6154,basic
optuna_trial_0_seed_3,0.00032852371876208723,0.1,256,3,0.762343573739316,0.0023296931535203977,1,0,3,300,50,scaffold,89.4339,62.1212,,57.3906,,63,True,2025-11-26 01:54:32,0.9660,0.7790,0.8426,0.7615,0.8400,0.6934,0.5938,0.6829,0.6667,0.4545,0.8562,0.6094,0.7340,0.6765,0.3462,basic+phys
optuna_trial_0_seed_4,0.00032852371876208723,0.1,256,3,0.762343573739316,0.0023296931535203977,1,0,3,300,50,scaffold,84.7812,62.0926,,70.4005,,61,True,2025-11-26 01:55:41,0.9483,0.7522,0.8183,0.7246,0.8447,0.8490,0.5312,0.6512,0.5283,0.5455,0.8248,0.7500,0.8333,0.8511,0.4706,basic+phys
optuna_trial_0_seed_4,0.0009824344315505478,0.4,64,8,0.04008849162362041,0.007007680284580093,1,0,5,300,50,scaffold,99.9916,67.7530,,67.1464,,118,True,2025-11-26 01:56:54,1.0000,0.9866,0.9912,0.9826,1.0000,0.8743,0.6719,0.7835,0.7170,0.4545,0.8322,0.7266,0.8128,0.8085,0.5000,basic
optuna_trial_0_seed_0,0.001949142976060196,0.0,64,6,0.04903266730692406,0.02001790847781697,0.08653843703884248,2.7730756502341815e-06,7,300,50,scaffold,99.5603,71.2418,,74.8366,,53,True,2025-11-26 02:07:59,0.9987,0.7584,0.8099,0.6805,1.0000,0.8712,0.4286,0.5135,0.3725,0.6667,0.9059,0.4651,0.5241,0.3725,0.8148,basic
optuna_trial_0_seed_0,0.0003625599743460469,0.1,128,4,0.05838435013932832,0.002662170883379199,0.011665320869449934,8.170355818070177e-05,5,300,50,scaffold,99.5169,72.5490,,68.7001,,120,True,2025-11-26 02:08:57,0.9985,0.9687,0.9790,0.9675,0.9725,0.9028,0.7143,0.8125,0.7647,0.5000,0.8790,0.7054,0.7957,0.7255,0.6296,basic+phys
optuna_trial_0_seed_1,0.001949142976060196,0.0,64,6,0.04903266730692406,0.02001790847781697,0.08653843703884248,2.7730756502341815e-06,7,300,50,scaffold,100.0000,75.4872,,67.1296,,52,True,2025-11-26 02:09:15,1.0000,1.0000,1.0000,1.0000,1.0000,0.7729,0.6406,0.6933,0.6667,0.6000,0.9222,0.2109,0.1217,0.0648,1.0000,basic
optuna_trial_0_seed_1,0.0003625599743460469,0.1,128,4,0.05838435013932832,0.002662170883379199,0.011665320869449934,8.170355818070177e-05,5,300,50,scaffold,94.9909,80.3077,,67.5463,,65,True,2025-11-26 02:10:11,0.9848,0.8750,0.9141,0.8638,0.9126,0.7919,0.7188,0.7750,0.7949,0.6000,0.9097,0.7031,0.8061,0.7315,0.5500,basic+phys
optuna_trial_0_seed_2,0.0003625599743460469,0.1,128,4,0.05838435013932832,0.002662170883379199,0.011665320869449934,8.170355818070177e-05,5,300,50,scaffold,96.7546,64.1429,,63.5197,,71,True,2025-11-26 02:11:34,0.9895,0.9107,0.9385,0.9050,0.9279,0.8039,0.6406,0.7416,0.6600,0.5714,0.8625,0.6875,0.7980,0.7524,0.3913,basic+phys
optuna_trial_0_seed_2,0.001949142976060196,0.0,64,6,0.04903266730692406,0.02001790847781697,0.08653843703884248,2.7730756502341815e-06,7,300,50,scaffold,100.0000,71.7143,,61.0559,,97,True,2025-11-26 02:11:39,1.0000,1.0000,1.0000,1.0000,1.0000,0.8167,0.6406,0.7629,0.7400,0.2857,0.8762,0.7500,0.8447,0.8286,0.3913,basic
optuna_trial_0_seed_3,0.001949142976060196,0.0,64,6,0.04903266730692406,0.02001790847781697,0.08653843703884248,2.7730756502341815e-06,7,300,50,scaffold,100.0000,70.9957,,63.1599,,54,True,2025-11-26 02:12:59,1.0000,1.0000,1.0000,1.0000,1.0000,0.7393,0.6406,0.7416,0.7857,0.3636,0.8792,0.6328,0.7459,0.6765,0.4615,basic
optuna_trial_0_seed_4,0.001949142976060196,0.0,64,6,0.04903266730692406,0.02001790847781697,0.08653843703884248,2.7730756502341815e-06,7,300,50,scaffold,100.0000,84.9057,,66.0200,,58,True,2025-11-26 02:14:27,1.0000,1.0000,1.0000,1.0000,1.0000,0.9527,0.6875,0.7826,0.6792,0.7273,0.8292,0.7031,0.7957,0.7872,0.4706,basic
optuna_trial_0_seed_3,0.0003625599743460469,0.1,128,4,0.05838435013932832,0.002662170883379199,0.011665320869449934,8.170355818070177e-05,5,300,50,scaffold,99.9856,71.8615,,66.3273,,150,True,2025-11-26 02:14:27,1.0000,0.9888,0.9928,0.9856,1.0000,0.7506,0.7500,0.8140,0.8333,0.5909,0.8773,0.6484,0.7541,0.6765,0.5385,basic+phys
optuna_trial_1_seed_0,0.001688934293974278,0.1,128,10,0.01785589912463157,0.0034163479635158636,0.023640599312015648,1.1076393332631863e-05,3,300,50,scaffold,99.8181,68.9542,,74.4372,,64,True,2025-11-26 02:15:41,0.9995,0.9866,0.9910,0.9822,1.0000,0.8477,0.6190,0.7333,0.6471,0.5000,0.9095,0.6589,0.7500,0.6471,0.7037,basic
