experiment_id,lr,dropout_ratio,batch_size,num_experts,alpha,beta,min_temp,decay,num_layer,emb_dim,gate_dim,split_type,train_metric,val_metric,val_metric_std,test_metric,test_metric_std,num_epochs_trained,early_stopped,timestamp,train_rmse,train_r2,train_pearson,train_spearman,val_rmse,val_r2,val_pearson,val_spearman,test_rmse,test_r2,test_pearson,test_spearman,features
optuna_trial_0_seed_0,0.00614867509482905,0.1,256,4,0.37870892674722995,0.01904529766249529,1,0,3,300,50,scaffold,0.4904,0.3697,,0.6253,,128,True,2025-11-26 01:49:56,0.7640,-0.0273,0.7093,0.7443,2.1113,-10.8278,0.5048,0.5823,0.8553,0.0996,0.6041,0.6512,basic
optuna_trial_0_seed_0,0.0002567874644363781,0.1,256,8,0.028137876676093933,0.0426491814937748,1,0,6,300,50,scaffold,0.2217,0.5592,,1.1169,,200,False,2025-11-26 01:51:54,0.3033,0.8381,0.9240,0.9236,0.7934,-0.6703,0.5333,0.5349,1.8472,-3.2003,0.3757,0.4557,basic+phys
optuna_trial_0_seed_1,0.00614867509482905,0.1,256,4,0.37870892674722995,0.01904529766249529,1,0,3,300,50,scaffold,0.2513,0.3460,,0.5873,,149,True,2025-11-26 01:52:52,0.4341,0.7131,0.8971,0.9430,0.5217,-0.0894,0.5343,0.5011,0.8309,-0.1978,0.3154,0.3886,basic
optuna_trial_0_seed_2,0.00614867509482905,0.1,256,4,0.37870892674722995,0.01904529766249529,1,0,3,300,50,scaffold,0.2867,0.3891,,0.5353,,158,True,2025-11-26 01:55:55,0.4458,0.6610,0.8802,0.9380,0.5750,-0.0298,0.5874,0.5641,0.6914,0.3784,0.7006,0.7286,basic
optuna_trial_0_seed_1,0.0002567874644363781,0.1,256,8,0.028137876676093933,0.0426491814937748,1,0,6,300,50,scaffold,0.2109,0.6635,,0.7119,,200,False,2025-11-26 01:56:19,0.3020,0.8612,0.9309,0.9201,1.2473,-5.2269,0.4351,0.3899,0.8955,-0.3915,0.5724,0.5935,basic+phys
optuna_trial_0_seed_3,0.00614867509482905,0.1,256,4,0.37870892674722995,0.01904529766249529,1,0,3,300,50,scaffold,0.2637,0.3668,,0.4967,,147,True,2025-11-26 01:59:00,0.3965,0.7531,0.9045,0.9241,0.6057,0.4420,0.7504,0.7526,0.6276,0.1209,0.5671,0.5821,basic
optuna_trial_0_seed_0,0.00012176373197073579,0.4,32,9,0.04069745163398332,0.004343586502260755,0.010735234102991402,1.2658480705003558e-06,3,300,50,scaffold,0.4989,0.5664,,1.1074,,63,True,2025-11-26 02:08:38,0.6498,0.2569,0.6363,0.5934,1.0770,-2.0778,0.4398,0.5036,1.3944,-1.3932,0.0779,0.0624,basic
optuna_trial_0_seed_1,0.00012176373197073579,0.4,32,9,0.04069745163398332,0.004343586502260755,0.010735234102991402,1.2658480705003558e-06,3,300,50,scaffold,0.5286,0.8124,,1.0293,,62,True,2025-11-26 02:10:32,0.6691,0.3185,0.6436,0.6261,1.0769,-3.6421,0.3878,0.2799,1.3013,-1.9378,-0.0437,-0.0537,basic
optuna_trial_0_seed_0,8.238722157418732e-05,0.5,32,6,0.022770469719288793,0.008111070402306563,0.05078333086647286,3.348803156874127e-05,5,300,50,scaffold,0.2824,0.3049,,0.5224,,200,False,2025-11-26 02:13:16,0.3740,0.7538,0.8749,0.8620,0.4456,0.4732,0.7267,0.7260,0.7724,0.2655,0.6612,0.7777,basic+phys
optuna_trial_0_seed_2,0.00012176373197073579,0.4,32,9,0.04069745163398332,0.004343586502260755,0.010735234102991402,1.2658480705003558e-06,3,300,50,scaffold,0.4166,0.3374,,0.5804,,200,False,2025-11-26 02:16:44,0.5547,0.4751,0.7254,0.7185,0.4973,0.2300,0.5470,0.6510,0.7792,0.2105,0.5631,0.5755,basic
optuna_trial_0_seed_1,8.238722157418732e-05,0.5,32,6,0.022770469719288793,0.008111070402306563,0.05078333086647286,3.348803156874127e-05,5,300,50,scaffold,0.2986,0.3165,,0.4215,,200,False,2025-11-26 02:19:54,0.4030,0.7527,0.8686,0.8650,0.4067,0.3381,0.6680,0.6762,0.5254,0.5210,0.7695,0.7034,basic+phys
optuna_trial_0_seed_2,8.238722157418732e-05,0.5,32,6,0.022770469719288793,0.008111070402306563,0.05078333086647286,3.348803156874127e-05,5,300,50,scaffold,0.3757,0.3117,,0.5356,,90,True,2025-11-26 02:22:56,0.4874,0.5949,0.7767,0.7579,0.6984,-0.5191,0.4490,0.2514,0.7280,0.3110,0.6752,0.7006,basic+phys
optuna_trial_0_seed_3,0.00012176373197073579,0.4,32,9,0.04069745163398332,0.004343586502260755,0.010735234102991402,1.2658480705003558e-06,3,300,50,scaffold,0.4278,0.4337,,0.5358,,200,False,2025-11-26 02:23:00,0.5525,0.5205,0.7613,0.7610,0.5966,0.4586,0.6827,0.7075,0.6650,0.0130,0.5014,0.5247,basic
optuna_trial_0_seed_4,0.00012176373197073579,0.4,32,9,0.04069745163398332,0.004343586502260755,0.010735234102991402,1.2658480705003558e-06,3,300,50,scaffold,0.3799,0.4948,,0.5983,,200,False,2025-11-26 02:29:26,0.4916,0.5777,0.7657,0.7565,0.6646,0.0590,0.5091,0.5562,0.7933,0.1694,0.5970,0.6459,basic
optuna_trial_0_seed_3,8.238722157418732e-05,0.5,32,6,0.022770469719288793,0.008111070402306563,0.05078333086647286,3.348803156874127e-05,5,300,50,scaffold,0.2943,0.3227,,0.4271,,200,False,2025-11-26 02:29:51,0.3821,0.7707,0.8786,0.8672,0.4472,0.6958,0.8384,0.8894,0.5284,0.3768,0.6664,0.5675,basic+phys
optuna_trial_2_seed_0,1.8185751258391382e-05,0.1,128,8,0.0912427063106699,0.0022769914816672225,0.27414923316585227,2.325019322740137e-05,7,300,50,scaffold,3.6977,4.8376,,4.2999,,52,True,2025-11-26 02:31:44,6.4191,-71.5143,-0.2964,-0.1215,13.3830,-474.2563,-0.3801,-0.4494,4.4466,-23.3390,-0.3521,-0.3357,basic
optuna_trial_2_seed_1,1.8185751258391382e-05,0.1,128,8,0.0912427063106699,0.0022769914816672225,0.27414923316585227,2.325019322740137e-05,7,300,50,scaffold,3.5918,5.3106,,5.0763,,52,True,2025-11-26 02:32:54,5.7582,-49.4773,-0.2436,-0.1801,7.5809,-229.0221,-0.4205,-0.4432,5.1348,-44.7447,0.1019,0.0829,basic
optuna_trial_2_seed_2,1.8185751258391382e-05,0.1,128,8,0.0912427063106699,0.0022769914816672225,0.27414923316585227,2.325019322740137e-05,7,300,50,scaffold,3.7576,5.6386,,5.3858,,52,True,2025-11-26 02:34:05,6.2912,-66.5078,-0.2757,-0.1268,8.9553,-248.7502,-0.4653,-0.5236,5.4705,-37.9103,-0.2241,-0.2387,basic
optuna_trial_0_seed_4,8.238722157418732e-05,0.5,32,6,0.022770469719288793,0.008111070402306563,0.05078333086647286,3.348803156874127e-05,5,300,50,scaffold,0.2938,0.3372,,0.4803,,196,True,2025-11-26 02:36:41,0.3884,0.7364,0.8584,0.8571,0.4299,0.6062,0.7789,0.7838,0.6849,0.3809,0.6680,0.7934,basic+phys
optuna_trial_2_seed_3,1.8185751258391382e-05,0.1,128,8,0.0912427063106699,0.0022769914816672225,0.27414923316585227,2.325019322740137e-05,7,300,50,scaffold,3.1253,2.7596,,2.5004,,200,False,2025-11-26 02:38:36,9.7283,-147.6582,-0.0732,0.3671,5.5430,-45.7335,-0.0403,0.0940,4.5666,-45.5472,-0.1981,-0.1463,basic
optuna_trial_1_seed_0,0.00708851385187752,0.2,32,10,0.05845072736082597,0.036553313563420085,0.12215268599624532,7.267480893162169e-06,3,300,50,scaffold,0.3467,0.2952,,0.5025,,94,True,2025-11-26 02:39:49,0.4323,0.6712,0.9005,0.9020,0.6614,-0.1609,0.7249,0.6818,0.6255,0.5184,0.7936,0.7904,basic+phys
optuna_trial_2_seed_4,1.8185751258391382e-05,0.1,128,8,0.0912427063106699,0.0022769914816672225,0.27414923316585227,2.325019322740137e-05,7,300,50,scaffold,3.1814,1.3307,,2.7345,,200,False,2025-11-26 02:43:12,9.4509,-155.0874,-0.0525,0.2380,2.6262,-13.6940,-0.0307,0.2247,7.0671,-64.9202,-0.0482,0.2448,basic
optuna_trial_1_seed_1,0.00708851385187752,0.2,32,10,0.05845072736082597,0.036553313563420085,0.12215268599624532,7.267480893162169e-06,3,300,50,scaffold,0.3520,0.2744,,0.4155,,128,True,2025-11-26 02:44:02,0.5341,0.5658,0.8553,0.8599,0.7463,-1.2294,0.4966,0.5718,0.5498,0.4756,0.7142,0.6663,basic+phys
optuna_trial_4_seed_0,0.00442396929533171,0.0,128,5,0.39563861063968664,0.0018519613202867768,0.014136384508076357,3.446978905330427e-05,4,300,50,scaffold,0.2218,0.4626,,0.5880,,116,True,2025-11-26 02:45:58,0.2770,0.8650,0.9449,0.9479,0.7542,-0.5093,0.4626,0.4857,0.7733,0.2639,0.6627,0.6858,basic
optuna_trial_1_seed_2,0.00708851385187752,0.2,32,10,0.05845072736082597,0.036553313563420085,0.12215268599624532,7.267480893162169e-06,3,300,50,scaffold,0.2559,0.2960,,0.4016,,70,True,2025-11-26 02:46:19,0.3643,0.7736,0.8834,0.8945,0.4308,0.4222,0.6894,0.6595,0.4952,0.6811,0.8362,0.8470,basic+phys
optuna_trial_1_seed_3,0.00708851385187752,0.2,32,10,0.05845072736082597,0.036553313563420085,0.12215268599624532,7.267480893162169e-06,3,300,50,scaffold,0.2604,0.3464,,0.4386,,101,True,2025-11-26 02:49:37,0.3659,0.7897,0.9271,0.9231,0.5230,0.5839,0.8092,0.8124,0.5373,0.3556,0.7026,0.6828,basic+phys
optuna_trial_4_seed_1,0.00442396929533171,0.0,128,5,0.39563861063968664,0.0018519613202867768,0.014136384508076357,3.446978905330427e-05,4,300,50,scaffold,0.2271,0.4158,,0.5781,,197,True,2025-11-26 02:50:11,0.3261,0.8381,0.9405,0.9304,0.8346,-1.7882,0.6930,0.7231,0.7423,0.0440,0.5965,0.5531,basic
optuna_trial_4_seed_2,0.00442396929533171,0.0,128,5,0.39563861063968664,0.0018519613202867768,0.014136384508076357,3.446978905330427e-05,4,300,50,scaffold,0.2378,0.3994,,0.6005,,68,True,2025-11-26 02:51:39,0.3161,0.8296,0.9385,0.9508,0.7386,-0.6988,0.6676,0.6944,0.8037,0.1602,0.5562,0.5809,basic
optuna_trial_1_seed_4,0.00708851385187752,0.2,32,10,0.05845072736082597,0.036553313563420085,0.12215268599624532,7.267480893162169e-06,3,300,50,scaffold,0.2856,0.3195,,0.4438,,168,True,2025-11-26 02:55:15,0.5448,0.4813,0.7566,0.8327,0.5855,0.2697,0.6483,0.6481,0.5576,0.5897,0.8170,0.8090,basic+phys
optuna_trial_4_seed_3,0.00442396929533171,0.0,128,5,0.39563861063968664,0.0018519613202867768,0.014136384508076357,3.446978905330427e-05,4,300,50,scaffold,0.1890,0.4251,,0.5275,,179,True,2025-11-26 02:55:36,0.2497,0.9021,0.9668,0.9647,0.5696,0.5065,0.7323,0.7365,0.6549,0.0426,0.6014,0.6234,basic
optuna_trial_7_seed_0,0.0032082067893440393,0.30000000000000004,256,7,0.013889876773649936,0.0012609759791830494,0.0892979485326471,5.2504971315952255e-05,7,300,50,scaffold,0.1869,0.3238,,0.4851,,81,True,2025-11-26 02:58:46,0.2501,0.8899,0.9498,0.9484,0.5244,0.2702,0.6720,0.6272,0.6795,0.4316,0.7077,0.7755,basic+phys
optuna_trial_4_seed_4,0.00442396929533171,0.0,128,5,0.39563861063968664,0.0018519613202867768,0.014136384508076357,3.446978905330427e-05,4,300,50,scaffold,0.1733,0.3921,,0.4971,,200,False,2025-11-26 02:59:59,0.2088,0.9238,0.9755,0.9757,0.6384,0.1316,0.6505,0.6999,0.6701,0.4073,0.6774,0.6737,basic
optuna_trial_5_seed_0,9.148367298386338e-05,0.30000000000000004,256,8,0.07413387118482409,0.03930108229339992,0.016803281960541087,7.411653836591514e-05,7,300,50,scaffold,3.8810,5.0268,,4.6298,,52,True,2025-11-26 03:01:10,9.7719,-167.0518,-0.2657,0.0287,19.5447,-1012.6203,-0.4084,-0.4406,4.7516,-26.7914,-0.1866,-0.0948,basic
optuna_trial_7_seed_1,0.0032082067893440393,0.30000000000000004,256,7,0.013889876773649936,0.0012609759791830494,0.0892979485326471,5.2504971315952255e-05,7,300,50,scaffold,0.2130,0.3148,,0.4443,,112,True,2025-11-26 03:01:14,0.2708,0.8884,0.9473,0.9406,0.4497,0.1907,0.6138,0.6146,0.5840,0.4083,0.6980,0.6465,basic+phys
optuna_trial_5_seed_1,9.148367298386338e-05,0.30000000000000004,256,8,0.07413387118482409,0.03930108229339992,0.016803281960541087,7.411653836591514e-05,7,300,50,scaffold,3.8301,4.6323,,3.8704,,54,True,2025-11-26 03:02:20,8.2966,-103.7882,-0.1288,0.0064,10.4917,-439.5745,-0.4942,-0.4374,4.1182,-28.4248,-0.1527,-0.1605,basic
optuna_trial_5_seed_2,9.148367298386338e-05,0.30000000000000004,256,8,0.07413387118482409,0.03930108229339992,0.016803281960541087,7.411653836591514e-05,7,300,50,scaffold,4.0114,5.1630,,4.1988,,54,True,2025-11-26 03:03:31,8.7401,-129.2914,-0.1947,0.0541,11.3374,-399.2828,-0.4317,-0.5228,4.4401,-24.6323,-0.3251,-0.3098,basic
optuna_trial_7_seed_2,0.0032082067893440393,0.30000000000000004,256,7,0.013889876773649936,0.0012609759791830494,0.0892979485326471,5.2504971315952255e-05,7,300,50,scaffold,0.1543,0.2991,,0.4080,,176,True,2025-11-26 03:05:05,0.2224,0.9157,0.9639,0.9658,0.3724,0.5681,0.7828,0.7275,0.5011,0.6735,0.8224,0.8338,basic+phys
