experiment_id,lr,dropout_ratio,batch_size,num_experts,alpha,beta,min_temp,decay,num_layer,emb_dim,gate_dim,split_type,train_metric,val_metric,val_metric_std,test_metric,test_metric_std,num_epochs_trained,early_stopped,timestamp,train_auprc,train_accuracy,train_f1,train_sensitivity,train_specificity,val_auprc,val_accuracy,val_f1,val_sensitivity,val_specificity,test_auprc,test_accuracy,test_f1,test_sensitivity,test_specificity,features
optuna_trial_0_seed_0,0.0007524935558348632,0.2,512,8,0.016731711705749577,0.007255074707701469,1,0,6,300,50,scaffold,100.0000,96.5278,,99.1270,,119,True,2025-11-26 01:49:42,1.0000,1.0000,1.0000,1.0000,1.0000,0.9911,0.9123,0.9474,0.9375,0.7778,0.9990,0.9829,0.9906,1.0000,0.8333,basic+phys
optuna_trial_0_seed_1,0.0007524935558348632,0.2,512,8,0.016731711705749577,0.007255074707701469,1,0,6,300,50,scaffold,100.0000,98.7037,,91.7757,,61,True,2025-11-26 01:50:53,1.0000,1.0000,1.0000,1.0000,1.0000,0.9893,0.8947,0.9318,0.9111,0.8333,0.9888,0.3675,0.4714,0.3084,1.0000,basic+phys
optuna_trial_0_seed_0,0.0004525437585328694,0.4,64,6,0.07279109254113249,0.0032893019241615087,1,0,4,300,50,scaffold,100.0000,95.3704,,98.3333,,171,True,2025-11-26 01:51:37,1.0000,1.0000,1.0000,1.0000,1.0000,0.9905,0.8772,0.9263,0.9167,0.6667,0.9980,0.9573,0.9765,0.9905,0.6667,basic
optuna_trial_0_seed_2,0.0007524935558348632,0.2,512,8,0.016731711705749577,0.007255074707701469,1,0,6,300,50,scaffold,100.0000,97.4468,,99.0749,,193,True,2025-11-26 01:54:32,1.0000,1.0000,1.0000,1.0000,1.0000,0.9913,0.8772,0.9231,0.8936,0.8000,0.9980,0.9744,0.9841,0.9894,0.9130,basic+phys
optuna_trial_0_seed_3,0.0007524935558348632,0.2,512,8,0.016731711705749577,0.007255074707701469,1,0,6,300,50,scaffold,100.0000,97.9592,,94.6502,,61,True,2025-11-26 01:55:41,1.0000,1.0000,1.0000,1.0000,1.0000,0.9907,0.9474,0.9697,0.9796,0.7500,0.9954,0.6154,0.7368,0.5833,1.0000,basic+phys
optuna_trial_0_seed_1,0.0004525437585328694,0.4,64,6,0.07279109254113249,0.0032893019241615087,1,0,4,300,50,scaffold,99.9949,98.1481,,92.8972,,200,False,2025-11-26 01:56:34,1.0000,0.9975,0.9986,0.9971,1.0000,0.9945,0.9298,0.9545,0.9333,0.9167,0.9916,0.9231,0.9577,0.9533,0.6000,basic
optuna_trial_0_seed_4,0.0007524935558348632,0.2,512,8,0.016731711705749577,0.007255074707701469,1,0,6,300,50,scaffold,100.0000,87.6524,,83.6508,,56,True,2025-11-26 01:56:48,1.0000,1.0000,1.0000,1.0000,1.0000,0.8892,0.8596,0.9024,0.9024,0.7500,0.9763,0.4957,0.6144,0.4476,0.9167,basic+phys
optuna_trial_0_seed_2,0.0004525437585328694,0.4,64,6,0.07279109254113249,0.0032893019241615087,1,0,4,300,50,scaffold,100.0000,97.6596,,97.2248,,78,True,2025-11-26 01:58:31,1.0000,0.9851,0.9916,0.9833,1.0000,0.9941,0.8246,0.8837,0.8085,0.9000,0.9931,0.9487,0.9681,0.9681,0.8696,basic
optuna_trial_0_seed_0,0.0011981855669090926,0.30000000000000004,32,10,0.06794000611078647,0.08723808330050047,0.015835084928439998,1.15804596311781e-06,6,300,50,scaffold,100.0000,96.9907,,93.2540,,58,True,2025-11-26 02:08:15,1.0000,1.0000,1.0000,1.0000,1.0000,0.9882,0.8596,0.9130,0.8750,0.7778,0.9904,0.9573,0.9763,0.9810,0.7500,basic
optuna_trial_0_seed_1,0.0011981855669090926,0.30000000000000004,32,10,0.06794000611078647,0.08723808330050047,0.015835084928439998,1.15804596311781e-06,6,300,50,scaffold,100.0000,97.7778,,93.5514,,66,True,2025-11-26 02:09:56,1.0000,0.9975,0.9986,0.9971,1.0000,0.9901,0.8772,0.9213,0.9111,0.7500,0.9926,0.8718,0.9254,0.8692,0.9000,basic
optuna_trial_0_seed_0,0.00015050564982500007,0.30000000000000004,32,8,0.1891656212154828,0.06591005208078685,0.9718287216893055,4.696232588166651e-06,3,300,50,scaffold,100.0000,96.5278,,93.4921,,200,False,2025-11-26 02:11:36,1.0000,0.9926,0.9957,0.9914,1.0000,0.9929,0.8947,0.9348,0.8958,0.8889,0.9900,0.9573,0.9763,0.9810,0.7500,basic+phys
optuna_trial_0_seed_2,0.0011981855669090926,0.30000000000000004,32,10,0.06794000611078647,0.08723808330050047,0.015835084928439998,1.15804596311781e-06,6,300,50,scaffold,100.0000,98.7234,,97.4098,,122,True,2025-11-26 02:13:08,1.0000,1.0000,1.0000,1.0000,1.0000,0.9941,0.8772,0.9195,0.8511,1.0000,0.9932,0.9402,0.9630,0.9681,0.8261,basic
optuna_trial_0_seed_1,0.00015050564982500007,0.30000000000000004,32,8,0.1891656212154828,0.06591005208078685,0.9718287216893055,4.696232588166651e-06,3,300,50,scaffold,99.7691,97.7778,,97.5701,,82,True,2025-11-26 02:13:40,0.9996,0.9777,0.9869,0.9770,0.9821,0.9901,0.8772,0.9195,0.8889,0.8333,0.9978,0.9231,0.9561,0.9159,1.0000,basic+phys
optuna_trial_0_seed_3,0.0011981855669090926,0.30000000000000004,32,10,0.06794000611078647,0.08723808330050047,0.015835084928439998,1.15804596311781e-06,6,300,50,scaffold,100.0000,94.1327,,96.2963,,54,True,2025-11-26 02:14:36,1.0000,0.9950,0.9971,0.9942,1.0000,0.9668,0.9298,0.9583,0.9388,0.8750,0.9969,0.8205,0.8923,0.8056,1.0000,basic
optuna_trial_0_seed_2,0.00015050564982500007,0.30000000000000004,32,8,0.1891656212154828,0.06591005208078685,0.9718287216893055,4.696232588166651e-06,3,300,50,scaffold,99.7214,97.4468,,98.5199,,101,True,2025-11-26 02:16:15,0.9997,0.9752,0.9859,0.9721,1.0000,0.9921,0.8772,0.9213,0.8723,0.9000,0.9964,0.9316,0.9574,0.9574,0.8261,basic+phys
optuna_trial_0_seed_4,0.0011981855669090926,0.30000000000000004,32,10,0.06794000611078647,0.08723808330050047,0.015835084928439998,1.15804596311781e-06,6,300,50,scaffold,100.0000,85.5183,,89.1270,,87,True,2025-11-26 02:16:54,1.0000,1.0000,1.0000,1.0000,1.0000,0.8800,0.8421,0.8889,0.8780,0.7500,0.9764,0.9231,0.9573,0.9619,0.5833,basic
optuna_trial_1_seed_0,0.0028718200790788955,0.0,64,4,0.781480072997225,0.03740926656466292,0.1546199620571685,5.589993259509268e-05,4,300,50,scaffold,100.0000,90.9722,,99.1270,,82,True,2025-11-26 02:18:47,1.0000,1.0000,1.0000,1.0000,1.0000,0.9443,0.9123,0.9495,0.9792,0.5556,0.9990,0.9658,0.9810,0.9810,0.8333,basic
optuna_trial_0_seed_3,0.00015050564982500007,0.30000000000000004,32,8,0.1891656212154828,0.06591005208078685,0.9718287216893055,4.696232588166651e-06,3,300,50,scaffold,100.0000,98.9796,,94.2387,,183,True,2025-11-26 02:20:51,1.0000,0.9975,0.9985,0.9971,1.0000,0.9912,0.9474,0.9703,1.0000,0.6250,0.9943,0.9402,0.9671,0.9537,0.7778,basic+phys
