experiment_id,lr,dropout_ratio,batch_size,num_experts,alpha,beta,min_temp,decay,num_layer,emb_dim,gate_dim,split_type,train_metric,val_metric,val_metric_std,test_metric,test_metric_std,num_epochs_trained,early_stopped,timestamp,train_auprc,train_accuracy,train_f1,train_sensitivity,train_specificity,val_auprc,val_accuracy,val_f1,val_sensitivity,val_specificity,test_auprc,test_accuracy,test_f1,test_sensitivity,test_specificity,features
optuna_trial_0_seed_0,0.006617251668558711,0.5,128,8,0.0464295883191117,0.05302922868023189,1,0,4,300,50,scaffold,99.9989,84.4493,,91.2384,,111,True,2025-11-26 01:50:13,1.0000,0.9977,0.9977,1.0000,0.9952,0.7497,0.7934,0.7368,0.7609,0.8133,0.9602,0.8286,0.8704,0.8494,0.7848,basic
optuna_trial_0_seed_0,1.2086013764214768e-05,0.2,32,3,0.750386116594533,0.0032650033040146896,1,0,6,300,50,scaffold,99.3046,90.2609,,93.8310,,73,True,2025-11-26 01:50:40,0.9938,0.9531,0.9552,0.9726,0.9324,0.9008,0.8264,0.7789,0.8043,0.8400,0.9716,0.8571,0.8916,0.8675,0.8354,basic+phys
optuna_trial_0_seed_1,0.006617251668558711,0.5,128,8,0.0464295883191117,0.05302922868023189,1,0,4,300,50,scaffold,99.9856,93.4877,,86.3946,,87,True,2025-11-26 01:52:24,0.9999,0.9906,0.9912,0.9956,0.9851,0.9617,0.8017,0.8500,0.8395,0.7250,0.8692,0.7959,0.8000,0.8403,0.7540,basic
optuna_trial_0_seed_2,0.006617251668558711,0.5,128,8,0.0464295883191117,0.05302922868023189,1,0,4,300,50,scaffold,99.9922,91.3661,,85.7638,,91,True,2025-11-26 01:54:42,0.9999,0.9965,0.9968,0.9979,0.9948,0.9097,0.8264,0.8108,0.7500,0.9016,0.8709,0.8082,0.7965,0.7603,0.8548,basic
optuna_trial_0_seed_1,1.2086013764214768e-05,0.2,32,3,0.750386116594533,0.0032650033040146896,1,0,6,300,50,scaffold,99.8745,93.1173,,89.2357,,145,True,2025-11-26 01:56:53,0.9991,0.9883,0.9889,0.9889,0.9876,0.9609,0.8760,0.9045,0.8765,0.8750,0.9036,0.8082,0.8127,0.8571,0.7619,basic+phys
optuna_trial_0_seed_3,0.006617251668558711,0.5,128,8,0.0464295883191117,0.05302922868023189,1,0,4,300,50,scaffold,99.9718,90.9822,,84.6221,,89,True,2025-11-26 01:56:57,0.9998,0.9918,0.9923,0.9956,0.9874,0.9268,0.8182,0.8429,0.8676,0.7547,0.8662,0.7755,0.7737,0.7344,0.8205,basic
optuna_trial_0_seed_4,0.006617251668558711,0.5,128,8,0.0464295883191117,0.05302922868023189,1,0,4,300,50,scaffold,99.8995,95.9836,,91.5261,,60,True,2025-11-26 01:58:32,0.9991,0.9812,0.9821,0.9865,0.9754,0.9064,0.8430,0.8504,0.8852,0.8000,0.9403,0.8531,0.8776,0.9021,0.7843,basic
optuna_trial_0_seed_0,5.4879383430751865e-05,0.1,512,4,0.9241405959536244,0.018423242682330202,0.06597802516423887,1.2639681180862566e-05,3,300,50,scaffold,93.6955,88.6377,,92.2907,,200,False,2025-11-26 02:10:29,0.9393,0.8768,0.8769,0.8539,0.9010,0.8694,0.8099,0.7527,0.7609,0.8400,0.9582,0.8653,0.8972,0.8675,0.8608,basic+phys
optuna_trial_0_seed_0,0.000744655502418876,0.0,32,3,0.12707139170479398,0.0012099488563774197,0.474428461842157,1.2047356468808007e-05,7,300,50,scaffold,100.0000,88.0725,,93.3582,,97,True,2025-11-26 02:10:36,1.0000,1.0000,1.0000,1.0000,1.0000,0.7963,0.8264,0.7692,0.7609,0.8667,0.9703,0.8531,0.8875,0.8554,0.8481,basic
optuna_trial_0_seed_1,0.000744655502418876,0.0,32,3,0.12707139170479398,0.0012099488563774197,0.474428461842157,1.2047356468808007e-05,7,300,50,scaffold,100.0000,91.9136,,87.6284,,52,True,2025-11-26 02:12:44,1.0000,1.0000,1.0000,1.0000,1.0000,0.9260,0.8512,0.8861,0.8642,0.8250,0.8974,0.7837,0.7854,0.8151,0.7540,basic
