experiment_id,lr,dropout_ratio,batch_size,num_experts,alpha,beta,min_temp,decay,num_layer,emb_dim,gate_dim,split_type,train_metric,val_metric,val_metric_std,test_metric,test_metric_std,num_epochs_trained,early_stopped,timestamp,train_rmse,train_r2,train_pearson,train_spearman,val_rmse,val_r2,val_pearson,val_spearman,test_rmse,test_r2,test_pearson,test_spearman,features
optuna_trial_0_seed_0,0.0005270906318214926,0.30000000000000004,256,6,0.060265468968300186,0.015372275572204181,0.09947941724304306,3.206984141731398e-05,6,300,50,scaffold,0.5626,0.8053,,1.0023,,116,True,2025-11-26 04:56:59,0.9460,0.8274,0.9109,0.9227,1.2503,0.7326,0.8647,0.8699,1.5519,0.5615,0.7726,0.8207,basic+phys
optuna_trial_0_seed_1,0.0005270906318214926,0.30000000000000004,256,6,0.060265468968300186,0.015372275572204181,0.09947941724304306,3.206984141731398e-05,6,300,50,scaffold,0.5405,0.9744,,0.9536,,157,True,2025-11-26 05:06:33,0.9088,0.8489,0.9247,0.9298,1.3859,0.6167,0.7876,0.8092,1.4026,0.6587,0.8237,0.8320,basic+phys
optuna_trial_0_seed_2,0.0005270906318214926,0.30000000000000004,256,6,0.060265468968300186,0.015372275572204181,0.09947941724304306,3.206984141731398e-05,6,300,50,scaffold,0.5602,0.9230,,0.9058,,117,True,2025-11-26 05:13:41,0.9702,0.8338,0.9148,0.9253,1.5371,0.4844,0.7494,0.8255,1.2856,0.6967,0.8424,0.8367,basic+phys
optuna_trial_0_seed_0,0.0009804844808962345,0.1,32,4,0.014780844597932346,0.008114011155187922,0.23220213764509537,4.67687327823949e-05,5,300,50,scaffold,0.4774,0.8169,,1.0588,,104,True,2025-11-26 05:14:51,0.8071,0.8743,0.9388,0.9488,1.3021,0.7100,0.8655,0.8497,1.4360,0.6245,0.7979,0.8005,basic
optuna_trial_0_seed_3,0.0005270906318214926,0.30000000000000004,256,6,0.060265468968300186,0.015372275572204181,0.09947941724304306,3.206984141731398e-05,6,300,50,scaffold,0.5197,0.9745,,0.9684,,153,True,2025-11-26 05:22:47,0.8874,0.8636,0.9299,0.9342,1.5414,0.4961,0.7484,0.7968,1.4039,0.6178,0.7957,0.8173,basic+phys
optuna_trial_0_seed_4,0.0005270906318214926,0.30000000000000004,256,6,0.060265468968300186,0.015372275572204181,0.09947941724304306,3.206984141731398e-05,6,300,50,scaffold,0.6120,0.9309,,0.9384,,78,True,2025-11-26 05:27:16,0.9903,0.8331,0.9139,0.9187,1.8663,0.1926,0.6406,0.8213,1.3865,0.6029,0.7889,0.8222,basic+phys
optuna_trial_0_seed_1,0.0009804844808962345,0.1,32,4,0.014780844597932346,0.008114011155187922,0.23220213764509537,4.67687327823949e-05,5,300,50,scaffold,0.4718,1.0101,,0.9852,,92,True,2025-11-26 05:34:47,0.7913,0.8851,0.9411,0.9492,1.6315,0.4688,0.7087,0.7718,1.3719,0.6735,0.8261,0.8116,basic
optuna_trial_1_seed_0,0.009774619191910028,0.2,64,7,0.16001474416306266,0.023738341227167233,0.07896529040028345,5.066021448651014e-05,6,300,50,scaffold,0.7334,0.7767,,1.0233,,111,True,2025-11-26 05:41:39,1.0894,0.7714,0.8853,0.8920,1.1725,0.7648,0.8774,0.8499,1.4700,0.6065,0.7855,0.8174,basic+phys
optuna_trial_0_seed_0,0.0001119377758207996,0.30000000000000004,256,3,0.08007421129161911,0.010096134584496718,0.04147937567376085,3.575371311422769e-05,5,300,50,scaffold,0.7222,0.9017,,1.1548,,170,True,2025-11-26 05:58:02,1.1493,0.7451,0.8657,0.8656,1.2066,0.7510,0.8762,0.8618,1.6317,0.5152,0.7450,0.7711,basic
optuna_trial_0_seed_0,0.00038274237899750004,0.30000000000000004,256,10,0.4814523479376219,0.007934102020171991,0.30355671929756295,1.0433081044223556e-06,4,300,50,scaffold,0.6474,0.8117,,1.0137,,171,True,2025-11-26 05:58:09,0.9802,0.8148,0.9099,0.9176,1.3002,0.7108,0.8788,0.8736,1.4191,0.6333,0.8040,0.8218,basic+phys
optuna_trial_0_seed_1,0.0001119377758207996,0.30000000000000004,256,3,0.08007421129161911,0.010096134584496718,0.04147937567376085,3.575371311422769e-05,5,300,50,scaffold,0.7261,1.1145,,1.0009,,200,False,2025-11-26 06:08:47,1.1374,0.7633,0.8787,0.8743,1.6448,0.4601,0.6995,0.7556,1.4740,0.6231,0.7977,0.7993,basic
optuna_trial_0_seed_1,0.00038274237899750004,0.30000000000000004,256,10,0.4814523479376219,0.007934102020171991,0.30355671929756295,1.0433081044223556e-06,4,300,50,scaffold,0.5873,0.9506,,0.8936,,200,False,2025-11-26 06:08:53,0.9102,0.8476,0.9218,0.9254,1.3149,0.6550,0.8113,0.8176,1.2843,0.7138,0.8483,0.8490,basic+phys
optuna_trial_0_seed_2,0.0001119377758207996,0.30000000000000004,256,3,0.08007421129161911,0.010096134584496718,0.04147937567376085,3.575371311422769e-05,5,300,50,scaffold,0.7111,0.9250,,0.9945,,200,False,2025-11-26 06:19:31,1.1325,0.7732,0.8810,0.8768,1.2482,0.6600,0.8153,0.8087,1.4374,0.6209,0.7997,0.7987,basic
optuna_trial_0_seed_2,0.00038274237899750004,0.30000000000000004,256,10,0.4814523479376219,0.007934102020171991,0.30355671929756295,1.0433081044223556e-06,4,300,50,scaffold,0.6165,0.8658,,0.8967,,200,False,2025-11-26 06:19:41,0.9585,0.8377,0.9189,0.9265,1.3261,0.6162,0.7984,0.8421,1.2352,0.7201,0.8532,0.8403,basic+phys
optuna_trial_0_seed_3,0.00038274237899750004,0.30000000000000004,256,10,0.4814523479376219,0.007934102020171991,0.30355671929756295,1.0433081044223556e-06,4,300,50,scaffold,0.6406,0.9379,,0.9564,,185,True,2025-11-26 06:29:41,0.9599,0.8400,0.9240,0.9277,1.4633,0.5459,0.7580,0.7901,1.4942,0.5671,0.7719,0.8232,basic+phys
optuna_trial_0_seed_3,0.0001119377758207996,0.30000000000000004,256,3,0.08007421129161911,0.010096134584496718,0.04147937567376085,3.575371311422769e-05,5,300,50,scaffold,0.6958,1.0798,,1.0286,,200,False,2025-11-26 06:30:25,1.1127,0.7848,0.8870,0.8819,1.5275,0.5052,0.7181,0.7105,1.4237,0.6070,0.7811,0.7651,basic
optuna_trial_0_seed_4,0.00038274237899750004,0.30000000000000004,256,10,0.4814523479376219,0.007934102020171991,0.30355671929756295,1.0433081044223556e-06,4,300,50,scaffold,0.5964,0.9088,,0.9252,,197,True,2025-11-26 06:40:12,0.9290,0.8531,0.9244,0.9285,1.3823,0.5571,0.7595,0.8286,1.3050,0.6482,0.8084,0.8185,basic+phys
optuna_trial_0_seed_4,0.0001119377758207996,0.30000000000000004,256,3,0.08007421129161911,0.010096134584496718,0.04147937567376085,3.575371311422769e-05,5,300,50,scaffold,0.7167,0.9568,,1.0106,,200,False,2025-11-26 06:41:07,1.1406,0.7785,0.8856,0.8800,1.3417,0.5827,0.7699,0.7927,1.4139,0.5871,0.7738,0.7623,basic
optuna_trial_1_seed_0,0.0005204534902377404,0.0,64,5,0.10014053112559979,0.003837291476696371,0.04050692374468965,9.125954213469544e-05,7,300,50,scaffold,0.4382,0.9102,,1.1248,,55,True,2025-11-26 06:48:04,0.8199,0.8704,0.9332,0.9516,1.3739,0.6771,0.8357,0.8474,1.6894,0.4804,0.7144,0.7840,basic+phys
optuna_trial_1_seed_1,0.0005204534902377404,0.0,64,5,0.10014053112559979,0.003837291476696371,0.04050692374468965,9.125954213469544e-05,7,300,50,scaffold,0.4154,1.0356,,1.0089,,87,True,2025-11-26 07:00:28,0.7485,0.8973,0.9487,0.9621,1.6488,0.4575,0.7006,0.7915,1.4189,0.6507,0.8097,0.8029,basic+phys
optuna_trial_1_seed_0,0.0020929895675327365,0.5,32,6,0.018800760527463788,0.008133583319821268,0.23077949469705072,1.567477795590158e-05,4,300,50,scaffold,0.6021,0.7973,,1.0866,,160,True,2025-11-26 07:11:38,0.9250,0.8351,0.9158,0.9215,1.1895,0.7580,0.8784,0.8667,1.4881,0.5968,0.7892,0.7939,basic
optuna_trial_1_seed_2,0.0005204534902377404,0.0,64,5,0.10014053112559979,0.003837291476696371,0.04050692374468965,9.125954213469544e-05,7,300,50,scaffold,0.3918,0.9118,,0.9632,,87,True,2025-11-26 07:12:49,0.7318,0.9056,0.9524,0.9622,1.3611,0.5957,0.7925,0.8136,1.3196,0.6805,0.8273,0.8167,basic+phys
optuna_trial_1_seed_1,0.0020929895675327365,0.5,32,6,0.018800760527463788,0.008133583319821268,0.23077949469705072,1.567477795590158e-05,4,300,50,scaffold,0.6552,1.0370,,0.9832,,81,True,2025-11-26 07:27:17,0.9726,0.8264,0.9151,0.9133,1.5483,0.5216,0.7515,0.7959,1.3587,0.6797,0.8253,0.8086,basic
optuna_trial_1_seed_3,0.0005204534902377404,0.0,64,5,0.10014053112559979,0.003837291476696371,0.04050692374468965,9.125954213469544e-05,7,300,50,scaffold,0.3669,1.0006,,1.0555,,134,True,2025-11-26 07:31:50,0.6751,0.9210,0.9605,0.9695,1.4743,0.5391,0.7434,0.7562,1.4785,0.5761,0.7704,0.7775,basic+phys
optuna_trial_1_seed_4,0.0005204534902377404,0.0,64,5,0.10014053112559979,0.003837291476696371,0.04050692374468965,9.125954213469544e-05,7,300,50,scaffold,0.4437,0.9929,,1.0058,,57,True,2025-11-26 07:40:02,0.7874,0.8944,0.9463,0.9513,1.5864,0.4166,0.7064,0.7989,1.3929,0.5992,0.7778,0.8154,basic+phys
optuna_trial_1_seed_2,0.0020929895675327365,0.5,32,6,0.018800760527463788,0.008133583319821268,0.23077949469705072,1.567477795590158e-05,4,300,50,scaffold,0.8454,0.9129,,0.9557,,86,True,2025-11-26 07:44:00,1.1876,0.7509,0.9110,0.9153,1.4859,0.5182,0.8132,0.8221,1.4766,0.5999,0.7940,0.8104,basic
