experiment_id,lr,dropout_ratio,batch_size,num_experts,alpha,beta,min_temp,decay,num_layer,emb_dim,gate_dim,split_type,train_metric,val_metric,val_metric_std,test_metric,test_metric_std,num_epochs_trained,early_stopped,timestamp,train_auprc,train_accuracy,train_f1,train_sensitivity,train_specificity,val_auprc,val_accuracy,val_f1,val_sensitivity,val_specificity,test_auprc,test_accuracy,test_f1,test_sensitivity,test_specificity,features
optuna_trial_0_seed_0,0.0013301266370207628,0.0,512,10,0.025723518686039643,0.005468752633851966,0.5140796082017125,1.846326134136131e-05,4,300,50,scaffold,99.7356,86.8112,,88.6198,,63,True,2025-11-26 04:46:03,0.9993,0.9824,0.9884,0.9789,0.9940,0.9575,0.8670,0.9174,0.9259,0.6341,0.9589,0.8251,0.8811,0.8511,0.7423,basic+phys
optuna_trial_0_seed_1,0.0013301266370207628,0.0,512,10,0.025723518686039643,0.005468752633851966,0.5140796082017125,1.846326134136131e-05,4,300,50,scaffold,99.7791,91.2752,,88.2482,,61,True,2025-11-26 04:48:12,0.9994,0.9775,0.9854,0.9738,0.9904,0.9545,0.8670,0.9109,0.9262,0.7037,0.9543,0.8300,0.8832,0.8642,0.7308,basic+phys
optuna_trial_0_seed_0,0.008031037931230627,0.4,64,8,0.1477302995321368,0.007711837541560226,0.01945173086637364,8.641248708987084e-06,4,300,50,scaffold,99.8875,92.6980,,87.3520,,79,True,2025-11-26 08:46:53,0.9997,0.9922,0.9949,0.9916,0.9940,0.9672,0.8571,0.9102,0.9074,0.6585,0.9501,0.8128,0.8712,0.8317,0.7526,basic
optuna_trial_0_seed_1,0.008031037931230627,0.4,64,8,0.1477302995321368,0.007711837541560226,0.01945173086637364,8.641248708987084e-06,4,300,50,scaffold,99.9626,90.6289,,92.5067,,93,True,2025-11-26 08:50:37,0.9999,0.9744,0.9834,0.9682,0.9968,0.9438,0.7931,0.8511,0.8054,0.7593,0.9707,0.8768,0.9155,0.8974,0.8173,basic
optuna_trial_0_seed_0,0.0016630604479215313,0.2,512,3,0.014724320864821318,0.04598614463942199,0.09158029759605102,1.2122642239294137e-05,6,300,50,scaffold,99.9419,91.2075,,87.5888,,58,True,2025-11-26 08:53:29,0.9998,0.9922,0.9949,0.9924,0.9915,0.9664,0.8818,0.9277,0.9506,0.6098,0.9506,0.5000,0.5155,0.3495,0.9794,basic+phys
optuna_trial_0_seed_2,0.008031037931230627,0.4,64,8,0.1477302995321368,0.007711837541560226,0.01945173086637364,8.641248708987084e-06,4,300,50,scaffold,99.7427,93.7292,,87.7262,,72,True,2025-11-26 08:53:29,0.9991,0.9801,0.9867,0.9904,0.9504,0.9716,0.8966,0.9384,0.9581,0.6111,0.9660,0.8325,0.8947,0.8550,0.7206,basic
optuna_trial_0_seed_1,0.0016630604479215313,0.2,512,3,0.014724320864821318,0.04598614463942199,0.09158029759605102,1.2122642239294137e-05,6,300,50,scaffold,99.9781,90.7283,,91.7155,,80,True,2025-11-26 08:55:22,0.9999,0.9883,0.9924,0.9849,1.0000,0.9334,0.8227,0.8750,0.8456,0.7593,0.9679,0.8842,0.9246,0.9536,0.6827,basic+phys
optuna_trial_0_seed_3,0.008031037931230627,0.4,64,8,0.1477302995321368,0.007711837541560226,0.01945173086637364,8.641248708987084e-06,4,300,50,scaffold,99.8324,90.3989,,91.3235,,88,True,2025-11-26 08:57:04,0.9995,0.9673,0.9783,0.9575,1.0000,0.9351,0.7734,0.8380,0.8151,0.6667,0.9728,0.8867,0.9294,0.9498,0.6552,basic
optuna_trial_0_seed_2,0.0016630604479215313,0.2,512,3,0.014724320864821318,0.04598614463942199,0.09158029759605102,1.2122642239294137e-05,6,300,50,scaffold,99.9734,96.1577,,87.2607,,80,True,2025-11-26 08:57:17,0.9999,0.9863,0.9907,0.9817,1.0000,0.9761,0.9212,0.9527,0.9641,0.7222,0.9636,0.8916,0.9360,0.9527,0.5882,basic+phys
optuna_trial_0_seed_3,0.0016630604479215313,0.2,512,3,0.014724320864821318,0.04598614463942199,0.09158029759605102,1.2122642239294137e-05,6,300,50,scaffold,99.8961,90.9637,,92.3756,,55,True,2025-11-26 08:58:38,0.9997,0.9844,0.9897,0.9796,1.0000,0.9513,0.8522,0.8973,0.8973,0.7368,0.9746,0.7217,0.7896,0.6646,0.9310,basic+phys
optuna_trial_0_seed_4,0.008031037931230627,0.4,64,8,0.1477302995321368,0.007711837541560226,0.01945173086637364,8.641248708987084e-06,4,300,50,scaffold,99.8159,93.3297,,90.2395,,61,True,2025-11-26 08:59:35,0.9995,0.9787,0.9860,0.9743,0.9938,0.9804,0.8867,0.9313,0.9123,0.7500,0.9550,0.8645,0.9033,0.8924,0.7966,basic
optuna_trial_0_seed_4,0.0016630604479215313,0.2,512,3,0.014724320864821318,0.04598614463942199,0.09158029759605102,1.2122642239294137e-05,6,300,50,scaffold,99.8741,95.8151,,88.8536,,54,True,2025-11-26 08:59:55,0.9997,0.9834,0.9893,0.9837,0.9823,0.9827,0.9015,0.9415,0.9415,0.6875,0.9425,0.7512,0.8023,0.7118,0.8475,basic+phys
optuna_trial_1_seed_0,0.0016061879987334996,0.5,512,5,0.6447893746529211,0.011268157401058578,0.4297141669666964,2.2412199567584143e-05,6,300,50,scaffold,99.2716,90.9214,,89.3437,,102,True,2025-11-26 09:02:24,0.9979,0.9629,0.9753,0.9640,0.9593,0.9676,0.9015,0.9390,0.9506,0.7073,0.9614,0.8571,0.9073,0.9191,0.6598,basic+phys
optuna_trial_1_seed_1,0.0016061879987334996,0.5,512,5,0.6447893746529211,0.011268157401058578,0.4297141669666964,2.2412199567584143e-05,6,300,50,scaffold,99.1942,91.2006,,93.8487,,121,True,2025-11-26 09:05:15,0.9979,0.9590,0.9735,0.9589,0.9593,0.9588,0.8719,0.9133,0.9195,0.7407,0.9771,0.8892,0.9244,0.9106,0.8269,basic+phys
optuna_trial_1_seed_0,1.7160176701581615e-05,0.4,128,8,0.10300681610221635,0.015488634575252817,0.4201673406429659,1.0813733712635632e-06,5,300,50,scaffold,90.0645,85.1099,,88.2628,,200,False,2025-11-26 09:05:50,0.9617,0.8736,0.9171,0.9120,0.7477,0.9508,0.8473,0.9040,0.9012,0.6341,0.9565,0.8448,0.8969,0.8867,0.7113,basic
