experiment_id,lr,dropout_ratio,batch_size,num_experts,alpha,beta,min_temp,decay,num_layer,emb_dim,gate_dim,split_type,train_metric,val_metric,val_metric_std,test_metric,test_metric_std,num_epochs_trained,early_stopped,timestamp,train_rmse,train_r2,train_pearson,train_spearman,val_rmse,val_r2,val_pearson,val_spearman,test_rmse,test_r2,test_pearson,test_spearman,features
optuna_trial_0_seed_0,1.010230747035731e-05,0.30000000000000004,32,6,0.9645291594948788,0.002909659194181661,0.40622592495057586,3.189532740842346e-06,7,300,50,scaffold,79.6222,65.6282,,73.3413,,200,False,2025-11-26 08:39:36,91.4218,-31.9942,0.0789,0.1006,75.1825,-17.8385,0.0273,0.1140,80.5166,-16.8872,0.0639,0.1194,basic
optuna_trial_0_seed_0,2.1758903185783593e-05,0.2,128,4,0.030740174824107704,0.009546610137223199,0.012555184495714909,4.762107135162197e-06,7,300,50,scaffold,63.9953,66.2335,,71.0284,,200,False,2025-11-26 08:41:00,69.4512,-18.0752,0.1038,0.0685,72.5952,-16.5642,0.2214,0.2405,76.2334,-15.0347,0.2218,0.1676,basic+phys
optuna_trial_0_seed_1,2.1758903185783593e-05,0.2,128,4,0.030740174824107704,0.009546610137223199,0.012555184495714909,4.762107135162197e-06,7,300,50,scaffold,61.6778,68.6600,,66.7160,,200,False,2025-11-26 08:46:52,67.4257,-16.1663,0.1529,0.1539,71.6416,-20.0682,0.2547,0.2027,71.2783,-14.2040,0.2836,0.1694,basic+phys
optuna_trial_0_seed_1,1.010230747035731e-05,0.30000000000000004,32,6,0.9645291594948788,0.002909659194181661,0.40622592495057586,3.189532740842346e-06,7,300,50,scaffold,81.8895,81.6941,,74.3547,,200,False,2025-11-26 08:50:29,93.5655,-31.9153,0.0716,0.1102,92.7803,-34.3354,0.1519,0.1745,79.8814,-18.0956,0.0546,0.0080,basic
optuna_trial_0_seed_2,2.1758903185783593e-05,0.2,128,4,0.030740174824107704,0.009546610137223199,0.012555184495714909,4.762107135162197e-06,7,300,50,scaffold,62.9634,69.8344,,71.3248,,200,False,2025-11-26 08:52:43,68.2712,-14.9459,0.1334,0.0902,75.8450,-21.4149,0.0263,0.0168,76.2596,-23.7242,0.1003,0.0280,basic+phys
optuna_trial_0_seed_3,2.1758903185783593e-05,0.2,128,4,0.030740174824107704,0.009546610137223199,0.012555184495714909,4.762107135162197e-06,7,300,50,scaffold,67.9979,69.4767,,71.6498,,200,False,2025-11-26 08:58:55,74.1471,-16.2579,0.1035,0.0655,74.4006,-24.4723,0.2110,0.1610,76.6164,-27.6927,0.0105,0.0437,basic+phys
optuna_trial_0_seed_2,1.010230747035731e-05,0.30000000000000004,32,6,0.9645291594948788,0.002909659194181661,0.40622592495057586,3.189532740842346e-06,7,300,50,scaffold,79.4109,73.1661,,75.2556,,200,False,2025-11-26 09:01:34,90.8916,-26.8669,0.0684,0.1018,82.7988,-25.7135,0.0433,0.1259,81.8540,-27.4848,0.0500,-0.0132,basic
optuna_trial_0_seed_4,2.1758903185783593e-05,0.2,128,4,0.030740174824107704,0.009546610137223199,0.012555184495714909,4.762107135162197e-06,7,300,50,scaffold,67.2122,73.7707,,74.7425,,200,False,2025-11-26 09:05:13,73.3409,-18.8588,0.0634,0.0749,77.7746,-21.4466,0.0042,0.1230,78.8163,-18.0602,0.2493,0.1627,basic+phys
optuna_trial_0_seed_3,1.010230747035731e-05,0.30000000000000004,32,6,0.9645291594948788,0.002909659194181661,0.40622592495057586,3.189532740842346e-06,7,300,50,scaffold,80.7111,85.8493,,86.2332,,114,True,2025-11-26 09:07:51,87.6382,-23.7653,0.0385,0.0313,90.6255,-36.7935,0.0102,0.1008,89.3611,-38.0324,0.0283,0.1505,basic
optuna_trial_1_seed_0,0.007212629295433655,0.1,32,5,0.12298575095217675,0.007067433866208796,0.033342105075872056,1.005999564779354e-06,4,300,50,scaffold,3.8818,8.8041,,10.0785,,59,True,2025-11-26 09:08:35,5.9618,0.8596,0.9291,0.8193,14.4691,0.3023,0.5580,0.6532,14.4846,0.4211,0.6642,0.6739,basic+phys
