experiment_id,lr,dropout_ratio,batch_size,num_experts,alpha,beta,min_temp,decay,num_layer,emb_dim,gate_dim,split_type,train_metric,val_metric,val_metric_std,test_metric,test_metric_std,num_epochs_trained,early_stopped,timestamp,train_rmse,train_r2,train_pearson,train_spearman,val_rmse,val_r2,val_pearson,val_spearman,test_rmse,test_r2,test_pearson,test_spearman,features
optuna_trial_0_seed_0,0.0018658088112371437,0.4,256,8,0.023621701142510516,0.0033948199680205455,0.12334981775808847,3.3210083217832133e-06,3,300,50,scaffold,2.4200,3.0111,,6.2820,,108,True,2025-11-26 04:47:00,6.2649,0.2521,0.6138,0.6932,9.8179,0.0504,0.3119,0.6492,47.6058,-0.0041,0.1720,0.6734,basic+phys
optuna_trial_0_seed_0,0.0002633685882462202,0.2,256,10,0.46861854911998246,0.0017043188692555254,0.16977454741340972,2.5227809219440514e-05,3,300,50,scaffold,2.5812,3.0500,,6.3739,,200,False,2025-11-26 04:49:01,6.8758,0.0992,0.5278,0.6717,9.8983,0.0348,0.3175,0.6792,47.7242,-0.0091,0.0886,0.6445,basic
optuna_trial_0_seed_0,0.0019551987924079006,0.2,512,6,0.5836960292314879,0.004483264205919972,0.4341993286599603,1.010329240068594e-06,3,300,50,scaffold,2.2774,3.0886,,6.2646,,200,False,2025-11-26 07:43:42,6.2267,0.3817,0.7016,0.8039,9.7447,0.0645,0.3067,0.5973,47.5735,-0.0028,0.1148,0.7074,basic
optuna_trial_0_seed_1,0.0019551987924079006,0.2,512,6,0.5836960292314879,0.004483264205919972,0.4341993286599603,1.010329240068594e-06,3,300,50,scaffold,3.5990,2.6626,,2.5408,,200,False,2025-11-26 07:47:48,31.3934,0.0281,0.1959,0.8003,5.9029,0.1865,0.5289,0.5480,6.3576,0.1400,0.3977,0.6232,basic
optuna_trial_0_seed_2,0.0019551987924079006,0.2,512,6,0.5836960292314879,0.004483264205919972,0.4341993286599603,1.010329240068594e-06,3,300,50,scaffold,3.7013,2.6232,,2.8635,,140,True,2025-11-26 07:50:40,31.5041,0.0153,0.1732,0.7850,6.7951,0.0831,0.3504,0.6703,5.6120,0.1097,0.3983,0.4618,basic
optuna_trial_0_seed_3,0.0019551987924079006,0.2,512,6,0.5836960292314879,0.004483264205919972,0.4341993286599603,1.010329240068594e-06,3,300,50,scaffold,3.6796,3.7633,,2.8430,,176,True,2025-11-26 07:54:18,31.9033,0.0087,0.1719,0.7436,9.0541,0.0255,0.3501,0.6484,7.4217,0.1619,0.5548,0.5302,basic
optuna_trial_0_seed_4,0.0019551987924079006,0.2,512,6,0.5836960292314879,0.004483264205919972,0.4341993286599603,1.010329240068594e-06,3,300,50,scaffold,3.7378,3.7682,,3.1151,,200,False,2025-11-26 07:58:23,31.5813,0.0121,0.1830,0.8245,9.1565,0.2534,0.7432,0.5392,6.6921,0.0829,0.3477,0.5218,basic
optuna_trial_1_seed_0,0.005623969650014596,0.4,512,7,0.5968146601547248,0.0021792964211491744,0.3110177829203381,1.6974528268441937e-05,6,300,50,scaffold,2.1670,2.9102,,6.3410,,72,True,2025-11-26 07:59:55,5.8373,0.2994,0.6045,0.8370,9.9462,0.0254,0.2344,0.6806,47.4971,0.0005,0.1587,0.6978,basic
optuna_trial_1_seed_1,0.005623969650014596,0.4,512,7,0.5968146601547248,0.0021792964211491744,0.3110177829203381,1.6974528268441937e-05,6,300,50,scaffold,3.4597,2.4669,,2.3337,,88,True,2025-11-26 08:01:43,31.6499,0.0404,0.2094,0.8469,5.5268,0.2869,0.5516,0.4765,6.4469,0.1157,0.3755,0.6957,basic
optuna_trial_1_seed_2,0.005623969650014596,0.4,512,7,0.5968146601547248,0.0021792964211491744,0.3110177829203381,1.6974528268441937e-05,6,300,50,scaffold,3.6293,2.5677,,2.4287,,101,True,2025-11-26 08:03:50,30.8917,0.0776,0.3135,0.8787,6.7490,0.0956,0.3793,0.6328,5.0733,0.2724,0.5649,0.5551,basic
