experiment_id,lr,dropout_ratio,batch_size,num_experts,alpha,beta,min_temp,decay,num_layer,emb_dim,gate_dim,split_type,val_metric,val_metric_std,test_metric,test_metric_std,num_epochs_trained,early_stopped,timestamp
enhanced_feat_exp002,0.001,0.0,512,7,0.1,0.01,0.1,0.0001,5,300,50,scaffold,26.6266,,8.1083,,100,False,2025-11-15 13:53:50
enhanced_feat_exp004,0.0001,0.3,512,7,0.1,0.01,1.0,0.0,5,300,50,scaffold,28.6511,,8.1848,,100,False,2025-11-15 13:54:51
enhanced_feat_exp007,0.001,0.3,512,5,0.1,0.01,1.0,0.0,5,300,50,scaffold,26.4884,,9.7235,,100,False,2025-11-15 13:56:29
enhanced_feat_exp009,0.0001,0.0,512,5,0.1,0.1,0.1,0.0,5,300,50,scaffold,28.3894,,9.6591,,100,False,2025-11-15 13:56:43
enhanced_feat_exp013,0.0001,0.3,512,3,0.1,0.1,0.1,0.0001,5,300,50,scaffold,28.4898,,9.6441,,100,False,2025-11-15 13:58:30
enhanced_feat_exp015,0.0001,0.3,512,7,1.0,0.01,1.0,0.0001,5,300,50,scaffold,28.6686,,9.9122,,100,False,2025-11-15 13:59:01
enhanced_feat_exp016,0.0001,0.0,512,5,0.01,0.01,0.1,0.0,5,300,50,scaffold,28.3898,,9.6591,,100,False,2025-11-15 14:00:08
enhanced_feat_exp018,0.001,0.3,512,7,1.0,1.0,0.1,0.0001,5,300,50,scaffold,26.8779,,10.1713,,100,False,2025-11-15 14:00:27
enhanced_feat_exp025,0.001,0.3,512,3,0.01,0.01,1.0,0.0,5,300,50,scaffold,26.7465,,8.1590,,100,False,2025-11-15 14:03:59
enhanced_feat_exp027,0.0001,0.0,512,3,0.01,0.1,1.0,0.0001,5,300,50,scaffold,28.4254,,9.5149,,100,False,2025-11-15 14:04:36
enhanced_feat_exp029,0.001,0.3,512,7,1.0,1.0,1.0,0.0,5,300,50,scaffold,26.8521,,10.2138,,100,False,2025-11-15 14:05:44
enhanced_feat_exp028,0.0001,0.3,512,3,0.1,0.01,1.0,0.0001,5,300,50,scaffold,28.4896,,9.7043,,100,False,2025-11-15 14:05:46
enhanced_feat_exp039,0.001,0.0,512,3,1.0,1.0,1.0,0.0001,5,300,50,scaffold,26.5583,,8.3206,,100,False,2025-11-15 14:09:22
enhanced_feat_exp044,0.0001,0.3,512,3,1.0,0.1,1.0,0.0,5,300,50,scaffold,28.4752,,9.6163,,100,False,2025-11-15 14:11:21
enhanced_feat_exp047,0.001,0.3,512,5,0.1,1.0,1.0,0.0001,5,300,50,scaffold,26.6474,,8.0989,,100,False,2025-11-15 14:12:57
enhanced_feat_exp049,0.001,0.3,512,5,1.0,1.0,0.1,0.0001,5,300,50,scaffold,26.6721,,8.0891,,100,False,2025-11-15 14:13:07
enhanced_final,0.001,0.3,512,5,1.0,1.0,0.1,0.0001,5,300,50,scaffold,,,7.9939,,99,True,2025-11-16 08:28:59
