experiment_id,lr,dropout_ratio,batch_size,num_experts,alpha,beta,min_temp,decay,num_layer,emb_dim,gate_dim,split_type,val_metric,val_metric_std,test_metric,test_metric_std,num_epochs_trained,early_stopped,timestamp
enhanced_feat_exp001,0.001,0.0,512,3,0.01,0.01,0.1,0.0,5,300,50,scaffold,87.5599,,84.6578,,32,True,2025-11-15 07:51:21
enhanced_feat_exp000,0.0001,0.0,512,3,0.01,0.01,0.1,0.0,5,300,50,scaffold,87.4457,,79.8874,,100,False,2025-11-15 07:54:35
enhanced_feat_exp007,0.001,0.3,512,5,0.1,0.01,1.0,0.0,5,300,50,scaffold,89.4073,,86.7145,,63,True,2025-11-15 07:57:46
enhanced_feat_exp008,0.0001,0.0,512,5,0.1,0.1,0.1,0.0001,5,300,50,scaffold,87.4970,,86.7411,,58,True,2025-11-15 07:57:49
enhanced_feat_exp010,0.001,0.0,512,5,1.0,0.1,0.1,0.0001,5,300,50,scaffold,88.4536,,86.9073,,24,True,2025-11-15 07:57:59
enhanced_feat_exp011,0.0001,0.0,512,7,1.0,0.1,1.0,0.0001,5,300,50,scaffold,88.4575,,84.2594,,87,True,2025-11-15 08:02:16
enhanced_feat_exp015,0.0001,0.3,512,7,1.0,0.01,1.0,0.0001,5,300,50,scaffold,88.1765,,85.3059,,76,True,2025-11-15 08:04:50
enhanced_feat_exp022,0.001,0.3,512,7,0.01,1.0,1.0,0.0,5,300,50,scaffold,89.0981,,87.3954,,38,True,2025-11-15 08:09:20
enhanced_feat_exp025,0.001,0.3,512,3,0.01,0.01,1.0,0.0,5,300,50,scaffold,86.6989,,86.6155,,26,True,2025-11-15 08:10:49
enhanced_feat_exp021,0.0001,0.0,512,3,0.01,0.1,0.1,0.0,5,300,50,scaffold,87.5298,,57.6490,,100,False,2025-11-15 08:11:09
enhanced_feat_exp028,0.0001,0.3,512,3,0.1,0.01,1.0,0.0001,5,300,50,scaffold,80.4428,,79.2332,,60,True,2025-11-15 08:14:03
enhanced_feat_exp033,0.0001,0.0,512,7,1.0,1.0,1.0,0.0001,5,300,50,scaffold,88.4679,,87.9539,,76,True,2025-11-15 08:17:54
enhanced_feat_exp040,0.001,0.0,512,7,0.1,0.1,0.1,0.0,5,300,50,scaffold,89.7113,,83.5324,,35,True,2025-11-15 08:23:26
enhanced_feat_exp045,0.001,0.0,512,5,0.01,0.1,0.1,0.0,5,300,50,scaffold,89.7981,,88.2867,,49,True,2025-11-15 08:27:40
enhanced_feat_exp043,0.0001,0.0,512,5,0.01,0.1,0.1,0.0,5,300,50,scaffold,89.5970,,88.3473,,100,False,2025-11-15 08:28:13
enhanced_feat_exp044,0.0001,0.3,512,3,1.0,0.1,1.0,0.0,5,300,50,scaffold,87.2688,,51.4836,,100,False,2025-11-15 08:28:29
enhanced_feat_exp046,0.001,0.3,512,3,0.01,0.01,0.1,0.0001,5,300,50,scaffold,83.2095,,80.7264,,24,True,2025-11-15 08:29:02
enhanced_feat_exp048,0.0001,0.0,512,3,1.0,0.1,0.1,0.0,5,300,50,scaffold,87.5828,,86.4133,,100,False,2025-11-15 08:32:46
enhanced_final,0.0001,0.3,512,3,1.0,0.1,1.0,0.0,5,300,50,scaffold,,,85.6313,,238,True,2025-11-16 08:24:18
