experiment_id,lr,dropout_ratio,batch_size,num_experts,alpha,beta,min_temp,decay,num_layer,emb_dim,gate_dim,split_type,train_metric,val_metric,val_metric_std,test_metric,test_metric_std,num_epochs_trained,early_stopped,timestamp,train_auprc,train_accuracy,train_f1,train_sensitivity,train_specificity,val_auprc,val_accuracy,val_f1,val_sensitivity,val_specificity,test_auprc,test_accuracy,test_f1,test_sensitivity,test_specificity,features
optuna_trial_0_seed_0,0.00019707495728148606,0.1,256,9,0.10604976217414996,0.06236575797576785,0.6149112638781379,7.198002788859347e-05,6,300,50,scaffold,100.0000,57.4074,,70.2063,,52,True,2025-11-26 04:45:07,1.0000,0.9615,0.9151,1.0000,0.9515,0.1995,0.6364,0.2000,0.2500,0.7222,0.3373,0.7111,0.0000,0.0000,0.9320,basic
optuna_trial_0_seed_0,0.00020150964387301146,0.1,32,7,0.1525199066895928,0.07158573641400164,0.016441866575794172,2.239336586978733e-06,6,300,50,scaffold,99.9639,53.8580,,75.6675,,53,True,2025-11-26 04:45:58,0.9985,0.9957,0.9898,1.0000,0.9946,0.1882,0.7424,0.1905,0.1667,0.8704,0.4403,0.6815,0.5376,0.7812,0.6505,basic+phys
optuna_trial_0_seed_1,0.00019707495728148606,0.1,256,9,0.10604976217414996,0.06236575797576785,0.6149112638781379,7.198002788859347e-05,6,300,50,scaffold,99.9102,87.5244,,66.1549,,53,True,2025-11-26 04:46:38,0.9966,0.9509,0.9004,1.0000,0.9368,0.3528,0.8030,0.4348,0.5556,0.8421,0.3341,0.8000,0.4000,0.3214,0.9252,basic
optuna_trial_0_seed_1,0.00020150964387301146,0.1,32,7,0.1525199066895928,0.07158573641400164,0.016441866575794172,2.239336586978733e-06,6,300,50,scaffold,99.8547,83.6257,,71.5955,,52,True,2025-11-26 04:48:28,0.9929,0.9872,0.9720,1.0000,0.9835,0.3342,0.7576,0.1111,0.1111,0.8596,0.3964,0.6296,0.4681,0.7857,0.5888,basic+phys
optuna_trial_0_seed_2,0.00019707495728148606,0.1,256,9,0.10604976217414996,0.06236575797576785,0.6149112638781379,7.198002788859347e-05,6,300,50,scaffold,100.0000,70.5370,,54.8260,,64,True,2025-11-26 04:48:29,1.0000,0.9573,0.9020,1.0000,0.9468,0.3581,0.6061,0.3500,0.5385,0.6226,0.4004,0.4889,0.3551,0.5278,0.4747,basic
optuna_trial_0_seed_0,2.392615147424782e-05,0.30000000000000004,256,3,0.060120634484993885,0.0017018769195336456,0.3447367187027369,9.739449831362613e-06,6,300,50,scaffold,85.0568,66.6667,,38.2585,,52,True,2025-11-26 09:17:03,0.5745,0.6406,0.5306,0.9630,0.5545,0.2115,0.5152,0.3333,0.6667,0.4815,0.1905,0.6815,0.0851,0.0625,0.8738,basic
optuna_trial_0_seed_1,2.392615147424782e-05,0.30000000000000004,256,3,0.060120634484993885,0.0017018769195336456,0.3447367187027369,9.739449831362613e-06,6,300,50,scaffold,81.5112,59.4542,,68.2911,,51,True,2025-11-26 09:18:03,0.5388,0.6914,0.5153,0.8235,0.6585,0.1807,0.6515,0.3030,0.5556,0.6667,0.3570,0.3111,0.3586,0.9286,0.1495,basic
optuna_trial_0_seed_2,2.392615147424782e-05,0.30000000000000004,256,3,0.060120634484993885,0.0017018769195336456,0.3447367187027369,9.739449831362613e-06,6,300,50,scaffold,93.8308,65.7475,,55.7800,,200,True,2025-11-26 09:22:06,0.7239,0.7461,0.5912,1.0000,0.6890,0.3810,0.5909,0.3415,0.5385,0.6038,0.4088,0.5407,0.3673,0.5000,0.5556,basic
optuna_trial_0_seed_3,2.392615147424782e-05,0.30000000000000004,256,3,0.060120634484993885,0.0017018769195336456,0.3447367187027369,9.739449831362613e-06,6,300,50,scaffold,95.0038,63.6255,,67.2906,,139,True,2025-11-26 09:24:56,0.8182,0.7930,0.6624,1.0000,0.7402,0.3435,0.5758,0.4167,0.5882,0.5714,0.4419,0.6000,0.4490,0.6667,0.5784,basic
optuna_trial_0_seed_4,2.392615147424782e-05,0.30000000000000004,256,3,0.060120634484993885,0.0017018769195336456,0.3447367187027369,9.739449831362613e-06,6,300,50,scaffold,95.0220,72.9348,,55.5556,,171,True,2025-11-26 09:28:23,0.7977,0.7891,0.6625,0.9815,0.7376,0.6367,0.7424,0.6383,0.7500,0.7391,0.2442,0.5556,0.3750,0.6000,0.5429,basic
optuna_trial_3_seed_0,0.0014061788439501148,0.2,32,10,0.28723732125231927,0.0010214806156561866,0.5681212233525523,4.80135084530893e-05,7,300,50,scaffold,99.8727,55.0926,,73.7864,,55,True,2025-11-26 09:31:00,0.9935,0.9933,0.9836,1.0000,0.9916,0.2541,0.7879,0.1250,0.0833,0.9444,0.4300,0.7111,0.5301,0.6875,0.7184,basic
optuna_trial_3_seed_1,0.0014061788439501148,0.2,32,10,0.28723732125231927,0.0010214806156561866,0.5681212233525523,4.80135084530893e-05,7,300,50,scaffold,99.9971,83.0409,,72.9973,,52,True,2025-11-26 09:32:41,0.9999,0.9085,0.8299,1.0000,0.8822,0.3520,0.5758,0.3333,0.7778,0.5439,0.3641,0.6963,0.4675,0.6429,0.7103,basic
optuna_trial_0_seed_0,0.0001734899742025135,0.30000000000000004,256,4,0.0471592171285289,0.014829574120204678,0.034708753696202584,7.440154989554661e-05,3,300,50,scaffold,61.7886,57.5617,,57.2816,,69,True,2025-11-26 09:33:07,0.2921,0.5781,0.3571,0.5882,0.5756,0.1977,0.6061,0.3500,0.5833,0.6111,0.2616,0.5704,0.2750,0.3438,0.6408,basic+phys
optuna_trial_3_seed_2,0.0014061788439501148,0.2,32,10,0.28723732125231927,0.0010214806156561866,0.5681212233525523,4.80135084530893e-05,7,300,50,scaffold,100.0000,75.1814,,56.0045,,62,True,2025-11-26 09:34:46,1.0000,0.9978,0.9944,1.0000,0.9972,0.4187,0.7576,0.4286,0.4615,0.8302,0.3660,0.5778,0.3448,0.4167,0.6364,basic
optuna_trial_3_seed_3,0.0014061788439501148,0.2,32,10,0.28723732125231927,0.0010214806156561866,0.5681212233525523,4.80135084530893e-05,7,300,50,scaffold,99.9582,65.4262,,67.5579,,56,True,2025-11-26 09:36:38,0.9983,0.9911,0.9770,0.9884,0.9917,0.3010,0.5909,0.1290,0.1176,0.7551,0.4607,0.6444,0.5000,0.7273,0.6176,basic
optuna_trial_0_seed_1,0.0001734899742025135,0.30000000000000004,256,4,0.0471592171285289,0.014829574120204678,0.034708753696202584,7.440154989554661e-05,3,300,50,scaffold,77.8139,69.2008,,69.6595,,200,False,2025-11-26 09:37:02,0.4480,0.7422,0.5286,0.6981,0.7537,0.2179,0.6818,0.2759,0.4444,0.7193,0.4298,0.5778,0.3736,0.6071,0.5701,basic+phys
optuna_trial_3_seed_4,0.0014061788439501148,0.2,32,10,0.28723732125231927,0.0010214806156561866,0.5681212233525523,4.80135084530893e-05,7,300,50,scaffold,100.0000,84.8913,,57.0794,,55,True,2025-11-26 09:38:30,1.0000,0.9955,0.9889,1.0000,0.9944,0.6034,0.7424,0.5143,0.4500,0.8696,0.2590,0.6296,0.3590,0.4667,0.6762,basic
