experiment_id,lr,dropout_ratio,batch_size,num_experts,alpha,beta,min_temp,decay,num_layer,emb_dim,gate_dim,split_type,train_metric,val_metric,val_metric_std,test_metric,test_metric_std,num_epochs_trained,early_stopped,timestamp,train_auprc,train_accuracy,train_f1,train_sensitivity,train_specificity,val_auprc,val_accuracy,val_f1,val_sensitivity,val_specificity,test_auprc,test_accuracy,test_f1,test_sensitivity,test_specificity,features
optuna_trial_0_seed_0,3.263875804423164e-05,0.1,256,6,0.08627966898238024,0.06034908940374493,0.40624569219363094,2.8594319056321643e-05,5,300,50,scaffold,95.1454,89.9857,,90.0101,,200,False,2025-11-26 09:06:35,0.9017,0.8802,0.8336,0.9132,0.8641,0.8117,0.8156,0.7699,0.8516,0.7951,0.8215,0.8210,0.7625,0.8414,0.8104,basic
optuna_trial_0_seed_0,0.00011451885779857195,0.2,512,6,0.4501015357982444,0.045851587630889076,0.5182882560207234,6.7501887636558095e-06,3,300,50,scaffold,91.2880,86.7624,,86.7264,,200,False,2025-11-26 09:14:48,0.8244,0.8287,0.7717,0.8814,0.8030,0.7646,0.7725,0.7312,0.8539,0.7263,0.7675,0.7826,0.7187,0.8136,0.7665,basic+phys
optuna_trial_0_seed_1,3.263875804423164e-05,0.1,256,6,0.08627966898238024,0.06034908940374493,0.40624569219363094,2.8594319056321643e-05,5,300,50,scaffold,94.7404,92.5450,,89.9773,,200,False,2025-11-26 09:19:33,0.8933,0.8706,0.8232,0.9102,0.8511,0.8452,0.8660,0.7834,0.8643,0.8667,0.8433,0.8144,0.7736,0.8438,0.7967,basic
optuna_trial_0_seed_1,0.00011451885779857195,0.2,512,6,0.4501015357982444,0.045851587630889076,0.5182882560207234,6.7501887636558095e-06,3,300,50,scaffold,90.3790,89.7345,,85.9147,,200,False,2025-11-26 09:24:28,0.8015,0.8229,0.7606,0.8547,0.8073,0.7596,0.8304,0.7299,0.8171,0.8356,0.7733,0.7788,0.7454,0.8614,0.7291,basic+phys
optuna_trial_0_seed_2,3.263875804423164e-05,0.1,256,6,0.08627966898238024,0.06034908940374493,0.40624569219363094,2.8594319056321643e-05,5,300,50,scaffold,94.3013,90.2194,,91.1485,,200,False,2025-11-26 09:32:37,0.8932,0.8690,0.8282,0.8929,0.8558,0.7424,0.8453,0.7171,0.7980,0.8607,0.8242,0.8470,0.7763,0.8492,0.8461,basic
optuna_trial_0_seed_2,0.00011451885779857195,0.2,512,6,0.4501015357982444,0.045851587630889076,0.5182882560207234,6.7501887636558095e-06,3,300,50,scaffold,90.0197,88.5662,,88.2853,,200,False,2025-11-26 09:34:29,0.8131,0.8196,0.7718,0.8638,0.7954,0.7112,0.8213,0.6795,0.7710,0.8377,0.7583,0.8094,0.7340,0.8413,0.7949,basic+phys
optuna_trial_0_seed_3,0.00011451885779857195,0.2,512,6,0.4501015357982444,0.045851587630889076,0.5182882560207234,6.7501887636558095e-06,3,300,50,scaffold,90.2084,85.0493,,89.4693,,200,False,2025-11-26 09:44:44,0.8170,0.8180,0.7725,0.8710,0.7889,0.7491,0.7734,0.7146,0.7940,0.7619,0.7465,0.8193,0.6972,0.8246,0.8176,basic+phys
optuna_trial_0_seed_3,3.263875804423164e-05,0.1,256,6,0.08627966898238024,0.06034908940374493,0.40624569219363094,2.8594319056321643e-05,5,300,50,scaffold,94.6789,90.3278,,92.2184,,200,False,2025-11-26 09:45:38,0.9022,0.8725,0.8353,0.9109,0.8514,0.8176,0.8230,0.7733,0.8449,0.8108,0.8139,0.8528,0.7401,0.8311,0.8601,basic
optuna_trial_0_seed_4,0.00011451885779857195,0.2,512,6,0.4501015357982444,0.045851587630889076,0.5182882560207234,6.7501887636558095e-06,3,300,50,scaffold,90.5824,90.1554,,87.5638,,200,False,2025-11-26 09:55:08,0.8141,0.8248,0.7742,0.8595,0.8062,0.7463,0.8619,0.6913,0.7695,0.8851,0.7761,0.7904,0.7377,0.8458,0.7608,basic+phys
optuna_trial_0_seed_4,3.263875804423164e-05,0.1,256,6,0.08627966898238024,0.06034908940374493,0.40624569219363094,2.8594319056321643e-05,5,300,50,scaffold,94.4508,92.0192,,90.6772,,200,False,2025-11-26 09:58:32,0.8940,0.8679,0.8262,0.8972,0.8521,0.7983,0.8726,0.7169,0.8025,0.8903,0.8297,0.8181,0.7674,0.8612,0.7951,basic
optuna_trial_1_seed_0,1.0158736088608467e-05,0.2,128,9,0.020529375105004768,0.0015030812814683684,0.04705177825228553,4.395878751175422e-05,7,300,50,scaffold,97.4741,91.1527,,91.2029,,66,True,2025-11-26 10:05:26,0.9447,0.9125,0.8766,0.9463,0.8960,0.8132,0.8114,0.7678,0.8607,0.7834,0.8460,0.8214,0.7692,0.8717,0.7954,basic
optuna_trial_1_seed_0,2.0606522022010568e-05,0.30000000000000004,128,10,0.628688142790797,0.09485819225235992,0.3315587230500084,1.2183140582043827e-06,3,300,50,scaffold,88.4690,84.7793,,85.0286,,200,False,2025-11-26 10:13:10,0.7700,0.7957,0.7345,0.8602,0.7641,0.7377,0.7444,0.7109,0.8676,0.6744,0.7218,0.7557,0.6989,0.8305,0.7169,basic+phys
optuna_trial_1_seed_1,1.0158736088608467e-05,0.2,128,9,0.020529375105004768,0.0015030812814683684,0.04705177825228553,4.395878751175422e-05,7,300,50,scaffold,97.6877,93.6154,,92.1371,,82,True,2025-11-26 10:14:36,0.9496,0.9122,0.8780,0.9560,0.8905,0.8576,0.8751,0.7946,0.8614,0.8805,0.8764,0.8289,0.7990,0.9054,0.7828,basic
optuna_trial_1_seed_2,1.0158736088608467e-05,0.2,128,9,0.020529375105004768,0.0015030812814683684,0.04705177825228553,4.395878751175422e-05,7,300,50,scaffold,97.5850,91.7996,,92.8878,,84,True,2025-11-26 10:23:56,0.9522,0.9081,0.8809,0.9612,0.8791,0.7840,0.8346,0.7093,0.8215,0.8388,0.8575,0.8504,0.7845,0.8717,0.8406,basic
optuna_trial_1_seed_1,2.0606522022010568e-05,0.30000000000000004,128,10,0.628688142790797,0.09485819225235992,0.3315587230500084,1.2183140582043827e-06,3,300,50,scaffold,88.4500,89.0506,,84.9649,,200,False,2025-11-26 10:31:24,0.7644,0.7932,0.7326,0.8577,0.7614,0.7507,0.8197,0.7226,0.8378,0.8126,0.7534,0.7578,0.7259,0.8537,0.7000,basic+phys
optuna_trial_1_seed_3,1.0158736088608467e-05,0.2,128,9,0.020529375105004768,0.0015030812814683684,0.04705177825228553,4.395878751175422e-05,7,300,50,scaffold,97.4086,92.1660,,92.9394,,79,True,2025-11-26 10:32:49,0.9486,0.9117,0.8850,0.9563,0.8871,0.8384,0.8321,0.7888,0.8773,0.8069,0.8319,0.8450,0.7365,0.8590,0.8402,basic
optuna_trial_1_seed_4,1.0158736088608467e-05,0.2,128,9,0.020529375105004768,0.0015030812814683684,0.04705177825228553,4.395878751175422e-05,7,300,50,scaffold,97.2698,93.3147,,92.7526,,79,True,2025-11-26 10:41:44,0.9466,0.9096,0.8798,0.9472,0.8894,0.8127,0.8619,0.7055,0.8230,0.8716,0.8716,0.8417,0.7994,0.9051,0.8077,basic
optuna_trial_1_seed_2,2.0606522022010568e-05,0.30000000000000004,128,10,0.628688142790797,0.09485819225235992,0.3315587230500084,1.2183140582043827e-06,3,300,50,scaffold,87.6516,87.2859,,87.6756,,200,False,2025-11-26 10:49:31,0.7770,0.7849,0.7372,0.8539,0.7472,0.6861,0.7974,0.6525,0.7744,0.8048,0.7387,0.7900,0.7136,0.8373,0.7685,basic+phys
optuna_trial_2_seed_0,0.0002230965637832104,0.0,128,10,0.9692370052371388,0.030744104492351074,0.017925524606234273,3.0368594602267564e-05,3,300,50,scaffold,96.7593,86.7032,,86.6692,,100,True,2025-11-26 10:50:22,0.9279,0.9073,0.8684,0.9295,0.8965,0.7340,0.7783,0.7208,0.7900,0.7717,0.7598,0.7838,0.7190,0.8099,0.7702,basic
optuna_trial_2_seed_1,0.0002230965637832104,0.0,128,10,0.9692370052371388,0.030744104492351074,0.017925524606234273,3.0368594602267564e-05,3,300,50,scaffold,98.2067,90.6371,,86.2561,,143,True,2025-11-26 11:02:39,0.9591,0.9369,0.9076,0.9380,0.9364,0.7422,0.8462,0.7350,0.7611,0.8793,0.7827,0.7776,0.7296,0.7987,0.7649,basic
optuna_trial_1_seed_3,2.0606522022010568e-05,0.30000000000000004,128,10,0.628688142790797,0.09485819225235992,0.3315587230500084,1.2183140582043827e-06,3,300,50,scaffold,87.9730,83.5043,,89.3377,,200,False,2025-11-26 11:06:50,0.7754,0.7952,0.7445,0.8409,0.7701,0.7224,0.7692,0.7085,0.7847,0.7606,0.7402,0.8272,0.7048,0.8180,0.8303,basic+phys
optuna_trial_2_seed_2,0.0002230965637832104,0.0,128,10,0.9692370052371388,0.030744104492351074,0.017925524606234273,3.0368594602267564e-05,3,300,50,scaffold,97.8320,89.4244,,87.0041,,152,True,2025-11-26 11:14:31,0.9547,0.9207,0.8915,0.9586,0.9012,0.7134,0.8058,0.7044,0.8140,0.8025,0.7592,0.8041,0.7346,0.7942,0.8092,basic
optuna_trial_1_seed_4,2.0606522022010568e-05,0.30000000000000004,128,10,0.628688142790797,0.09485819225235992,0.3315587230500084,1.2183140582043827e-06,3,300,50,scaffold,88.4653,88.1302,,85.6099,,200,False,2025-11-26 11:22:54,0.7799,0.7939,0.7403,0.8636,0.7580,0.7115,0.8008,0.6946,0.8059,0.7989,0.7359,0.7702,0.7095,0.8220,0.7433,basic+phys
optuna_trial_2_seed_3,0.0002230965637832104,0.0,128,10,0.9692370052371388,0.030744104492351074,0.017925524606234273,3.0368594602267564e-05,3,300,50,scaffold,97.3526,90.5946,,88.4235,,133,True,2025-11-26 11:24:40,0.9411,0.9218,0.8881,0.9298,0.9177,0.8231,0.8364,0.7824,0.7964,0.8598,0.7582,0.8119,0.7316,0.8052,0.8150,basic
optuna_trial_2_seed_4,0.0002230965637832104,0.0,128,10,0.9692370052371388,0.030744104492351074,0.017925524606234273,3.0368594602267564e-05,3,300,50,scaffold,97.5124,88.1608,,88.3001,,123,True,2025-11-26 11:34:54,0.9474,0.9241,0.8927,0.9206,0.9260,0.7250,0.8190,0.7045,0.6997,0.8722,0.7453,0.8210,0.7390,0.7961,0.8326,basic
optuna_trial_2_seed_0,2.3014686245636217e-05,0.30000000000000004,128,4,0.5783322968141584,0.04672225962667591,0.993089357706529,7.217878907927843e-05,5,300,50,scaffold,93.7608,89.2374,,91.2179,,200,False,2025-11-26 11:43:01,0.8719,0.8615,0.8071,0.8931,0.8463,0.8249,0.8033,0.8065,0.9412,0.6969,0.8138,0.8400,0.7743,0.8623,0.8296,basic+phys
optuna_trial_3_seed_0,0.00011472665712907938,0.2,32,9,0.03077993924157075,0.0026302761815879894,0.010818985834623429,4.399992529833788e-06,5,300,50,scaffold,98.6453,89.2616,,92.1504,,78,True,2025-11-26 11:55:54,0.9710,0.9395,0.9123,0.9687,0.9255,0.8099,0.8050,0.7941,0.8634,0.7599,0.8351,0.8425,0.7765,0.8597,0.8344,basic
optuna_trial_2_seed_1,2.3014686245636217e-05,0.30000000000000004,128,4,0.5783322968141584,0.04672225962667591,0.993089357706529,7.217878907927843e-05,5,300,50,scaffold,93.6556,92.4314,,90.9705,,200,False,2025-11-26 12:03:34,0.8817,0.8620,0.8209,0.8948,0.8440,0.7999,0.8645,0.7438,0.8322,0.8745,0.8051,0.8442,0.7760,0.8481,0.8423,basic+phys
optuna_trial_3_seed_1,0.00011472665712907938,0.2,32,9,0.03077993924157075,0.0026302761815879894,0.010818985834623429,4.399992529833788e-06,5,300,50,scaffold,98.7654,92.8250,,92.6399,,91,True,2025-11-26 12:20:36,0.9761,0.9465,0.9270,0.9621,0.9380,0.8068,0.8653,0.7392,0.8077,0.8831,0.8399,0.8520,0.7851,0.8494,0.8532,basic
optuna_trial_2_seed_2,2.3014686245636217e-05,0.30000000000000004,128,4,0.5783322968141584,0.04672225962667591,0.993089357706529,7.217878907927843e-05,5,300,50,scaffold,93.6472,89.6983,,90.9222,,200,False,2025-11-26 12:24:15,0.8742,0.8629,0.8152,0.9028,0.8429,0.8154,0.8198,0.7816,0.8864,0.7818,0.7944,0.8400,0.7746,0.8636,0.8290,basic+phys
optuna_trial_2_seed_3,2.3014686245636217e-05,0.30000000000000004,128,4,0.5783322968141584,0.04672225962667591,0.993089357706529,7.217878907927843e-05,5,300,50,scaffold,93.1551,92.5529,,90.7313,,200,False,2025-11-26 12:45:19,0.8630,0.8582,0.8071,0.8874,0.8435,0.8716,0.8554,0.8152,0.8635,0.8506,0.7956,0.8351,0.7668,0.8519,0.8272,basic+phys
