experiment_id,lr,dropout_ratio,batch_size,num_experts,alpha,beta,min_temp,decay,num_layer,emb_dim,gate_dim,split_type,val_metric,val_metric_std,test_metric,test_metric_std,num_epochs_trained,early_stopped,timestamp
enhanced_feat_exp000,0.0001,0.0,512,3,0.01,0.01,0.1,0.0,5,300,50,scaffold,70.2128,,85.2123,,96,True,2025-11-15 09:28:41
enhanced_feat_exp005,0.001,0.0,512,7,1.0,0.1,0.1,0.0,5,300,50,scaffold,87.5700,,71.0061,,32,True,2025-11-15 09:29:51
enhanced_feat_exp014,0.0001,0.3,512,7,0.01,1.0,1.0,0.0,5,300,50,scaffold,78.3875,,66.4560,,100,False,2025-11-15 09:34:35
enhanced_feat_exp017,0.0001,0.3,512,7,0.01,0.01,1.0,0.0,5,300,50,scaffold,79.0594,,75.8468,,100,False,2025-11-15 09:35:45
enhanced_feat_exp018,0.001,0.3,512,7,1.0,1.0,0.1,0.0001,5,300,50,scaffold,87.0101,,68.7058,,71,True,2025-11-15 09:35:52
enhanced_feat_exp019,0.001,0.3,512,7,0.1,0.01,0.1,0.0,5,300,50,scaffold,87.2340,,81.8377,,89,True,2025-11-15 09:36:39
enhanced_feat_exp021,0.0001,0.0,512,3,0.01,0.1,0.1,0.0,5,300,50,scaffold,70.2128,,82.8362,,95,True,2025-11-15 09:37:25
enhanced_feat_exp023,0.001,0.3,512,3,0.01,1.0,1.0,0.0001,5,300,50,scaffold,78.0515,,85.6168,,92,True,2025-11-15 09:38:19
enhanced_feat_exp025,0.001,0.3,512,3,0.01,0.01,1.0,0.0,5,300,50,scaffold,80.6271,,66.5824,,100,False,2025-11-15 09:39:14
enhanced_feat_exp028,0.0001,0.3,512,3,0.1,0.01,1.0,0.0001,5,300,50,scaffold,65.9574,,65.6598,,100,False,2025-11-15 09:40:10
enhanced_feat_exp032,0.0001,0.0,512,7,0.01,0.1,0.1,0.0,5,300,50,scaffold,87.0101,,76.0870,,100,False,2025-11-15 09:41:54
enhanced_feat_exp033,0.0001,0.0,512,7,1.0,1.0,1.0,0.0001,5,300,50,scaffold,86.5622,,71.3726,,100,False,2025-11-15 09:41:55
enhanced_feat_exp036,0.0001,0.3,512,5,0.01,0.01,1.0,0.0001,5,300,50,scaffold,67.9731,,55.4348,,100,False,2025-11-15 09:43:44
enhanced_feat_exp045,0.001,0.0,512,5,0.01,0.1,0.1,0.0,5,300,50,scaffold,83.6506,,65.3059,,52,True,2025-11-15 09:46:01
enhanced_feat_exp043,0.0001,0.0,512,5,0.01,0.1,0.1,0.0,5,300,50,scaffold,70.5487,,42.2396,,100,False,2025-11-15 09:46:13
enhanced_feat_exp044,0.0001,0.3,512,3,1.0,0.1,1.0,0.0,5,300,50,scaffold,68.5330,,79.1709,,100,False,2025-11-15 09:46:34
enhanced_feat_exp048,0.0001,0.0,512,3,1.0,0.1,0.1,0.0,5,300,50,scaffold,73.1243,,80.3842,,100,False,2025-11-15 09:47:58
enhanced_final,0.0001,0.0,512,5,0.01,0.1,0.1,0.0,5,300,50,scaffold,,,78.9434,,300,False,2025-11-16 08:22:10
