experiment_id,lr,dropout_ratio,batch_size,num_experts,alpha,beta,min_temp,decay,num_layer,emb_dim,gate_dim,split_type,train_metric,val_metric,val_metric_std,test_metric,test_metric_std,num_epochs_trained,early_stopped,timestamp,train_auprc,train_accuracy,train_f1,train_sensitivity,train_specificity,val_auprc,val_accuracy,val_f1,val_sensitivity,val_specificity,test_auprc,test_accuracy,test_f1,test_sensitivity,test_specificity,features
optuna_trial_0_seed_0,4.7201088684392435e-05,0.5,256,4,0.7742149032570029,0.006670066837809133,0.01024926737712763,2.8740708191373e-05,4,300,50,scaffold,86.3281,85.1179,,83.5504,,200,False,2025-11-26 10:16:17,0.8003,0.7438,0.7399,0.9061,0.6347,0.8295,0.7224,0.7425,0.9046,0.5779,0.8007,0.7086,0.7296,0.8883,0.5658,basic
optuna_trial_0_seed_1,4.7201088684392435e-05,0.5,256,4,0.7742149032570029,0.006670066837809133,0.01024926737712763,2.8740708191373e-05,4,300,50,scaffold,87.0640,82.5012,,86.6941,,200,False,2025-11-26 10:28:11,0.8277,0.7844,0.7648,0.8277,0.7527,0.7954,0.7338,0.7338,0.7958,0.6807,0.7705,0.7787,0.7223,0.7978,0.7679,basic
optuna_trial_0_seed_2,4.7201088684392435e-05,0.5,256,4,0.7742149032570029,0.006670066837809133,0.01024926737712763,2.8740708191373e-05,4,300,50,scaffold,85.5103,85.4684,,87.5847,,200,False,2025-11-26 10:40:17,0.8007,0.7463,0.7407,0.8768,0.6544,0.7874,0.7565,0.7537,0.8793,0.6662,0.8179,0.7803,0.7684,0.8814,0.7091,basic
optuna_trial_0_seed_3,4.7201088684392435e-05,0.5,256,4,0.7742149032570029,0.006670066837809133,0.01024926737712763,2.8740708191373e-05,4,300,50,scaffold,86.0372,81.7359,,83.8488,,200,False,2025-11-26 10:51:49,0.8018,0.7589,0.7444,0.8716,0.6829,0.7656,0.7037,0.7078,0.8403,0.6020,0.8086,0.7304,0.7447,0.8762,0.6118,basic
optuna_trial_0_seed_4,4.7201088684392435e-05,0.5,256,4,0.7742149032570029,0.006670066837809133,0.01024926737712763,2.8740708191373e-05,4,300,50,scaffold,86.6533,87.8061,,83.7841,,200,False,2025-11-26 11:03:25,0.8025,0.7700,0.7446,0.8429,0.7218,0.8627,0.7898,0.8000,0.8810,0.7065,0.8027,0.7458,0.7375,0.8097,0.6954,basic
optuna_trial_1_seed_0,0.001117705139574863,0.2,32,7,0.5330695293798101,0.011097289267277256,0.127249710001252,2.7528744574543467e-06,4,300,50,scaffold,99.3804,89.5600,,89.1512,,69,True,2025-11-26 11:18:55,0.9893,0.9559,0.9473,0.9847,0.9364,0.8387,0.7857,0.7778,0.8477,0.7365,0.8622,0.7921,0.7904,0.8855,0.7178,basic
optuna_trial_1_seed_1,0.001117705139574863,0.2,32,7,0.5330695293798101,0.011097289267277256,0.127249710001252,2.7528744574543467e-06,4,300,50,scaffold,99.1910,91.9460,,89.2034,,61,True,2025-11-26 11:33:37,0.9877,0.9547,0.9481,0.9730,0.9412,0.7750,0.8386,0.7307,0.7542,0.8731,0.8673,0.8038,0.7715,0.7551,0.8419,basic
optuna_trial_1_seed_2,0.001117705139574863,0.2,32,7,0.5330695293798101,0.011097289267277256,0.127249710001252,2.7528744574543467e-06,4,300,50,scaffold,99.3468,88.8459,,89.6615,,63,True,2025-11-26 11:49:52,0.9886,0.9591,0.9504,0.9797,0.9454,0.8542,0.8037,0.7946,0.8153,0.7936,0.8702,0.8188,0.7926,0.7893,0.8419,basic
optuna_trial_1_seed_3,0.001117705139574863,0.2,32,7,0.5330695293798101,0.011097289267277256,0.127249710001252,2.7528744574543467e-06,4,300,50,scaffold,99.4002,89.8647,,89.9718,,68,True,2025-11-26 12:07:41,0.9895,0.9606,0.9518,0.9704,0.9540,0.8399,0.8021,0.7856,0.7898,0.8126,0.8730,0.8107,0.7773,0.7532,0.8556,basic
optuna_trial_1_seed_4,0.001117705139574863,0.2,32,7,0.5330695293798101,0.011097289267277256,0.127249710001252,2.7528744574543467e-06,4,300,50,scaffold,99.3630,88.1640,,88.9852,,65,True,2025-11-26 12:24:43,0.9895,0.9586,0.9506,0.9833,0.9419,0.8125,0.7940,0.7712,0.7882,0.7986,0.8659,0.7787,0.7818,0.9039,0.6809,basic
