experiment_id,lr,dropout_ratio,batch_size,num_experts,alpha,beta,min_temp,decay,num_layer,emb_dim,gate_dim,split_type,train_metric,val_metric,val_metric_std,test_metric,test_metric_std,num_epochs_trained,early_stopped,timestamp,train_auprc,train_accuracy,train_f1,train_sensitivity,train_specificity,val_auprc,val_accuracy,val_f1,val_sensitivity,val_specificity,test_auprc,test_accuracy,test_f1,test_sensitivity,test_specificity,features
ablation_Basic_Phys_ECFP_25,0.0005,0.3,128,3,0.1,0.01,1,0,3,300,50,scaffold,99.7082,78.6791,,82.0600,,53,True,2025-11-23 06:07:22,0.9963,0.9861,0.9867,0.9880,0.9840,0.7626,0.6589,0.7162,0.7081,0.5825,0.8657,0.7461,0.7942,0.8179,0.6387,basic+ecfp+phys
ablation_Basic_Phys_MACCS_1,0.001,0.3,128,3,0.1,0.01,1,0,3,300,50,scaffold,98.5079,84.3606,,85.8693,,65,True,2025-11-23 06:07:32,0.9845,0.9354,0.9381,0.9379,0.9326,0.8161,0.7552,0.8027,0.8190,0.6561,0.9006,0.7955,0.8313,0.8408,0.7277,basic+maccs+phys
ablation_Basic_MACCS_ECFP_49,0.0001,0.3,128,3,0.1,0.01,1,0,3,300,50,scaffold,99.6212,78.1234,,82.5519,,63,True,2025-11-23 06:07:44,0.9963,0.9741,0.9753,0.9786,0.9692,0.8076,0.6946,0.7442,0.7308,0.6386,0.8680,0.7536,0.7954,0.7995,0.6849,basic+ecfp+maccs
ablation_Basic_1,0.001,0.3,128,3,0.1,0.01,1,0,3,300,50,scaffold,96.9285,84.0248,,86.4500,,99,True,2025-11-23 06:08:05,0.9705,0.9111,0.9152,0.9191,0.9023,0.8759,0.7579,0.7991,0.7919,0.7053,0.9011,0.8030,0.8389,0.8557,0.7243,basic
ablation_Basic_Phys_ECFP_24,0.0005,0.3,32,3,0.1,0.01,1,0,3,300,50,scaffold,90.3110,75.4537,,72.1387,,53,True,2025-11-23 06:11:40,0.8733,0.8634,0.8745,0.9120,0.8103,0.6280,0.6011,0.6954,0.7489,0.3719,0.7619,0.6754,0.7305,0.7342,0.5873,basic+ecfp+phys
ablation_Basic_0,0.001,0.3,32,3,0.1,0.01,1,0,3,300,50,scaffold,96.3688,84.5693,,85.5618,,69,True,2025-11-23 06:12:06,0.9604,0.8975,0.9071,0.9579,0.8316,0.8788,0.7552,0.8114,0.8665,0.5825,0.8897,0.7852,0.8302,0.8763,0.6490,basic
ablation_Basic_MACCS_ECFP_48,0.0001,0.3,32,3,0.1,0.01,1,0,3,300,50,scaffold,92.7168,74.8365,,80.4657,,55,True,2025-11-23 06:12:16,0.8970,0.8804,0.8923,0.9489,0.8057,0.6805,0.6369,0.7209,0.7715,0.4281,0.8428,0.7371,0.7929,0.8396,0.5839,basic+ecfp+maccs
ablation_MACCS_49,0.0001,0.3,128,3,0.1,0.01,1,0,3,300,50,scaffold,95.8964,83.7977,,83.6350,,178,True,2025-11-23 06:13:16,0.9613,0.8954,0.8991,0.8928,0.8982,0.8870,0.7717,0.8126,0.8145,0.7053,0.8837,0.7728,0.8133,0.8259,0.6935,basic+maccs
ablation_Basic_Phys_MACCS_0,0.001,0.3,32,3,0.1,0.01,1,0,3,300,50,scaffold,96.8571,83.0277,,83.7621,,69,True,2025-11-23 06:13:48,0.9601,0.9199,0.9226,0.9143,0.9261,0.8369,0.7524,0.7968,0.7986,0.6807,0.8854,0.7646,0.7986,0.7789,0.7432,basic+maccs+phys
ablation_Phys_25,0.0005,0.3,128,3,0.1,0.01,1,0,3,300,50,scaffold,98.0288,85.5847,,84.7338,,224,True,2025-11-23 06:15:24,0.9818,0.9282,0.9318,0.9410,0.9142,0.8895,0.7620,0.8018,0.7919,0.7158,0.8704,0.7934,0.8293,0.8373,0.7277,basic+phys
ablation_Basic_Phys_ECFP_27,0.0005,0.3,128,3,0.1,0.01,1,0,5,300,50,scaffold,99.8530,80.5787,,82.8753,,52,True,2025-11-23 06:15:33,0.9987,0.9896,0.9900,0.9914,0.9877,0.7421,0.6864,0.7421,0.7421,0.6000,0.8725,0.7522,0.7926,0.7904,0.6952,basic+ecfp+phys
ablation_Basic_3,0.001,0.3,128,3,0.1,0.01,1,0,5,300,50,scaffold,99.5217,83.8239,,86.6578,,67,True,2025-11-23 06:16:24,0.9957,0.9637,0.9653,0.9680,0.9589,0.8705,0.7689,0.8100,0.8100,0.7053,0.9019,0.7907,0.8305,0.8557,0.6935,basic
ablation_Basic_MACCS_ECFP_51,0.0001,0.3,128,3,0.1,0.01,1,0,5,300,50,scaffold,99.7228,81.0479,,85.1798,,60,True,2025-11-23 06:16:41,0.9978,0.9800,0.9807,0.9756,0.9848,0.8117,0.6823,0.7220,0.6787,0.6877,0.8882,0.7893,0.8210,0.8064,0.7637,basic+ecfp+maccs
ablation_Basic_Phys_ECFP_26,0.0005,0.3,32,3,0.1,0.01,1,0,5,300,50,scaffold,88.9040,72.9134,,73.8106,,53,True,2025-11-23 06:17:11,0.8897,0.8290,0.8373,0.8432,0.8136,0.6230,0.5846,0.6537,0.6448,0.4912,0.7779,0.7069,0.7660,0.8007,0.5668,basic+ecfp+phys
ablation_Basic_MACCS_ECFP_50,0.0001,0.3,32,3,0.1,0.01,1,0,5,300,50,scaffold,90.0088,77.7868,,82.0974,,53,True,2025-11-23 06:17:21,0.8893,0.8310,0.8442,0.8770,0.7807,0.6668,0.5667,0.6400,0.6335,0.4632,0.8653,0.7522,0.7952,0.8030,0.6764,basic+ecfp+maccs
ablation_Basic_Phys_MACCS_3,0.001,0.3,128,3,0.1,0.01,1,0,5,300,50,scaffold,99.4109,83.0174,,85.7188,,55,True,2025-11-23 06:17:28,0.9951,0.9660,0.9673,0.9628,0.9696,0.8400,0.7208,0.7569,0.7149,0.7298,0.8896,0.7920,0.8301,0.8477,0.7089,basic+maccs+phys
