experiment_id,timestamp,lr,dropout_ratio,batch_size,num_experts,num_layer,emb_dim,decay,features,Test_Metric_Mean,Test_Metric_Std,Test_auprc_mean,Test_auprc_std,Test_accuracy_mean,Test_accuracy_std,Test_f1_mean,Test_f1_std,Test_sensitivity_mean,Test_sensitivity_std,Test_specificity_mean,Test_specificity_std
ablation_Basic_9,2025-11-24 08:57:26,0.001,0.3,128,3,5,300,0.0,basic,84.8956,0.8673,0.8966,0.0047,0.7848,0.0120,0.8250,0.0148,0.8220,0.0311,0.7240,0.0293
ablation_Basic_11,2025-11-24 08:58:59,0.001,0.3,128,3,5,300,0.0001,basic,84.7143,0.9882,0.8944,0.0063,0.7844,0.0066,0.8247,0.0093,0.8210,0.0275,0.7245,0.0363
ablation_Basic_10,2025-11-24 08:59:19,0.001,0.3,128,3,5,300,1e-05,basic,84.7645,0.7830,0.8956,0.0040,0.7845,0.0073,0.8245,0.0098,0.8192,0.0241,0.7278,0.0298
ablation_Basic_16,2025-11-24 09:00:03,0.001,0.3,128,3,7,300,1e-05,basic,83.6345,0.8271,0.8867,0.0051,0.7684,0.0102,0.8079,0.0136,0.7884,0.0295,0.7338,0.0379
ablation_Basic_15,2025-11-24 09:01:04,0.001,0.3,128,3,7,300,0.0,basic,83.8443,0.7701,0.8886,0.0056,0.7739,0.0124,0.8139,0.0175,0.8025,0.0432,0.7244,0.0523
ablation_Basic_17,2025-11-24 09:01:42,0.001,0.3,128,3,7,300,0.0001,basic,83.4835,1.0180,0.8848,0.0062,0.7699,0.0088,0.8075,0.0106,0.7809,0.0235,0.7503,0.0388
ablation_Basic_4,2025-11-24 09:04:02,0.001,0.3,128,3,3,300,1e-05,basic,84.3065,1.2752,0.8866,0.0127,0.7824,0.0137,0.8223,0.0123,0.8143,0.0288,0.7302,0.0306
ablation_Basic_22,2025-11-24 09:06:29,0.001,0.3,128,5,3,300,1e-05,basic,84.5260,0.8547,0.8891,0.0093,0.7834,0.0062,0.8250,0.0103,0.8273,0.0415,0.7118,0.0578
ablation_Basic_21,2025-11-24 09:06:37,0.001,0.3,128,5,3,300,0.0,basic,84.4255,0.8353,0.8890,0.0101,0.7834,0.0042,0.8229,0.0098,0.8150,0.0347,0.7308,0.0514
ablation_Basic_5,2025-11-24 09:06:38,0.001,0.3,128,3,3,300,0.0001,basic,84.5016,1.2980,0.8873,0.0148,0.7878,0.0065,0.8276,0.0074,0.8235,0.0194,0.7299,0.0298
ablation_Basic_3,2025-11-24 09:06:52,0.001,0.3,128,3,3,300,0.0,basic,84.5015,1.1409,0.8878,0.0121,0.7856,0.0118,0.8268,0.0109,0.8275,0.0237,0.7171,0.0256
ablation_Basic_23,2025-11-24 09:10:15,0.001,0.3,128,5,3,300,0.0001,basic,84.6545,1.0500,0.8916,0.0110,0.7833,0.0090,0.8198,0.0119,0.7987,0.0344,0.7582,0.0426
ablation_Basic_27,2025-11-24 09:22:33,0.001,0.3,128,5,5,300,0.0,basic,85.0758,1.0494,0.9002,0.0053,0.7881,0.0087,0.8284,0.0110,0.8279,0.0276,0.7232,0.0240
ablation_Basic_29,2025-11-24 09:23:15,0.001,0.3,128,5,5,300,0.0001,basic,84.9413,1.1169,0.8963,0.0066,0.7835,0.0138,0.8225,0.0166,0.8130,0.0356,0.7359,0.0291
ablation_Basic_28,2025-11-24 09:23:46,0.001,0.3,128,5,5,300,1e-05,basic,85.1243,1.0419,0.9005,0.0054,0.7878,0.0082,0.8277,0.0110,0.8253,0.0278,0.7270,0.0269
ablation_Basic_33,2025-11-24 09:27:48,0.001,0.3,128,5,7,300,0.0,basic,83.6985,1.6635,0.8869,0.0145,0.7709,0.0177,0.8071,0.0214,0.7779,0.0477,0.7585,0.0396
ablation_Basic_6,2025-11-24 09:28:44,0.001,0.3,32,3,5,300,0.0,basic,85.2550,0.8634,0.9002,0.0030,0.7870,0.0096,0.8276,0.0116,0.8276,0.0254,0.7208,0.0293
ablation_Basic_34,2025-11-24 09:29:30,0.001,0.3,128,5,7,300,1e-05,basic,83.1774,2.2111,0.8822,0.0162,0.7683,0.0235,0.8063,0.0224,0.7811,0.0353,0.7481,0.0111
ablation_Basic_8,2025-11-24 09:30:26,0.001,0.3,32,3,5,300,0.0001,basic,85.3111,0.9956,0.8990,0.0044,0.7848,0.0095,0.8256,0.0083,0.8235,0.0194,0.7205,0.0340
ablation_Basic_35,2025-11-24 09:32:07,0.001,0.3,128,5,7,300,0.0001,basic,83.1357,1.8501,0.8847,0.0110,0.7720,0.0124,0.8128,0.0115,0.8007,0.0234,0.7263,0.0148
ablation_Basic_19,2025-11-24 09:35:34,0.001,0.3,32,5,3,300,1e-05,basic,84.6157,1.1637,0.8893,0.0102,0.7808,0.0147,0.8188,0.0163,0.8031,0.0430,0.7450,0.0384
ablation_Basic_7,2025-11-24 09:39:37,0.001,0.3,32,3,5,300,1e-05,basic,85.1492,0.5284,0.8977,0.0030,0.7852,0.0092,0.8289,0.0121,0.8427,0.0323,0.6912,0.0329
ablation_Basic_1,2025-11-24 09:40:46,0.001,0.3,32,3,3,300,1e-05,basic,84.1300,0.7560,0.8866,0.0088,0.7742,0.0095,0.8199,0.0081,0.8312,0.0247,0.6828,0.0252
ablation_Basic_12,2025-11-24 09:44:00,0.001,0.3,32,3,7,300,0.0,basic,84.0863,1.1737,0.8894,0.0096,0.7822,0.0200,0.8180,0.0225,0.7940,0.0377,0.7617,0.0174
ablation_Basic_18,2025-11-24 09:44:09,0.001,0.3,32,5,3,300,0.0,basic,84.4972,1.1183,0.8896,0.0088,0.7812,0.0132,0.8175,0.0154,0.7942,0.0440,0.7613,0.0368
ablation_Basic_0,2025-11-24 09:47:12,0.001,0.3,32,3,3,300,0.0,basic,84.0727,0.8357,0.8829,0.0104,0.7736,0.0072,0.8188,0.0083,0.8276,0.0283,0.6861,0.0316
ablation_Basic_24,2025-11-24 09:49:17,0.001,0.3,32,5,5,300,0.0,basic,85.2477,1.1235,0.8983,0.0087,0.7834,0.0104,0.8220,0.0137,0.8108,0.0405,0.7396,0.0471
ablation_Basic_20,2025-11-24 09:50:20,0.001,0.3,32,5,3,300,0.0001,basic,84.4365,1.2409,0.8885,0.0114,0.7795,0.0157,0.8179,0.0158,0.8015,0.0289,0.7436,0.0147
ablation_Basic_26,2025-11-24 09:50:42,0.001,0.3,32,5,5,300,0.0001,basic,85.3163,0.7861,0.9002,0.0053,0.7839,0.0058,0.8213,0.0076,0.8033,0.0316,0.7542,0.0405
ablation_Basic_2,2025-11-24 09:51:08,0.001,0.3,32,3,3,300,0.0001,basic,84.1622,0.8964,0.8840,0.0110,0.7779,0.0058,0.8202,0.0060,0.8197,0.0325,0.7120,0.0558
ablation_Basic_13,2025-11-24 09:52:51,0.001,0.3,32,3,7,300,1e-05,basic,84.2687,1.3401,0.8922,0.0083,0.7736,0.0137,0.8104,0.0143,0.7828,0.0284,0.7587,0.0162
ablation_Basic_39,2025-11-24 09:53:50,0.001,0.3,128,7,3,300,0.0,basic,84.4350,1.5013,0.8882,0.0142,0.7806,0.0184,0.8217,0.0170,0.8181,0.0300,0.7191,0.0266
ablation_Basic_40,2025-11-24 09:54:59,0.001,0.3,128,7,3,300,1e-05,basic,84.4759,1.4450,0.8908,0.0134,0.7805,0.0186,0.8205,0.0178,0.8124,0.0355,0.7283,0.0333
ablation_Basic_41,2025-11-24 09:59:39,0.001,0.3,128,7,3,300,0.0001,basic,84.3971,1.4045,0.8869,0.0155,0.7830,0.0095,0.8269,0.0097,0.8383,0.0219,0.6937,0.0163
ablation_Basic_45,2025-11-24 10:01:05,0.001,0.3,128,7,5,300,0.0,basic,85.3881,0.9446,0.9015,0.0055,0.7865,0.0125,0.8280,0.0143,0.8328,0.0387,0.7111,0.0418
ablation_Basic_46,2025-11-24 10:01:08,0.001,0.3,128,7,5,300,1e-05,basic,85.2472,0.8528,0.9008,0.0056,0.7833,0.0085,0.8245,0.0108,0.8244,0.0327,0.7163,0.0430
ablation_Basic_47,2025-11-24 10:03:46,0.001,0.3,128,7,5,300,0.0001,basic,85.1393,0.9226,0.8995,0.0048,0.7817,0.0097,0.8211,0.0143,0.8118,0.0405,0.7322,0.0441
ablation_Basic_25,2025-11-24 10:06:03,0.001,0.3,32,5,5,300,1e-05,basic,84.5889,1.3732,0.8937,0.0076,0.7841,0.0123,0.8259,0.0100,0.8280,0.0212,0.7128,0.0390
ablation_Basic_31,2025-11-24 10:10:17,0.001,0.3,32,5,7,300,1e-05,basic,84.1812,1.3118,0.8944,0.0053,0.7826,0.0123,0.8237,0.0078,0.8205,0.0135,0.7206,0.0303
ablation_Basic_51,2025-11-24 10:12:05,0.001,0.3,128,7,7,300,0.0,basic,84.0283,1.3629,0.8935,0.0057,0.7791,0.0103,0.8180,0.0118,0.8033,0.0302,0.7406,0.0212
ablation_Basic_53,2025-11-24 10:13:13,0.001,0.3,128,7,7,300,0.0001,basic,83.8320,1.4834,0.8930,0.0086,0.7764,0.0099,0.8148,0.0095,0.7956,0.0210,0.7459,0.0102
ablation_Basic_30,2025-11-24 10:14:39,0.001,0.3,32,5,7,300,0.0,basic,84.0081,0.8838,0.8923,0.0030,0.7763,0.0049,0.8188,0.0036,0.8172,0.0224,0.7099,0.0391
ablation_Basic_52,2025-11-24 10:15:39,0.001,0.3,128,7,7,300,1e-05,basic,83.9562,1.4308,0.8925,0.0060,0.7767,0.0122,0.8169,0.0136,0.8065,0.0335,0.7291,0.0213
