experiment_id,lr,dropout_ratio,batch_size,num_experts,alpha,beta,min_temp,decay,num_layer,emb_dim,gate_dim,split_type,val_metric,val_metric_std,test_metric,test_metric_std,num_epochs_trained,early_stopped,timestamp
enhanced_feat_exp002,0.001,0.0,512,7,0.1,0.01,0.1,0.0001,5,300,50,scaffold,85.4902,,89.5217,,95,True,2025-11-15 13:18:50
enhanced_feat_exp010,0.001,0.0,512,5,1.0,0.1,0.1,0.0001,5,300,50,scaffold,85.2941,,73.9565,,47,True,2025-11-15 13:20:29
enhanced_feat_exp006,0.0001,0.0,512,3,0.01,0.01,1.0,0.0001,5,300,50,scaffold,79.2157,,68.0435,,100,False,2025-11-15 13:20:33
enhanced_feat_exp018,0.001,0.3,512,7,1.0,1.0,0.1,0.0001,5,300,50,scaffold,86.8627,,61.6087,,65,True,2025-11-15 13:24:05
enhanced_feat_exp017,0.0001,0.3,512,7,0.01,0.01,1.0,0.0,5,300,50,scaffold,74.7059,,71.2174,,100,False,2025-11-15 13:24:32
enhanced_feat_exp020,0.0001,0.3,512,7,1.0,0.01,0.1,0.0,5,300,50,scaffold,76.4706,,68.7826,,100,False,2025-11-15 13:25:30
enhanced_feat_exp027,0.0001,0.0,512,3,0.01,0.1,1.0,0.0001,5,300,50,scaffold,79.4118,,66.8696,,100,False,2025-11-15 13:27:54
enhanced_feat_exp032,0.0001,0.0,512,7,0.01,0.1,0.1,0.0,5,300,50,scaffold,80.5882,,69.0000,,100,False,2025-11-15 13:29:39
enhanced_feat_exp031,0.0001,0.0,512,7,1.0,0.01,0.1,0.0,5,300,50,scaffold,78.6275,,65.7826,,100,False,2025-11-15 13:29:40
enhanced_feat_exp033,0.0001,0.0,512,7,1.0,1.0,1.0,0.0001,5,300,50,scaffold,73.9216,,56.3478,,100,False,2025-11-15 13:30:01
enhanced_feat_exp045,0.001,0.0,512,5,0.01,0.1,0.1,0.0,5,300,50,scaffold,86.6667,,83.8261,,41,True,2025-11-15 13:33:36
enhanced_feat_exp044,0.0001,0.3,512,3,1.0,0.1,1.0,0.0,5,300,50,scaffold,81.7647,,56.4783,,100,False,2025-11-15 13:34:23
enhanced_feat_exp048,0.0001,0.0,512,3,1.0,0.1,0.1,0.0,5,300,50,scaffold,80.5882,,76.0000,,100,False,2025-11-15 13:35:27
enhanced_final,0.0001,0.0,512,7,1.0,1.0,1.0,0.0001,5,300,50,scaffold,,,85.8696,,300,False,2025-11-16 08:30:40
