experiment_id,lr,dropout_ratio,batch_size,num_experts,alpha,beta,min_temp,decay,num_layer,emb_dim,gate_dim,split_type,val_metric,val_metric_std,test_metric,test_metric_std,num_epochs_trained,early_stopped,timestamp
enhanced_feat_exp001,0.001,0.0,512,3,0.01,0.01,0.1,0.0,5,300,50,scaffold,0.5602,,0.7844,,56,True,2025-11-15 14:35:43
enhanced_feat_exp005,0.001,0.0,512,7,1.0,0.1,0.1,0.0,5,300,50,scaffold,0.5363,,1.1862,,46,True,2025-11-15 14:37:07
enhanced_feat_exp004,0.0001,0.3,512,7,0.1,0.01,1.0,0.0,5,300,50,scaffold,0.5779,,0.7286,,100,False,2025-11-15 14:38:43
enhanced_feat_exp007,0.001,0.3,512,5,0.1,0.01,1.0,0.0,5,300,50,scaffold,0.5201,,0.7286,,79,True,2025-11-15 14:39:32
enhanced_feat_exp010,0.001,0.0,512,5,1.0,0.1,0.1,0.0001,5,300,50,scaffold,0.5569,,0.6815,,44,True,2025-11-15 14:40:57
enhanced_feat_exp011,0.0001,0.0,512,7,1.0,0.1,1.0,0.0001,5,300,50,scaffold,0.5771,,1.0466,,100,False,2025-11-15 14:43:07
enhanced_feat_exp014,0.0001,0.3,512,7,0.01,1.0,1.0,0.0,5,300,50,scaffold,0.5810,,0.7283,,100,False,2025-11-15 14:44:35
enhanced_feat_exp015,0.0001,0.3,512,7,1.0,0.01,1.0,0.0001,5,300,50,scaffold,0.5880,,0.7460,,100,False,2025-11-15 14:45:10
enhanced_feat_exp017,0.0001,0.3,512,7,0.01,0.01,1.0,0.0,5,300,50,scaffold,0.5801,,0.7294,,100,False,2025-11-15 14:47:00
enhanced_feat_exp020,0.0001,0.3,512,7,1.0,0.01,0.1,0.0,5,300,50,scaffold,0.5787,,0.7401,,100,False,2025-11-15 14:49:00
enhanced_feat_exp022,0.001,0.3,512,7,0.01,1.0,1.0,0.0,5,300,50,scaffold,0.5114,,0.6829,,92,True,2025-11-15 14:50:06
enhanced_feat_exp023,0.001,0.3,512,3,0.01,1.0,1.0,0.0001,5,300,50,scaffold,0.5324,,0.7108,,100,False,2025-11-15 14:51:00
enhanced_feat_exp025,0.001,0.3,512,3,0.01,0.01,1.0,0.0,5,300,50,scaffold,0.5214,,0.8089,,100,False,2025-11-15 14:53:05
enhanced_feat_exp027,0.0001,0.0,512,3,0.01,0.1,1.0,0.0001,5,300,50,scaffold,0.5953,,1.4270,,100,False,2025-11-15 14:54:00
enhanced_feat_exp029,0.001,0.3,512,7,1.0,1.0,1.0,0.0,5,300,50,scaffold,0.5163,,2.8285,,95,True,2025-11-15 14:54:45
enhanced_feat_exp031,0.0001,0.0,512,7,1.0,0.01,0.1,0.0,5,300,50,scaffold,0.5695,,0.7233,,100,False,2025-11-15 14:56:58
enhanced_feat_exp032,0.0001,0.0,512,7,0.01,0.1,0.1,0.0,5,300,50,scaffold,0.5765,,0.7320,,100,False,2025-11-15 14:57:29
enhanced_feat_exp033,0.0001,0.0,512,7,1.0,1.0,1.0,0.0001,5,300,50,scaffold,0.5783,,0.7443,,100,False,2025-11-15 14:57:53
enhanced_feat_exp036,0.0001,0.3,512,5,0.01,0.01,1.0,0.0001,5,300,50,scaffold,0.5967,,0.6859,,100,False,2025-11-15 15:00:28
enhanced_feat_exp039,0.001,0.0,512,3,1.0,1.0,1.0,0.0001,5,300,50,scaffold,0.5758,,0.7530,,57,True,2025-11-15 15:00:55
enhanced_feat_exp037,0.0001,0.3,512,7,1.0,1.0,0.1,0.0001,5,300,50,scaffold,0.5886,,0.7482,,100,False,2025-11-15 15:00:56
enhanced_feat_exp040,0.001,0.0,512,7,0.1,0.1,0.1,0.0,5,300,50,scaffold,0.5386,,1.9494,,46,True,2025-11-15 15:01:52
enhanced_feat_exp042,0.0001,0.0,512,7,0.01,0.1,0.1,0.0001,5,300,50,scaffold,0.5840,,0.7478,,100,False,2025-11-15 15:04:01
enhanced_feat_exp043,0.0001,0.0,512,5,0.01,0.1,0.1,0.0,5,300,50,scaffold,0.5895,,0.7107,,100,False,2025-11-15 15:04:44
enhanced_feat_exp046,0.001,0.3,512,3,0.01,0.01,0.1,0.0001,5,300,50,scaffold,0.5299,,0.7574,,100,False,2025-11-15 15:07:03
enhanced_feat_exp048,0.0001,0.0,512,3,1.0,0.1,0.1,0.0,5,300,50,scaffold,0.6039,,0.7378,,100,False,2025-11-15 15:07:50
enhanced_final,0.001,0.0,512,5,1.0,0.1,0.1,0.0001,5,300,50,scaffold,,,0.5712,,85,True,2025-11-16 08:32:39
