experiment_id,lr,dropout_ratio,batch_size,num_experts,alpha,beta,min_temp,decay,num_layer,emb_dim,gate_dim,split_type,val_metric,val_metric_std,test_metric,test_metric_std,num_epochs_trained,early_stopped,timestamp
enhanced_feat_exp003,0.001,0.3,512,3,0.1,0.01,0.1,0.0001,5,300,50,scaffold,71.1029,,78.5494,,23,True,2025-11-15 18:17:16
enhanced_feat_exp010,0.001,0.0,512,5,1.0,0.1,0.1,0.0001,5,300,50,scaffold,76.8428,,79.7400,,24,True,2025-11-15 18:23:01
enhanced_feat_exp011,0.0001,0.0,512,7,1.0,0.1,1.0,0.0001,5,300,50,scaffold,76.6256,,77.5715,,71,True,2025-11-15 18:27:15
enhanced_feat_exp018,0.001,0.3,512,7,1.0,1.0,0.1,0.0001,5,300,50,scaffold,76.3029,,79.2940,,26,True,2025-11-15 18:32:42
enhanced_feat_exp016,0.0001,0.0,512,5,0.01,0.01,0.1,0.0,5,300,50,scaffold,80.2059,,80.9282,,100,False,2025-11-15 18:33:01
enhanced_feat_exp017,0.0001,0.3,512,7,0.01,0.01,1.0,0.0,5,300,50,scaffold,78.7665,,75.7854,,100,False,2025-11-15 18:33:42
enhanced_feat_exp020,0.0001,0.3,512,7,1.0,0.01,0.1,0.0,5,300,50,scaffold,77.8446,,80.2384,,100,False,2025-11-15 18:38:38
enhanced_feat_exp027,0.0001,0.0,512,3,0.01,0.1,1.0,0.0001,5,300,50,scaffold,71.0776,,65.2414,,49,True,2025-11-15 18:42:39
enhanced_feat_exp029,0.001,0.3,512,7,1.0,1.0,1.0,0.0,5,300,50,scaffold,78.7582,,75.9796,,34,True,2025-11-15 18:43:27
enhanced_feat_exp031,0.0001,0.0,512,7,1.0,0.01,0.1,0.0,5,300,50,scaffold,79.6720,,79.9419,,100,False,2025-11-15 18:48:28
enhanced_feat_exp034,0.0001,0.3,512,5,0.1,0.01,1.0,0.0001,5,300,50,scaffold,76.3286,,80.1404,,69,True,2025-11-15 18:48:53
enhanced_feat_exp037,0.0001,0.3,512,7,1.0,1.0,0.1,0.0001,5,300,50,scaffold,75.9587,,72.9334,,64,True,2025-11-15 18:52:57
enhanced_feat_exp041,0.001,0.0,512,3,1.0,0.1,1.0,0.0,5,300,50,scaffold,77.7152,,58.6825,,35,True,2025-11-15 18:54:04
enhanced_feat_exp046,0.001,0.3,512,3,0.01,0.01,0.1,0.0001,5,300,50,scaffold,71.4407,,77.7896,,23,True,2025-11-15 18:57:34
enhanced_feat_exp047,0.001,0.3,512,5,0.1,1.0,1.0,0.0001,5,300,50,scaffold,76.6048,,76.4870,,25,True,2025-11-15 18:59:08
enhanced_feat_exp044,0.0001,0.3,512,3,1.0,0.1,1.0,0.0,5,300,50,scaffold,76.6459,,78.0624,,100,False,2025-11-15 18:59:24
enhanced_feat_exp048,0.0001,0.0,512,3,1.0,0.1,0.1,0.0,5,300,50,scaffold,77.6263,,80.1417,,100,False,2025-11-15 19:02:35
enhanced_final,0.001,0.0,512,3,1.0,0.1,1.0,0.0,5,300,50,scaffold,,,78.6860,,75,True,2025-11-16 08:38:49
