number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_beta,params_decay,params_dropout_ratio,params_emb_dim,params_lr,params_min_temp,params_num_experts,params_num_layer,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,92.1569391254958,2025-11-26 08:43:42.499471,2025-11-26 08:59:35.397556,0 days 00:15:52.898085,0.1477302995321368,64,0.007711837541560226,8.641248708987084e-06,0.4,300,0.008031037931230627,0.01945173086637364,8,4,88.28666064438421,92.6979825353809,COMPLETE
1,86.52426919948871,2025-11-26 08:59:35.397882,2025-11-26 09:31:11.716276,0 days 00:31:36.318394,0.10300681610221635,128,0.015488634575252817,1.0813733712635632e-06,0.4,300,1.7160176701581615e-05,0.4201673406429659,8,5,82.98705209274316,,COMPLETE
2,92.21619993977718,2025-11-26 09:31:11.716692,2025-11-26 09:32:57.647985,0 days 00:01:45.931293,0.12590822953780853,32,0.057757131940378625,5.573990350465587e-06,0.5,300,0.0003988579927293883,0.5837585557246622,4,6,90.1535682023487,92.21619993977718,PRUNED
3,91.34290691376943,2025-11-26 09:32:57.648251,2025-11-26 09:42:23.871907,0 days 00:09:26.223656,0.03434110988901975,128,0.0012247978736955893,3.004339170394052e-06,0.2,300,0.0033466496642477342,0.010601063584898793,7,3,90.31918096958748,,COMPLETE
4,85.60674495633846,2025-11-26 09:42:23.872336,2025-11-26 09:42:40.009804,0 days 00:00:16.137468,0.014224611127361958,256,0.0016759215803246565,9.89953637845074e-06,0.5,300,0.0005957621710045107,0.013378007564458434,6,4,85.60674495633846,,PRUNED
5,40.21379102679915,2025-11-26 09:42:40.010246,2025-11-26 09:42:57.618622,0 days 00:00:17.608376,0.07594696877177971,256,0.0014701291320966033,3.349827612245869e-06,0.1,300,1.4365256044141996e-05,0.01565527932780253,9,5,40.21379102679915,,PRUNED
6,91.58010039702269,2025-11-26 09:42:57.618941,2025-11-26 09:57:45.445785,0 days 00:14:47.826844,0.2230793663876696,64,0.0018919575113877237,1.903788591667646e-05,0.5,300,0.004392950722549716,0.016298355802117664,10,3,91.47847034025895,,COMPLETE
7,88.40710629328514,2025-11-26 09:57:45.446307,2025-11-26 09:58:04.245197,0 days 00:00:18.798890,0.015565460045401363,256,0.005704156908986004,1.2958672890690459e-06,0.2,300,0.00019792123305876163,0.37010659797878165,5,7,88.40710629328514,,PRUNED
8,84.47756699789218,2025-11-26 09:58:04.245447,2025-11-26 09:58:20.689595,0 days 00:00:16.444148,0.03089964065083994,256,0.0028723643283985398,9.238893259529448e-05,0.1,300,0.0006032867999944271,0.02077151870115053,10,3,84.47756699789218,,PRUNED
9,76.66365552544414,2025-11-26 09:58:20.689869,2025-11-26 10:01:57.330096,0 days 00:03:36.640227,0.18673513896760013,64,0.0014194655517107042,2.0795837347515747e-05,0.4,300,2.7822117131739284e-05,0.06046017926142225,5,3,76.66365552544414,,PRUNED
10,88.94911171333936,2025-11-26 10:01:57.330482,2025-11-26 10:02:44.354446,0 days 00:00:47.023964,0.4892871623493284,512,0.01792746898828321,5.758626081938209e-05,0.30000000000000004,300,0.008324616017617343,0.06966223238369451,3,5,88.94911171333936,,PRUNED
11,91.08702198133093,2025-11-26 10:02:44.354757,2025-11-26 10:03:59.187591,0 days 00:01:14.832834,0.41938267214018665,64,0.005835845822995774,1.791559806252064e-05,0.4,300,0.0028959169840183686,0.03306999565248103,10,4,91.08702198133093,,PRUNED
