number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_beta,params_decay,params_dropout_ratio,params_emb_dim,params_lr,params_min_temp,params_num_experts,params_num_layer,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,state
0,92.97444671836081,2025-11-26 08:52:04.258788,2025-11-26 08:59:55.886840,0 days 00:07:51.628052,0.014724320864821318,512,0.04598614463942199,1.2122642239294137e-05,0.2,300,0.0016630604479215313,0.09158029759605102,3,6,,,,COMPLETE
1,92.89925246352247,2025-11-26 08:59:55.887291,2025-11-26 09:13:12.799564,0 days 00:13:16.912273,0.6447893746529211,512,0.011268157401058578,2.2412199567584143e-05,0.5,300,0.0016061879987334996,0.4297141669666964,5,6,89.02439024390243,90.24390243902438,90.92140921409215,COMPLETE
2,86.54019873532069,2025-11-26 09:13:12.799947,2025-11-26 09:13:38.843534,0 days 00:00:26.043587,0.2010599601939285,64,0.006109730294792214,1.3567159478180538e-06,0.1,300,1.2020993822005902e-05,0.010961339022258456,7,6,86.54019873532069,,,PRUNED
3,93.68882229502684,2025-11-26 09:13:38.843836,2025-11-26 09:45:44.597211,0 days 00:32:05.753375,0.031619709641143065,32,0.002727279209275765,1.8786435390798896e-06,0.5,300,0.007876241526110975,0.7538518203134051,7,4,90.6955736224029,92.09575429087624,,COMPLETE
4,79.82535380909364,2025-11-26 09:45:44.597638,2025-11-26 09:46:22.670929,0 days 00:00:38.073291,0.0234891087450503,32,0.0034415703176910134,2.990658990190015e-05,0.30000000000000004,300,1.0619990119922902e-05,0.011998290220975002,6,5,79.82535380909364,,,PRUNED
5,83.93556157783799,2025-11-26 09:46:22.671212,2025-11-26 09:46:48.297431,0 days 00:00:25.626219,0.4283475192498297,64,0.001633043642574354,5.156502327898263e-05,0.4,300,0.00039068446614150975,0.4135842929923955,9,3,83.93556157783799,,,PRUNED
6,88.42216199939777,2025-11-26 09:46:48.297700,2025-11-26 09:48:38.679292,0 days 00:01:50.381592,0.02223926797018899,32,0.010698997859067211,2.6601495003162434e-05,0.0,300,0.0002582470114523119,0.07748831148697197,7,5,88.42216199939777,,,PRUNED
7,79.29840409515205,2025-11-26 09:48:38.679607,2025-11-26 09:49:54.081305,0 days 00:01:15.401698,0.02688917897402016,64,0.001274486072715661,2.6569676210565576e-05,0.4,300,4.144162600664666e-05,0.3161574168566656,6,4,79.29840409515205,,,PRUNED
8,82.47515808491418,2025-11-26 09:49:54.081548,2025-11-26 09:50:11.026802,0 days 00:00:16.945254,0.232752736693808,256,0.009629184412900334,2.4328975927807458e-05,0.1,300,0.00010266375025423427,0.14935018623185287,3,3,82.47515808491418,,,PRUNED
9,89.82234266787113,2025-11-26 09:50:11.027085,2025-11-26 09:52:00.564258,0 days 00:01:49.537173,0.08770457847331356,32,0.006431924206324881,6.735348492909108e-05,0.5,300,0.0014906083373537728,0.21491707265441903,9,5,87.75971093044264,89.82234266787113,,PRUNED
10,93.23997482686711,2025-11-26 09:52:00.564453,2025-11-26 10:03:27.960960,0 days 00:11:27.396507,0.057606467695213395,128,0.053209692677587246,1.915185125029883e-06,0.30000000000000004,300,0.0075071165073748785,0.9683018516868855,10,7,92.53236976814213,92.96898524540799,,COMPLETE
11,92.84340826688457,2025-11-26 10:03:27.961274,2025-11-26 10:13:04.361757,0 days 00:09:36.400483,0.061319586197568776,128,0.08152525265165252,1.919906922083687e-06,0.30000000000000004,300,0.008616228451713462,0.8888573686262724,10,7,91.01174345076784,92.17103282143934,,COMPLETE
12,90.74074074074073,2025-11-26 10:13:04.362051,2025-11-26 10:14:00.338221,0 days 00:00:55.976170,0.054870505078799266,128,0.027515088151445488,2.8782397792862398e-06,0.4,300,0.004839289376519825,0.9979234637597332,8,4,89.64167419451971,90.74074074074073,,PRUNED
13,93.13922153414521,2025-11-26 10:14:00.338417,2025-11-26 10:24:31.135174,0 days 00:10:30.796757,0.043269747123814914,128,0.02306777067025825,4.246240952188624e-06,0.2,300,0.003927096388341116,0.03163270584318376,10,7,93.27009936766034,,,COMPLETE
14,86.64558867810901,2025-11-26 10:24:31.135549,2025-11-26 10:24:47.012726,0 days 00:00:15.877177,0.1303892492213922,256,0.002681507051417382,5.495071994474487e-06,0.5,300,0.009688349986901788,0.5820036177442769,5,4,86.64558867810901,,,PRUNED
15,94.20315325360623,2025-11-26 10:24:47.013027,2025-11-26 10:51:40.984526,0 days 00:26:53.971499,0.012311698041626625,32,0.09882303077833801,1.2632915061338826e-06,0.4,300,0.0005796395968215731,0.04526284800406118,8,7,92.02047576031316,92.74314965371876,94.56489009334538,COMPLETE
16,89.23517012947909,2025-11-26 10:51:40.984871,2025-11-26 10:53:27.076367,0 days 00:01:46.091496,0.011423466263574194,32,0.0027068964528505217,1.0062732497657437e-06,0.4,300,0.0004957758501500164,0.0342572182341845,8,4,89.23517012947909,,,PRUNED
17,0.0,2025-11-26 10:53:27.076646,2025-11-26 10:53:27.095500,0 days 00:00:00.018854,0.011672700892372509,32,0.02040173563000184,7.566831146845132e-06,0.5,300,0.0008792031304379283,0.046175722299560636,8,5,,,,COMPLETE
18,0.0,2025-11-26 10:53:27.095686,2025-11-26 10:53:27.109179,0 days 00:00:00.013493,0.02977356238430242,32,0.09913314176568729,3.017674867651757e-06,0.4,300,0.0001936622026413198,0.021854890468557767,5,6,,,,COMPLETE
19,0.0,2025-11-26 10:53:27.109306,2025-11-26 10:53:27.122432,0 days 00:00:00.013126,0.017898721632515012,32,0.004168493298101476,1.1608116591219695e-05,0.5,300,7.281741897214354e-05,0.05870004192480469,7,3,,,,COMPLETE
20,0.0,2025-11-26 10:53:27.122565,2025-11-26 10:53:27.135890,0 days 00:00:00.013325,0.034874510385381294,32,0.0020064414822379994,1.002304027016567e-06,0.30000000000000004,300,0.0027035114217940446,0.12761851399289106,9,4,,,,COMPLETE
21,0.0,2025-11-26 10:53:27.136020,2025-11-26 10:53:27.160125,0 days 00:00:00.024105,0.07652881778404567,128,0.05626784599441026,1.9048133377159556e-06,0.30000000000000004,300,0.0053445258061727225,0.698981962781746,10,7,,,,COMPLETE
22,0.0,2025-11-26 10:53:27.160340,2025-11-26 10:53:27.174897,0 days 00:00:00.014557,0.042421515678248714,128,0.056157292652632355,1.937907975771785e-06,0.4,300,0.0009352586411090783,0.25049859382323403,8,7,,,,COMPLETE
23,0.0,2025-11-26 10:53:27.175035,2025-11-26 10:53:27.189704,0 days 00:00:00.014669,0.12405600243007492,512,0.03649881242185888,3.1760869322069776e-06,0.2,300,0.0028164767527198674,0.01813746426066378,9,7,,,,COMPLETE
