number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_beta,params_decay,params_dropout_ratio,params_emb_dim,params_lr,params_min_temp,params_num_experts,params_num_layer,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,73.34024742060258,2025-11-26 05:48:50.106565,2025-11-26 05:59:27.858043,0 days 00:10:37.751478,0.021392895860154436,128,0.0065091220289230055,5.853634513300956e-06,0.4,300,4.491971700570613e-05,0.29032296711167743,8,7,70.26143790849673,,COMPLETE
1,0.0,2025-11-26 05:59:27.858464,2025-11-26 05:59:28.118137,0 days 00:00:00.259673,0.3414552035990583,512,0.02771956315164485,1.009072769871743e-06,0.2,300,1.4988433056726146e-05,0.1681234104865258,8,5,,,COMPLETE
2,73.30449900327812,2025-11-26 05:59:28.118499,2025-11-26 06:17:15.467844,0 days 00:17:47.349345,0.032541145149588016,32,0.024160109719643327,1.790097780840034e-05,0.2,300,0.0021263369599784764,0.09300432819053975,4,4,73.8562091503268,78.26797385620917,COMPLETE
3,72.74645904102063,2025-11-26 06:17:15.468511,2025-11-26 06:30:21.848265,0 days 00:13:06.379754,0.27813056958356275,64,0.014963918416792895,2.6135314729364062e-06,0.5,300,0.00800298529579847,0.197754000177651,3,7,75.16339869281045,,COMPLETE
4,0.0,2025-11-26 06:30:21.848879,2025-11-26 06:30:22.241100,0 days 00:00:00.392221,0.05794430036985711,512,0.009703429362330125,1.2086045216443932e-05,0.0,300,0.0009259181753446999,0.1366809963461181,10,6,,,COMPLETE
5,69.77124183006536,2025-11-26 06:30:22.241998,2025-11-26 06:31:02.619688,0 days 00:00:40.377690,0.038082041222746534,128,0.007968583375677398,1.4578434461792782e-05,0.2,300,0.0019275082930945821,0.07107277300233501,9,6,69.77124183006536,,PRUNED
6,74.83902628386535,2025-11-26 06:31:02.619941,2025-11-26 06:46:14.846239,0 days 00:15:12.226298,0.3811665152025686,32,0.0207156841590749,5.377923669502739e-05,0.2,300,0.0020866411676941257,0.13820313037058063,4,5,80.22875816993465,80.22875816993465,COMPLETE
7,0.0,2025-11-26 06:46:14.846902,2025-11-26 06:46:15.134238,0 days 00:00:00.287336,0.020992507835752648,512,0.0018625960961066847,2.1700914697148836e-06,0.30000000000000004,300,0.000519983609268399,0.690264332353288,4,5,,,COMPLETE
8,67.3202614379085,2025-11-26 06:46:15.135106,2025-11-26 06:46:28.760749,0 days 00:00:13.625643,0.059488795910937635,128,0.001529993656942606,1.8163816843764157e-05,0.5,300,0.003398993028901081,0.014935951724900741,4,3,67.3202614379085,,PRUNED
9,58.66013071895424,2025-11-26 06:46:28.760984,2025-11-26 06:47:14.118206,0 days 00:00:45.357222,0.26197115104868995,64,0.0011658796950363255,8.560144788012404e-05,0.5,300,3.169963593454724e-05,0.6592624554216778,9,4,58.66013071895424,,PRUNED
10,63.88888888888889,2025-11-26 06:47:14.118449,2025-11-26 06:47:32.158455,0 days 00:00:18.040006,0.7186550055278665,32,0.09186191233101713,9.732808340947098e-05,0.0,300,0.00013930513974688875,0.027600005400911953,6,3,63.88888888888889,,PRUNED
11,71.5686274509804,2025-11-26 06:47:32.158755,2025-11-26 06:48:10.979843,0 days 00:00:38.821088,0.01292781282320384,256,0.004058032768155626,4.032507620169258e-05,0.30000000000000004,300,0.00012150930332643933,0.311968455376835,6,7,71.5686274509804,,PRUNED
12,73.85735793371752,2025-11-26 06:48:10.980183,2025-11-26 07:06:14.502217,0 days 00:18:03.522034,0.12779229903787068,32,0.06230917002272221,5.194246108901695e-06,0.4,300,9.777322907915152e-05,0.35727295910643087,7,6,,,COMPLETE
13,70.91503267973856,2025-11-26 07:06:14.502836,2025-11-26 07:06:32.856097,0 days 00:00:18.353261,0.13228858690128062,32,0.09326675943010299,6.094833109771343e-06,0.1,300,0.00020658995050260078,0.04574408414529294,7,5,70.91503267973856,,PRUNED
14,74.70051393913768,2025-11-26 07:06:32.856452,2025-11-26 07:18:46.684921,0 days 00:12:13.828469,0.13715190916880043,32,0.042975320405103656,3.372560743102248e-05,0.4,300,0.0005260410652966214,0.4832726055753444,5,6,75.65359477124183,,COMPLETE
15,76.47058823529412,2025-11-26 07:18:46.685476,2025-11-26 07:19:05.902745,0 days 00:00:19.217269,0.9060665005266612,32,0.036081174114217754,3.8852162966934706e-05,0.4,300,0.00043478014491736035,0.9393207954341717,5,6,76.47058823529412,,PRUNED
16,67.48366013071895,2025-11-26 07:19:05.902997,2025-11-26 07:19:43.796314,0 days 00:00:37.893317,0.4007463111403519,256,0.051019046907103675,3.926749955351743e-05,0.1,300,0.0068767497085711945,0.4712597165247273,3,4,67.48366013071895,,PRUNED
17,69.77124183006536,2025-11-26 07:19:43.796636,2025-11-26 07:20:41.528720,0 days 00:00:57.732084,0.17333804484660603,32,0.016920770334934134,5.961371966756209e-05,0.30000000000000004,300,0.0007299396359517623,0.04680748936857712,5,6,69.77124183006536,,PRUNED
18,74.71015338096359,2025-11-26 07:20:41.528948,2025-11-26 07:33:26.395740,0 days 00:12:44.866792,0.4667640165327309,32,0.016843875429011855,2.2219604597667854e-05,0.1,300,0.0012980429642416328,0.231022991728284,5,5,,,COMPLETE
19,67.15686274509804,2025-11-26 07:33:26.396392,2025-11-26 07:34:20.945836,0 days 00:00:54.549444,0.5514459130883107,32,0.0033276279365733533,2.6263494373674514e-05,0.1,300,0.0016552227497360795,0.10826278574883319,3,4,67.15686274509804,,PRUNED
20,74.50980392156863,2025-11-26 07:34:20.946209,2025-11-26 07:34:33.894712,0 days 00:00:12.948503,0.5448268754080691,256,0.015521539276537813,6.51590080608196e-05,0.1,300,0.004946086352767084,0.22100600618705107,5,5,74.50980392156863,,PRUNED
21,74.48278329144034,2025-11-26 07:34:33.894996,2025-11-26 07:45:25.099485,0 days 00:10:51.204489,0.1933898893483487,32,0.038173212701937326,2.433934552346291e-05,0.2,300,0.001085505744805915,0.43588731223204197,5,5,81.37254901960785,81.37254901960785,COMPLETE
22,72.54901960784314,2025-11-26 07:45:25.100180,2025-11-26 07:45:43.737062,0 days 00:00:18.636882,0.09083987395439526,32,0.022731497379182574,2.7771156983467267e-05,0.0,300,0.00026175199034568226,0.24446058375452848,4,5,72.54901960784314,,PRUNED
23,72.38562091503267,2025-11-26 07:45:43.737320,2025-11-26 07:46:03.660490,0 days 00:00:19.923170,0.44563666560446585,32,0.011805065676740794,4.660670389414849e-05,0.30000000000000004,300,0.003138030326069498,0.13761414252803994,6,6,72.38562091503267,,PRUNED
24,75.16632425411561,2025-11-26 07:46:03.660793,2025-11-26 07:59:42.632363,0 days 00:13:38.971570,0.2183143307581114,32,0.05896359212642182,9.549315531706506e-06,0.1,300,0.0012963143776890582,0.5367920239356928,5,5,82.67973856209152,,COMPLETE
25,69.93464052287581,2025-11-26 07:59:42.632702,2025-11-26 07:59:59.570866,0 days 00:00:16.938164,0.2360296448451412,64,0.06395717314329433,9.234640440677736e-06,0.1,300,0.0012444191600883702,0.9531311286535011,4,4,69.93464052287581,,PRUNED
26,81.20915032679738,2025-11-26 07:59:59.571086,2025-11-26 08:00:54.864112,0 days 00:00:55.293026,0.6174996792529034,32,0.00533086416652283,8.975711658390905e-06,0.1,300,0.0036459466806977887,0.07508481918622968,6,5,80.3921568627451,81.20915032679738,PRUNED
27,80.3921568627451,2025-11-26 08:00:54.864396,2025-11-26 08:01:49.601936,0 days 00:00:54.737540,0.936761495958361,32,0.028143485043267476,2.1276709025201385e-05,0.2,300,0.009959700830660872,0.16664815921567494,5,5,80.3921568627451,80.3921568627451,PRUNED
28,73.37864813691672,2025-11-26 08:01:49.602298,2025-11-26 08:19:53.525949,0 days 00:18:03.923651,0.3416292498673379,32,0.019546593229422402,1.2346023915163815e-05,0.0,300,0.0022637152393501906,0.6403353279686145,3,4,,,COMPLETE
29,69.72351099387726,2025-11-26 08:19:53.526467,2025-11-26 08:34:36.055142,0 days 00:14:42.528675,0.0981195398589961,128,0.011165204074122533,5.71004368181724e-06,0.1,300,0.0007659414853128775,0.2750614191854455,7,4,76.30718954248367,79.57516339869282,COMPLETE
