number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_beta,params_decay,params_dropout_ratio,params_emb_dim,params_lr,params_min_temp,params_num_experts,params_num_layer,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,state
0,75.01921578236784,2025-11-26 05:48:50.245719,2025-11-26 06:05:59.094200,0 days 00:17:08.848481,0.014285656175006668,32,0.05469005250999726,3.7629531818332637e-06,0.4,300,0.006033883179076107,0.17520479252381393,5,3,79.73856209150327,86.76470588235294,,COMPLETE
1,72.57207791591809,2025-11-26 06:05:59.094641,2025-11-26 06:23:25.276073,0 days 00:17:26.181432,0.021854330248197062,32,0.015232107558033994,1.8435484744724573e-06,0.4,300,0.0001708237358176016,0.06058887352771841,4,5,66.01307189542483,66.01307189542483,71.89542483660131,COMPLETE
2,0.0,2025-11-26 06:23:25.276543,2025-11-26 06:23:25.606890,0 days 00:00:00.330347,0.17808472748012413,512,0.007381698845173643,2.872069893964125e-06,0.4,300,0.00011219221593302893,0.45123966703352864,3,3,,,,COMPLETE
3,74.53081704335865,2025-11-26 06:23:25.607700,2025-11-26 06:31:18.598215,0 days 00:07:52.990515,0.9190369168864075,128,0.0040035607511310954,9.37270692994178e-06,0.30000000000000004,300,0.009626901493123646,0.05340886289329173,5,3,,,,COMPLETE
4,51.79738562091504,2025-11-26 06:31:18.598605,2025-11-26 06:31:31.345838,0 days 00:00:12.747233,0.011227391509722183,256,0.004176958197569575,4.270821911105042e-05,0.30000000000000004,300,0.00033307087966342357,0.0691460597749335,8,4,51.79738562091504,,,PRUNED
5,75.2435384814963,2025-11-26 06:31:31.346238,2025-11-26 06:40:58.937222,0 days 00:09:27.590984,0.02353570849668432,256,0.006886165520470699,1.0742612460112472e-06,0.30000000000000004,300,0.00039874724593715776,0.5933775876456435,10,7,69.6078431372549,,,COMPLETE
6,49.183006535947705,2025-11-26 06:40:58.937745,2025-11-26 06:41:44.371306,0 days 00:00:45.433561,0.012090479469681269,64,0.0011931680921827708,2.8325122715676503e-06,0.2,300,1.538583317584163e-05,0.13373578838041222,9,3,49.183006535947705,,,PRUNED
7,72.78050187572941,2025-11-26 06:41:44.371704,2025-11-26 06:50:54.714091,0 days 00:09:10.342387,0.7963580149194148,64,0.006780502572352448,1.83354740266675e-06,0.2,300,0.0027480238989457213,0.011206516188301012,10,3,71.07843137254902,75.65359477124184,,COMPLETE
8,0.0,2025-11-26 06:50:54.714686,2025-11-26 06:50:55.066261,0 days 00:00:00.351575,0.03047007118798944,512,0.020102523615413242,1.0543341438564023e-06,0.1,300,4.061303887770493e-05,0.13212183131613034,6,7,,,,COMPLETE
9,66.66666666666666,2025-11-26 06:50:55.067081,2025-11-26 06:51:32.674754,0 days 00:00:37.607673,0.14619912480066863,256,0.0088333039971255,5.043273189508241e-06,0.5,300,0.0007804517036695979,0.21596478578761769,6,5,66.66666666666666,,,PRUNED
