number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_beta,params_dropout_ratio,params_emb_dim,params_lr,params_num_experts,params_num_layer,state
0,0.0,2025-11-26 00:52:11.029078,2025-11-26 00:52:11.033185,0 days 00:00:00.004107,0.02451280087985664,512,0.011908560937982747,0.2,300,9.285086408250316e-05,4,4,COMPLETE
1,0.0,2025-11-26 00:52:11.033330,2025-11-26 00:52:11.035141,0 days 00:00:00.001811,0.03369484571682582,64,0.0378887355544015,0.2,300,1.6895100570507726e-05,5,6,COMPLETE
2,0.0,2025-11-26 00:52:11.035254,2025-11-26 00:52:11.036690,0 days 00:00:00.001436,0.01886308170276304,128,0.014993661038493086,0.1,300,0.009285927980040349,6,6,COMPLETE
3,0.0,2025-11-26 00:52:11.036792,2025-11-26 00:52:11.038204,0 days 00:00:00.001412,0.39437073451217425,128,0.001850375032546676,0.5,300,1.9634665352638865e-05,3,4,COMPLETE
4,0.0,2025-11-26 00:52:11.038307,2025-11-26 00:52:11.039713,0 days 00:00:00.001406,0.06679209521947384,512,0.004563299383667851,0.30000000000000004,300,1.3858642290569833e-05,5,4,COMPLETE
5,0.0,2025-11-26 00:52:11.039809,2025-11-26 00:52:11.041211,0 days 00:00:00.001402,0.030116233584351136,256,0.018109989124895177,0.30000000000000004,300,0.0006026464959449204,4,6,COMPLETE
6,0.0,2025-11-26 00:52:11.041304,2025-11-26 00:52:11.042784,0 days 00:00:00.001480,0.035890418808561454,64,0.013620021093594744,0.4,300,0.0003829634801287004,4,6,COMPLETE
7,0.0,2025-11-26 00:52:11.042903,2025-11-26 00:52:11.044339,0 days 00:00:00.001436,0.010053996486752068,256,0.011040699180971702,0.2,300,0.0024187086883029883,3,4,COMPLETE
8,0.0,2025-11-26 00:52:11.044433,2025-11-26 00:52:11.045767,0 days 00:00:00.001334,0.12018323947384095,256,0.004227215706233095,0.5,300,4.668820134876123e-05,5,4,COMPLETE
9,0.0,2025-11-26 00:52:11.045851,2025-11-26 00:52:11.047170,0 days 00:00:00.001319,0.7132159105029803,32,0.03605168043964216,0.5,300,0.0010533632007924726,7,5,COMPLETE
10,0.0,2025-11-26 00:52:11.047251,2025-11-26 00:52:11.058174,0 days 00:00:00.010923,0.15009974146794966,512,0.09501993020356561,0.0,300,0.00011600303927453772,8,3,COMPLETE
11,0.0,2025-11-26 00:52:11.058279,2025-11-26 00:52:11.067621,0 days 00:00:00.009342,0.0520685647519093,64,0.04491236069420181,0.2,300,8.424018920235077e-05,6,5,COMPLETE
12,0.0,2025-11-26 00:52:11.067723,2025-11-26 00:52:11.076872,0 days 00:00:00.009149,0.015586314366253393,512,0.03651554015232157,0.1,300,4.223794570948443e-05,4,3,COMPLETE
13,0.0,2025-11-26 00:52:11.076983,2025-11-26 00:52:11.086320,0 days 00:00:00.009337,0.022243030968760305,64,0.006019648877072224,0.1,300,1.0540892419975977e-05,5,5,COMPLETE
14,0.0,2025-11-26 00:52:11.086425,2025-11-26 00:52:11.095715,0 days 00:00:00.009290,0.07113616188974312,32,0.0011421174380938101,0.2,300,0.00018148972231303174,4,5,COMPLETE
15,0.0,2025-11-26 00:52:11.095819,2025-11-26 00:52:11.105096,0 days 00:00:00.009277,0.19001112576703494,512,0.08598789273234018,0.0,300,3.2646984298467106e-05,6,3,COMPLETE
16,0.0,2025-11-26 00:52:11.105197,2025-11-26 00:52:11.114366,0 days 00:00:00.009169,0.04133965410106622,64,0.026769232532221243,0.30000000000000004,300,0.00019652687139436499,3,6,COMPLETE
17,0.0,2025-11-26 00:52:11.114469,2025-11-26 00:52:11.123746,0 days 00:00:00.009277,0.010109539944499632,64,0.007718203987633616,0.4,300,5.4934051290745806e-05,7,5,COMPLETE
18,0.0,2025-11-26 00:52:11.123849,2025-11-26 00:52:11.133246,0 days 00:00:00.009397,0.2424813997422122,512,0.061328177439891204,0.1,300,2.3750138211508507e-05,5,4,COMPLETE
19,0.0,2025-11-26 00:52:11.133354,2025-11-26 00:52:11.142630,0 days 00:00:00.009276,0.08725558680871041,32,0.024226595726107168,0.2,300,7.873156507513783e-05,4,3,COMPLETE
20,0.0,2025-11-26 00:52:11.142735,2025-11-26 00:52:11.152149,0 days 00:00:00.009414,0.026863084903108944,128,0.0024467173321402465,0.4,300,0.00016043325314172045,7,6,COMPLETE
